title,article,category,price,availability,description,details,images,url
Главная,,,0,"Наличие несколько видов наушников, которые обеспечат еще более удобное прослушивание конференции.",,,,https://risbar.kz#0
AF-3,,Сценические вентиляторы,0,Наличие:В наличии,"Описание Antari AF-3 — это компактный универсальный сценический вентилятор с несколькими вариантами управления, линейной регулировкой выходной мощности, низким энергопотреблением, регулируемым направлением обдува и прочным металлическим корпусом. В дополнение к встроенному DMX-управлению и ручному переключателю, доступны проводной и беспроводной контроллеры – дополнительные аксессуары для различных случаев. Общая потребляемая мощность составляет всего 120 Вт. Встроенный кронштейн обеспечивает возможность направлять поток воздуха по различным направлениям в пределах 90 градусов при подвешивании или размещении на полу. Прочная и удобная конструкция обеспечивает легкую переноску и хранение. Ключевые характеристики: Рабочая температура окружающей среды: 0°C – 40°C Поток воздуха: 900 м3/ч (50 Гц), 600 м3/ч (60 Гц) Скорость работы вентилятора: 750 – 2550 об./мин. (50 Гц), 750 – 2800 об./мин. (60 Гц) Уровень шума при работе (на расстоянии 1 м): 72.6 дБ Управление: вручную, DMX-512, беспроводное (опционально), удаленное управление с проводного пульта (опционально) Количество каналов: 1 Разъем питания: Neutirk PowerCON Разъем управления: 5-пиновый XLR Аксессуары (опционально): Z-3 Cable Remote, WTR-10 Wireless Remote","Производитель: Antari | Наименование: <h3> AF-3</h3> | Питание, В: 220-240 В перем. тока, 50/60 Гц 1 А | Мощность, Вт: 127 Вт | Размеры, мм: 124 мм x 316 мм x 368 мм | Вес, кг: 6 кг",https://risbar.kz/wp-content/uploads/product/af-3-1.png; https://risbar.kz/wp-content/uploads/product/af-3-2.jpg; https://risbar.kz/wp-content/uploads/product/af-3-3.jpg; https://risbar.kz/wp-content/uploads/product/af-3-4.jpg; https://risbar.kz/wp-content/uploads/product/af-3-5.jpg; https://risbar.kz/wp-content/uploads/product/af-3-6.jpg; https://risbar.kz/wp-content/uploads/product/af-3-7.jpg; https://risbar.kz/wp-content/uploads/product/af-3-8.jpg; https://risbar.kz/wp-content/uploads/product/af-3-9.jpg; https://risbar.kz/wp-content/uploads/product/af-3-10.jpg; https://risbar.kz/wp-content/uploads/product/af-3-2-550x550.jpg; https://risbar.kz/wp-content/uploads/product/af-3-3-550x338.jpg; https://risbar.kz/wp-content/uploads/product/af-3-4-550x739.jpg; https://risbar.kz/wp-content/uploads/product/af-3-5-550x416.jpg; https://risbar.kz/wp-content/uploads/product/af-3-6-550x429.jpg; https://risbar.kz/wp-content/uploads/product/af-3-7-550x408.jpg; https://risbar.kz/wp-content/uploads/product/af-3-8-550x408.jpg; https://risbar.kz/wp-content/uploads/product/af-3-9-550x404.jpg; https://risbar.kz/wp-content/uploads/product/af-3-10-550x404.jpg,https://risbar.kz/product/af-3/
Главная,,,0,"Наличие несколько видов наушников, которые обеспечат еще более удобное прослушивание конференции.",,,,https://risbar.kz#0
AF-4,,Сценические вентиляторы,0,Наличие:В наличии,"Описание Сценический вентилятор Antari AF-4 фокусирует поток воздуха в центре. Подходит для широкого спектра применений на сцене, в театре, кино, на экскурсиях и во многом другом. Цифровой интерфейс управления позволяет пользователю легко выполнять настройки. Комплексные возможности управления включают в себя: DMX, таймер, беспроводное и ручное управление. Его ключевыми преимуществами являются: Низкий уровень шума Управление по DMX Настраиваемая скорость потока воздуха в диапазоне 20~100% Управление вручную, таймер и беспроводное управление Ключевые характеристики: Рабочая температура окружающей среды: 0°C – 40°C Поток воздуха: 2017 м3/ч (50 Гц), 1758.5 м3/ч (60 Гц) Скорость работы вентилятора: 1242 – 1480 об./мин. (50 Гц), 1175 – 1289 об./мин. (60 Гц) Уровень шума при работе (на расстоянии 1 м): 68.5 дБ Управление: вручную, таймер, DMX-512, беспроводное (опционально), удаленное управление с проводного пульта (опционально) Количество каналов: 1 Разъем питания: Neutirk PowerCON Разъем управления: 5-пиновый XLR Аксессуары (опционально): Z-3 Cable Remote, WTR-20 Wireless Remote","Производитель: Antari | Наименование: <h3> AF-4</h3> | Питание, В: 220-240 В перем. тока, 50/60 Гц 0.5 А | Мощность, Вт: 100 Вт | Размеры, мм: 353 мм x 377 мм x 517 мм | Вес, кг: 9 кг",https://risbar.kz/wp-content/uploads/product/af-4-1.png; https://risbar.kz/wp-content/uploads/product/af-4-2.jpg; https://risbar.kz/wp-content/uploads/product/af-4-3.jpg; https://risbar.kz/wp-content/uploads/product/af-4-4.jpg; https://risbar.kz/wp-content/uploads/product/af-4-5.jpg; https://risbar.kz/wp-content/uploads/product/af-4-6.jpg; https://risbar.kz/wp-content/uploads/product/af-4-7.jpg; https://risbar.kz/wp-content/uploads/product/af-4-2-550x550.jpg; https://risbar.kz/wp-content/uploads/product/af-4-3-550x550.jpg; https://risbar.kz/wp-content/uploads/product/af-4-4-550x338.jpg; https://risbar.kz/wp-content/uploads/product/af-4-5-550x427.jpg; https://risbar.kz/wp-content/uploads/product/af-4-6-550x404.jpg; https://risbar.kz/wp-content/uploads/product/af-4-7-550x404.jpg,https://risbar.kz/product/af-4/
Главная,,,0,"Наличие несколько видов наушников, которые обеспечат еще более удобное прослушивание конференции.",,,,https://risbar.kz#0
AF-6,,Сценические вентиляторы,0,Наличие:В наличии,"Описание Antari AF-6 — это профессиональный вентилятор для сцены в надежном стильном корпусе, который сразу демонстрирует всю мощь прибора. AF-6 обладает способностью выдувать большой объем воздуха и регулировать его направление в пределах 360 градусов. Кроме того, его можно использовать как автономно, так и с генераторами тумана или снега, что позволяет увеличить дальность распространения сценического эффекта в заданном направлении. Вентилятор оснащен функциями управления по DMX и RDM, настраивается с помощью встроенного дисплея; предоставляется возможность использования беспроводного или проводного контроллера. Расстояние больше не является проблемой! Antari AF-6 — это сила, уравновешенность и точность, которые поражают воображение зрителей. Ключевые характеристики: Рабочая температура окружающей среды: 0°C – 40°C Поток воздуха: 4388.5 м3/ч (120 В/60 Гц), 4332.5 м3/ч (240 В/60 Гц) Скорость работы вентилятора: 1550 об./мин. (120 В/60 Гц), 1530 об./мин. (240 В/60 Гц) Уровень шума при работе (на расстоянии 1 м): 81.5 дБ Управление: вручную, таймер, DMX-512, беспроводное (опционально), удаленное управление с проводного пульта (опционально) Количество каналов: 1 Разъем питания: Neutirk PowerCON Разъем управления: 5-пиновый XLR Аксессуары (опционально): SC-2 Cable Remote, WTR-20 Wireless Remote","Производитель: Antari | Наименование: <h3> AF-6</h3> | Питание, В: 220-240 В перем. тока, 50/60 Гц 1.04 А | Мощность, Вт: 250 Вт | Размеры, мм: 461.2 мм x 596 мм x 629.6 мм | Вес, кг: 22.3 кг",https://risbar.kz/wp-content/uploads/product/af-6-1.jpg; https://risbar.kz/wp-content/uploads/product/af-6-2.jpg; https://risbar.kz/wp-content/uploads/product/af-6-3.jpg; https://risbar.kz/wp-content/uploads/product/af-6-4.jpg; https://risbar.kz/wp-content/uploads/product/af-6-5.jpg; https://risbar.kz/wp-content/uploads/product/af-6-6.png; https://risbar.kz/wp-content/uploads/product/af-6-2-550x716.jpg; https://risbar.kz/wp-content/uploads/product/af-6-3-550x437.jpg; https://risbar.kz/wp-content/uploads/product/af-6-4-550x437.jpg; https://risbar.kz/wp-content/uploads/product/af-6-5-550x404.jpg; https://risbar.kz/wp-content/uploads/product/af-6-6-550x404.png,https://risbar.kz/product/af-6/
Главная,,,0,"Наличие несколько видов наушников, которые обеспечат еще более удобное прослушивание конференции.",,,,https://risbar.kz#0
CH-1,,Генераторы тумана,0,Наличие:В наличии,"Описание Antari CH-1 — генератор CO2 производит большое количество мелкодисперсной дымки плавно, с небольшой громкостью, поставляется с регулируемым вентилятором для подачи дымки под разным углом. Оснащен цветным сенсорным экраном для интуитивно понятного управления, подключается к баллону с газом CO2, смешивая газ и жидкость вместе, чтобы обеспечить более длительное время действия эффекта. Совершенно новый CH-1 от Antari — это тонкая и компактная машина для получения эффекта столба дыма. Длительное время работы Небольшой рабочий шум Низкий расход жидкости Простая настройка с помощью цветного дисплея Настраиваемый угол наклона вентилятора Ключевые характеристики Расход жидкости: 2 мл/мин Емкость бака: 2,5 литра Рекомендованная жидкость: Antari CHL-2 Haze Fluid Тип газа: CO2, N2 Диапазон давления газа: 3.4 – 4.1 бар Расход газа: 0,36 кг/час @ 40 psi, 0,18 кг/час @ 20 psi Дисплей: сенсорный TFT LCD Рабочая температура окружающей среды: 0°C – 40°C Управление: вручную, таймер, DMX-512, беспроводной DMX Количество каналов: 1 / 3 / 5 Разъем питания: Neutirk TRUE 1 Connector Разъем управления: 3- или 5-пиновый XLR Разъем управления подачей газа: 9/16 -18 R.H Аксессуары (в комплекте): манометр, воздушный шланг Аксессуары (опционально): W-DMX-PCBR, транспортировочный кейс FCH-1","Производитель: Antari | Наименование: <h3> CH-1</h3> | Питание: 100-240 В перем. тока, 50/60 Гц 6 А | Мощность: 120 В – 600 Вт, 240 В — 1250 Вт | Размеры: 579 мм x 164 мм x 311 мм | Вес: 17, кг",https://risbar.kz/wp-content/uploads/product/ch-1-1.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-2.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-3.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-4.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-5.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-6.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-7.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-8.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-9.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-10.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-11.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-12.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-13.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-14.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-2-550x550.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-3-550x404.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-4-550x404.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-5-550x404.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-6-550x338.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-7-550x550.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-8-550x404.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-9-550x404.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-10-550x404.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-11-550x404.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-12-550x404.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-13-550x404.jpg; https://risbar.kz/wp-content/uploads/product/ch-1-14-550x404.jpg,https://risbar.kz/product/ch-1/
Главная,,,0,"Наличие несколько видов наушников, которые обеспечат еще более удобное прослушивание конференции.",,,,https://risbar.kz#0
CHL-2,,Жидкости для спецэффектов,0,Наличие:В наличии,"Описание Antari CHL-2 — это высококачественная жидкость на масляной основе для хейзера CH-1 CINEMA, которая создает тонкую и полупрозрачную дымку, заполняющую сцену. Дымка, производимая CH-1 и CHL liquid, может прекрасно оттенять освещение сцены и создавать замечательный дизайн сцены.",Производитель: Antari,https://risbar.kz/wp-content/uploads/product/chl-2-1.jpg,https://risbar.kz/product/chl-2/
