title,article,category,price,availability,description,details,images,url
PLE-10M2-EU,,PLENA EASY LINE,0,Наличие:В наличии,"Описание 6 микрофонных или линейных входа + 3 входа для музыкальных источников 100 В, телефонный вход и вход вызывной станции с приоритетом и функцией VOX 2 зоны и 2-канальный режим Активируемые голосом приоритетные экстренные объявления Двухтональный сигнал гонга Отдельное управление тональным сигналом для микрофонов и музыкальных источников 24 В резервный вход со встроенным зарядным устройством Новый двухканальный микшер PLE-10M2-EU серии Plena Easy Line – профессиональное устройство системы звукоусиления, обеспечивающее высокое качество работы и имеющие уникальные технические характеристики. Комбинация устройства с усилителями мощности PLE-1P120-EU и PLE-1P240-EU позволяет создать простую в управлении, и в то же время мощную и гибкую в конфигурации систему музыкальной трансляции и оповещения. При этом устройство имеет функции управления приоритетами и широкие возможности по регулировке аудио. Микшер удовлетворяет современным требованиям, предъявляемым к системам оповещения и на удивление экономичен. Для всех микрофонных/линейных входов можно выбрать уровень чувствительности для микрофона или для линии. Выполняется балансировка входов, но входы могут использоваться и без балансировки. Можно включить фантомный источник питания для подачи питания на конденсаторные микрофоны. Входные каналы 1 и 2 могут получать приоритет над всеми микрофонными и музыкальными входами: • Вход 1 активируется замыканием контакта при нажатии кнопки функции PTT («нажми и говори») или данный выход может включаться автоматически при подаче на него сигнала, т.е. если кто-то говорит в микрофон (активация VOX). Можно настроить включение двухтонального звукового сигнала перед объявлением • У входа 2 также есть возможность VOX. Если приоритет настроен для одного или обоих входов, затухание (снижение) сигнала на входе типа «тюльпан» можно задать в пределах от -2 дБ (небольшое затухание) до -∞ дБ (отключение звука). Это реализовать использовать функцию обсуждения или голоса за кадром. Входные каналы 1 и 2 также оснащены речевыми фильтрами для улучшения четкости объявлений.",Производитель: Bosch | Наименование: <h3>PLE-10M2-EU</h3> | Партномер: <h3>F01U066938</h3>,https://risbar.kz/wp-content/uploads/product/ple-10m2-eu-1.jpg,https://risbar.kz/product/ple-10m2-eu/
PLE-1MA030-EU,,PLENA EASY LINE,0,Наличие:В наличии,"Описание 4 микрофонных или линейных входа + 3 входа для музыкальных источников 100 В и телефонный вход с приоритетом и функцией VOX Активируемые голосом приоритетные экстренные объявления Двухтональный сигнал гонга Удивительно простое управление тональным сигналом Мощность 30 Вт Микширующие усилители PLE-1MA030-EU серии Plena представляют собой высокопроизводительные профессиональные системы громкого оповещения с самыми современными функциями. Простота использования этих усилителей отражает важный принцип: сложность присуща конструкции и не отражается на удобстве использования техники. При помощи этого усилителя добиться высокой четкости объявления или хорошего воспроизведения музыки так же легко, как включить радиоприемник. Усилитель также удивительно доступен по цене, сохранив такие функции как приглушение, приоритет и гибкость. Микрофонные и линейные входы Для всех микрофонных/линейных входов можно выбрать уровень чувствительности для микрофона или для линии. Выполняется балансировка входов, но входы могут использоваться и без балансировки. Можно включить фантомный источник питания для подачи питания на конденсаторные микрофоны. Входные каналы 1 и 2 могут получать приоритет над всеми микрофонными и музыкальными входами: • Вход 1 активируется замыканием контакта при нажатии кнопки функции PTT («нажми и говори»). Можно настроить включение двухтонального звукового сигнала перед объявлением. • Вход 2 может включаться автоматически при подаче на него сигнала, т.е. если кто-то говорит в микрофон (активация VOX). Если приоритет настроен для одного или обоих входов, величину затухания (снижения) сигнала на входах типа «тюльпан» можно задать в пределах от -2 дБ (небольшое затухание) до -∞ дБ (отключение звука). Это реализовать использовать функцию обсуждения или голоса за кадром. Входные каналы 1 и 2 также оснащены речевыми фильтрами для улучшения четкости объявлений.",Производитель: Bosch | Наименование: <h3>PLE-1MA030-EU</h3> | Партномер: <h3>F01U033713</h3>,https://risbar.kz/wp-content/uploads/product/ple-1ma030-eu-1.jpg,https://risbar.kz/product/ple-1ma030-eu/
PLE-1MA060-EU,,PLENA EASY LINE,0,Наличие:В наличии,"Описание 4 микрофонных или линейных входа + 3 входа для музыкальных источников 100 В и телефонный вход с приоритетом и функцией VOX Активируемые голосом приоритетные экстренные объявления Двухтональный сигнал гонга Удивительно простое управление тональным сигналом Мощность 60 Вт Микширующие усилители PLE-1MA060-EU серии Plena представляют собой высокопроизводительные профессиональные системы громкого оповещения с самыми современными функциями. Простота использования этих усилителей отражает важный принцип: сложность присуща конструкции и не отражается на удобстве использования техники. При помощи этого усилителя добиться высокой четкости объявления или хорошего воспроизведения музыки так же легко, как включить радиоприемник. Усилитель также удивительно доступен по цене, сохранив такие функции как приглушение, приоритет и гибкость. Микрофонные и линейные входы Для всех микрофонных/линейных входов можно выбрать уровень чувствительности для микрофона или для линии. Выполняется балансировка входов, но входы могут использоваться и без балансировки. Можно включить фантомный источник питания для подачи питания на конденсаторные микрофоны. Входные каналы 1 и 2 могут получать приоритет над всеми микрофонными и музыкальными входами: • Вход 1 активируется замыканием контакта при нажатии кнопки функции PTT («нажми и говори»). Можно настроить включение двухтонального звукового сигнала перед объявлением. • Вход 2 может включаться автоматически при подаче на него сигнала, т.е. если кто-то говорит в микрофон (активация VOX). Если приоритет настроен для одного или обоих входов, величину затухания (снижения) сигнала на входах типа «тюльпан» можно задать в пределах от -2 дБ (небольшое затухание) до -∞ дБ (отключение звука). Это реализовать использовать функцию обсуждения или голоса за кадром. Входные каналы 1 и 2 также оснащены речевыми фильтрами для улучшения четкости объявлений.",Производитель: Bosch | Наименование: <h3>PLE-1MA060-EU</h3> | Партномер: <h3>F01U033714</h3>,https://risbar.kz/wp-content/uploads/product/ple-1ma060-eu-1.jpg,https://risbar.kz/product/ple-1ma060-eu/
PLE-1MA120-EU,,PLENA EASY LINE,0,Наличие:В наличии,"Описание 4 микрофонных или линейных входа + 3 входа для музыкальных источников 100 В и телефонный вход с приоритетом и функцией VOX Активируемые голосом приоритетные экстренные объявления Двухтональный сигнал гонга Удивительно простое управление тональным сигналом Мощность 120 Вт Микширующие усилители PLE-1MA120-EU серии Plena представляют собой высокопроизводительные профессиональные системы громкого оповещения с самыми современными функциями. Простота использования этих усилителей отражает важный принцип: сложность присуща конструкции и не отражается на удобстве использования техники. При помощи этого усилителя добиться высокой четкости объявления или хорошего воспроизведения музыки так же легко, как включить радиоприемник. Усилитель также удивительно доступен по цене, сохранив такие функции как приглушение, приоритет и гибкость. Микрофонные и линейные входы Для всех микрофонных/линейных входов можно выбрать уровень чувствительности для микрофона или для линии. Выполняется балансировка входов, но входы могут использоваться и без балансировки. Можно включить фантомный источник питания для подачи питания на конденсаторные микрофоны. Входные каналы 1 и 2 могут получать приоритет над всеми микрофонными и музыкальными входами: • Вход 1 активируется замыканием контакта при нажатии кнопки функции PTT («нажми и говори»). Можно настроить включение двухтонального звукового сигнала перед объявлением. • Вход 2 может включаться автоматически при подаче на него сигнала, т.е. если кто-то говорит в микрофон (активация VOX). Если приоритет настроен для одного или обоих входов, величину затухания (снижения) сигнала на входах типа «тюльпан» можно задать в пределах от -2 дБ (небольшое затухание) до -∞ дБ (отключение звука). Это реализовать использовать функцию обсуждения или голоса за кадром. Входные каналы 1 и 2 также оснащены речевыми фильтрами для улучшения четкости объявлений.",Производитель: Bosch | Наименование: <h3>PLE-1MA120-EU</h3> | Партномер: <h3>F01U033715</h3>,https://risbar.kz/wp-content/uploads/product/ple-1ma120-eu-1.jpg,https://risbar.kz/product/ple-1ma120-eu/
PLE-1ME060-EU,,PLENA EASY LINE,0,Наличие:В наличии,"Описание 4 микрофонных/линейных входа и вход источника музыки Выход только для объявлений, трехпроводная коррекция громкости Выходная мощность 60 Вт Двухтональный звуковой сигнал Экономичные микширующие усилители Plena PLE-1ME060-EU представляют собой профессиональные системы громкого оповещения с самыми современными функциями. Простота использования этих усилителей отражает важный принцип: сложность присуща конструкции и не отражается на удобстве использования техники. При помощи этого усилителя добиться высокой четкости объявления или хорошего воспроизведения музыки так же легко, как включить радиоприемник. Все необходимое для громкого оповещения по приемлемой цене.","Производитель: Bosch | Наименование: <h3>PLE-1ME060-EU</h3> | Партномер: <h3>F01U213774</h3> | Потребляемая мощность: 200 ВА | Частотная характеристика: Линия: От 50 Гц до 20 кГц (+1 / ‑3 дБ при ном. выходе ‑10 дБ)<br>Микрофон: От 70 Гц до 20 кГц (+1/‑3 дБ при ном. выходе ‑10 дБ) | Микрофонный/линейный вход: 4х | Входы: Вход 1 (контакт PTT с приоритетом): 5-контактный евроразъем, с балансировкой и фантомным питанием<br>Вход 2 3-контактный евроразъем, с балансировкой и фантомным питанием<br>Вход 3 и 4 Разъем TRS (1/4, 6,3 мм), с балансировкой | Чувствительность: 1 мВ (микрофон), 300 мВ (линия) | Динамический диапазон: 93 дБ | Музыкальный вход: Разъем (разъем типа «тюльпан», преобразование стерео в моно)<br>Чувствительность 200 мВ<br>Сопротивление 22 кОм | Выход громкоговорителя: Разъем зажимной контакт, плавающий<br>Макс./номин. 90 Вт / 60 Вт | Выход громкоговорителя 4 Ом: Разъем Зажимной контакт, плавающий<br>15,5 В (60 Вт) | Размеры (В x Ш x Д): 100 x 430 x 270 мм | Масса: 6,5 кг",https://risbar.kz/wp-content/uploads/product/ple-1me060-eu-1.jpg,https://risbar.kz/product/ple-1me060-eu/
PLE-1ME120-EU,,PLENA EASY LINE,0,Наличие:В наличии,"Описание 4 микрофонных/линейных входа и вход источника музыки Выход только для объявлений, трехпроводная коррекция громкости Выходная мощность 120 Вт Двухтональный звуковой сигнал Экономичные микширующие усилители Plena PLE-1ME120-EU представляют собой профессиональные системы громкого оповещения с самыми современными функциями. Простота использования этих усилителей отражает важный принцип: сложность присуща конструкции и не отражается на удобстве использования техники. При помощи этого усилителя добиться высокой четкости объявления или хорошего воспроизведения музыки так же легко, как включить радиоприемник. Все необходимое для громкого оповещения по приемлемой цене.","Производитель: Bosch | Наименование: <h3>PLE-1ME120-EU</h3> | Партномер: <h3>F01U213777</h3> | Потребляемая мощность: 400 ВА | Частотная характеристика: Линия: От 50 Гц до 20 кГц (+1 / -3 дБ при ном. выходе -10 дБ)<br>Микрофон: От 70 Гц до 20 кГц (+1/-3 дБ при ном. выходе -10 дБ) | Микрофонный/линейный вход: 4х | Входы: Вход 1 (контакт PTT с приоритетом): 5-контактный евроразъем, с балансировкой и фантомным питанием<br>Вход 2 3-контактный евроразъем, с балансировкой и фантомным питанием<br>Вход 3 и 4 Разъем TRS (1/4, 6,3 мм), с балансировкой | Чувствительность: 1 мВ (микрофон), 300 мВ (линия) | Динамический диапазон: 93 дБ | Музыкальный вход: Разъем (разъем типа «тюльпан», преобразование стерео в моно)<br>Чувствительность 200 мВ<br>Сопротивление 22 кОм | Выход громкоговорителя: Разъем зажимной контакт, плавающий<br>Макс./номин. 180 Вт / 120 Вт | Выход громкоговорителя 4 Ом: Разъем Зажимной контакт, плавающий<br>22 В (120 Вт) | Размеры (В x Ш x Д): 100 x 430 x 270 мм | Масса: 8,9 кг",https://risbar.kz/wp-content/uploads/product/ple-1me120-eu-1.jpg,https://risbar.kz/product/ple-1me120-eu/
PLE-1ME240-EU,,PLENA EASY LINE,0,Наличие:В наличии,"Описание 4 микрофонных/линейных входа и вход источника музыки Выход только для объявлений, трехпроводная коррекция громкости Выходная мощность 240 Вт Двухтональный звуковой сигнал Экономичные микширующие усилители Plena PLE-1ME240-EU представляют собой профессиональные системы громкого оповещения с самыми современными функциями. Простота использования этих усилителей отражает важный принцип: сложность присуща конструкции и не отражается на удобстве использования техники. При помощи этого усилителя добиться высокой четкости объявления или хорошего воспроизведения музыки так же легко, как включить радиоприемник. Все необходимое для громкого оповещения по приемлемой цене.","Производитель: Bosch | Наименование: <h3>PLE-1ME240-EU</h3> | Партномер: <h3>F01U213780</h3> | Потребляемая мощность: 800 ВА | Частотная характеристика: Линия: От 50 Гц до 20 кГц (+1 / -3 дБ при ном. выходе -10 дБ)<br>Микрофон: От 70 Гц до 20 кГц (+1/-3 дБ при ном. выходе -10 дБ) | Микрофонный/линейный вход: 4х | Входы: Вход 1 (контакт PTT с приоритетом): 5-контактный евроразъем, с балансировкой и фантомным питанием<br>Вход 2 3-контактный евроразъем, с балансировкой и фантомным питанием<br>Вход 3 и 4 Разъем TRS (1/4, 6,3 мм), с балансировкой | Чувствительность: 1 мВ (микрофон), 300 мВ (линия) | Динамический диапазон: 93 дБ | Музыкальный вход: Разъем (разъем типа «тюльпан», преобразование стерео в моно)<br>Чувствительность 200 мВ<br>Сопротивление 22 кОм | Выход громкоговорителя: Разъем зажимной контакт, плавающий<br>Макс./номин. 360 Вт / 240 Вт | Выход громкоговорителя 4 Ом: Разъем Зажимной контакт, плавающий<br>31 В (240 Вт) | Размеры (В x Ш x Д): 100 x 430 x 270 мм | Масса: 10,5 кг",https://risbar.kz/wp-content/uploads/product/ple-1me240-eu-1.jpg,https://risbar.kz/product/ple-1me240-eu/
PLE-1P120-EU,,PLENA EASY LINE,0,Наличие:В наличии,"Описание 120 Вт усилитель мощности в компактном корпусе 1 В линейный вход уровня баланса Входы 100 В и 8 Ом Вход 100 В для работы в качестве ведомого модуля на линии динамиков 100 В Система нагнетательной вентиляции с контролем температуры Резервный блок питания 24 В постоянного тока со встроенным зарядным устройством PLE-1P120-EU — это мощный, автоматически настраиваемый, экономичный усилитель мощности, предоставляющий 120 Вт для постоянного напряжения или нагрузок 8 Ом. Обладая качеством и защитой премиум-класса, они предлагают основные функциональные возможности по бюджетной цене. Данные усилители предлагают линейный вход 1 В и 100 В, а также выход 70 В, 100 В и 8 Ом. Их можно использовать для повышения мощности микширующих усилителей серии PLE или комбинировать с микшером PLE-10M2-EU. Они применяются везде, где требуется больше мощности в существующей линии 100 В, или когда предоставляется сигнал уровня линии. Усилитель имеет защиту от перегрузки и короткого замыкания. От случайной перегрузки усилитель и громкоговоритель защищены ограничителем. Вентилятор с контролем температуры обеспечивает должное охлаждение, не создавая акустического шума на более низких уровнях выходных сигналов. Вход и выход питания Устройство может работать как от сети, так и от резервной батареи на 24 В, при этом переключение между режимами питания происходит автоматически. Усилитель также оснащен зарядным устройством для зарядки подключенной батареи. У данной системы есть симметричный вход и сквозной канал. Это облегчает подключение нескольких усилителей. Вторичный вход — это линейный вход 100 В для подключения усилителя к линии громкоговорителя на 100 В, чтобы увеличить выходную мощность в удаленных местах расположения. Элементы регулировки усиления и уровня громкости расположены на задней панели устройства, что позволяет избежать случайной смены настроек. Выходной уровень отображается на измерительном приборе в виде планки светодиодов. В усилителе встроен выход на 70 В или 100 В для акустических систем постоянного напряжения и выход с низким сопротивлением для динамиков с нагрузкой 8 Ом.",Производитель: Bosch | Наименование: <h3>PLE-1P120-EU</h3> | Партномер: <h3>F01U066943</h3>,https://risbar.kz/wp-content/uploads/product/ple-1p120-eu-1.jpg,https://risbar.kz/product/ple-1p120-eu/
PLE-1P240-EU,,PLENA EASY LINE,0,Наличие:В наличии,"Описание 240 Вт усилитель мощности в компактном корпусе 1 В линейный вход уровня баланса Входы 100 В и 8 Ом Вход 100 В для работы в качестве ведомого модуля на линии динамиков 100 В Система нагнетательной вентиляции с контролем температуры Резервный блок питания 24 В постоянного тока со встроенным зарядным устройством PLE-1P240-EU — это мощный, автоматически настраиваемый, экономичный усилитель мощности, предоставляющий 240 Вт для постоянного напряжения или нагрузок 8 Ом. Обладая качеством и защитой премиум-класса, они предлагают основные функциональные возможности по бюджетной цене. Данные усилители предлагают линейный вход 1 В и 100 В, а также выход 70 В, 100 В и 8 Ом. Их можно использовать для повышения мощности микширующих усилителей серии PLE или комбинировать с микшером PLE-10M2-EU. Они применяются везде, где требуется больше мощности в существующей линии 100 В, или когда предоставляется сигнал уровня линии. Усилитель имеет защиту от перегрузки и короткого замыкания. От случайной перегрузки усилитель и громкоговоритель защищены ограничителем. Вентилятор с контролем температуры обеспечивает должное охлаждение, не создавая акустического шума на более низких уровнях выходных сигналов. Вход и выход питания Устройство может работать как от сети, так и от резервной батареи на 24 В, при этом переключение между режимами питания происходит автоматически. Усилитель также оснащен зарядным устройством для зарядки подключенной батареи. У данной системы есть симметричный вход и сквозной канал. Это облегчает подключение нескольких усилителей. Вторичный вход — это линейный вход 100 В для подключения усилителя к линии громкоговорителя на 100 В, чтобы увеличить выходную мощность в удаленных местах расположения. Элементы регулировки усиления и уровня громкости расположены на задней панели устройства, что позволяет избежать случайной смены настроек. Выходной уровень отображается на измерительном приборе в виде планки светодиодов. В усилителе встроен выход на 70 В или 100 В для акустических систем постоянного напряжения и выход с низким сопротивлением для динамиков с нагрузкой 8 Ом.",Производитель: Bosch | Наименование: <h3>PLE-1P240-EU</h3> | Партномер: <h3>F01U066946</h3>,https://risbar.kz/wp-content/uploads/product/ple-1p240-eu-1.jpg,https://risbar.kz/product/ple-1p240-eu/
PLE-1SCS,,PLENA EASY LINE,0,Наличие:В наличии,"Описание Прочный микрофон для сложных условий применения Кнопка «PTT» для активации Режим однократного нажатия или переключения Зеленый индикатор активности микрофона Устойчивая конструкция на металлическом основании с фиксированным кабелем 2 м и фиксируемым евроразъемом Фантомное питание от усилителя Настольный микрофон Plena представляет собой высококачественный однонаправленный динамический микрофон повышенной надежности, предназначенный для объявлений в системе оповещения. Массивное металлическое основание и резиновые ножки обеспечивают его устойчивость на любой плоской поверхности. Особая конструкция позволяет монтировать устройство заподлицо в поверхность стола. Функции Кнопка «PTT» («Нажми и говори») не только включает микрофон, но и имеет приоритетные контакты, совместимые с усилителями серии Plena. При помощи внутренней настройки типа переключения кнопки «PTT» можно выбрать режим PTT (включение на время удержания нажатой кнопки) или переключаемый режим (нажатие кнопки для включения, повторное нажатие для выключения). Микрофон снабжен фиксированным гибким кабелем (длина 2 м) и 5‑контактным евроразъемом для симметричного сигнала и приоритетных контактов. Если приоритетный контакт не требуется, микрофон можно подключить к усилителям через 3‑контактный евроразъем. Зеленый индикатор горит, когда микрофон работает. Элементы управления и индикаторы: • Кнопка «РТТ». • Индикатор состояния кнопки «РТТ».","Производитель: Bosch | Наименование: <h3>PLE-1SCS</h3> | Партномер: <h3>F01U127101</h3> | Источник фантомного питания: Напряжение От 12 до 48 В<br>Потребляемый ток <8 мА | Диаграмма направленности: Однонаправленный | Частотная характеристика: От 100 Гц до 15 кГц | Чувствительность: 1,2 мВ/Па ± 4 дБ | Номинальное сопротивление на выходе: 500 Ом | Макс. уровень звукового сигнала на входе: 110 дБ УЗД | Искажения: <0,6 % (макс. уровень сигнала) | Эквивалентный уровень входного шума: 25 дБ SPLA (сигнал-шум 69 дБА опор. 1 Па) | Размеры (В x Ш x Г): 40 x 100 x 235 мм | Масса: Около 1 кг | Цвет: Темно-серый с серебристым | Длина подставки с микрофоном: 390 мм | Длина кабеля: 2 м | Рабочая температура: От -10 °C до +55 °C | Относительная влажность: <95%",https://risbar.kz/wp-content/uploads/product/ple-1scs-1.jpg,https://risbar.kz/product/ple-1scs/
