title,article,category,price,availability,description,details,images,url
A-MXN5-NCB,,Аксессуары для микрофонов Shure,0,Наличие:В наличии,Описание Монтажный кронштейн позволяет легко установить сетевой потолочный динамик MXN5-C Microflex™ Чертеж,Производитель: Shure | Наименование: <h3>A-MXN5-NCB</h3> | Партномер: <h3>A-MXN5-NCB</h3>,https://risbar.kz/wp-content/uploads/product/a-mxn5-ncb-1.png; https://risbar.kz/wp-content/uploads/product/a-mxn5-ncb-2.png; https://risbar.kz/wp-content/uploads/product/a-mxn5-ncb-3.jpg; https://risbar.kz/wp-content/uploads/product/a-mxn5-ncb-2-550x500.png; https://risbar.kz/wp-content/uploads/product/a-mxn5-ncb-3-550x327.jpg,https://risbar.kz/product/a-mxn5-ncb/
A-MXN5-TB,,Аксессуары для микрофонов Shure,0,Наличие:В наличии,Описание Монтажная пластина позволяет легко установить сетевой потолочный динамик MXN5-C Microflex™ в потолках типа армстронг Чертеж,Производитель: Shure | Наименование: <h3>A-MXN5-TB</h3> | Партномер: <h3>A-MXN5-TB</h3>,https://risbar.kz/wp-content/uploads/product/a-mxn5-tb-1.png; https://risbar.kz/wp-content/uploads/product/a-mxn5-tb-2.png; https://risbar.kz/wp-content/uploads/product/a-mxn5-tb-3.png; https://risbar.kz/wp-content/uploads/product/a-mxn5-tb-4.jpg; https://risbar.kz/wp-content/uploads/product/a-mxn5-tb-2-550x500.png; https://risbar.kz/wp-content/uploads/product/a-mxn5-tb-3-550x500.png; https://risbar.kz/wp-content/uploads/product/a-mxn5-tb-4-550x327.jpg,https://risbar.kz/product/a-mxn5-tb/
A710-TB,,Аксессуары для микрофонов Shure,0,Наличие:В наличии,Описание Комплект для потолочного и подвесного крепления позволяет легко смонтировать линейный микрофонный массив MXA710 на специальной крепёжной панели для потолка. Закрепите микрофон прямо на потолочной плитке или подвесьте его на крепёжной панели с помощью прилагаемых кабелей. Используйте 1 плиточный мост для установки MXA710-2FT (60 см) или 2 плиточных моста для монтажа MXA710-4FT (120 см). Каждый плиточный мост имеет отверстия для прокладки кабеля и включает комплект креплений для обоих вариантов монтажа.,Производитель: Shure | Наименование: <h3>A710-TB</h3> | Партномер: <h3>A710-TB</h3>,https://risbar.kz/wp-content/uploads/product/a710-tb-1.png; https://risbar.kz/wp-content/uploads/product/a710-tb-2.jpg; https://risbar.kz/wp-content/uploads/product/a710-tb-3.jpg; https://risbar.kz/wp-content/uploads/product/a710-tb-4.jpg; https://risbar.kz/wp-content/uploads/product/a710-tb-2-550x500.jpg; https://risbar.kz/wp-content/uploads/product/a710-tb-3-550x500.jpg; https://risbar.kz/wp-content/uploads/product/a710-tb-4-550x500.jpg,https://risbar.kz/product/a710-tb/
A900-PM-3/8IN,,Аксессуары для микрофонов Shure,0,Наличие:В наличии,"Описание Shure A900-PM-3/8IN — комплект с круглым кронштейном VESA для установки микрофонного массива на штанге. Включает крепление VESA и винты для установки микрофонов серии MXA920 на штангах с резьбой 3/8 дюйма, штанга в комплект не входит. Включает Vesa Sort, переходник с резьбой 3/8″, винты, контргайку и набор из 8 фланцев. ________________ Примечание: аксессуар для моделей MXA920AL-R, MXA920B-R, MXA920W-R",Производитель: Shure | Наименование: <h3>A900-PM-3/8IN</h3> | Партномер: <h3>A900-PM-3/8IN</h3>,https://risbar.kz/wp-content/uploads/product/a900-pm-38in-1.jpg,https://risbar.kz/product/a900-pm-38in/
A900-S-GM,,Аксессуары для микрофонов Shure,0,Наличие:В наличии,"Описание Shure A900-S-GM — комплект для подвеса квадратного микрофонного массива MXA920, без крышки. Включает 4 крюка Gripple, 4 стальных троса и 8 кабельных стяжек. ________________ Примечание: аксессуар для модели MXA920W-S-60CM",Производитель: Shure | Наименование: <h3>A900-S-GM</h3> | Партномер: <h3>A900-S-GM</h3>,https://risbar.kz/wp-content/uploads/product/a900-s-gm-1.jpg,https://risbar.kz/product/a900-s-gm/
A900B-R-GM,,Аксессуары для микрофонов Shure,0,Наличие:В наличии,"Описание Варианты цветового исполнения комплектов: С черной крышкой С белой крышкой Shure A900-GM — комплект амортизирующего подвеса включает принадлежности для подвешивания микрофонов серии MXA920 к потолку. С помощью комплекта можно подвесить микрофон и просто регулировать длину несущих тросов. Включает в себя 4 захватных крючка; 4 стальных троса; 8 фланцев; белая крышка. Крепежные детали для крепления несущих тросов к потолку в комплект не входят. ________________ Примечание: аксессуар для моделей MXA920AL-R, MXA920B-R, MXA920W-R",Производитель: Shure | Наименование: <h3>A900B-R-GM</h3> | Партномер: <h3>A900B-R-GM</h3>,https://risbar.kz/wp-content/uploads/product/a900b-r-gm-1.png,https://risbar.kz/product/a900b-r-gm/
A900B-R-PM,,Аксессуары для микрофонов Shure,0,Наличие:В наличии,"Описание Shure A900-PM — комплект с круглым кронштейном VESA для установки микрофонного массива на штанге. Включает крепление VESA и винты для установки микрофонов серии MXA920 на стандартных штангах с резьбой NPT диаметром 1,5 дюйма, штанга в комплект не входит. ________________ Примечание: аксессуар для моделей MXA920AL-R, MXA920B-R, MXA920W-R Варианты цветового исполнения: С черной крышкой С белой крышкой",Производитель: Shure | Наименование: <h3>A900B-R-PM</h3> | Партномер: <h3>A900B-R-PM</h3>,https://risbar.kz/wp-content/uploads/product/a900b-r-pm-1.png,https://risbar.kz/product/a900b-r-pm/
A900W-R-GM,,Аксессуары для микрофонов Shure,0,Наличие:В наличии,"Описание Варианты цветового исполнения комплектов: С черной крышкой С белой крышкой Shure A900-GM — комплект амортизирующего подвеса включает принадлежности для подвешивания микрофонов серии MXA920 к потолку. С помощью комплекта можно подвесить микрофон и просто регулировать длину несущих тросов. Включает в себя 4 захватных крючка; 4 стальных троса; 8 фланцев; белая крышка. Крепежные детали для крепления несущих тросов к потолку в комплект не входят. ________________ Примечание: аксессуар для моделей MXA920AL-R, MXA920B-R, MXA920W-R",Производитель: Shure | Наименование: <h3>A900W-R-GM</h3> | Партномер: <h3>A900W-R-GM</h3>,https://risbar.kz/wp-content/uploads/product/a900w-r-gm-1.png,https://risbar.kz/product/a900w-r-gm/
A900W-R-PM,,Аксессуары для микрофонов Shure,0,Наличие:В наличии,"Описание Shure A900-PM — комплект с круглым кронштейном VESA для установки микрофонного массива на штанге. Включает крепление VESA и винты для установки микрофонов серии MXA920 на стандартных штангах с резьбой NPT диаметром 1,5 дюйма, штанга в комплект не входит. ________________ Примечание: аксессуар для моделей MXA920AL-R, MXA920B-R, MXA920W-R Варианты цветового исполнения: С черной крышкой С белой крышкой",Производитель: Shure | Наименование: <h3>A900W-R-PM</h3> | Партномер: <h3>A900W-R-PM</h3>,https://risbar.kz/wp-content/uploads/product/a900w-r-pm-1.png,https://risbar.kz/product/a900w-r-pm/
A901-R-HCM,,Аксессуары для микрофонов Shure,0,Наличие:В наличии,Описание Комплект для потолочного крепления A901-R-HCM включает в себя принадлежности для установки микрофона MXA901-R на потолке из гипсокартона. После установки микрофон устанавливается почти заподлицо с окружающим потолком. Комплектность 1. Потолочное крепление 2. Круглый кронштейн VESA 3. Винты М4 (4 шт.) 4. Опорные рычаги (3) 5. Винты M4x40 (3) 6.Установочный шаблон,Производитель: Shure | Наименование: <h3>A901-R-HCM</h3> | Партномер: <h3>A901-R-HCM</h3>,https://risbar.kz/wp-content/uploads/product/a901-r-hcm-1.png; https://risbar.kz/wp-content/uploads/product/a901-r-hcm-2.jpeg; https://risbar.kz/wp-content/uploads/product/a901-r-hcm-2-550x550.jpeg,https://risbar.kz/product/a901-r-hcm/
