title,article,category,price,availability,description,details,images,url
Agilera-B+D,,Акустические системы TEFRA,0,Наличие:В наличии,"Описание Выберите цвет корпуса: Tefra Agilera-B+D — универсальная модульная активная акустическая система, Dante версия, цвет черный Номинальная мощность: 20 Вт Пикова мощность: 40 Вт Номинальное сопротивление: 8 Ом Диапазон частот (+/- 6 дБ) : 60-15000 Чувствительность: 87 дБ Максимальное звуковое давление SPL: 100 дБ Входные разъемы: пружинные клеммы, прижимные клеммы, ethernet Горизонтальное / вертикальное покрытие: 180 град. Обзор: Универсальная модульная акустическая система Tefra Audio Agilera наиболее компактная и легкая модель из всей линейки акустических систем Tefra Audio. Представлена в трех вариантах изготовления: пассивная, трасформаторная и активная Dante Версия. Идеально подходит для озвучивания конференц-залов, общественных пространств, религиозных сооружений и в качестве сателлитов для кинотеатров. Доступна к заказу в черном и белом цвете.","Производитель: Tefra | Наименование: <h3>Agilera-B+D</h3> | Версия: Активная, c Dante | Номинальная мощность: 20 Вт | Пикова мощность: 40 Вт | Номинальное сопротивление: 8 Ом | Диапазон частот (+/- 6 дБ) : 60-15000 | Чувствительность: 87 дБ | Максимальное звуковое давление SPL: 100 дБ | Входные разъемы: пружинные клеммы, прижимные клеммы, ethernet | Горизонтальное / вертикальное покрытие: 180 град. | Цвет: Черный",https://risbar.kz/wp-content/uploads/product/agilera-bd-1.jpg; https://risbar.kz/wp-content/uploads/product/agilera-bd-2.jpg; https://risbar.kz/wp-content/uploads/product/agilera-bd-3.png,https://risbar.kz/product/agilera-bd/
Agilera-B+P,,Акустические системы TEFRA,0,Наличие:В наличии,"Описание Выберите цвет корпуса: Tefra Agilera-B+P — универсальная модульная пассивная акустическая система, цвет черный Номинальная мощность: 20 Вт Пикова мощность: 40 Вт Номинальное сопротивление: 8 Ом Диапазон частот (+/- 6 дБ) : 60-15000 Чувствительность: 87 дБ Максимальное звуковое давление SPL: 100 дБ Входные разъемы: пружинные клеммы, прижимные клеммы, ethernet Горизонтальное / вертикальное покрытие: 180 град. Обзор: Универсальная модульная акустическая система Tefra Audio Agilera наиболее компактная и легкая модель из всей линейки акустических систем Tefra Audio. Представлена в трех вариантах изготовления: пассивная, трасформаторная и активная Dante Версия. Идеально подходит для озвучивания конференц-залов, общественных пространств, религиозных сооружений и в качестве сателлитов для кинотеатров. Доступна к заказу в черном и белом цвете.","Производитель: Tefra | Наименование: <h3>Agilera-B+P</h3> | Тип акустической системы: Пассивная | Номинальная мощность: 20 Вт | Пикова мощность: 40 Вт | Номинальное сопротивление: 8 Ом | Диапазон частот (+/- 6 дБ) : 60-15000 | Чувствительность: 87 дБ | Максимальное звуковое давление SPL: 100 дБ | Входные разъемы: пружинные клеммы, прижимные клеммы, ethernet | Горизонтальное / вертикальное покрытие: 180 град. | Цвет: Черный",https://risbar.kz/wp-content/uploads/product/agilera-bp-1.jpg; https://risbar.kz/wp-content/uploads/product/agilera-bp-2.jpg; https://risbar.kz/wp-content/uploads/product/agilera-bp-3.jpg,https://risbar.kz/product/agilera-bp/
Agilera-B+T,,Акустические системы TEFRA,0,Наличие:В наличии,"Описание Выберите цвет корпуса: Tefra Agilera-B+T — универсальная модульная трансформаторная акустическая система, цвет черный Номинальная мощность: 20 Вт Пикова мощность: 40 Вт Номинальное сопротивление: 8 Ом Диапазон частот (+/- 6 дБ) : 60-15000 Чувствительность: 87 дБ Максимальное звуковое давление SPL: 100 дБ Входные разъемы: пружинные клеммы, прижимные клеммы, ethernet Горизонтальное / вертикальное покрытие: 180 град. Обзор: Универсальная модульная акустическая система Tefra Audio Agilera наиболее компактная и легкая модель из всей линейки акустических систем Tefra Audio. Представлена в трех вариантах изготовления: пассивная, трасформаторная и активная Dante Версия. Идеально подходит для озвучивания конференц-залов, общественных пространств, религиозных сооружений и в качестве сателлитов для кинотеатров. Доступна к заказу в черном и белом цвете.","Производитель: Tefra | Наименование: <h3>Agilera-B+T</h3> | Тип акустической системы: Трансформаторная | Номинальная мощность: 20 Вт | Пикова мощность: 40 Вт | Номинальное сопротивление: 8 Ом | Диапазон частот (+/- 6 дБ) : 60-15000 | Чувствительность: 87 дБ | Максимальное звуковое давление SPL: 100 дБ | Входные разъемы: пружинные клеммы, прижимные клеммы, ethernet | Горизонтальное / вертикальное покрытие: 180 град. | Цвет: Черный",https://risbar.kz/wp-content/uploads/product/agilera-bt-1.jpg; https://risbar.kz/wp-content/uploads/product/agilera-bt-2.jpg; https://risbar.kz/wp-content/uploads/product/agilera-bt-3.jpg,https://risbar.kz/product/agilera-bt/
Agilera-W+D,,Акустические системы TEFRA,0,Наличие:В наличии,"Описание Выберите цвет корпуса: Tefra Agilera-W+D — универсальная модульная активная акустическая система, Dante версия, цвет черный Номинальная мощность: 20 Вт Пикова мощность: 40 Вт Номинальное сопротивление: 8 Ом Диапазон частот (+/- 6 дБ) : 60-15000 Чувствительность: 87 дБ Максимальное звуковое давление SPL: 100 дБ Входные разъемы: пружинные клеммы, прижимные клеммы, ethernet Горизонтальное / вертикальное покрытие: 180 град. Обзор: Универсальная модульная акустическая система Tefra Audio Agilera наиболее компактная и легкая модель из всей линейки акустических систем Tefra Audio. Представлена в трех вариантах изготовления: пассивная, трасформаторная и активная Dante Версия. Идеально подходит для озвучивания конференц-залов, общественных пространств, религиозных сооружений и в качестве сателлитов для кинотеатров. Доступна к заказу в черном и белом цвете.","Производитель: Tefra | Наименование: <h3>Agilera-W+D</h3> | Версия: Активная, c Dante | Номинальная мощность: 20 Вт | Пикова мощность: 40 Вт | Номинальное сопротивление: 8 Ом | Диапазон частот (+/- 6 дБ) : 60-15000 | Чувствительность: 87 дБ | Максимальное звуковое давление SPL: 100 дБ | Входные разъемы: пружинные клеммы, прижимные клеммы, ethernet | Горизонтальное / вертикальное покрытие: 180 град. | Цвет корпуса: Белый",https://risbar.kz/wp-content/uploads/product/agilera-wd-1.jpg; https://risbar.kz/wp-content/uploads/product/agilera-wd-2.jpg; https://risbar.kz/wp-content/uploads/product/agilera-wd-3.jpg; https://risbar.kz/wp-content/uploads/product/agilera-wd-4.jpg,https://risbar.kz/product/agilera-wd/
Agilera-W+P,,Акустические системы TEFRA,0,Наличие:В наличии,"Описание Выберите цвет корпуса: Tefra Agilera-W+P — универсальная модульная пассивная акустическая система, цвет черный Номинальная мощность: 20 Вт Пикова мощность: 40 Вт Номинальное сопротивление: 8 Ом Диапазон частот (+/- 6 дБ) : 60-15000 Чувствительность: 87 дБ Максимальное звуковое давление SPL: 100 дБ Входные разъемы: пружинные клеммы, прижимные клеммы, ethernet Горизонтальное / вертикальное покрытие: 180 град. Обзор: Универсальная модульная акустическая система Tefra Audio Agilera наиболее компактная и легкая модель из всей линейки акустических систем Tefra Audio. Представлена в трех вариантах изготовления: пассивная, трасформаторная и активная Dante Версия. Идеально подходит для озвучивания конференц-залов, общественных пространств, религиозных сооружений и в качестве сателлитов для кинотеатров. Доступна к заказу в черном и белом цвете.","Производитель: Tefra | Наименование: <h3>Agilera-W+P</h3> | Тип акустической системы: Пассивная | Номинальная мощность: 20 Вт | Пикова мощность: 40 Вт | Номинальное сопротивление: 8 Ом | Диапазон частот (+/- 6 дБ) : 60-15000 | Чувствительность: 87 дБ | Максимальное звуковое давление SPL: 100 дБ | Входные разъемы: пружинные клеммы, прижимные клеммы, ethernet | Горизонтальное / вертикальное покрытие: 180 град. | Цвет корпуса: Белый",https://risbar.kz/wp-content/uploads/product/agilera-wp-1.jpg; https://risbar.kz/wp-content/uploads/product/agilera-wp-2.jpg; https://risbar.kz/wp-content/uploads/product/agilera-wp-3.jpg; https://risbar.kz/wp-content/uploads/product/agilera-wp-4.jpg; https://risbar.kz/wp-content/uploads/product/agilera-wp-5.jpg,https://risbar.kz/product/agilera-wp/
Agilera-W+T,,Акустические системы TEFRA,0,Наличие:В наличии,"Описание Выберите цвет корпуса: Tefra Agilera-W+T — универсальная модульная трансформаторная акустическая система, цвет белый Номинальная мощность: 20 Вт Пиковая мощность: 40 Вт Номинальное сопротивление: 8 Ом Диапазон частот (+/- 6 дБ) : 60-15000 Чувствительность: 87 дБ Максимальное звуковое давление SPL: 100 дБ Входные разъемы: пружинные клеммы, прижимные клеммы, ethernet Горизонтальное / вертикальное покрытие: 180 град. Обзор: Универсальная модульная акустическая система Tefra Audio Agilera наиболее компактная и легкая модель из всей линейки акустических систем Tefra Audio. Представлена в трех вариантах изготовления: пассивная, трасформаторная и активная Dante Версия. Идеально подходит для озвучивания конференц-залов, общественных пространств, религиозных сооружений и в качестве сателлитов для кинотеатров. Доступна к заказу в черном и белом цвете.","Производитель: Tefra | Наименование: <h3>Agilera-W+T</h3> | Тип акустической системы: Трансформаторная | Номинальная мощность: 20 Вт | Пикова мощность: 40 Вт | Номинальное сопротивление: 8 Ом | Диапазон частот (+/- 6 дБ) : 60-15000 | Чувствительность: 87 дБ | Максимальное звуковое давление SPL: 100 дБ | Входные разъемы: пружинные клеммы, прижимные клеммы, ethernet | Горизонтальное / вертикальное покрытие: 180 град. | Цвет: Белый",https://risbar.kz/wp-content/uploads/product/agilera-wt-1.jpg; https://risbar.kz/wp-content/uploads/product/agilera-wt-2.jpg; https://risbar.kz/wp-content/uploads/product/agilera-wt-3.jpg; https://risbar.kz/wp-content/uploads/product/agilera-wt-4.jpg,https://risbar.kz/product/agilera-wt/
Tefra Brava,,Акустические системы TEFRA,0,Наличие:В наличии,"Описание Tefra Brava – это полочная акустическая система премиум-класса. По выбору заказчика производство может подобрать желаемый цвет корпуса, чтобы акустическая система идеально вписалась в интерьер помещения. Технология поперечно-волнового излучателя обеспечивает диффузное поведение громкоговорителя, которое генерирует широкополосное покрытие с практически круговой диаграммой направленности. АС обеспечивает невероятно четкое и захватывающее звучание даже в самых сложных акустических условиях. Ключевые особенности: Не страшны механические повреждения. Даже если проткнуть мембрану насквозь, она продолжит звучать с незначительными потерями. Спереди и сзади звук одинаковый. Звук от акустической системы одинаково распространяется как во фронтальной, так и в тыловой области колонки, что позволяет равномерно озвучить зрительный зал и сцену.> Нет запаздывания частот. Плоскость излучателя генерирует одновременно широкий диапазон частот и передает в пространство на одинаковой скорости. При этом возникает эффект «стены звука», кирпичики которой состоят из отдельных инструментов и эффектов. Микрофоны почти не «заводятся». Заметно снижен эффект акустической обратной связи. В проектах не обязательно применять подавители обратной связи. Минимальная масса оборудования. Излучающее полотно акустических систем имеет крайне малую массу, а кропотливая работа над корпусами позволяет создавать мощные акустические системы массой от 1,5 кг до 10 кг. Падение звукового давления несоизмеримо меньше, чем у классических акустических систем Замеры в безэховой камере и в реальных условиях залов показывают, что падение звукового давления происходит по линейной, а не квадратичной зависимости.","Производитель: Tefra | Наименование: <h3>Tefra Brava</h3> | Партномер: <h3>Brava</h3> | Мощность: 80 Вт | Сопротивление: 8 Ом | Габаритные размеры, мм: 550х450х50 мм | Вес, кг: 6 кг",https://risbar.kz/wp-content/uploads/product/tefra-brava-1.jpg; https://risbar.kz/wp-content/uploads/product/tefra-brava-2.jpg; https://risbar.kz/wp-content/uploads/product/tefra-brava-3.jpg; https://risbar.kz/wp-content/uploads/product/tefra-brava-4.jpg; https://risbar.kz/wp-content/uploads/product/tefra-brava-5.jpg; https://risbar.kz/wp-content/uploads/product/tefra-brava-2-550x413.jpg; https://risbar.kz/wp-content/uploads/product/tefra-brava-3-550x413.jpg; https://risbar.kz/wp-content/uploads/product/tefra-brava-4-550x733.jpg; https://risbar.kz/wp-content/uploads/product/tefra-brava-5-550x733.jpg,https://risbar.kz/product/tefra-brava/
Tefra Demon,,Акустические системы TEFRA,0,Наличие:В наличии,"Описание Универсальная акустическая система Tefra Demon выделяется удобной конструкцией и качественным звучанием. Модель отлично подойдёт для небольших концертов. Диапазон частот (+/- 6 дБ) 40 -20000 Гц Чувствительность 87,5 дБ Максимальное звуковое давление SPL: 117 дБ Номинальное сопротивление системы: 8 Ом Мощность RMS 160 Вт Максимальная мощность 200 Вт Входные разъемы: 2 х Neutrik Speakon NL4 Внешние размеры без учета опоры 435 х 785 х 68 мм (Ш х В х Г) Масса 7,5 кг Возможно изготовление активной версии.",Производитель: Tefra | Наименование: <h3>Tefra Demon </h3> | Партномер: <h3>Demon</h3>,https://risbar.kz/wp-content/uploads/product/tefra-demon-1.webp; https://risbar.kz/wp-content/uploads/product/tefra-demon-2.webp; https://risbar.kz/wp-content/uploads/product/tefra-demon-3.webp; https://risbar.kz/wp-content/uploads/product/tefra-demon-2-550x891.webp; https://risbar.kz/wp-content/uploads/product/tefra-demon-3-550x1595.webp,https://risbar.kz/product/tefra-demon/
Tefra Elbrus,,Акустические системы TEFRA,0,Наличие:В наличии,"Описание Tefra Elbrus – универсальная акустическая система в уникальном тонком корпусе, выполненном из качественных и экологически безопасных материалов. АС обеспечивает невероятно четкое и захватывающее звучание даже в самых сложных акустических условиях. Технология поперечно-волнового излучателя обеспечивает диффузное поведение громкоговорителя, которое генерирует широкополосное покрытие с практически круговой диаграммой направленности. Прочная конструкция имеет металлические грили, деревянную раму и заднюю панель из фанеры, на которой смонтированы пара входных/выходных акустических клемм для подключения усилителя и линковки нескольких АС на канал. Ключевые особенности: Не страшны механические повреждения. Даже если проткнуть мембрану насквозь, она продолжит звучать с незначительными потерями. Спереди и сзади звук одинаковый. Звук от акустической системы одинаково распространяется как во фронтальной, так и в тыловой области колонки, что позволяет равномерно озвучить зрительный зал и сцену. Нет запаздывания частот. Плоскость излучателя генерирует одновременно широкий диапазон частот и передает в пространство на одинаковой скорости. При этом возникает эффект «стены звука», кирпичики которой состоят из отдельных инструментов и эффектов. Микрофоны почти не «заводятся». Заметно снижен эффект акустической обратной связи. В проектах не обязательно применять подавители обратной связи. Минимальная масса оборудования. Излучающее полотно акустических систем имеет крайне малую массу, а кропотливая работа над корпусами позволяет создавать мощные акустические системы массой от 1,5 кг до 10 кг. Падение звукового давления несоизмеримо меньше, чем у классических акустических систем Замеры в безэховой камере и в реальных условиях залов показывают, что падение звукового давления происходит по линейной, а не квадратичной зависимости.","Производитель: Tefra | Наименование: <h3>Tefra Elbrus</h3> | Диапазон частот: (-10дБ) 32-1500 Гц | Горизонтальное/вертикальное покрытие: 180 градусов | Чувствительность системы: 93 дБ | Максимальное звуковое давление SPL: 112 дБ | Номинальное сопротивление системы: 8 Ом | Долговременная: 133 Вт | Пиковая: 320 Вт | Размеры диафрагмы (Ш х В х Г), мм: 480 х 870 х 5 мм | Входные разъемы: 2 х Neutrik Speakon NL2PM | Габариты (Ш х В х Г), мм: 540 х 945 х 68 мм | Масса, кг: 10,5 кг",https://risbar.kz/wp-content/uploads/product/tefra-elbrus-1.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-2.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-3.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-4.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-5.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-6.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-7.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-8.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-9.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-10.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-11.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-12.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-2-550x733.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-3-550x733.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-4-550x825.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-5-550x825.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-6-550x733.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-7-550x733.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-8-550x733.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-9-550x733.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-10-550x733.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-11-550x733.jpg; https://risbar.kz/wp-content/uploads/product/tefra-elbrus-12-550x733.jpg,https://risbar.kz/product/tefra-elbrus/
Tefra Lascar,,Акустические системы TEFRA,0,Наличие:В наличии,Описание Плоская акустическая система Tefra Lascar мощностью 70 Вт отлично подойдёт озвучивания для переговорных комнат и конференц-залов. Частотная характеристика (+/- 3 дБ) 40-18 000 Гц Горизонтальное / вертикальное покрытие 180 град. Чувствительность системы 87 дБ Номинальное сопротивление системы 4 Ом Входные разъемы: зажимные клеммы Долговременная мощность 70 Вт Пиковая мощность 100 Вт Габаритные размеры 565 х 320 х 35 мм,Производитель: Tefra,https://risbar.kz/wp-content/uploads/product/tefra-lascar-1.jpg; https://risbar.kz/wp-content/uploads/product/tefra-lascar-2.jpg; https://risbar.kz/wp-content/uploads/product/tefra-lascar-2-550x550.jpg,https://risbar.kz/product/tefra-lascar/
