title,article,category,price,availability,description,details,images,url
110-803,,Архивные модели,0,Наличие:В наличии,"Описание Внимание! Объектив HIGHlite 1,45-1,74:1 , Артикул 110-803 снимается с производства в 2022 году. Оборудование на замену предлагается в разделе Проекторы Digital Projection. Объектив HIGHlite 1,45-1,74:1. Объектив проектора можно дистанционно сфокусировать с помощью функции мощной фокусировки.",Производитель: Digital Projection | Наименование: <h3>110-803</h3> | Партномер: <h3>110-803</h3>,https://risbar.kz/wp-content/uploads/product/110-803-1.jpg,https://risbar.kz/product/110-803/
110-807,,Архивные модели,0,Наличие:В наличии,"Описание Внимание! Объектив 110-807 снимается с производства в 2022 году. Оборудование на замену предлагается в разделе Проекторы Digital Projection. Объектив HIGHlite 4,34-6,76:1. Объектив проектора с 1,56-кратным зумом имеет возможности увеличения и фокусировки для дистанционной настройки.",Производитель: Digital Projection | Наименование: <h3>110-807</h3> | Партномер: <h3>110-807</h3>,https://risbar.kz/wp-content/uploads/product/110-807-1.jpg,https://risbar.kz/product/110-807/
110-808,,Архивные модели,0,Наличие:В наличии,"Описание Внимание! Объектив HIGHlite 0,77:1, Артикул 110-808 снимается с производства в 2022 году. Оборудование на замену предлагается в разделе Проекторы Digital Projection. Объектив HIGHlite 0,77:1. Объектив проектора можно дистанционно сфокусировать с помощью функции мощной фокусировки.",Производитель: Digital Projection | Наименование: <h3>110-808</h3> | Партномер: <h3>110-808</h3>,https://risbar.kz/wp-content/uploads/product/110-808-1.jpg,https://risbar.kz/product/110-808/
110-809,,Архивные модели,0,Наличие:В наличии,"Описание Внимание! Объектив HIGHlite 1,16:1 Артикул 110-809 снимается с производства в 2022 году. Оборудование на замену предлагается в разделе Проекторы Digital Projection. Объектив HIGHlite 1,16:1. Объектив проектора можно дистанционно сфокусировать с помощью функции мощной фокусировки.",Производитель: Digital Projection | Наименование: <h3>110-809</h3> | Партномер: <h3>110-809</h3>,https://risbar.kz/wp-content/uploads/product/110-809-1.jpg,https://risbar.kz/product/110-809/
112-878,,Архивные модели,0,Наличие:В наличии,"Описание Внимание! Объектив HIGHlite 1,74-2,17:1, Артикул 112-878 снимается с производства в 2022 году. Оборудование на замену предлагается в разделе Проекторы Digital Projection. Объектив HIGHlite 1,74-2,17:1. Объектив проектора с 1,25-кратным зумом имеет возможности увеличения и фокусировки для дистанционной настройки.",Производитель: Digital Projection | Наименование: <h3>112-878</h3> | Партномер: <h3>112-878</h3>,https://risbar.kz/wp-content/uploads/product/112-878-1.jpg,https://risbar.kz/product/112-878/
113-852,,Архивные модели,0,Наличие:В наличии,"Описание Внимание! Объектив 113-852 снимается с производства в 2022 году. Оборудование на замену предлагается в разделе Проекторы Digital Projection. Объектив HIGHlite 2,17-2,90:1. Объектив проектора с 1,34-кратным зумом имеет возможности увеличения и фокусировки для дистанционной настройки.",Производитель: Digital Projection | Наименование: <h3>113-852</h3> | Партномер: <h3>113-852</h3>,https://risbar.kz/wp-content/uploads/product/113-852-1.jpg,https://risbar.kz/product/113-852/
114-313,,Архивные модели,0,Наличие:В наличии,"Описание Внимание! Объектив 114-313 снимается с производства в 2022 году. Оборудование на замену предлагается в разделе Проекторы Digital Projection. Объектив M-Vision Laser 18K, моторизованный 0,84-1,03:1. Объектив проектора с 1,23-кратным зумом имеет возможности увеличения и фокусировки для дистанционной настройки.",Производитель: Digital Projection | Наименование: <h3>114-313</h3> | Партномер: <h3>114-313</h3>,https://risbar.kz/wp-content/uploads/product/114-313-1.jpg,https://risbar.kz/product/114-313/
116-932,,Архивные модели,0,Наличие:В наличии,"Описание Внимание! Конверсионный объектив 116-932 снимается с производства в 2022 году. Оборудование на замену предлагается в разделе Проекторы Digital Projection. HIGHLite Conversion Объектив 0,6x for 1.45-1.74:1",Производитель: Digital Projection | Наименование: <h3>116-932</h3> | Партномер: <h3>116-932</h3>,,https://risbar.kz/product/116-932/
43UL3G,,Архивные модели,0,Наличие:В наличии,"Описание Внимание! ЖК панель 43UL3G снимается с производства в 2021 году. Оборудование на замену предлагается в разделе Ultra HD дисплеи LG. Серия UL3G LG 43UL3G – профессиональная ЖК-панель с диагональю экрана 43″ и разрешением 3840 х 2160 (UHD). Яркость: 300 кд/м² Рамка: 14.0 мм (Сверху/Справа/Слева), 20.2 мм (Снизу) Глубина: 85.0 мм Интерфейсы: HDMI(3), USB 2.0(2), вход/выход RS232C , вход RJ45, Аудиовыход Встроенный динамик Чистые цвета в ULTRA HD разрешении Большой ULTRA HD дисплей серии UL3G увеличит производительность бизнеса где бы вы не были. Яркие цвета и отображение мельчайших деталей позволит зрителям получить наилучшие впечатления от просмотра. Потрясающее качество изображения Разрешение ULTRA HD Благодаря разрешению, в 4 раза превосходящему по качеству Full HD, цвета и детали контента становятся более яркими и реалистичными. Кроме того, широкий угол обзора панели LG IPS обеспечивает четкое представление контента без искажений. Потрясающее качество изображения Высокоэффективное кодирование видео Серия UL3G поддерживает HEVC*, который эффективно сжимает/распаковывает контент ULTRA HD большого объема, воспроизводя видео сверхвысокого качества при использовании половины сетевого трафика по сравнению с существующим кодеком H.264. * HEVC: Высокоэффективное кодирование видео Функция «Смарт» Высокие результаты с webOS Встроенная SoC может выполнять несколько задач одновременно с плавным воспроизведением контента без необходимости использования медиаплеера. Кроме того, платформа LG webOS повышает удобство пользователя благодаря интуитивно понятному графическому интерфейсу и простым инструментам для разработки приложений. Функция «Смарт» Различные применения датчиков Платформа для интеллектуальных цифровых панелей LG webOS легко поддерживает подключения к внешним датчикам, таким как GPIO, NFC/RFID, датчики температуры и т. д., через USB. Общая стоимость обслуживания снижается, так как нет необходимости приобретать дополнительное программное обеспечение или медиаплееры для создания дополнительных решений. Платформа Smart Signage Обмен контентом Отображение контента мобильных устройств по сети Wi-Fi. Платформа Smart Signage Реклама в реальном времени Благодаря технологии Beacon и BLE (Bluetooth Low Energy) менеджеры магазинов могут предоставлять скидки и другую информацию в режиме реального времени. Платформа Smart Signage Беспроводное решение Серия UL3G работает как виртуальный маршрутизатор, который может быть точкой беспроводного доступа для мобильных устройств. Операционная эффективность Совместимость с системой управления через интерфейс AV Серия UL3G была сертифицирована Crestron Connected® как имеющая более высокий уровень совместимости с профессиональными системами управления через интерфейс AV для обеспечения беспроблемной интеграции и автоматизированного управления*, что повышает эффективность управления бизнесом. * Сетевое управление. Операционная эффективность Совместимость с системой видеоконференций Для оптимальной встречи в режиме видеоконференции серия UL3G сертифицирована на совместимость с Cisco System, которая предлагает мощный и интегрированный элемент управления* для проведения более умной видеоконференции, что исключает трату времени на настройку качества изображения или изменение входа на входящих звонках. * Необходимо соединение по кабелю HDMI Операционная эффективность Удаленный мониторинг и контроль С помощью встроенного решения веб-мониторинга Control Manager, вы можете контролировать состояние нескольких дисплеев серии UL3G в разных местах в режиме реального времени. Необходимо подключение к Интернету, что позволяет гибко и быстро реагировать на чрезвычайные ситуации в любом месте.","Производитель: LG | Наименование: <h3>43UL3G</h3> | Партномер: <h3>43UL3G</h3> | Размер экрана: 43"" | Технология панели: IPS | Разрешение: 3840 x 2160 (UHD) | Яркость (кд/м²): 300 | Контрастность (FOFO): 1200:1 | Контрастность (DFC): 1000000:1 | Цветовой охват: DCI 80% | Угол обзора (CR≥10): 178 / 178 | Отображаемые цвета (млн): 16.7 млн, 8 бит | Время отклика (мс): 8 | Ориентация: Портретная/Альбомная | Порт HDMI: HDMIх3 | Порт USB: Есть | Аудиовход: Есть | Порт RS232C: Есть | Порт RJ45: Есть | Цвет рамки: Черный | Ширина рамки (мм): 14,0 (сверху/справа/слева), 20.2 (снизу) | Габарины без подставки (Ш х В х Г), мм: 973 х 572 х 85 (мм) | Габариты с подставкой (Ш х В х Г), мм: 973 х 623 х 216  (мм) | Вес без подставки (кг): 8 | Размеры настенного крепления (Ш х В х Г), мм: 400 х 400 | Влажность в рабочем режиме: 10 — 80% | Температура в рабочем режиме: 0 — 40 °C | Источник питания (В/Гц): 100 — 240/50 — 60 | Энергопотребление (в рабочем режиме, Вт): 80 | Энергопотребление (макс, Вт): 115 | Тип блока питания: Встроенный | Система динамиков: Есть | Стандарт безопасности CB / NRTL: Есть | Радиоэлектронный стандарт FCCA, CE, KC: Есть | Другое: ErP | SuperSign CMS: Есть | SuperSign Control / Control+: Есть | SuperSign WB: Есть | SuperSign Media Editor: Есть | Пульт дистанционного управления: Есть | Кабель питания: Есть | Инструкция: Есть | Подставка: Есть",https://risbar.kz/wp-content/uploads/product/43ul3g-1.JPG; https://risbar.kz/wp-content/uploads/product/43ul3g-2.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-3.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-4.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-5.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-6.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-7.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-8.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-9.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-10.gif; https://risbar.kz/wp-content/uploads/product/43ul3g-11.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-2-550x365.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-3-550x365.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-4-550x365.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-5-550x365.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-6-550x365.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-7-550x365.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-8-550x365.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-9-550x365.jpg; https://risbar.kz/wp-content/uploads/product/43ul3g-10-550x365.gif; https://risbar.kz/wp-content/uploads/product/43ul3g-11-550x365.jpg,https://risbar.kz/product/43ul3g/
50UL3G,,Архивные модели,0,Наличие:В наличии,"Описание Внимание! ЖК панель 50UL3G снимается с производства в 2021 году. Оборудование на замену предлагается в разделе «Профессиональные дисплеи, видеостены и проекторы LG». LG 50UL3G – профессиональная ЖК-панель с диагональю экрана 50″ и разрешением 3840 х 2160 (UHD). Поддерживает режим работы 16/7. Встроенная акустика. Основные характеристики Яркость: 400 кд/м Рамка: 15,5 мм (верх/слева/справа), 22,3 мм (низ) Глубина: 86,3 мм Интерфейс: HDMI (3) / USB 2.0 (2) / RS232C In / RJ45 In / Audio Out Встроенные динамики. Чистые цвета в ULTRA HD разрешении Большой ULTRA HD дисплей серии UL3G увеличит производительность бизнеса где бы вы не были. Яркие цвета и отображение мельчайших деталей позволит зрителям получить наилучшие впечатления от просмотра. Потрясающее качество изображения Разрешение ULTRA HD Благодаря разрешению, в 4 раза превосходящему по качеству Full HD, цвета и детали контента становятся более яркими и реалистичными. Кроме того, широкий угол обзора панели LG IPS обеспечивает четкое представление контента без искажений. Потрясающее качество изображения Высокоэффективное кодирование видео Серия UL3G поддерживает HEVC*, который эффективно сжимает/распаковывает контент ULTRA HD большого объема, воспроизводя видео сверхвысокого качества при использовании половины сетевого трафика по сравнению с существующим кодеком H.264. * HEVC: Высокоэффективное кодирование видео Функция «Смарт» Высокие результаты с webOS Встроенная SoC может выполнять несколько задач одновременно с плавным воспроизведением контента без необходимости использования медиаплеера. Кроме того, платформа LG webOS повышает удобство пользователя благодаря интуитивно понятному графическому интерфейсу и простым инструментам для разработки приложений. Функция «Смарт» Различные применения датчиков Платформа для интеллектуальных цифровых панелей LG webOS легко поддерживает подключения к внешним датчикам, таким как GPIO, NFC/RFID, датчики температуры и т. д., через USB. Общая стоимость обслуживания снижается, так как нет необходимости приобретать дополнительное программное обеспечение или медиаплееры для создания дополнительных решений. Платформа Smart Signage Обмен контентом Отображение контента мобильных устройств по сети Wi-Fi. Платформа Smart Signage Реклама в реальном времени Благодаря технологии Beacon и BLE (Bluetooth Low Energy) менеджеры магазинов могут предоставлять скидки и другую информацию в режиме реального времени. Платформа Smart Signage Беспроводное решение Серия UL3G работает как виртуальный маршрутизатор, который может быть точкой беспроводного доступа для мобильных устройств. Операционная эффективность Совместимость с системой управления через интерфейс AV Серия UL3G была сертифицирована Crestron Connected® как имеющая более высокий уровень совместимости с профессиональными системами управления через интерфейс AV для обеспечения беспроблемной интеграции и автоматизированного управления*, что повышает эффективность управления бизнесом. * Сетевое управление. Операционная эффективность Совместимость с системой видеоконференций Для оптимальной встречи в режиме видеоконференции серия UL3G сертифицирована на совместимость с Cisco System, которая предлагает мощный и интегрированный элемент управления* для проведения более умной видеоконференции, что исключает трату времени на настройку качества изображения или изменение входа на входящих звонках. * Необходимо соединение по кабелю HDMI Операционная эффективность Удаленный мониторинг и контроль С помощью встроенного решения веб-мониторинга Control Manager, вы можете контролировать состояние нескольких дисплеев серии UL3G в разных местах в режиме реального времени. Необходимо подключение к Интернету, что позволяет гибко и быстро реагировать на чрезвычайные ситуации в любом месте.","Производитель: LG | Наименование: <h3>50UL3G</h3> | Партномер: <h3>50UL3G</h3> | Размер экрана: 50"" | Технология панели: IPS | Соотношение сторон: 16:9 | Разрешение: 3840 x 2160 (UHD) | Яркость: 400 кд/м2 | Контрастность (FOFO): 5000:1 | Контрастность (DFC): 1000000:1 | Цветовой охват: DCI 80% | Угол обзора (CR≥10): 178 х 178 | Отображаемые цвета (млн): 1.07 млдр, 8 бит | Время отклика (мс): 9,5 | Обработка поверхности: AGLR (Haze 1%) | Режим работы: 16/7 | Ориентация: Портрет/пейзаж | Порт HDMI: HDMIх3 | Порт USB: Есть | Аудиовыход: Есть | Порт RS232C: Есть | Порт RJ45: Есть | Цвет рамки: Черный | Ширина рамки: 15,5 мм (верх/слева/справа), 22,3 мм (низ) | Вес (без подставки), кг: 11,3 кг | Размер монитора (Ш х В х Г), мм: 1130 × 663 × 86,3 мм | Размеры монитора с подставкой (Ш × В × Г), мм: 1130 × 722 × 231 мм | Стандарт крепления VESA: 200 х 200 | Температура в рабочем режиме: От 0 ° C до 40 ° C | Влажность в рабочем режиме: 10 — 80% | Источник питания (В/Гц): [[]Группа:Электропитание]100 — 240/50 — 60 | Тип блока питания: Встроенный | Энергопотребление (в рабочем режиме, Вт): 105 Вт | Энергопотребление (макс, Вт): 150 Вт | Энергосберегающий режим Smart Enegy Saving (Вт): 73,5 Вт | Система динамиков: Есть | Стандарт безопасности CB / NRTL: [[]Группа:Стандарты]Есть | Радиоэлектронный стандарт FCCA, CE, KC: Есть | ErP: Есть | SuperSign CMS: Есть | SuperSign Control / Control+: Есть | SuperSign WB: Есть | SuperSign Media Editor: Есть | Пульт дистанционного управления: Есть | Кабель питания: Есть | Инструкция: Есть | Подставка: Есть",https://risbar.kz/wp-content/uploads/product/50ul3g-1.JPG; https://risbar.kz/wp-content/uploads/product/50ul3g-2.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-3.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-4.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-5.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-6.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-7.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-8.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-9.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-10.gif; https://risbar.kz/wp-content/uploads/product/50ul3g-11.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-2-550x365.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-3-550x365.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-4-550x365.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-5-550x365.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-6-550x365.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-7-550x365.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-8-550x365.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-9-550x365.jpg; https://risbar.kz/wp-content/uploads/product/50ul3g-10-550x365.gif; https://risbar.kz/wp-content/uploads/product/50ul3g-11-550x365.jpg,https://risbar.kz/product/50ul3g/
