title,article,category,price,availability,description,details,images,url
Confidea BP G4,,Беспроводная конференц-система Televic Confidea FLEX G4,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. Литий-ионный аккумулятор большой емкости обеспечивает питание беспроводных пультов Confidea FLEX. Литий-ионные перезаряжаемые элементы имеют длительный срок службы, поскольку у них нет проблем с ухудшением заряда, обычно связанных с другими типами перезаряжаемых батарей. Интеллектуальный аккумулятор контролируется и управляется встроенным микроконтроллером, который отслеживает процесс зарядки и предотвращает перегрузку. Полная зарядка разряженной батареи занимает около 2 часов и гарантирует автономную работу в течение 12 часов при типичном использовании пульта Confidea FLEX G4. Если вам нужно больше времени, просто вставьте второй аккумулятор во второй отсек. Более того, функция быстрой зарядки аккумулятора позволяет заряжать его до 50 % всего за 45 минут. Достижение 65% происходит в течение 1 часа. Аккумуляторы можно заряжать в зарядном лотке Confidea CHT G4 (71.98.0046), представляющем собой устройство для монтажа в стойку высотой 1U, рассчитанное на 10 аккумуляторов. Индикатор уровня зарядки, расположенный в нижней части аккумуляторной батареи, отображает оставшееся время заряда. Просто нажмите кнопку, чтобы увидеть оставшийся заряд батареи. Пять светодиодов показывают оставшуюся емкость, каждый из которых соответствует 20% заряда. Аккумулятор имеет защиту от короткого замыкания, перезаряда и перегрева. Всего гарантируется 500 полных циклов зарядки. Состояние аккумуляторов всех устройств, подключенных к точке доступа, можно контролировать через веб-страницу ПО Confero. Функции Светодиодный индикатор состояния батареи Индикатор зарядки Кнопка проверки Светодиодная панель для индикации емкости и состояния Быстрая зарядка до 50% (45 мин)","Производитель: Televic | Наименование: <h3>Confidea BP G4</h3> | Партномер: <h3>Confidea BP G4</h3> | Сертификат: Европа — CE<br>США — UL<br>Корея — KC<br>Япония — PSE<br>Россия — EAC<br>Тайвань — BSMI<br> | Материал: PC/ABS | Цвет: Черный матовый, RAL9011 | Размер (ШхВхГ): 150×26,3×22,8 мм | Размер в упаковке (мм): 165 х 35 х 55 мм | Масса: 130 г | Вес в упаковке (г): 154 г | Емкость: 3100 мАч | Время автономной работы: Flex: 12 часов | Макс./мин. выходное напряжение: 8,4/6 В постоянного тока | Номинальное выходное напряжение: 7,2 В постоянного тока | Циклы зарядки: 500 полных зарядов | Время зарядки (пустой до 100%): 2 часа | Быстрая зарядка до 50%: 45 минут | Температура зарядки: 5 — 45 °С | Рабочая температура: -10 — 60 °С | Температура хранения: -20 — 60°С",https://risbar.kz/wp-content/uploads/product/confidea-bp-g4-1.png,https://risbar.kz/product/confidea-bp-g4/
Confidea FLEX G4 G0,,Беспроводная конференц-система Televic Confidea FLEX G4,0,Наличие:В наличии,"Описание Televic Confidea GO G4 — это дискуссионный вариант беспроводного конференц-пульт Confidea FLEX G4 без дисплея. Он был разработан, чтобы предложить решение для случаев, когда дополнительные функции собрания не требуются. Доступны простая настройка и конфигурация, а также интеллектуальное управление батареями. Качественная и надёжная беспроводная передача по WiFi5 Универсальный пульт для председателя или одного / двух делегатов Устройство предоставляет информацию, используемую диспетчером чистых каналов для координации частот и предотвращения помех Шифрование WPA2 Enterprise Лаконичный современный дизайн Прочный корпус Устройство можно настроить как пульт для одного/двух делегатов или председателя — это делает Confidea GO G4 удобной системой для часто меняющихся условий. Встроенный в точку доступа веб-сервер позволяет быстро настроить и легко управлять системой с помощью веб-браузера. Интеллектуальное управление батареей В комплект входит компактный литий-ионный аккумулятор, рассчитанный на 12 часов автономной работы. Полный заряд батареи осуществляется за 2 часа, всего за 45 минут будет доступен заряд на 50%, обеспечивая шесть часов общения. Проверить уровень заряда аккумулятора: при подготовке к совещанию достаточно нажать кнопку проверки, а светодиодная полоска покажет оставшуюся емкость, в программном обеспечении Confero, во время совещания можно отслеживать с помощью встроенного программного обеспечения на основе браузера, входящего в комплект поставки точки доступа. Для длительных встреч можно установить вторую батарею в двойной отсек. Если батарея разряжается, предупреждающий сигнал отображается на конференц-пульте и в программном обеспечении для мониторинга точки доступа. Просто выньте полностью заряженную батарею из зарядного устройства и вставьте ее во второй батарейный отсек, прежде чем извлечь почти разряженную батарею. Таким образом, устройство остается включенным и не требует повторного подключения к точке доступа, что позволяет использовать его мгновенно. Если же батарея разрядилась, а у вас под рукой нет запасной, то просто подключите стандартное зарядное устройство в разъем USB-C на задней панели устройства. Устройство будет продолжать работать, и вы даже можете отсоединить аккумулятор, чтобы начать его подзарядку. Безопасность Для защиты конфиденциальности переговоров в системе Confidea G4 используется шифрование WPA2 Enterprise. Беспроводная связь без проблем Основанная на стандартной технологии WiFi5, система использует комбинацию передовых методов для улучшения качества приема сигнала. Кроме того, двойная антенна в устройствах позволяет оптимизировать прием сигнала. В результате достигается стабильность, уникальная для беспроводных конференций. Использование разных пультов в одной системе Вы можете сочетать в системе пульты Confidea GO G4 и Confidea FLEX G4. Доступность Особое внимание было уделено пользователям с ослабленным зрением: тактильные метки расположены под кнопками и рядом с регуляторами громкости. Дополнительные лицензии и программное обеспечение: L-Dual* 71.98.1404 Примечание : Confidea GO G4 не поддерживает работу с дополнительными лицензиями, такими как голосование, идентификация и выбор языкового канала. Сравнение Confidea FLEX G4 и Confidea G0 G4 Confidea FLEX G4 Confidea G0 G4 Микрофон на защелке + + Конфигурирование пульта как делегата или председателя + + Режим «следующий в очереди» для председателя + + Замена аккумуляторов на «горячую» + + Питание от USB -C + + Двойной делегат + + Голосование + — Выбор канала перевода + — Идентификация по картам + — Старт/стоп записи в режиме председатель + — Повестка дня + — Установка логотипа + — Индикация времени встречи + — Виброотклик + —","Производитель: Televic | Наименование: <h3>Confidea FLEX G4 G0</h3> | Партномер: <h3>Confidea FLEX G4</h3> | Тип батарейки: Confidea BP G4 | Аккумулятор: Литий-ионный | Напряжение батареи: 7,2 В постоянного тока | Емкость батареи: 3100 мАч | Входное напряжение: 4,5 – 5,25 В | Рекомендованный кабель: 28AWG/1P + 24AWG/2C | Сенсорная технология: Емкостная | Покрытие: С защитой от отпечатков пальцев AF | Максимальная выходная мощность: > 1 Вт | Максимальный выход: > 10 мВт | Сопротивление нагрузки: 16-32 Ом | Номинальный входной уровень: -54.7 дБВ | Максимальный входной уровень: -24.6 дБВ | Входное сопротивление: 1 кОм | Динамический диапазон: > 93 дБ | Частотная характеристика: 25-20.000 Гц | Коэффициент нелинейных искажений  при номинальном уровне: < 0,1% | Рабочая температура: 0 — 45° | Температура хранения: -20 — 60° | Влажность: < 95 %, > 5 %",https://risbar.kz/wp-content/uploads/product/confidea-flex-g4-g0-1.jpg; https://risbar.kz/wp-content/uploads/product/confidea-flex-g4-g0-2.JPG,https://risbar.kz/product/confidea-flex-g4-g0/
Confidea FLEX ТС,,Беспроводная конференц-система Televic Confidea FLEX G4,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. Транспортировочный кофр Televic Confidea FLEX TC обеспечивает надежное и компактное хранение при перевозке. Он вмещает до 16 проводных или беспроводных пультов FLEX (включая батареи). Верхний съемный лоток позволяет легко носить его с собой, чтобы собирать и укладывать 16 микрофонов типа Mike. Съемный отсек в середине корпуса предлагает место для хранения точки доступа, адаптера и некоторых кабелей. При использовании кейса с проводными пультами Confidea FLEX удаление этого отсека освобождает достаточно места для хранения кабелей. Кейс разработан для удобного хранения и транспортировки из одного помещения и/или места проведения в другое. Другими словами: полностью скомплектованная конференц-система для проведения совещаний, упакованная в компактный и мобильный кейс, готова к развертыванию в любом месте и в любое время. Функции Продуманная компактная конструкция Использование как для проводных, так и для беспроводных устройств Confidea FLEX Прочные ручки и замки Предварительно сформированные вставки из пеноматериала обеспечивают плотное прилегание оборудования Телескопическая ручка для удобной транспортировки Большие и мягкие колеса для удобной и безопасной транспортировки Отдельный лоток для удобного сбора микрофонов","Производитель: Televic | Наименование: <h3>Confidea FLEX ТС</h3> | Партномер: <h3>Confidea FLEX TC</h3> | Цвет: Черный | Размер (Ш x В x Г): 734 × 403 × 459 мм | Размер упаковки (Ш x В x Г): 755 x 430 x 460 мм | Масса: 14 кг | Масса упаковки: 15,1",https://risbar.kz/wp-content/uploads/product/confidea-flex-ts-1.jpeg; https://risbar.kz/wp-content/uploads/product/confidea-flex-ts-2.jpeg; https://risbar.kz/wp-content/uploads/product/confidea-flex-ts-3.jpeg; https://risbar.kz/wp-content/uploads/product/confidea-flex-ts-4.jpeg; https://risbar.kz/wp-content/uploads/product/confidea-flex-ts-5.jpeg; https://risbar.kz/wp-content/uploads/product/confidea-flex-ts-2-550x413.jpeg; https://risbar.kz/wp-content/uploads/product/confidea-flex-ts-3-550x413.jpeg; https://risbar.kz/wp-content/uploads/product/confidea-flex-ts-4-550x413.jpeg; https://risbar.kz/wp-content/uploads/product/confidea-flex-ts-5-550x413.jpeg,https://risbar.kz/product/confidea-flex-ts/
Confidea GO G4,,Беспроводная конференц-система Televic Confidea FLEX G4,0,Наличие:В наличии,"Описание Televic Confidea GO G4 — это дискуссионный вариант беспроводного конференц-пульт Confidea FLEX G4 без дисплея. Он был разработан, чтобы предложить решение для случаев, когда дополнительные функции собрания не требуются. Доступны простая настройка и конфигурация, а также интеллектуальное управление батареями. Качественная и надёжная беспроводная передача по WiFi5 Универсальный пульт для председателя или одного / двух делегатов Устройство предоставляет информацию, используемую диспетчером чистых каналов для координации частот и предотвращения помех Шифрование WPA2 Enterprise Лаконичный современный дизайн Прочный корпус Устройство можно настроить как пульт для одного/двух делегатов или председателя — это делает Confidea GO G4 удобной системой для часто меняющихся условий. Встроенный в точку доступа веб-сервер позволяет быстро настроить и легко управлять системой с помощью веб-браузера. Интеллектуальное управление батареей В комплект входит компактный литий-ионный аккумулятор, рассчитанный на 12 часов автономной работы. Полный заряд батареи осуществляется за 2 часа, всего за 45 минут будет доступен заряд на 50%, обеспечивая шесть часов общения. Проверить уровень заряда аккумулятора: при подготовке к совещанию достаточно нажать кнопку проверки, а светодиодная полоска покажет оставшуюся емкость, в программном обеспечении Confero, во время совещания можно отслеживать с помощью встроенного программного обеспечения на основе браузера, входящего в комплект поставки точки доступа. Для длительных встреч можно установить вторую батарею в двойной отсек. Если батарея разряжается, предупреждающий сигнал отображается на конференц-пульте и в программном обеспечении для мониторинга точки доступа. Просто выньте полностью заряженную батарею из зарядного устройства и вставьте ее во второй батарейный отсек, прежде чем извлечь почти разряженную батарею. Таким образом, устройство остается включенным и не требует повторного подключения к точке доступа, что позволяет использовать его мгновенно. Если же батарея разрядилась, а у вас под рукой нет запасной, то просто подключите стандартное зарядное устройство в разъем USB-C на задней панели устройства. Устройство будет продолжать работать, и вы даже можете отсоединить аккумулятор, чтобы начать его подзарядку. Безопасность Для защиты конфиденциальности переговоров в системе Confidea G4 используется шифрование WPA2 Enterprise. Беспроводная связь без проблем Основанная на стандартной технологии WiFi5, система использует комбинацию передовых методов для улучшения качества приема сигнала. Кроме того, двойная антенна в устройствах позволяет оптимизировать прием сигнала. В результате достигается стабильность, уникальная для беспроводных конференций. Использование разных пультов в одной системе Вы можете сочетать в системе пульты Confidea GO G4 и Confidea FLEX G4. Доступность Особое внимание было уделено пользователям с ослабленным зрением: тактильные метки расположены под кнопками и рядом с регуляторами громкости. Дополнительные лицензии и программное обеспечение: L-Dual* 71.98.1404 Примечание : Confidea GO G4 не поддерживает работу с дополнительными лицензиями, такими как голосование, идентификация и выбор языкового канала. Сравнение Confidea FLEX G4 и Confidea G0 G4 Confidea FLEX G4 Confidea G0 G4 Микрофон на защелке + + Конфигурирование пульта как делегата или председателя + + Режим «следующий в очереди» для председателя + + Замена аккумуляторов на «горячую» + + Питание от USB -C + + Двойной делегат + + Голосование + — Выбор канала перевода + — Идентификация по картам + — Старт/стоп записи в режиме председатель + — Повестка дня + — Установка логотипа + — Индикация времени встречи + — Виброотклик + —","Производитель: Televic | Наименование: <h3>Confidea GO G4 </h3> | Партномер: <h3>Confidea FLEX G4</h3> | Тип батарейки: Confidea BP G4 | Аккумулятор: Литий-ионный | Напряжение батареи: 7,2 В постоянного тока | Емкость батареи: 3100 мАч | Входное напряжение: 4,5 – 5,25 В | Рекомендованный кабель: 28AWG/1P + 24AWG/2C | Сенсорная технология: Емкостная | Покрытие: С защитой от отпечатков пальцев AF | Максимальная выходная мощность: > 1 Вт | Максимальный выход: > 10 мВт | Сопротивление нагрузки: 16-32 Ом | Номинальный входной уровень: -54.7 дБВ | Максимальный входной уровень: -24.6 дБВ | Входное сопротивление: 1 кОм | Динамический диапазон: > 93 дБ | Частотная характеристика: 25-20.000 Гц | Коэффициент нелинейных искажений  при номинальном уровне: < 0,1% | Рабочая температура: 0 — 45° | Температура хранения: -20 — 60° | Влажность: < 95 %, > 5 %",https://risbar.kz/wp-content/uploads/product/confidea-go-g4-1.jpg; https://risbar.kz/wp-content/uploads/product/confidea-go-g4-2.jpg; https://risbar.kz/wp-content/uploads/product/confidea-go-g4-2-550x307.jpg,https://risbar.kz/product/confidea-go-g4/
Confidea PS G4,,Беспроводная конференц-система Televic Confidea FLEX G4,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. Televic Confidea PS G4 — это инжектор PoE для питания точки доступа Confidea WAP G4. Адаптер имеет два разъема RJ45. Один подключается к коммутатору или ПК, другой разъем добавляет питание к точке доступа. Адаптер поставляется со сменными зажимами переменного тока.","Производитель: Televic | Наименование: <h3>Confidea PS G4</h3> | Партномер: <h3>Confidea WAP PS G4</h3> | Цвет: Черный | Адаптер размера (Ш x В x Г): 80 × 33 × 45 мм | Размер в упаковке (Ш x В x Г): 150 х 48 х 105 мм | Масса: 95 г | Вес в упаковке: 204 грамм | Стандарт: IEEE802.af совместимо | Выходное напряжение постоянного тока: 56 В | Выходная мощность: 15,4 Вт | Входное напряжение переменного тока: от 100 до 240 В | Входной ток переменного тока: 0.8 A (RMS) for 115 VAC<br>0.5 A (RMS) for 230 VAC | Пусковой ток переменного тока: 15 A (RMS) for 115 VAC<br>20 A (RMS) for 230 VAC | Входная частота переменного тока: 47 — 63 Гц | Рабочая температура: 0 – 40°C | Температура хранения и транспортировки: -25 – 65°C | Влажность: <90%, >5%",https://risbar.kz/wp-content/uploads/product/confidea-ps-g4-1.jpg,https://risbar.kz/product/confidea-ps-g4/
Confidea WAP G4 with Dante,,Беспроводная конференц-система Televic Confidea FLEX G4,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. Компактная, незаметная, но мощная точка доступа Confidea G4 является сердцем беспроводной конференц-системы. Оснащена набором инструментов для определения оптимального канала в радиочастотном диапазоне и обеспечения надежной и бесперебойной связи. Встроенный web-интерфейс предлагает пошаговые инструкции по настройке системы. При добавлении лицензии открывается богатый набор инструментов управления конференциями, обеспечивающих модерацию собрания, голосование, идентификацию участников и возможности создания отчетов. Кроме того, точка доступа имеет множество вариантов подключения. Питание устройства может осуществляться через стандартный коммутатор PoE + или инжектор питания. Аналоговые и цифровые (Dante) интерфейсы предоставляют возможность подключения к внешним аудиосистемам или подключения к платформам для совещаний, такие как Телемост, Jazz, Zoom, Teams и т. д. Предусмотрены функции записи на внутреннюю память устройства или внешний накопитель. Сочетание всех этих возможностей позволяет создать инновационное решение для беспроводных конференций, легко адаптируемое к любой среде проведения совещаний. Беспроводная конференц-система Televic Confidea G4 обеспечивает надежную и безопасную связь без подрывов, что способствует ощущению комфорта во время любого совещания. ФУНКЦИИ Надежная беспроводная связь Wi-Fi 5 Менеджер свободных каналов позволяет определить рабочий канал системы Бесконфликтное сосуществование с другими WiFi системами Возможность работы в верхних каналах диапазона 5 ГГц, которые обычно не используются другими беспроводными системами Алгоритм, маскирующий влияние потерянных или поврежденных пакетов, что приводит к непрерывному воспроизведению звука Автоматическое плавное переключение на другой канал при возникновении помех Умная конструкция антенны, использующая пространственное разнесение Диапазон покрытия 40 м Безопасность 802.1X (MD5, TLS, PEAP-MSCHAPv2) только для порта LAN Высокий уровень безопасности Wi-Fi благодаря шифрованию корпоративного уровня WPA2 Enterprise Проверка подлинности сертификата для предотвращения подделки Согласование ключа шифрования при каждом запуске и подключении конференц-пульта Уникальный обмен ключами шифрования для каждого устройства, подключенного к системе Дизайн Компактный и строгий дизайн Многофункциональная монтажная пластина Винтовое крепление на микрофонную стойку идеально подходит для мобильных инсталляций Принцип Easy click для легкой установки и демонтажа точки доступа Возможность заказа крышки под покраску Простота настройки и встроенные программные возможности Питание PoE+ Обнаружение устройства с помощью нажатия кнопки на WAP или через встроенный веб-интерфейс программного обеспечения Мастер настройки и конфигурация Автоматическое управление каналами и предотвращение помех Визуализация качества канала, возможности мониторинга и настройки Отображение оставшегося времени встречи и предупреждение о низком заряде батареи Управление лицензиями: назначение или отзыв лицензий для устройств Confidea G4 Загрузка пользовательского экрана ожидания для устройств Confidea G4 Выключение всех устройств Маршрутизация аудиосигнала для внешней обработки или дистанционной конференция Режим Микс-Минус Возможности записи: внутреннее или внешнее хранилище и загрузка файлов Протоколы камеры, предоставляющие информацию об устройстве для интеграции со сторонней системой управления камерой Совместимость с Televic T-CAM для режима наведения камеры Связь LAN-соединение с PoE+ 2 х порты Plixus (*) 1 х балансный аналоговый вход Phoenix mini 1 х балансный аналоговый выход Phoenix mini 1 x светодиодный индикатор активности перегрузки, аналоговый вход 1 x светодиодный индикатор наличия сигнала для аналогового выхода 1 х разъем USB 2.0 тип А 1 х порт Dante (8 x 8 каналы) Программное обеспечение Confidea WAP G4 поставляется вместе с веб-приложением Confero . Просто перейдите к настройкам WAP при помощи стандартного веб-браузера. Confero обеспечивает настройку и мониторинг беспроводной конференц-системы с помощью простых в использовании мастеров. Можно загрузить пользовательский экран ожидания, чтобы персонализировать устройства в соответствии с фирменным стилем компании или элементами оформления мероприятия. Добавление программного обеспечения для управления Confero 360 открывает множество дополнительных функций, облегчающих подготовку к встрече, модерацию, вовлечение участников и формирование отчетов. Можно настроить функционал для различных ролей пользователей под конкретную задачу. CONFERO 360 (Партномер: 71.98.3000) Создание синоптической схемы конференции с использованием плана помещения Управление режимом работы микрофона при помощи плана помещения, списка спикеров и запросов на выступление Создание шаблона встречи с планом рассадки Привязка имен участников к местам Привязка идентификационных карт к участникам, чтобы они могли войти в систему и быть идентифицированными в любом пульте конференции Запуск/ Остановка записи с возможностью автоматического запуска при начале встречи Внеочередное голосование Демонстрация состояния микрофона в виде обозначения на плане помещения, в списке выступающих, списке запросов и результатах голосования Обзор отчетов о конференциях с указанием присутствия участников, общих результатов голосования, индивидуальных результатов голосования для публичных голосований и сопровождаемых записей ► Televic Confero 360 Аксессуары Наименование Артикул Партномер PoE+ адаптер питания Confidea PS G4 71.98.0028 Кожух под покраску WAP PC Confidea 71.98.0029","Производитель: Televic | Наименование: <h3>Confidea WAP G4 with Dante</h3> | Партномер: <h3>Confidea WAP G4</h3> | Материал: ABS | Цвет: Белый | Размер (Ш х В х Г): 191 × 45 × 191 мм | Размер в упаковке (Ш x В x Г): 233 × 46 × 233 мм | Масса: 680 г | Вес в упаковке: 825 г | Тип крепления: стена, потолок, электрическая коробка, микрофонная стойка | Источник питания: PoE+, 802.3at, тип 2 PD | Потребляемая мощность: 15 Вт | Максимальная потребляемая мощность: 24 Вт | Тип шифрования: WPA2 Enterprise | Максимальное количество устройств: 128 | Максимальное количество открытых микрофонов: 8 | Задержка (от микрофона к WAP — от WAP к громкоговорителю): 16 мс | Аудио: 48 кГц / 24 бит | КНИ (22 - 22000 Гц): < 0,02 % | Стандарт Wi-Fi: WiFi5, IEEE802.11ac | Диапазоны радиочастот: 2,4 ГГц / 5 ГГц | ERP (эквивалентная мощность изотропного излучения): < 24 дБм | Диапазон: 40 м | Количество антенн: 5 | Сетевая адресация: DHCP, NTP или вручную | Аутентификация: 802.1X (MD5, TLS, PEAP- MSCHAPv2) только для порта LAN | Цифровое аудио: Dante / AES67 | Количество каналов: 8 х 8 | Скорость связи: 100 Мбит/с | Источники питания: 48 В постоянного тока | Непрерывный выходной ток: 2 А | Тип кабеля: > Cat5e (экранированный) | Разъем: RJ45 | Индикатор разъема: Зеленый: подключеноОранжевый: активность подключения | Длина кабеля: 80 м (макс.) | Формат файла: MP3 | Качество: 64, 128, 196, 256 кбит/с | Интерфейс: USB2.0 | Формат: NTFS | Максимальный размер: 500 ГБ | Объем: 4ГБ | Номинальный входной уровень: 0 дБВ | Максимальный уровень входного сигнала: +10 дБВ | THD при номинальном уровне (22–22 кГц): < 0,02 % | Сигнал/шум: > 95 дБА | Входное сопротивление: > 10 кОм | Номинальный выходной уровень: 0 дБВ | Максимальный выходной уровень: + 10 дБВ | Частотная характеристика: 20 — 20000 Гц | THD при номинальном уровне (22–22000 Гц): < 0,02 % | Динамический диапазон: > 90 дБ | Сопротивление нагрузки: > 600 Ом | Конфигурация: Балансный | Тип разъема: 3 контактаPhoenix mini combicon | Рабочая температура: 0 – 45°С | Температура хранения и транспортировки: -20 – 60°С | Влажность: <95%, >5%",https://risbar.kz/wp-content/uploads/product/confidea-wap-g4-with-dante-1.jpeg,https://risbar.kz/product/confidea-wap-g4-with-dante/
Confidea WAP PC,,Беспроводная конференц-система Televic Confidea FLEX G4,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. Окрашиваемая крышка для беспроводной точки доступа Confidea WAP G4.",Производитель: Televic | Наименование: <h3>Confidea WAP PC</h3> | Партномер: <h3>Confidea WAP PC</h3>,https://risbar.kz/wp-content/uploads/product/confidea-wap-pc-1.jpg,https://risbar.kz/product/confidea-wap-pc/
L-ID,,Беспроводная конференц-система Televic Confidea FLEX G4,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. Televic L-ID — лицензия на идентификацию участника. Эта лицензия позволяет пользователям идентифицировать себя с помощью значка RFID или NFC. Confidea FLEX — это конференц-станция с множеством функций, доступная в проводной или беспроводной версии. Чтобы разблокировать различные функции, необходимо активировать соответствующую лицензию. Вам просто нужно нажать кнопку лицензии, чтобы активировать или деактивировать ее. Считыватель карт всегда присутствует на станции, но активен только тогда, когда активна идентификационная лицензия. Делегаты могут использовать свою карту, чтобы идентифицировать себя на месте. В интерфейсе показано, как использовать карту для подключения, и отображаются имена участников, когда им назначено место. Лицензии L-VT, L-ID, L-LS нужны для каждого делегата.",Производитель: Televic | Наименование: <h3>L-ID</h3> | Партномер: <h3>L-ID</h3>,https://risbar.kz/wp-content/uploads/product/l-id-1.png; https://risbar.kz/wp-content/uploads/product/l-id-2.jpg; https://risbar.kz/wp-content/uploads/product/l-id-3.jpg; https://risbar.kz/wp-content/uploads/product/l-id-3-550x484.jpg,https://risbar.kz/product/l-id/
L-LS,,Беспроводная конференц-система Televic Confidea FLEX G4,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. Televic L-LS — лицензия на выбор языка перевода для участника. Эта лицензия позволяет пользователям выбирать один из каналов перевода. Confidea FLEX — это конференц-станция с множеством функций, доступная в проводной или беспроводной версии. Чтобы разблокировать различные функции, необходимо активировать соответствующую лицензию. Вам просто нужно нажать кнопку лицензии, чтобы активировать или деактивировать ее. Физической кнопки для выбора языка не предусмотрено. Если языковая лицензия выбора языка активна, в интерфейсе появляется дополнительная кнопка. Нажмите эту кнопку, чтобы открыть меню выбора языка. Лицензии L-VT, L-ID, L-LS нужны для каждого делегата.",Производитель: Televic | Наименование: <h3>L-LS</h3> | Партномер: <h3>L-LS</h3>,https://risbar.kz/wp-content/uploads/product/l-ls-1.png; https://risbar.kz/wp-content/uploads/product/l-ls-2.jpg; https://risbar.kz/wp-content/uploads/product/l-ls-3.jpg; https://risbar.kz/wp-content/uploads/product/l-ls-3-550x484.jpg,https://risbar.kz/product/l-ls/
L-VT,,Беспроводная конференц-система Televic Confidea FLEX G4,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. Televic L-VT — лицензия, которая открывает функции голосования на пультах Confidea FLEX и Confidea FLEX G4. Confidea FLEX — это абонентское устройство, которое может быть как делегатом, так и председателем. Доступно в проводной или беспроводной версии. Чтобы разблокировать различные функции, необходимо активировать соответствующую лицензию (L-VT, L-ID, L-LS). Лицензию L-VT необходимо закладывать для каждого абонентского устройства, на котором необходимо иметь функцию голосования.",Производитель: Televic | Наименование: <h3>L-VT</h3> | Партномер: <h3>L-VT</h3>,https://risbar.kz/wp-content/uploads/product/l-vt-1.png; https://risbar.kz/wp-content/uploads/product/l-vt-2.jpg; https://risbar.kz/wp-content/uploads/product/l-vt-3.jpg; https://risbar.kz/wp-content/uploads/product/l-vt-2-550x484.jpg,https://risbar.kz/product/l-vt/
