title,article,category,price,availability,description,details,images,url
DCS-1022C-W,,Беспроводные пульты 10000N,0,Наличие:В наличии,"Описание Gonsin DCS-1022C-W — настольный беспроводной дискуссионный пульт председателя серии DCS-1022 предназначен для участия в совещаниях, организованных на базе конференц-системы 10000N. Пульт выполнен в металлическом корпусе и идет в комплекте со съёмным кардиоидным микрофоном на гусиной шее 310 мм со светодиодным индикатором и ветрозащитой. Пульт оснащен 4,3″ цветным сенсорным экраном, с помощью которого пользователь получает доступ к удобному функциональному меню. Беспроводной пульт серии DCS-1022 может работать в диапазонах частот 2,4, 5,2 и 5,8 ГГц. В комплект пульта включен литий-ионный аккумулятор, который поддерживает время работы до 14 часов. Пульт имеет встроенный громкоговоритель мощностью 2 Вт с регулятором громкости и выходы на наушники и запись (2 х 3,5 мм jack). Корпус пульта имеет элегантный дизайн, интерактивный графический интерфейс пользователя и выполнен из материала с текстурой высокого класса. Микрофон на гусиной шее : к пульту председателя подключается съёмный микрофон на гибкой подставке типа «гусиная шея», который может быть отсоединен, когда пульт не используется, что делает его удобным для обслуживания оборудования. Электретный микрофон с кардиоидной характеристикой направленности имеет светодиодное индикаторное кольцо и подставку с двумя гибкими участками. В стандартную комплектацию включен микрофон длиной 310 мм, дополнительно можно заказать микрофон с гусиной шеей длиной 410 мм или 510 мм. 4,3-дюймовый полноцветный сенсорный ЖК-экран пульта отображает информацию меню пользователя: о конференции, статусе микрофона, емкости аккумуляторной батареи. Язык меню поддерживается китайский/английский (русский по запросу). Сенсорный ЖК-экран с точным откликом и длительным сроком службы предоставляет полноразмерное сенсорное управление и позволяет настроить контрастность ЖК-экрана, громкость, настройки сети SSID, язык и другие функции пульта. Устройство использует технологию беспроводной связи Wi-Fi в соответствии со стандартом сети IEEE 802.11n. В пульте применяется 128-битная технология шифрования AES и технология безопасности беспроводной связи WEP/WPA/WPA2, чтобы обеспечить конфиденциальность конференции и избежать подслушивания и злонамеренного вмешательства. Устройство поддерживает работу в трех полосах частот связи 2,4 / 5,2 / 5,8 ГГц , выбирая свободный частотный канал, чтобы обеспечить стабильность и надежность беспроводной связи. Система применяет настройки беспроводной сети SSID , что гарантирует одновременное использование нескольких систем в одной среде и отсутствие помех друг другу. Устройство использует технологию цифровой обработки и передачи звука в соответствии с международным стандартом IEC60914, имеет встроенный высокоскоростной процессор и высокопроизводительный цифровой процессор обработки звука, который помогает удалить бесполезные низкие частоты, что улучшает разборчивость речи. Поддерживает технологию передачи аудио с низкой задержкой и частоту дискретизации аудио 48 кГц, акустическая частотная характеристика может достигать 20 Гц — 20 кГц . Чувствительность каждого пульта можно отрегулировать независимо или одинаково. Физическая кнопка включения микрофона пульта имеет многофункциональное назначение: короткое нажатие для включения/выключения микрофона пульта, длительное нажатие для включения/выключения питания пульта. Пульт имеет функции определения уровня заряда батареи , предупреждения о низком напряжении, защиты от автоматического отключения, а также функцию автоматического отключения пульта при отсутствии сигнала по истечении 10 минут. Пульт предлагает функцию сервисного вызова , позволяющую пользователю нажимать на такие иконки, как «чай», «бумага», «ручка» или «помощь» на сенсорном экране, чтобы запросить услуги из серверной части системы (используется совместно с программным обеспечением для обслуживания вызовов). В нормальных рабочих условиях время непрерывного выступления беспроводного пульта составляет 8,5 часов (с включенным мониторингом); в режиме минимального энергопотребления и ожидания время работы составляет 14 часов. Литиевая аккумуляторная батарея пульта отсоединяется от пульта и подходит для централизованной зарядки в зарядном шкафу (максимум 10 литиевых батарей заряжается одновременно). Микрофон пульта обладает высокой устойчивостью к помехам от мобильных телефонов . Пульт имеет встроенный громкоговоритель мощностью 2 Вт (8 Ом), выходы на наушники и запись (2 х 3,5 мм jack) с регулировкой громкости (7 уровней). Регулировка громкости также доступна с помощью меню сенсорного экрана. Функция регистрации присутствия : пульт использует регистрацию по нажатию кнопки или по контактной карте с привязкой к месту и без, благодаря встроенному считывателю IC карт. Система имеет возможность проводить дополнительную регистрацию или отмену регистрации. Посещаемость подсчитывается автоматически, и результат может быть отображен на экране пульта. Максимальное количество конференц-пультов , которые можно включить одновременно – 4 . Система поддерживает связь до 128 беспроводных точек доступа для достижения большей зоны покрытия беспроводной сети и свободного перемещения конференц-пультов. Любому пульту делегата можно назначить права председателя или заместителя председателя. Помимо всех функций пульта делегата, пульт председателя имеет следующие функции. 1. Микрофон пульта председателя можно включить в любое время без предварительной настройки ограничения на время выступления. 2. Пульт председателя оснащен кнопкой приоритета председателя для отключения всех активных микрофонов пультов делегатов. 3. Пульт председателя может предоставлять право на выступление пульту делегата. Режимы управления микрофонами Несколько режимов управления микрофонами : автоматический, с вытеснением, под управлением оператора, запроса на выступление, голосовой активации и РТТ. Функция голосовой активации (VOX) : в режиме VOX устройство включается при разговоре пользователя, чувствительность может быть настроена сервером; время паузы микрофона регулируется. Автоматический режим : можно активировать только то количество микрофонов, которое ограничено системой. Когда количество открытых микрофонов превышает установленный системный лимит, при нажатии кнопки включения микрофон не может быть включен, и необходимо выключить ранее включенные микрофоны, а затем микрофон можно включить, нажав кнопку включения микрофона заново. Режим вытеснения (FIFO) : когда количество открытых микрофонов превышает установленный системный лимит, нажатие кнопки включения микрофона включит микрофон и автоматически выключит микрофон, который был активен раньше всех. Режим под управлением оператора : когда количество открытых микрофонов превышает лимит, нажатие кнопки включения микрофона вводит пульт в режим ожидания. После выключения активных микрофонов микрофоны из очереди включатся автоматически. Режим подачи реплики : в режиме подачи реплики микрофон включается при нажатии кнопки включения микрофона и выключается при отпускании кнопки. Режим по запросу РТТ : делегат отправляет запрос на выступление через пульт и может выступать после одобрения председателя. Пульт председателя можно активировать в любое время без разрешения. Автоматическое отслеживание спикера Функция автоматического отслеживания выступающих с помощью HD видеокамер , с поддержкой настройки препозиций и общего панорамного вида. Дополнительная функция отслеживания с помощью инфракрасной мобильной камеры. Камера может осуществлять интеллектуальное отслеживание и позиционирование пульта. Беспроводной пульт можно свободно перемещать в пределах зоны покрытия ИК и отслеживать в режиме реального времени. Возможности конференц-пультов серии DCS-1022 Модель Тип пульта Дискуссия Голосование Регистрация по кнопке / карте Синхронный перевод Экран DCS-1022C-W Председатель + + 4,3-дюймовый TFT-экран DCS-1022D-W Делегат + + DCS-1022CV-W Председатель + + + DCS-1022DV-W Делегат + + + DCS-1022CI-W Председатель + + + DCS-1022DI-W Делегат + + + DCS-1022CF-W Председатель + + + + DCS-1022DF-W Делегат + + + +","Производитель: Gonsin | Наименование: <h3>DCS-1022C-W</h3> | Партномер: <h3>300222051035B</h3> | Диапазон рабочих частот: 2,4 ГГц, 5,2 ГГц, 5,8 ГГц | Параметры экрана: 4,3-дюймовый полноцветный TFT | Частотная характеристика: 20 Гц — 20 кГц | Чувствительность: -46 дБВ/Па | Эквивалентный уровень шума: 20 дБА (УЗД) | Максимальный уровень звукового давления: 125 дБ (КНИ 3%) | Коэффициент нелинейных искажений: 0,05% | Отношение сигнал-шум: ≥ 96 дБ | Характеристика направленности микрофона: Кардиоидная | Направленность: 0°/180° > 20 дБ (1 кГц) | Входной импеданс: 2 кОм | Выходной разъем для наушников: 3,5 мм стерео jack | Выход на запись: 3,5 мм стерео jack | Импеданс наушников: >16 Ом | Встроенный громкоговоритель: 2 Вт/ 8 Ом | Напряжение питания: 12 В пост. тока | Максимальная потребляемая мощность: 8 Вт | Емкость аккумуляторной батареи: 3000 мАч | Время работы батареи: Режим непрерывного выступления — 8,5 часов (с включенным мониторингом); <br>Режим ожидания — 14 часов. | Размеры микрофона на гусиной шее: 310 мм (стандартный)<br>410 мм, 510 мм (заказывается дополнительно) | Размеры базы (Д×Ш×В): 212 х 139 х 67 мм | Вес: 0,94 кг | Рабочая температура: От 0 ºC до +45 ºC | Температура хранения: От -20 ºC до +50 ºC",https://risbar.kz/wp-content/uploads/product/dcs-1022c-w-1.png; https://risbar.kz/wp-content/uploads/product/dcs-1022c-w-2.png,https://risbar.kz/product/dcs-1022c-w/
DCS-1022CF-W,,Беспроводные пульты 10000N,0,Наличие:В наличии,"Описание Gonsin DCS-1022CF-W — настольный беспроводной пульт председателя с функцией голосования и синхронного перевода серии DCS-1022 предназначен для участия в совещаниях, голосованиях, многоязыковых конференциях, организованных на базе конференц-системы 10000N. Пульт выполнен в металлическом корпусе и идёт в комплекте со съёмным кардиоидным микрофоном на гусиной шее 310 мм со светодиодным индикатором и ветрозащитой. Пульт оснащен 4,3″ цветным сенсорным экраном, с помощью которого пользователь получает доступ к удобному функциональному меню. Пульт имеет встроенный селектор канала синхронного перевода на 1+5 языков. Беспроводной пульт серии DCS-1022 может работать в диапазонах частот 2,4, 5,2 и 5,8 ГГц. В комплект включен литий-ионный аккумулятор, который поддерживает время работы до 14 часов. Пульт имеет встроенный громкоговоритель мощностью 2 Вт с регулятором громкости и выходы на наушники и запись (2 х 3,5 мм jack). Корпус пульта имеет элегантный дизайн, интерактивный графический интерфейс пользователя и выполнен из материала с текстурой высокого класса. Микрофон на гусиной шее : к пульту председателя подключается съёмный микрофон на гибкой подставке типа «гусиная шея», который может быть отсоединен, когда пульт не используется, что делает его удобным для обслуживания оборудования. Электретный микрофон с кардиоидной характеристикой направленности имеет светодиодное индикаторное кольцо и подставку с двумя гибкими участками. В стандартную комплектацию включен микрофон длиной 310 мм, дополнительно можно заказать микрофон с гусиной шеей длиной 410 мм или 510 мм. 4,3-дюймовый полноцветный сенсорный ЖК-экран пульта отображает информацию меню пользователя: о конференции, статусе микрофона, ёмкости аккумуляторной батареи. Язык меню поддерживается китайский/английский (русский по запросу). Сенсорный ЖК-экран с точным откликом и длительным сроком службы предоставляет полноразмерное сенсорное управление и позволяет настроить контрастность ЖК-экрана, громкость, настройки сети SSID, язык и другие функции пульта. Устройство использует технологию беспроводной связи Wi-Fi в соответствии со стандартом сети IEEE 802.11n. В пульте применяется 128-битная технология шифрования AES и технология безопасности беспроводной связи WEP/WPA/WPA2, чтобы обеспечить конфиденциальность конференции и избежать подслушивания и злонамеренного вмешательства. Устройство поддерживает работу в трех полосах частот связи 2,4 / 5,2 / 5,8 ГГц, выбирая свободный частотный канал, чтобы обеспечить стабильность и надёжность беспроводной связи. Система применяет настройки беспроводной сети SSID , что гарантирует одновременное использование нескольких систем в одной среде и отсутствие помех друг другу. Устройство использует технологию цифровой обработки и передачи звука в соответствии с международным стандартом IEC60914, имеет встроенный высокоскоростной процессор и высокопроизводительный цифровой процессор обработки звука , который помогает удалить бесполезные низкие частоты, что улучшает разборчивость речи. Поддерживает технологию передачи аудио с низкой задержкой и частоту дискретизации аудио 48 кГц, акустическая частотная характеристика может достигать 20 Гц — 20 кГц . Чувствительность каждого пульта можно отрегулировать независимо или одинаково. Физическая кнопка включения микрофона пульта имеет многофункциональное назначение: короткое нажатие для включения/выключения микрофона пульта, длительное нажатие для включения/выключения питания пульта. Пульт имеет функции определения уровня заряда батареи , предупреждения о низком напряжении, защиты от автоматического отключения, а также функцию автоматического отключения пульта при отсутствии сигнала по истечении 10 минут. Пульт предлагает функцию сервисного вызова , позволяющую пользователю нажимать на такие иконки, как «чай», «бумага», «ручка» или «помощь» на сенсорном экране, чтобы запросить услуги из серверной части системы (используется совместно с программным обеспечением для обслуживания вызовов). В нормальных рабочих условиях время непрерывного выступления беспроводного пульта составляет 8,5 часов (с включенным мониторингом); в режиме минимального энергопотребления и ожидания время работы составляет 14 часов. Литиевая аккумуляторная батарея пульта отсоединяется от пульта и подходит для централизованной зарядки в зарядном шкафу (максимум 10 литиевых батарей заряжается одновременно). Микрофон пульта обладает высокой устойчивостью к помехам от мобильных телефонов . Пульт имеет встроенный громкоговоритель мощностью 2 Вт (8 Ом), выходы на наушники и запись (2 х 3,5 мм jack) с регулировкой громкости (7 уровней). Регулировка громкости также доступна с помощью меню сенсорного экрана. Функция регистрации присутствия : пульт использует регистрацию по нажатию кнопки или по контактной карте с привязкой к месту и без, благодаря встроенному считывателю IC карт. Система имеет возможность проводить дополнительную регистрацию или отмену регистрации. Посещаемость подсчитывается автоматически, и результат может быть отображен на экране пульта. Максимальное количество конференц-пультов , которые можно включить одновременно – 4 . Система поддерживает связь до 128 беспроводных точек доступа для достижения большей зоны покрытия беспроводной сети и свободного перемещения конференц-пультов. Любому пульту делегата можно назначить права председателя или заместителя председателя. Помимо всех функций пульта делегата, пульт председателя имеет следующие функции . 1. Микрофон пульта председателя можно включить в любое время без предварительной настройки ограничения на время выступления. 2. Пульт председателя оснащен кнопкой приоритета председателя для отключения всех активных микрофонов пультов делегатов. 3. Пульт председателя может предоставлять право на выступление пульту делегата. Режимы управления микрофонами Несколько режимов управления микрофонами : автоматический, с вытеснением, под управлением оператора, запроса на выступление, голосовой активации и РТТ. Функция голосовой активации (VOX) : в режиме VOX устройство включается при разговоре пользователя, чувствительность может быть настроена сервером; время паузы микрофона регулируется. Автоматический режим : можно активировать только то количество микрофонов, которое ограничено системой. Когда количество открытых микрофонов превышает установленный системный лимит, при нажатии кнопки включения микрофон не может быть включен, и необходимо выключить ранее включенные микрофоны, а затем микрофон можно включить, нажав кнопку включения микрофона заново. Режим вытеснения (FIFO) : когда количество открытых микрофонов превышает установленный системный лимит, нажатие кнопки включения микрофона включит микрофон и автоматически выключит микрофон, который был активен раньше всех. Режим под управлением оператора : когда количество открытых микрофонов превышает лимит, нажатие кнопки включения микрофона вводит пульт в режим ожидания. После выключения активных микрофонов микрофоны из очереди включатся автоматически. Режим подачи реплики : в режиме подачи реплики микрофон включается при нажатии кнопки включения микрофона и выключается при отпускании кнопки. Режим по запросу РТТ : делегат отправляет запрос на выступление через пульт и может выступать после одобрения председателя. Пульт председателя можно активировать в любое время без разрешения. Голосование Функция голосования в автономном режиме без управления ПК : регистрация присутствия и голосование могут запускаться с пульта председателя, включая парламентское голосования, множественный выбор. Функция расширенного голосования в режиме управления ПК с программным обеспечением: 1. Простое голосование: Да/Нет/Воздержался. Результат голосования может отображаться на конференц-пульте после автоматического подсчета. — Голосование с одним и несколькими вариантами ответов. — Вариант, когда учитывается только первое нажатие при подаче голоса. -Типы и режимы голосования могут быть заданы заранее. -Результат голосования отображается в виде круговой диаграммы или текста. 2. Выборы: выбор одного или нескольких кандидатов из нескольких кандидатов с помощью «конкурентных выборов», «выборов одного кандидата» и «быстрых выборов (одного из пяти)». 3. Оценка: Удовлетворительно, вполне удовлетворительно, неудовлетворительно и воздержался. Режим оценки устанавливается в программном обеспечении. 4. При голосовании используются методы шифрования данных и защиты от восстановления для обеспечения информационной безопасности. 5. Поддержка индивидуальных параметров и методов голосования, индивидуального языкового режима и экрана дисплея. Синхронный перевод Пульт поддерживает выбор канала синхронного перевода на 1 + 5 языков . Для сигнала перевода возможна регулировка уровня громкости. Выбор канала перевода осуществляется в меню, доступное через 4,3-дюймовый полноцветный сенсорный ЖК-экран. Частотный диапазон канала перевода может достигать 20 Гц – 20 кГц. Автоматическое отслеживание спикера Функция автоматического отслеживания выступающих с помощью HD видеокамер , с поддержкой настройки препозиций и общего панорамного вида. Дополнительная функция отслеживания с помощью инфракрасной мобильной камеры. Камера может осуществлять интеллектуальное отслеживание и позиционирование пульта. Беспроводной пульт можно свободно перемещать в пределах зоны покрытия ИК и отслеживать в режиме реального времени. Возможности конференц-пультов серии DCS-1022 Модель Тип пульта Дискуссия Голосование Регистрация по кнопке / карте Синхронный перевод Экран DCS-1022C-W Председатель + + 4,3-дюймовый TFT-экран DCS-1022D-W Делегат + + DCS-1022CV-W Председатель + + + DCS-1022DV-W Делегат + + + DCS-1022CI-W Председатель + + + DCS-1022DI-W Делегат + + + DCS-1022CF-W Председатель + + + + DCS-1022DF-W Делегат + + + +","Производитель: Gonsin | Наименование: <h3>DCS-1022CF-W</h3> | Партномер: <h3>300222081011B</h3> | Диапазон рабочих частот: 2,4 ГГц, 5,2 ГГц, 5,8 ГГц | Параметры экрана: 4,3-дюймовый полноцветный TFT | Частотная характеристика: 20 Гц — 20 кГц | Чувствительность: -46 дБВ/Па | Эквивалентный уровень шума: 20 дБА (УЗД) | Максимальный уровень звукового давления: 125 дБ (КНИ 3%) | Коэффициент нелинейных искажений: 0,05% | Отношение сигнал-шум: ≥ 96 дБ | Характеристика направленности микрофона: Кардиоидная | Направленность: 0°/180° > 20 дБ (1 кГц) | Входной импеданс: 2 кОм | Выходной разъем для наушников: 3,5 мм стерео jack | Выход на запись: 3,5 мм стерео jack | Импеданс наушников: >16 Ом | Встроенный громкоговоритель: 2 Вт/ 8 Ом | Количество каналов синхронного перевода: 6 (1 + 5) | Напряжение питания: 12 В пост. тока | Максимальная потребляемая мощность: 8 Вт | Емкость аккумуляторной батареи: 3000 мАч | Время работы батареи: Режим непрерывного выступления — 8,5 часов (с включенным мониторингом); <br>Режим ожидания — 14 часов. | Размеры микрофона на гусиной шее: 310 мм (стандартный)<br>410 мм, 510 мм (заказывается дополнительно) | Размеры базы (Д×Ш×В): 212 х 139 х 67 мм | Вес: 0,94 кг | Рабочая температура: От 0 ºC до +45 ºC | Температура хранения: От -20 ºC до +50 ºC",https://risbar.kz/wp-content/uploads/product/dcs-1022cf-w-1.png; https://risbar.kz/wp-content/uploads/product/dcs-1022cf-w-2.png,https://risbar.kz/product/dcs-1022cf-w/
DCS-1022CI-W,,Беспроводные пульты 10000N,0,Наличие:В наличии,"Описание Gonsin DCS-1022CI-W — настольный беспроводной пульт председателя с функцией синхронного перевода серии DCS-1022 предназначен для участия в совещаниях и многоязыковых конференциях, организованных на базе конференц-системы 10000N. Пульт выполнен в металлическом корпусе и идет в комплекте со съёмным кардиоидным микрофоном на гусиной шее 310 мм со светодиодным индикатором и ветрозащитой. Пульт оснащен 4,3″ цветным сенсорным экраном, с помощью которого пользователь получает доступ к удобному функциональному меню. Пульт имеет встроенный селектор канала синхронного перевода на 1+5 языков. Беспроводной пульт серии DCS-1022 может работать в диапазонах частот 2,4, 5,2 и 5,8 ГГц. В комплект пульта включен литий-ионный аккумулятор, который поддерживает время работы до 14 часов. Пульт имеет встроенный громкоговоритель мощностью 2 Вт с регулятором громкости и выходы на наушники и запись (2 х 3,5 мм jack). Корпус пульта имеет элегантный дизайн, интерактивный графический интерфейс пользователя и выполнен из материала с текстурой высокого класса. Микрофон на гусиной шее : к пульту председателя подключается съёмный микрофон на гибкой подставке типа «гусиная шея», который может быть отсоединен, когда пульт не используется, что делает его удобным для обслуживания оборудования. Электретный микрофон с кардиоидной характеристикой направленности имеет светодиодное индикаторное кольцо и подставку с двумя гибкими участками. В стандартную комплектацию включен микрофон длиной 310 мм, дополнительно можно заказать микрофон с гусиной шеей длиной 410 мм или 510 мм. 4,3-дюймовый полноцветный сенсорный ЖК-экран пульта отображает информацию меню пользователя: о конференции, статусе микрофона, емкости аккумуляторной батареи. Язык меню поддерживается китайский/английский (русский по запросу). Сенсорный ЖК-экран с точным откликом и длительным сроком службы предоставляет полноразмерное сенсорное управление и позволяет настроить контрастность ЖК-экрана, громкость, настройки сети SSID, язык и другие функции пульта. Устройство использует технологию беспроводной связи Wi-Fi в соответствии со стандартом сети IEEE 802.11n. В пульте применяется 128-битная технология шифрования AES и технология безопасности беспроводной связи WEP/WPA/WPA2, чтобы обеспечить конфиденциальность конференции и избежать подслушивания и злонамеренного вмешательства. Устройство поддерживает работу в трех полосах частот связи 2,4 / 5,2 / 5,8 ГГц , выбирая свободный частотный канал, чтобы обеспечить стабильность и надежность беспроводной связи. Система применяет настройки беспроводной сети SSID , что гарантирует одновременное использование нескольких систем в одной среде и отсутствие помех друг другу. Устройство использует технологию цифровой обработки и передачи звука в соответствии с международным стандартом IEC60914, имеет встроенный высокоскоростной процессор и высокопроизводительный цифровой процессор обработки звука, который помогает удалить бесполезные низкие частоты, что улучшает разборчивость речи. Поддерживает технологию передачи аудио с низкой задержкой и частоту дискретизации аудио 48 кГц, акустическая частотная характеристика может достигать 20 Гц — 20 кГц . Чувствительность каждого пульта можно отрегулировать независимо или одинаково. Физическая кнопка включения микрофона пульта имеет многофункциональное назначение: короткое нажатие для включения/выключения микрофона пульта, длительное нажатие для включения/выключения питания пульта. Пульт имеет функции определения уровня заряда батареи , предупреждения о низком напряжении, защиты от автоматического отключения, а также функцию автоматического отключения пульта при отсутствии сигнала по истечении 10 минут. Пульт предлагает функцию сервисного вызова , позволяющую пользователю нажимать на такие иконки, как «чай», «бумага», «ручка» или «помощь» на сенсорном экране, чтобы запросить услуги из серверной части системы (используется совместно с программным обеспечением для обслуживания вызовов). В нормальных рабочих условиях время непрерывного выступления беспроводного пульта составляет 8,5 часов (с включенным мониторингом); в режиме минимального энергопотребления и ожидания время работы составляет 14 часов. Литиевая аккумуляторная батарея пульта отсоединяется от пульта и подходит для централизованной зарядки в зарядном шкафу (максимум 10 литиевых батарей заряжается одновременно). Микрофон пульта обладает высокой устойчивостью к помехам от мобильных телефонов . Пульт имеет встроенный громкоговоритель мощностью 2 Вт (8 Ом), выходы на наушники и запись (2 х 3,5 мм jack) с регулировкой громкости (7 уровней). Регулировка громкости также доступна с помощью меню сенсорного экрана. Функция регистрации присутствия : пульт использует регистрацию по нажатию кнопки или по контактной карте с привязкой к месту и без, благодаря встроенному считывателю IC карт. Система имеет возможность проводить дополнительную регистрацию или отмену регистрации. Посещаемость подсчитывается автоматически, и результат может быть отображен на экране пульта. Максимальное количество конференц-пультов , которые можно включить одновременно – 4 . Система поддерживает связь до 128 беспроводных точек доступа для достижения большей зоны покрытия беспроводной сети и свободного перемещения конференц-пультов. Любому пульту делегата можно назначить права председателя или заместителя председателя. Помимо всех функций пульта делегата, пульт председателя имеет следующие функции. 1. Микрофон пульта председателя можно включить в любое время без предварительной настройки ограничения на время выступления. 2. Пульт председателя оснащен кнопкой приоритета председателя для отключения всех активных микрофонов пультов делегатов. 3. Пульт председателя может предоставлять право на выступление пульту делегата. Режимы управления микрофонами Несколько режимов управления микрофонами : автоматический, с вытеснением, под управлением оператора, запроса на выступление, голосовой активации и РТТ. Функция голосовой активации (VOX) : в режиме VOX устройство включается при разговоре пользователя, чувствительность может быть настроена сервером; время паузы микрофона регулируется. Автоматический режим : можно активировать только то количество микрофонов, которое ограничено системой. Когда количество открытых микрофонов превышает установленный системный лимит, при нажатии кнопки включения микрофон не может быть включен, и необходимо выключить ранее включенные микрофоны, а затем микрофон можно включить, нажав кнопку включения микрофона заново. Режим вытеснения (FIFO) : когда количество открытых микрофонов превышает установленный системный лимит, нажатие кнопки включения микрофона включит микрофон и автоматически выключит микрофон, который был активен раньше всех. Режим под управлением оператора : когда количество открытых микрофонов превышает лимит, нажатие кнопки включения микрофона вводит пульт в режим ожидания. После выключения активных микрофонов микрофоны из очереди включатся автоматически. Режим подачи реплики : в режиме подачи реплики микрофон включается при нажатии кнопки включения микрофона и выключается при отпускании кнопки. Режим по запросу РТТ : делегат отправляет запрос на выступление через пульт и может выступать после одобрения председателя. Пульт председателя можно активировать в любое время без разрешения. Синхронный перевод Пульт поддерживает выбор канала синхронного перевода на 1 + 5 языков. Для сигнала перевода возможна регулировка уровня громкости. Выбор канала перевода осуществляется в меню, доступное через 4,3-дюймовый полноцветный сенсорный ЖК-экран. Частотный диапазон канала перевода может достигать 20 Гц – 20 кГц. Автоматическое отслеживание спикера Функция автоматического отслеживания выступающих с помощью HD видеокамер , с поддержкой настройки препозиций и общего панорамного вида. Дополнительная функция отслеживания с помощью инфракрасной мобильной камеры. Камера может осуществлять интеллектуальное отслеживание и позиционирование пульта. Беспроводной пульт можно свободно перемещать в пределах зоны покрытия ИК и отслеживать в режиме реального времени. Возможности конференц-пультов серии DCS-1022 Модель Тип пульта Дискуссия Голосование Регистрация по кнопке / карте Синхронный перевод Экран DCS-1022C-W Председатель + + 4,3-дюймовый TFT-экран DCS-1022D-W Делегат + + DCS-1022CV-W Председатель + + + DCS-1022DV-W Делегат + + + DCS-1022CI-W Председатель + + + DCS-1022DI-W Делегат + + + DCS-1022CF-W Председатель + + + + DCS-1022DF-W Делегат + + + +","Производитель: Gonsin | Наименование: <h3>DCS-1022CI-W</h3> | Партномер: <h3>300222061009B</h3> | Диапазон рабочих частот: 2,4 ГГц, 5,2 ГГц, 5,8 ГГц | Параметры экрана: 4,3-дюймовый полноцветный TFT | Частотная характеристика: 20 Гц — 20 кГц | Чувствительность: -46 дБВ/Па | Эквивалентный уровень шума: 20 дБА (УЗД) | Максимальный уровень звукового давления: 125 дБ (КНИ 3%) | Коэффициент нелинейных искажений: 0,05% | Отношение сигнал-шум: ≥ 96 дБ | Характеристика направленности микрофона: Кардиоидная | Направленность: 0°/180° > 20 дБ (1 кГц) | Входной импеданс: 2 кОм | Выходной разъем для наушников: 3,5 мм стерео jack | Выход на запись: 3,5 мм стерео jack | Импеданс наушников: >16 Ом | Встроенный громкоговоритель: 2 Вт/ 8 Ом | Количество каналов синхронного перевода: 6 (1 + 5) | Напряжение питания: 12 В пост. тока | Максимальная потребляемая мощность: 8 Вт | Емкость аккумуляторной батареи: 3000 мАч | Время работы батареи: Режим непрерывного выступления — 8,5 часов (с включенным мониторингом); <br>Режим ожидания — 14 часов. | Размеры микрофона на гусиной шее: 310 мм (стандартный)<br>410 мм, 510 мм (заказывается дополнительно) | Размеры базы (Д×Ш×В): 212 х 139 х 67 мм | Вес: 0,94 кг | Рабочая температура: От 0 ºC до +45 ºC | Температура хранения: От -20 ºC до +50 ºC",https://risbar.kz/wp-content/uploads/product/dcs-1022ci-w-1.png; https://risbar.kz/wp-content/uploads/product/dcs-1022ci-w-2.png,https://risbar.kz/product/dcs-1022ci-w/
