title,article,category,price,availability,description,details,images,url
SE112-GR-EFS,,Внутриканальные наушники,0,Наличие:В наличии,"Описание Профессиональные внутриканальные наушники SE112 серии Sound Isolating обеспечивают отличное звучание и высокое качество сборки благодаря одному динамическому драйверу и фиксированным кабелем с разъёмом 3.5 мм, который можно разместить за ушами или обычным способом в зависимости от предпочтений. Технология звукоизоляции позволяет блокировать до 37 дБ окружающего шума. В комплекте чехол и набор втулок для комфортного использования. Динамический микродрайвер обеспечивает отличное звучание в прочном и эргономичном корпусе. Звукоизолирующая конструкция блокирует до 37 дБ окружающего шума, чтобы вы могли слышать все детали вашей музыки. Фиксированный кабель можно размещать за ушами или обычным способом для более длительного и комфортного использования. В комплекте чехол для переноски и набор втулок. Разработаны для использования на сцене.",Производитель: Shure | Наименование: <h3>SE112-GR-EFS</h3> | Партномер: <h3>SE112-GR-EFS</h3>,https://risbar.kz/wp-content/uploads/product/se112-gr-efs-1.jpg; https://risbar.kz/wp-content/uploads/product/se112-gr-efs-2.jpg; https://risbar.kz/wp-content/uploads/product/se112-gr-efs-2-550x562.jpg,https://risbar.kz/product/se112-gr-efs/
SE215-CL+BT2-EFS,,Внутриканальные наушники,0,Наличие:В наличии,"Описание Shure SE215-CL+BT2-EFS — профессиональные внутриканальные наушники SE112 серии Sound Isolating обеспечивают отличное звучание и высокое качество сборки благодаря одному динамическому драйверу и фиксированным кабелем с разъёмом 3.5 мм, который можно разместить за ушами или обычным способом в зависимости от предпочтений. Технология звукоизоляции позволяет блокировать до 37 дБ окружающего шума. Беспроводная модель работает с большинством телефонов, ноутбуков и планшетов с поддержкой технологии Bluetooth 4.1 и обеспечивает до 8 часов работы от аккумулятора на дистанции до 10 метров. Встроенный пульт управления и микрофон обеспечивают работу с телефонными вызовами, подачу голосовых команд и другими функциями устройств с голосовым управлением. Беспроводная модель имеет в комплекте кабель для зарядки, клипсу для одежды, чехол на молнии и набор втулок. Проводная модель поставляется с вельветовым чехлом и набором втулок.",Производитель: Shure | Наименование: <h3>SE215-CL+BT2-EFS</h3> | Партномер: <h3>SE215-CL+BT2-EFS</h3>,https://risbar.kz/wp-content/uploads/product/se215-clbt2-efs-1.jpg,https://risbar.kz/product/se215-clbt2-efs/
SE215-CL+UNI-EFS,,Внутриканальные наушники,0,Наличие:В наличии,"Описание Shure SE215-CL+UNI-EFS — профессиональные внутриканальные наушники SE112 серии Sound Isolating обеспечивают отличное звучание и высокое качество сборки благодаря одному динамическому драйверу и фиксированным кабелем с разъёмом 3.5 мм, который можно разместить за ушами или обычным способом в зависимости от предпочтений. Технология звукоизоляции позволяет блокировать до 37 дБ окружающего шума.",Производитель: Shure | Наименование: <h3>SE215-CL+UNI-EFS</h3> | Партномер: <h3>SE215-CL+UNI-EFS</h3>,https://risbar.kz/wp-content/uploads/product/se215-cluni-efs-1.jpg,https://risbar.kz/product/se215-cluni-efs/
SE215-CL-LEFT,,Внутриканальные наушники,0,Наличие:В наличии,"Описание SHURE SE215-CL-LEFT — сменный наушник (левый) для внутриканальных наушников SE215-CL из линейки Sound Isolating. Благодаря своей разборной конструкции модель SE215-CL – практически вечная. Можно отдельно заменить кабель, левый или правый наушник, использовать запасные амбушюры разных размеров. Наушники оснащены высококачественными динамическими микродрайверами, позволяющими получить богатое звучание с глубокими, насыщенными басами.",Производитель: Shure | Наименование: <h3>SE215-CL-LEFT</h3> | Партномер: <h3>SE215-CL-LEFT</h3>,https://risbar.kz/wp-content/uploads/product/se215-cl-left-1.jpg,https://risbar.kz/product/se215-cl-left/
SE215-CL-RIGHT,,Внутриканальные наушники,0,Наличие:В наличии,"Описание SHURE SE215-CL-RIGHT — сменный наушник (правый) для внутриканальных наушников SE215-CL из линейки Sound Isolating. Благодаря своей разборной конструкции модель SE215-CL – практически вечная. Можно отдельно заменить кабель, левый или правый наушник, использовать запасные амбушюры разных размеров. Наушники оснащены высококачественными динамическими микродрайверами, позволяющими получить богатое звучание с глубокими, насыщенными басами.",Производитель: Shure | Наименование: <h3>SE215-CL-RIGHT</h3> | Партномер: <h3>SE215-CL-RIGHT</h3>,https://risbar.kz/wp-content/uploads/product/se215-cl-right-1.jpg,https://risbar.kz/product/se215-cl-right/
SE215-CL-TW1-EFS,,Внутриканальные наушники,0,Наличие:В наличии,"Описание Беспроводные внутриканальные наушники Shure SE215 с одним динамическим драйвером, поддержка Bluetooth 5, цвет прозрачный, в комплекте набор втулок, зарядный чехол и кабель USB-C. Используются заказные микродрайверы с превосходными акустическими характеристиками. Наушники оснащены Bluetooth-технологией пятого поколения на чипе Qualcomm и имеют поддержку улучшенных кодеков APTX и AAC. Стабильная беспроводная передача музыки обеспечивается на расстоянии до 10 метров от источника сигнала, а емкости встроенных батарей хватает на 8 часов прослушивания музыки. В комплект поставки входит и специальный чехол с функцией зарядки. Среди дополнительных возможностей данной модели можно отметить режим акустической прозрачности, а также возможность ответа на телефонные звонки благодаря встроенному микрофону.",Производитель: Shure | Наименование: <h3>SE215-CL-TW1-EFS</h3> | Партномер: <h3>SE215-CL-TW1-EFS</h3>,https://risbar.kz/wp-content/uploads/product/se215-cl-tw1-efs-1.jpg; https://risbar.kz/wp-content/uploads/product/se215-cl-tw1-efs-2.jpg; https://risbar.kz/wp-content/uploads/product/se215-cl-tw1-efs-3.jpg; https://risbar.kz/wp-content/uploads/product/se215-cl-tw1-efs-4.jpg; https://risbar.kz/wp-content/uploads/product/se215-cl-tw1-efs-5.jpg; https://risbar.kz/wp-content/uploads/product/se215-cl-tw1-efs-6.jpg; https://risbar.kz/wp-content/uploads/product/se215-cl-tw1-efs-2-550x550.jpg; https://risbar.kz/wp-content/uploads/product/se215-cl-tw1-efs-3-550x550.jpg; https://risbar.kz/wp-content/uploads/product/se215-cl-tw1-efs-4-550x550.jpg; https://risbar.kz/wp-content/uploads/product/se215-cl-tw1-efs-5-550x550.jpg; https://risbar.kz/wp-content/uploads/product/se215-cl-tw1-efs-6-550x550.jpg,https://risbar.kz/product/se215-cl-tw1-efs/
SE215-K+BT2-EFS,,Внутриканальные наушники,0,Наличие:В наличии,"Описание Shure SE215-K+BT2-EFS — это внутриканальные наушники, оснащенные одним динамическим драйвером. Звучание модели характеризуется как теплое и детализированное с глубокими усиленными басами. Важным преимуществом наушников является их звукоизолирующая конструкция, отсекающая до 37 дБ внешних шумов. Наушники поддерживают технологию Bluetooth, что делает их совместимыми с любыми медиа устройствами (планшеты, ноутбуки, смартфоны и пр.). В комплект поставки входит несколько полезных аксессуаров (сменные насадки, клипса для крепления наушников к одежде и мягкий чехол на молнии). Поддержка технологии беспроводной связи Bluetooth v.5.0 (примерно 8 часов работы в радиусе приема сигнала до 10 м) Диапазон частот от 22 до 17 000 Гц",Производитель: Shure | Наименование: <h3>SE215-K+BT2-EFS </h3> | Партномер: <h3>SE215-K+BT2-EFS</h3>,https://risbar.kz/wp-content/uploads/product/se215-kbt2-efs-1.png; https://risbar.kz/wp-content/uploads/product/se215-kbt2-efs-2.png; https://risbar.kz/wp-content/uploads/product/se215-kbt2-efs-2-550x550.png,https://risbar.kz/product/se215-kbt2-efs/
SE215-K+UNI-EFS,,Внутриканальные наушники,0,Наличие:В наличии,"Описание Shure SE215-K+UNI-EFS — это внутриканальные наушники компактных размеров в черной расцветке. В конструкции модели использован динамический драйвер, обеспечивающий не только качественное и чистое звучание, но и абсолютный комфорт при прослушивании музыки в течение длительного времени. Звучание наушников получается насыщенным и четким с глубокими басами. Наушники совместимыми с любыми медиа устройствами (мобильными телефонами, планшетами, музыкальными плеерами и т.п.) и комплектуются большим количеством полезных аксессуаров: несколько кабелей, набор сменных насадок разных размеров и мягкий чехол на молнии. Звукоизолирующая конструкция блокирует до 37 дБ посторонних шумов Диапазон частот от 22 до 17 000 Гц",Производитель: Shure | Наименование: <h3>SE215-K+UNI-EFS</h3> | Партномер: <h3>SE215-K+UNI-EFS</h3>,https://risbar.kz/wp-content/uploads/product/se215-kuni-efs-1.png,https://risbar.kz/product/se215-kuni-efs/
SE215-K-EFS,,Внутриканальные наушники,0,Наличие:В наличии,"Описание Shure SE215-K-EFS – прозрачные внутриканальные наушники с одним динамическим драйвером Sound Isolating™. Профессиональные внутриканальные наушники SE215 серии Sound Isolating™ обеспечивают чистый звук и глубокий бас благодаря одному динамическому драйверу высокого качества. Эргономичная конструкция включает в себя кабель с удобным расположением за ушами, что позволяет зафиксировать наушники и спрятать кабель. Технология звукоизоляции позволяет блокировать до 37 дБ окружающего шума. В комплекте чехол и набор втулок для комфортного использования. Динамический микродрайвер обеспечивает чистое звучание с глубоким басом в прочном и эргономичном корпусе. Звукоизолирующая конструкция блокирует до 37 дБ окружающего шума, чтобы вы могли слышать все детали вашей музыки. Наушники надёжно фиксируются, а съёмный кабель удобно размещается за ушами. Позолоченные разъёмы MMCX позволяют поворачивать наушник на 360 градусов для более комфортного размещения. Съёмный кабель достаточно прочен, чтобы выдерживать каждодневное использование, в то же время его легко заменить в случае повреждения. В комплекте чехол для переноски и набор втулок. Разработаны для использования на сцене и имеют двухлетнюю гарантию.",Производитель: Shure | Наименование: <h3>SE215-K-EFS</h3> | Партномер: <h3>SE215-K-EFS</h3>,https://risbar.kz/wp-content/uploads/product/se215-k-efs-1.png; https://risbar.kz/wp-content/uploads/product/se215-k-efs-2.png; https://risbar.kz/wp-content/uploads/product/se215-k-efs-2-550x538.png,https://risbar.kz/product/se215-k-efs/
SE215-K-LEFT,,Внутриканальные наушники,0,Наличие:В наличии,"Описание SHURE SE215-K-LEFT — сменный наушник (левый) для внутриканальных наушников SE215-K из линейки Sound Isolating™. Благодаря своей разборной конструкции модель SE215-K – практически вечная. Можно отдельно заменить кабель, левый или правый наушник, использовать запасные амбушюры разных размеров. Наушники оснащены высококачественными динамическими микродрайверами, позволяющими получить богатое звучание с глубокими, насыщенными басами. Звук наушников SE215-K отличается великолепной детализацией благодаря современной технологии, многократно протестированной профессиональными музыкантами и доведённой до совершенства инженерами Shure. Конструкция наушников обеспечивает идеальную звукоизоляцию, до 37 дБ, что отражено в названии модели. Эргономичная форма корпуса и мягкие амбушюры позволяют комфортно разместить наушники, благодаря чему их можно использовать продолжительное время без какого-либо дискомфорта.",Производитель: Shure | Наименование: <h3>SE215-K-LEFT</h3> | Партномер: <h3>SE215-K-LEFT</h3>,https://risbar.kz/wp-content/uploads/product/se215-k-left-1.png,https://risbar.kz/product/se215-k-left/
