title,article,category,price,availability,description,details,images,url
DCNM-FAI,,Врезная конференц-система Dicentis,0,Наличие:В наличии,"Описание Bosch DCNM-FAI предназначено для индивидуальных решений: Соединение с источниками звука, отличными от микрофонов DICENTIS Микрофон и линейный уровень Фантомное питание 48 В Вход/выход для управления и индикации Врезной аудиоинтерфейс предназначен для индивидуальных решений. Он позволяет подключить к устройству DCNM-FBD2 микрофон от стороннего производителя. Кроме того, DCNM-FAI поддерживает другие типы аудиовходов, например: Линейный вход Симметричное или несимметричное аудио Микрофоны с фантомным питанием 48 В. Функции Трибуна с микрофонами DICENTIS Аудиоинтерфейс также имеет 2 разъема CLIK-mate для подключения 2 панелей DCNM-FMCP к устройству DCNM-FBD2, что позволит обустроить трибуну. Другие микрофоны Врезной аудиоинтерфейс позволяет подключать к DCNM-FBD2 один микрофон или один линейный источник звука для создания индивидуальных решений. DCNM-FAI имеет контактный вход и два выхода: Входной контакт для подключения пользовательской кнопки микрофона Выходы для индикации состояния кнопки микрофона. Использование переключателей Выбор уровня и усиления. Выбор варианта питания. Подключения 8-контактный входной аудио/микрофонный разъем для приема симметричного/несимметричного аудиосигнала, установки состояния кнопки и управления светодиодами микрофона. Два разъема для подключения к DCNM-FMCP (для питания и управления светодиодами). Симметричный аудиоинтерфейс для подключения к DCNM-FBD2 с помощью кабеля 2 м с 3-контактной клеммной колодкой. Интерфейс управления через RJ12 к DCNM-FBD2 и другим устройствам. Информация для заказа Наименование Описание Номер заказа DCNM-FAI Встраиваемый аудиоинтерфейс Врезной аудиоинтерфейс для микрофона от стороннего производителя. DCNM-FAI | F.01U.402.926 Дополнительное оборудование Врезной ручной микрофон DCNM-FHH Врезной ручной микрофон с кабелем длиной 5 м (16,4 фута). DCNM-FHH | F.01U.405.507 Ручной микрофон со спиральным кабелем DCNM-FHHC Врезной ручной микрофон с кабелем длиной 1,5 м (4,9 фута) (в вытянутом состоянии). DCNM-FHHC | F.01U.405.508 Сервисы EWE-DCNMFU-IW 12-месячная расширенная гарантия на врезное устройство DICENTIS Расширение гарантии 12 мес. EWE-DCNMFU-IW | F.01U.407.055",Производитель: Bosch | Наименование: <h3>DCNM-FAI</h3> | Партномер: <h3>F01U402926</h3> | Номинальный уровень входа (dBV) (0 дБ) (микрофон): -46 dBV | Максимальный уровень входа (dBV) (0 дБ) (микрофон): -16 dBV | Номинальный уровень входа (dBV) (18 дБ) (микрофон): -64 дБВ | Максимальный уровень входа (dBV) (18 дБ) (микрофон): -34 дБВ | Номинальный уровень входного сигнала (дБВ) (0 дБ) (линия): -12 дБВ | Максимальный уровень входного сигнала (дБВ) (18 дБ) (линия): 0 дБВ | Номинальный входной уровень (дБВ) (18 дБ) (линия): -30 дБВ | Выбор усиления (дБ): 0; 6; 12; 18 | Потребляемая мощность (Вт): 0.5 W | Рабочее напряжение (В пост. тока): 5 VDC | Напряжение на выходе (В пост. тока) (фантомное): 48 В пост. тока | Выходной ток (мА) (фантомное): 5 mA | Напряжение на выходе (В пост. тока) (светодиод): 4.5 VDC | Максимальный ток на выходе (мА) (на цветной светодиод): 10 мА | Размеры (В × Ш × Г) (мм): 82 мм x 122 мм x 28 мм | Размеры (В × Ш × Г) (дюйм): 3.23 in x 4.80 in x 1.10 in | Вес (г): 126.90 г | Вес (фунтов): 0.28 lb | Цветовой код: RAL 9017 темно-черный | Рабочая температура  (°C): 5 °C – 45 °C | Рабочая температура (°F): 41 °F – 113 °F | Температура при транспортировке (°C): -30 °C – 70 °C | Температура при транспортировке (°F): -22 °F – 158 °F | Температура хранения (°C): -5 °C – 45 °C | Температура хранения (°F): 23 °F – 113 °F | Относительная влажность при работе (без конденсации) (%): 5% – 90%,https://risbar.kz/wp-content/uploads/product/dcnm-fai-1.png,https://risbar.kz/product/dcnm-fai/
DCNM-FBD2,,Врезная конференц-система Dicentis,0,Наличие:В наличии,"Описание Стандартный режим с 2 участниками Возможность настройки для 4 участников с общими микрофонами и громкоговорителями Сквозное подключение с кабелем DICENTIS Bosch DCNM-FBD2 — базовое устройство предназначено для врезной установки. Оно добавляет ряд функций, которые могут пригодиться председателям и участникам конференции. Каждому входу можно назначить собственный номер рабочего места, что позволяет использовать DCNM-FBD2 для обслуживания двух участников. С помощью лицензии на двойное использование максимальное число участников можно увеличить до 4 с общими микрофонами и громкоговорителями. Функции DCNM-FBD2 используется совместно с врезными панелями для утопленного монтажа. Устройство может быть установлено под столешницей или встроено в подлокотник кресла Оно обеспечивает сквозное подключение к другому врезному базовому устройству Устройство имеет два аудиовхода для подключения к двум DCNM-FMCP при использовании врезного микрофона DICENTIS. Зеленый/желтый светодиод указывает на состояние устройства. Подключения Два разъема RJ12 для подключения кнопочных модулей. Каждый разъем используется одним участником, однако несколько модулей, например DCNM-FMICB и DCNM-FPRIOB, могут быть последовательно подключены к одному порту. Два симметричных аудиовхода для подключения DCNM-FMCP (3-контактная клеммная колодка). Два разъема RJ45 для подключения сигналов связи системы и питания. Два выхода громкоговорителей для подключения DCNM-FLSP (2-контактная клеммная колодка).","Производитель: Bosch | Наименование: <h3>DCNM-FBD2</h3> | Партномер: <h3>F01U405788</h3> | Рабочее напряжение: 48 В пост. тока | Потребляемая мощность: 5 Вт (только FBD) | Потребляемая мощность с модулями: Воспользуйтесь инструментом расчета мощности | Тип монтажа: Монтаж на стену, под крышкой стола или под сидением кресла, в подлокотнике кресла или в кабельном канале | Размеры (В × Ш × Г): 32 х 100 х 200 мм | Вес: 656 г | Цветовой код: RAL 9017 темно-черный | Рабочая температура: 5 °C – 45 °C | Температура транспортировки: -30 °C – 70 °C | Температура хранения: -5 °C – 45 °C | Относительная влажность при работе (без конденсации): 5% – 90% | Комплектация: <br>1 х Встраиваемое базовое устройство DCNM-FBD 2<br>1 х Руководство по быстрой установке<br>1 х Противосъемный кронштейн<br>2 х Кабель CAN, 2 м<br>2 х Кабель CAN, 30 см",https://risbar.kz/wp-content/uploads/product/dcnm-fbd2-1.JPG,https://risbar.kz/product/dcnm-fbd2/
DCNM-FBPS,,Врезная конференц-система Dicentis,0,Наличие:В наличии,Описание Закрывает места размером 50 мм Изящный и современный дизайн Имеется два варианта панелей различной ширины: 100 мм (DCNM-FBPW) и 50 мм (DCNM-FBPS) Bosch DCNM-FBPS — пустая панель аккуратно закрывает неиспользуемые места встраиваемого устройства. При необходимости расширения системы ее можно снять.,"Производитель: Bosch | Наименование: <h3>DCNM-FBPS</h3> | Партномер: <h3>F01U393972</h3> | Тип монтажа: Устанавливается защелкиванием на металлической панели толщиной 2 мм или в сочетании с встраиваемыми соединительными муфтами DCN-FCOUP и встраиваемыми заглушками DCNM-FEC в любых окружающих условиях | Габариты: 56 мм x 50 мм | Масса: 16 г | Цвет RAL: RAL 9017 черный транспортный | Температура транспортировки: -30 °C – 70 °C | Температура хранения: -5 °C – 45 °C | Относительная влажность при работе, без конденсации: 5% — 90%",https://risbar.kz/wp-content/uploads/product/dcnm-fbps-1.jpeg,https://risbar.kz/product/dcnm-fbps/
DCNM-FBPW,,Врезная конференц-система Dicentis,0,Наличие:В наличии,Описание Закрывает места размером 100 мм Изящный и современный дизайн Имеется два варианта панелей различной ширины: 100 мм (DCNM-FBPW) и 50 мм (DCNM-FBPS) Bosch DCNM-FBPW — пустая панель аккуратно закрывает неиспользуемые места встраиваемого устройства. При необходимости расширения системы ее можно снять.,"Производитель: Bosch | Наименование: <h3>DCNM-FBPW</h3> | Партномер: <h3>F01U393973</h3> | Тип монтажа: Устанавливается защелкиванием на металлической панели толщиной 2 мм или в сочетании с встраиваемыми соединительными муфтами DCN-FCOUP и встраиваемыми заглушками DCNM-FEC в любых окружающих условиях | Габариты: 56 мм x 100 мм | Масса: 28 г | Цвет RAL: RAL 9017 черный транспортный | Температура транспортировки: -30 °C – 70 °C | Температура хранения: -5 °C – 45 °C | Относительная влажность при работе, без конденсации: 5% — 90%",https://risbar.kz/wp-content/uploads/product/dcnm-fbpw-1.jpeg,https://risbar.kz/product/dcnm-fbpw/
DCNM-FHH,,Врезная конференц-система Dicentis,0,Наличие:В наличии,"Описание Если на столе недостаточно места, микрофон можно установить на напольной стойке; Прямой кабель 5 м; Встроенная защита от хлопков и дыхания; Кнопка запроса на выступления и светодиодные индикаторы состояния. Bosch DCNM‑FHH — это узконаправленный конденсаторный микрофон со встроенной защитой от хлопков и дыхания. Удобно помещается в одной руке и имеет кнопку управления. Врезной ручной микрофон устанавливается на сиденьях для участников, где нет места для настольного или врезного монтажа. Микрофон также можно расположить на напольной стойке. Имеется возможность подключения врезных ручных микрофонов DICENTIS к аудиоинтерфейсу DCNM-FAI. При использовании двух аудиоинтерфейсов DCNM-FAI два таких микрофона могут подключаться к врезному базовому устройству 2. Функции Подключение к DCNM-FAI в качестве элемента системы DICENTIS. Конденсаторный микрофон со встроенной защитой от хлопков и дыхания. Кнопка запроса на выступление на микрофоне. Красный индикатор: микрофон включен. Зеленый индикатор: подтверждение запроса на выступление. Комплектация Компонент Количество Врезной ручной микрофон DCNM-FHH 1 Информация для заказа Наименование Описание Номер заказа DCNM-FHH Врезной ручной микрофон Врезной ручной микрофон с кабелем длиной 5 м (16,4 фута). DCNM-FHH | F.01U.405.507","Производитель: Bosch | Наименование: <h3>DCNM-FHH</h3> | Партномер: <h3>F01U405507</h3> | Полоса пропускания (Гц): 125 – 15 000 Гц | Динамический диапазон (дБ): 100 dB | Номинальный уровень акустического входа (dBSPL): 85 dB SPL | Максимальный уровень акустического входа (dBSPL): 115 dB SPL | Собственный шум (УЗД, дБ): 15 dB SPL | Длина кабеля (м): 5 м | Цветовой код RAL 9017: темно-черный | Рабочая температура (°C): 5 °C – 45 °C | Температура при транспортировке (°C): -30 °C – 70 °C",https://risbar.kz/wp-content/uploads/product/dcnm-fhh-1.png,https://risbar.kz/product/dcnm-fhh/
DCNM-FHHC,,Врезная конференц-система Dicentis,0,Наличие:В наличии,"Описание Если на столе недостаточно места, микрофон можно установить на напольной стойке; Прямой кабель 1.5 м (в выгнутом состоянии); Встроенная защита от хлопков и дыхания; Кнопка запроса на выступления и светодиодные индикаторы состояния. Bosch DCNM‑FHHC — это узконаправленный конденсаторный микрофон со встроенной защитой от хлопков и дыхания. Удобно помещается в одной руке и имеет кнопку управления. Врезной ручной микрофон устанавливается на сиденьях для участников, где нет места для настольного или врезного монтажа. Микрофон также можно расположить на напольной стойке. Имеется возможность подключения врезных ручных микрофонов DICENTIS к аудиоинтерфейсу DCNM-FAI. При использовании двух аудиоинтерфейсов DCNM-FAI два таких микрофона могут подключаться к врезному базовому устройству 2. Функции Подключение к DCNM-FAI в качестве элемента системы DICENTIS. Конденсаторный микрофон со встроенной защитой от хлопков и дыхания. Кнопка запроса на выступление на микрофоне. Красный индикатор: микрофон включен. Зеленый индикатор: подтверждение запроса на выступление. Комплектация Компонент Количество Ручной микрофон со спиральным кабелем DCNM-FHHC 1 Информация для заказа Наименование Описание Номер заказа DCNM-FHHC Ручной микрофон со спиральным кабелем Врезной ручной микрофон с кабелем длиной 1,5 м (4,9 фута) (в вытянутом состоянии). DCNM-FHHC | F.01U.405.508","Производитель: Bosch | Наименование: <h3>DCNM-FHHC</h3> | Партномер: <h3>F01U405508</h3> | Полоса пропускания (Гц): 125 – 15 000 Гц | Динамический диапазон (дБ): 100 dB | Номинальный уровень акустического входа (dBSPL): 85 dB SPL | Максимальный уровень акустического входа (dBSPL): 115 dB SPL | Собственный шум (УЗД, дБ): 15 dB SPL | Длина кабеля (м): 1.5 м (в вытянутом состоянии) | Цветовой код: RAL 9017 темно-черный | Рабочая температура (°C): 5 °C – 45 °C | Температура при транспортировке (°C): -30 °C – 70 °C | Температура хранения (°C): -5 °C – 45 °C | Относительная влажность при работе (без конденсации) (%): 5% – 95%",https://risbar.kz/wp-content/uploads/product/dcnm-fhhc-1.png,https://risbar.kz/product/dcnm-fhhc/
DCNM-FICH,,Врезная конференц-система Dicentis,0,Наличие:В наличии,"Описание Удерживает карту NFC в зоне действия считывателя; Карта легко вставляется и вынимается с трех сторон; Автоматический выход из системы при извлечении идентификационной карты. Bosch DCNM-FICH — держатель идентификационной карты обеспечивает правильное расположение идентификационной карты рядом с устройством DCNM-FIDP для непрерывной и надежной идентификации. При правильных настройках программного обеспечения DICENTIS участник будет оставаться зарегистрированным в системе до тех пор, пока идентификационная карта остается в держателе. Если вытащить карту, участник выйдет из системы. Метод идентификации в системе DICENTIS по умолчанию заключается в проведении картой для входа в систему и выхода из нее. Однако есть режим программного обеспечения, при котором, чтобы участник оставался зарегистрированным в системе, идентификационная карта должна оставаться в зоне действия считывателей карт. Держатель DCNM-FICH обеспечивает соблюдение этого условия. Держатель идентификационной карты должен быть установлен слева или справа от устройства DCNMFIDP, на торцах панелей. Держатель DCNM-FICH заменяет заглушку DCNM-FEC на одной из сторон. Комплектация Компонент Количество DCNM-FICH Flush ID card holder 25 Информация для заказа Наименование Описание Номер заказа DCNM-FICH Врез. держатель идентификационной карты Держатель идентификационной карты для автоматического входа участника в систему при установке карты и выхода из системы после ее извлечения. DCNM-FICH | F.01U.402.928","Производитель: Bosch | Наименование: <h3>DCNM-FICH</h3> | Партномер: <h3>F01U402928</h3> | Размеры (В × Ш × Г) (мм): 23 x 40 x 56 | Вес, г: 7г | Цветовой код: RAL 9017 темно-черный",https://risbar.kz/wp-content/uploads/product/dcnm-fich-1.png,https://risbar.kz/product/dcnm-fich/
DCNM-FIDP,,Врезная конференц-система Dicentis,0,Наличие:В наличии,"Описание Считыватель карт NFC для идентификации участника; Светящийся значок для удобства пользователя; Опциональный держатель карты; Значок светится только тогда, когда функция доступна, чтобы не отвлекать от работы. Панель Bosch DCNM-FIDP поддерживает быстрое распознавание участников посредством идентификации NFC-карты. Идентификация позволяет зарегистрировать присутствие участника на совещании и авторизовать его. После идентификации для безопасности и удобства участнику назначаются полномочия и язык перевода в наушниках. Устройство обнаруживает идентификационные карты на расстоянии от 0 до 1 см для предотвращения непреднамеренной идентификации. Функции Поддержка идентификационных карт. Возможность подключения 4 врезных панелей идентификации к устройству DCNM-FBD2 в режиме двух пользователей. Подключения Интерфейс управления через RJ12 к DCNM-FBD2 и другим устройствам. Комплектация Компонент Количество Врезная панель идентификации DCNM-FIDP 1 Кабель 30 см 1 Информация для заказа Наименование Описание Номер заказа DCNM-FIDP Встраиваемая панель идентификации Врезная панель идентификации. DCNM-FIDP | F.01U.402.925 Дополнительное оборудование DCNM-FICH Врез. держатель идентификационной карты Держатель идентификационной карты для автоматического входа участника в систему при установке карты и выхода из системы после ее извлечения. DCNM-FICH | F.01U.402.928 Дополнительное программное обеспечение DCNM-LSID Лицензия ПО идентификации на 1 место Лицензия на программное обеспечение DICENTIS для включения идентификации на месте на дискуссионном устройстве DICENTIS с функцией голосования, дискуссионном устройстве DICENTIS с селектором канала перевода, дискуссионном устройстве DICENTIS с сенсорным экраном, мультимедийном устройстве DICENTIS и беспроводном устройстве DICENTIS с расширенными возможностями. DCNM-LSID | F.01U.300.533","Производитель: Bosch | Наименование: <h3>DCNM-FIDP</h3> | Партномер: <h3>F01U402925</h3> | Тип монтажа: Устанавливается защелкиванием на металлической панели толщиной 2 мм или в сочетании с врезными соединительными муфтами DCN-FCOUP и врезными заглушками DCNM-FEC в любых окружающих условиях | Размеры (В × Ш × Г) (мм): 56 x 50 x 34 | Вес, гр.: 35 г | Цветовой код: RAL 9017 темно-черный | Потребляемая мощность (Вт): 0.5 W | Рабочее напряжение (В пост. тока): 5 VDC | Рабочая температура (°C): 5 °C – 45 °C | Температура при транспортировке (°C): -30 °C – 70 °C | Температура хранения (°C): -5 °C – 45 °C | Относительная влажность при работе (без конденсации) (%): 5% – 90%",https://risbar.kz/wp-content/uploads/product/dcnm-fidp-1.png,https://risbar.kz/product/dcnm-fidp/
DCNM-FLSP,,Врезная конференц-система Dicentis,0,Наличие:В наличии,"Описание Изящный и современный дизайн Превосходное качество звука Bosch DCNM-FLSP — встраиваемая панель громкоговорителя предназначена для использования с встраиваемым базовым устройством (DCNM-FBD). Она представляет собой динамик за решеткой. Громкоговоритель обеспечивает превосходное качество звука. Громкоговоритель и микрофон могут быть включены одновременно, что гарантирует участникам наилучшее качество звука. Подключения • Кабель 2 м (78,7 дюйма) с 2-контактной клеммной колодкой.","Производитель: Bosch | Наименование: <h3>DCNM-FLSP</h3> | Партномер: <h3>F01U383840</h3> | Частотная характеристика: 125 Гц – 15000 Гц (–3 дБ при номинальном уровне) | Коэффициент нелинейных искажений + шум: 0,10% | Номинальный уровень акустического выхода: 72 дБ SPL (при 0,5 м) | Максимальный уровень акустического выхода: 87 дБ SPL | Номинальное полное сопротивление: 8 Ом / 2 Вт | Тип монтажа: Устанавливается защелкиванием на металлической панели толщиной 2 мм или в сочетании с встраиваемыми соединительными муфтами DCN-FCOUP и встраиваемыми заглушками DCNM-FEC в любых окружающих условиях | Размеры (В × Ш × Г): 74 х 100 х 31 мм | Вес: 175 г | Цветовой код: RAL 9017 темно-черный | Рабочая температура: 5 °C – 45 °C | Температура транспортировки: –30 °C – 70 °C | Температура хранения: -5 °C – 45 °C | Относительная влажность при работе (без конденсации): 5% – 90% | Комплектация: 1 х Встраиваемая панель громкоговорителя DCNM-FLSP",https://risbar.kz/wp-content/uploads/product/dcnm-flsp-1.jpeg,https://risbar.kz/product/dcnm-flsp/
DCNM-FMCP,,Врезная конференц-система Dicentis,0,Наличие:В наличии,Описание Изящный и современный дизайн Технология противоударной защиты для снижения внешнего шума Микрофон и громкоговоритель могут быть включены одновременно Надежное соединение с микрофоном Bosch DCNM-FMCP — Панель подключает съемные микрофоны DCNM-MICSLS и DCNM-MICSLL к одному из аудиовходов встраиваемого базового устройства (DCNM-FBD). Конструкция с противоударной защитой сводит к минимуму нежелательные звуки со стола. Панель оснащена предусилителем мощности для микрофона. При этом сохраняется устойчивость к помехам от мобильных телефонов и управление светодиодами микрофона. Подключения • Симметричный аудиоинтерфейс для подключения к DCNM-FBD (кабель 2 м с 3-контактной клеммной колодкой). • Интерфейс управления и питания к DCNM-FMICB/DCNM-FPRIOB.,"Производитель: Bosch | Наименование: <h3>DCNM-FMCP</h3> | Партномер: <h3>F01U383837</h3> | Частотная характеристика: 125 Гц – 15000 Гц (–3 дБ при номинальном уровне) | Коэффициент нелинейных искажений + шум: 0,10% | Динамический диапазон: 90 дБ | Отношение сигнал/шум ( &gt;заявленного значения): 90 дБ | Номинальный уровень акустического выхода: 80 дБ SPL | Максимальный уровень акустического выхода: 110 дБ SPL | Тип монтажа: Устанавливается защелкиванием на металлической панели толщиной 2 мм или в сочетании с встраиваемыми соединительными муфтами DCN-FCOUP и встраиваемыми заглушками DCNM-FEC в любых окружающих условиях | Размеры (В × Ш × Г): 56 х 50 х 80 мм | Вес: 70 г | Цветовой код: RAL 9017 темно-черный | Рабочая температура: 5 °C – 45 °C | Температура транспортировки: -30 °C – 70 °C | Температура хранения: -5 °C – 45 °C | Относительная влажность при работе (без конденсации): 5% – 90% | Комплектация: 1 х Встраиваемая панель DCNM-FMCP для подключения микрофона<br>1 х Кабель питания<br>1 х Аудиокабель<br>",https://risbar.kz/wp-content/uploads/product/dcnm-fmcp-1.jpeg,https://risbar.kz/product/dcnm-fmcp/
