title,article,category,price,availability,description,details,images,url
DANTE-MY16-AUD2,,Интерфейсы и конвертеры,0,Наличие:В наличии,"Описание Карта Dante-MY16-AUD2 полностью совместима со стандартом Yamaha Mini-YGDAI, благодаря чему микшер, процессор или усилитель Yamaha становится совместимым с протоколом Dante. Каждая карта Dante-MY16-AUD2 предлагает 16 входов и 16 выходов (8 при частоте 96 кГц) и полное резервирование сети Dante через Gigabit Ethernet. Свойства: Наряду с поддерживаемыми ранее частотами дискретизации 48 и 96кГц, добавлена поддержка частот дискретизации 44.1 и 88.2кГц. Для синхронизации с видеосигналом, претерпевшим изменения в частоте кадров, возможно использование изменения частоты дискретизации. Карты Dante-MY16-AUD2 можно подключать последовательно через второй порт Ethernat. Доступ к карте Dante-MY16-AUD2 может быть заблокирован PIN кодом с помощью контроллера Dante. 2 разъема RJ-45 для подключения ввода/вывода Dante, 1 разъем D-sub 9 pin для RS232-C. Возможность выбора задержки из установленных значений: 0.25 мс, 0.5 мс, 1.0 мс, 2.0 мс или 5.0 мс. Благодаря использованию нескольких карт Dante-MY16-AUD2 можно передавать более 16 каналов. Автоматическое обнаружение и установка устройств в сети. Возможность изменения наименований устройств. Возможность непосредственного ввода/вывода в PC или Mac без дополнительных интерфейсов.",Производитель: Yamaha | Наименование: <h3>DANTE-MY16-AUD2</h3> | Партномер: <h3>N10005876</h3> | Тип: плата расширения | AD/DA: 32 бит 96 кГц | Совместимость: Mini-YGDAI | Стандарт: Dante | Каналы: 16 in/out | Электропитание: от главного устройства | Размеры (мм): 120x40x176,https://risbar.kz/wp-content/uploads/product/dante-my16-aud2-1.jpg; https://risbar.kz/wp-content/uploads/product/dante-my16-aud2-2-scaled.jpg; https://risbar.kz/wp-content/uploads/product/dante-my16-aud2-2-scaled-550x550.jpg,https://risbar.kz/product/dante-my16-aud2/
DCP1V4SEU,,Интерфейсы и конвертеры,0,Наличие:В наличии,"Описание YAMAHA DCP1V4SEU — это удаленная панель управления серии DCP для процессоров MTX от Yamaha. Разработанные преимущественно для многозонных коммерческих инсталляционных систем, матричные процессоры серии MTX оснащены гибкими функциями, необходимыми для таких сфер применения, как розничные магазины, рестораны, бары, банкетные залы. Решая основные задачи обработки системных данных, процессоры MTX позволяют настраивать, программировать и контролировать всю аудиосистему с помощью интуитивно понятного интерфейса программного приложения MTX Editor. Серия MTX включает в себя две модели, которые различаются параметрами DSP, а также возможностями расширения. Обе модели отвечают требованиям самых взыскательных клиентов. Гибкость внешнего управления достигается, в частности, при помощи использования удаленных панелей управления. В сочетании с настенными цифровыми контролерами серии DCP процессоры MTX позволяют регулировать громкость и другие настройки в нескольких зонах с использованием дистанционного режима управления. Вы можете объединять до восьми контролеров DCP (питание для них подается по кабелю) на расстоянии до 200 метров, что существенно повышает гибкость процесса инсталляции. Для настройки параметров внешних контроллеров можно использовать программу MTX Editor. Применяемые в процессорах MTX функции обработки данных можно легко назначить на переключатели и регуляторы настенных контроллеров серии DCP. Контроллеры DCP обеспечивают гибкое управление различными функциями — вызовом предустановок из памяти, регулированием уровней сигнала и воспроизведением файлов с карты SD. Серия DCP включает три модели с разной конфигурацией переключателей и регуляторов. В соответствии со стандартами США и ЕС в кажом случае все три модели имеют разных размеры, и при этом отвечают нормативам большинства регионов мира. К одному устройству серии MTX можно подключить до 8 панелей DCP. Данная модель, DCP1V4SEU, имеет четыре переключателя и один регулятор громкости, представлена в белом цвете корпуса.",Производитель: Yamaha | Наименование: <h3>DCP1V4SEU</h3> | Партномер: <h3>ZC96750</h3>,https://risbar.kz/wp-content/uploads/product/dcp1v4seu-1.jpg,https://risbar.kz/product/dcp1v4seu/
DCP4S-EU,,Интерфейсы и конвертеры,0,Наличие:В наличии,"Описание DCP4S-EU — встраиваемая сетевая контрольная панель с 4 переключателями для усилителей серий MA, RA, MTX, MRX. Основные особенности: Встраиваемая сетевая контрольная панель 4 переключателя Разъем Ethernet Питание по кабелю Ethernet от управляемого усилителя Управление по кабелю Ethernet по станlарту RS-485 Вариант EU для установки в стандартную европейскую монтажную коробку При подключении к усилителям MA2120 и PA2120 возможно подключение одной или двух панелей DCP При подключении к усилителям MTX возможно подключение до 8 панелей DCP на расстоянии 200-1000 метров",Производитель: Yamaha | Наименование: <h3>DCP4S-EU</h3> | Партномер: <h3>ZC96760</h3>,https://risbar.kz/wp-content/uploads/product/dcp4s-eu-1.jpg,https://risbar.kz/product/dcp4s-eu/
DCP4V4S-EU,,Интерфейсы и конвертеры,0,Наличие:В наличии,Описание DCP4V4S-EU — встраиваемая цифровая панель управления Основные особенности: 4 регулятора громкости и 4 переключателя Настенная панель управления для серии MTX Простое соединение при помощи кабеля Ethernet CAT5 передающий RS485 + питание К однму MTX возможно подключить до 8 DCP,Производитель: Yamaha | Наименование: <h3>DCP4V4S-EU</h3> | Партномер: <h3>ZC96770</h3>,https://risbar.kz/wp-content/uploads/product/dcp4v4s-eu-1.jpg,https://risbar.kz/product/dcp4v4s-eu/
EXi8,,Интерфейсы и конвертеры,0,Наличие:В наличии,"Описание EXi8 — это высококачественный модуль входных каналов, предназначенный для расширения функциональных возможностей систем акустического оформления серий MTX и MRX. Его главная задача заключается в том, чтобы преобразовывать аналоговый сигнал (микрофонный и линейный) в цифровой и передавать его последующему оборудованию. Он оснащен передовыми AD-конверторами, которые обеспечивают высокое качество звука с хорошей частотой семплирования. Прибор работает в широком частотном спектре с большим динамическим запасом и имеет ничтожно малый коэффициент нелинейных искажений и рабочих шумов. Для работы с конденсаторными микрофонами в нем предусмотрено фантомное питание. Управление EXi8 осуществляется посредством цифрового интерфейса. Входы основных сигналов выполнены на четырех разъемах стандарта Euroblock. Два разъема RJ45 цифрового интерфейса YDIF служат для кольцевого соединения компонентов MTX и MRX. Дополнительно модуль поддерживает сетевое подключение к интернету. Также, на задней панели устройства расположен переключатель Unit ID, который служит для присвоения конкретного идентификатора. DIP переключатели обеспечивают настройку определенных параметров и функций прибора. Сам корпус прибора выполнен в надежной металлической конструкции и позволяет установку в стандартную рэковую стойку, в которой занимает всего 1 юнит. Отличительные особенности: матричный модуль входных каналов; служит для расширения возможностей систем акустического оформления; высококачественные AD-конверторы; полная совместимость с устройствами MTX и MRX; поддержка высоких показателей частоты дискретизации; широкий диапазон частот с хорошим динамическим запасом; малый коэффициент рабочих шумов и нелинейных искажений; фантомное питание для микрофонов конденсаторного типа; четыре входа основных сигналов на разъемах Euroblock; цифровой интерфейс YDIF на двух RJ45; поддержка сетевого подключения Ethernet; переключатель идентификатора Unit ID; тумблеры DIP для настройки параметров; прочная металлическая конструкция с возможностью установки в рэковую стойку.","Производитель: Yamaha | Наименование: <h3>EXi8</h3> | Партномер: <h3>ZC96800</h3> | Тип: модуль расширения входных каналов | Частота дискретизации: 48 кГц | Задержка сигнала: 2.5 мс | Коэффициент нелинейных искажений: 0.05% | Диапазон воспроизводимых частот: 20 Гц — 20 кГц | Динамический диапазон: 107 дБ | Уровень входных шумов: -126 дБ | Перекрестные искажения: -100 дБ | Фантомное питание: +48 В | Входы: 4 x Euroblock | Интерфейс YDIF: 2 x RJ45 (для подключения устройств MTX/MRX) | Интернет порт: 1 x RJ45 | Питание: 100-240 В / 50/60 Гц | Потребляемая мощность: 25 Вт | Рэковый размер: 19"" x 1U | Размеры: 480 х 44 х 351 мм | Вес: 4.3 кг",https://risbar.kz/wp-content/uploads/product/exi8-1.jpg,https://risbar.kz/product/exi8/
EXo8,,Интерфейсы и конвертеры,0,Наличие:В наличии,"Описание EXo8 — это высококачественный модуль выходных каналов, предназначенный для расширения функциональных возможностей систем акустического оформления серий MTX и MRX. Его главная задача заключается в том, чтобы преобразовывать цифровой сигнал в аналоговый и передавать его последующему оборудованию. Он оснащен передовыми DA-конверторами, которые обеспечивают высокое качество звука с хорошей частотой семплирования. Прибор работает в широком частотном спектре с большим динамическим запасом и имеет ничтожно малый коэффициент нелинейных искажений и рабочих шумов. Управление EXo8 осуществляется посредством цифрового интерфейса. Выходы основных сигналов выполнены на четырех разъемах стандарта Euroblock. Два разъема RJ45 цифрового интерфейса YDIF служат для кольцевого соединения компонентов MTX и MRX. Дополнительно модуль поддерживает сетевое подключение к интернету. Также, на задней панели устройства расположен переключатель Unit ID, который служит для присвоения конкретного идентификатора. DIP переключатели обеспечивают настройку определенных параметров и функций прибора. Сам корпус прибора выполнен в надежной металлической конструкции и позволяет установку в стандартную рэковую стойку, в которой занимает всего 1 юнит. Отличительные особенности: матричный модуль выходных каналов; служит для расширения возможностей систем акустического оформления; высококачественные DA-конверторы; полная совместимость с устройствами MTX и MRX; поддержка высоких показателей частоты дискретизации; широкий диапазон частот с хорошим динамическим запасом; малый коэффициент рабочих шумов и нелинейных искажений; четыре выхода основных сигналов на разъемах Euroblock; цифровой интерфейс YDIF на двух RJ45; поддержка сетевого подключения Ethernet; переключатель идентификатора Unit ID; тумблеры DIP для настройки параметров; прочная металлическая конструкция с возможностью установки в рэковую стойку.","Производитель: Yamaha | Наименование: <h3>EXo8</h3> | Партномер: <h3>ZC96870</h3> | Тип: модуль расширения входных каналов | Частота дискретизации: 48 кГц | Задержка сигнала: 2.5 мс | Коэффициент нелинейных искажений: 0.05% | Диапазон воспроизводимых частот: 20 Гц — 20 кГц | Динамический диапазон: 107 дБ | Уровень входных шумов: -126 дБ | Перекрестные искажения: -100 дБ | Фантомное питание: +48 В | Входы: 4 x Euroblock | Интерфейс YDIF: 2 x RJ45 (для подключения устройств MTX/MRX) | Интернет порт: 1 x RJ45 | Питание: 100-240 В / 50/60 Гц | Потребляемая мощность: 25 Вт | Рэковый размер: 19"" x 1U | Размеры: 480 х 44 х 351 мм | Вес: 4.3 кг",https://risbar.kz/wp-content/uploads/product/exo8-1.jpg,https://risbar.kz/product/exo8/
HY128-MD,,Интерфейсы и конвертеры,0,Наличие:В наличии,"Описание Плата аудиоинтерфейса HY128-MD обеспечивает подключение MADI, обрабатывает до 128 входных и 128 выходных каналов цифрового аудио с параметрами 48 кГц/24 бит. Встроенная функция преобразования частоты дискретизации позволяет устанавливать соединение между устройствами, работающими с разными частотами дискретизации. Характеристики: Возможность передачи/приема до 128 входных и 128 выходных каналов несжатого цифрового аудио с параметрами 48 кГц/24 бит. Оптические и коаксиальные соединения с поддержкой резервирования. Если на одной линии передачи возникает неисправность, система автоматически переходит на вторую линию. Габариты (ШxВxГ): 125 x 37 x 207 мм Масса без упаковки: 0,45 кг",Производитель: Yamaha | Наименование: <h3>HY128-MD</h3> | Партномер: <h3>ZG71550</h3>,https://risbar.kz/wp-content/uploads/product/hy128-md-1.png,https://risbar.kz/product/hy128-md/
HY144-D,,Интерфейсы и конвертеры,0,Наличие:В наличии,"Описание HY144-D — это плата ввода/вывода цифрового сигнала с поддержкой протокола Dante. Позволяет одновременно задействовать до 144 входных и выходных каналов с разрешением 96 кГц/32 бит. Характеристики: Возможность передачи/приема до 144 входных и 144 выходных каналов несжатого цифрового аудио с параметрами 96 кГц/32 бит. Поддержка резервированных соединений с Primary и Secondary линиями. Также поддерживаются последовательные подключения. Индикаторы отображают состояние связи, что полезно для выявления и устранения неисправностей. Габариты (ШxВxГ): 125 x 37 x 207 мм Масса без упаковки: 0,25 к",Производитель: Yamaha | Наименование: <h3>HY144-D </h3> | Партномер: <h3>ZG71350</h3>,https://risbar.kz/wp-content/uploads/product/hy144-d-1.JPG,https://risbar.kz/product/hy144-d/
HY144-D-SRC,,Интерфейсы и конвертеры,0,Наличие:В наличии,"Описание Плата аудиоинтерфейса HY144-D-SRC поддерживает протокол аудиосети Dante и может обрабатывать до 144 входных и 144 выходных каналов цифрового аудио с параметрами 96 кГц/32 бит. Встроенная функция преобразования частоты дискретизации позволяет устанавливать соединение между устройствами, работающими с разными частотами дискретизации. Пять режимов работы, которые можно выбирать с помощью встроенного ПО. Характеристики: Возможность передачи/приема до 144 входных и 144 выходных каналов несжатого цифрового аудио с параметрами 96 кГц/32 бит. Primary и Secondary разъемы позволяют организовать резервирование соединений. Также поддерживаются последовательные подключения. Пять режимов, выбираемых с помощью встроенного ПО: 144io (преобразователь частоты дискретизации (ПЧД) выкл., 144 вх./144 вых.), 144io SyncSRC (ПЧД вкл., синхронный, 144 вх./144 вых.), 72io AsyncSRC (ПЧД вкл., асинхронный, 72 вх./72 вых.), 144in AsyncSRC (ПЧД вкл., асинхронный, 144 вх./0 вых.), 144o AsyncSRC (ПЧД вкл., асинхронный, 0 вх./144 вых.). Габариты (ШxВxГ): 125 x 37 x 207 мм Масса без упаковки: 0,25 кг",Производитель: Yamaha | Наименование: <h3>HY144-D-SRC</h3> | Партномер: <h3>ZX57540</h3>,https://risbar.kz/wp-content/uploads/product/hy144-d-src-1.png,https://risbar.kz/product/hy144-d-src/
HY256-TL,,Интерфейсы и конвертеры,0,Наличие:В наличии,"Описание HY256-TL — это цифровая карта ввода/вывода, которая поддерживает протокол аудиосети TWINLANe компании Yamaha. Позволяет одновременно задействовать до 256 входных и выходных каналов с параметрами 96 кГц/32 бит, многомодовое оптоволоконное соединение обеспечивает надежную работу устройства. Стабильный обмен данными между картами на расстоянии до 300 метров. Характеристики: Возможность передачи/приема до 256 входных и 256 выходных каналов несжатого цифрового аудио с параметрами 96 кГц/32 бит. Поддержка резервированных соединений на базе кольцевой топологии. Индикаторы отображают состояние связи, что полезно для выявления и устранения неисправностей. Рекомендуемый кабель: многомодовый оптоволоконный кабель Neutrik lCON DUO Габариты (ШxВxГ): 125 x 37 x 207 мм Масса без упаковки: 0,25 кг",Производитель: Yamaha | Наименование: <h3>HY256-TL</h3> | Партномер: <h3>ZG71340</h3>,https://risbar.kz/wp-content/uploads/product/hy256-tl-1.JPG,https://risbar.kz/product/hy256-tl/
