title,article,category,price,availability,description,details,images,url
CVS LK02B6E,,Микрофонные кабели,0,Наличие:В наличии,"Описание Eurocable Link CVS LK02B6E – микрофонный кабель синего цвета, общим диаметром 6 мм, с медным экраном. В бухте 100 метров. Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Микрофонные кабели Eurocable диаметром 6,0 мм специально разработаны для тяжелых условий эксплуатации. Они устойчивы, если по ним ходить, сохраняют высокую гибкость в широком диапазоне температур, даже при температуре ниже 0 °C. Микрофонные кабели состоят из двух изолированных витых проводников и заземляющего провода, заключенных в спиральный медный экран высокой плотности для высокоэффективной защиты от шумов, радиопомех и электромагнитных полей. Изоляция изготовлена из высококачественного полиэтилена, который не дает усадки и не деформируется при высоких температурах при пайке. Профессиональные микрофонные кабели Eurocable доступны в шести цветах.","Производитель: Eurocable | Наименование: <h3>CVS LK02B6E</h3> | Партномер: <h3>CVS LK02B6E</h3> | Стандартная бухта: 100 м. | Площадь проводника (мм²/AWG): 0,22 мм<sup>2</sup> / 24 AWG | Внешний диаметр кабеля: 6 мм | Применение: Прокат, инсталляции | Область использования: Броадкаст, Мероприятия, Многофункциональные залы, Конференции, Сцена и развлечения, Студия, Театры, Тематические парки | Тип сигнала: Аудио | Рабочая температура: -5°C/+70°C | Цвет: Синий",https://risbar.kz/wp-content/uploads/product/cvs-lk02b6e-1.png,https://risbar.kz/product/cvs-lk02b6e/
CVS LK02G6E,,Микрофонные кабели,0,Наличие:В наличии,"Описание Eurocable Link CVS LK02G6E – микрофонный кабель серого цвета, общим диаметром 6 мм, с медным экраном. В бухте 100 метров. Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Микрофонные кабели Eurocable диаметром 6,0 мм специально разработаны для тяжелых условий эксплуатации. Они устойчивы, если по ним ходить, сохраняют высокую гибкость в широком диапазоне температур, даже при температуре ниже 0 °C. Микрофонные кабели состоят из двух изолированных витых проводников и заземляющего провода, заключенных в спиральный медный экран высокой плотности для высокоэффективной защиты от шумов, радиопомех и электромагнитных полей. Изоляция изготовлена из высококачественного полиэтилена, который не дает усадки и не деформируется при высоких температурах при пайке. Профессиональные микрофонные кабели Eurocable доступны в шести цветах.","Производитель: Eurocable | Наименование: <h3>CVS LK02G6E</h3> | Партномер: <h3>CVS LK02G6E</h3> | Стандартная бухта: 100 м. | Площадь проводника (мм²/AWG): 0,22 мм<sup>2</sup> / 24 AWG | Внешний диаметр кабеля: 6 мм | Применение: Прокат, инсталляции | Область использования: Броадкаст, Мероприятия, Многофункциональные залы, Конференции, Сцена и развлечения, Студия, Театры, Тематические парки | Тип сигнала: Аудио | Рабочая температура: -5°C/+70°C | Цвет: Серый",https://risbar.kz/wp-content/uploads/product/cvs-lk02g6e-1.png,https://risbar.kz/product/cvs-lk02g6e/
CVS LK02N6E,,Микрофонные кабели,0,Наличие:В наличии,"Описание Eurocable Link CVS LK02N6E – микрофонный кабель чёрного цвета, общим диаметром 6 мм, с медным экраном. В бухте 100 метров. Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Микрофонные кабели Eurocable диаметром 6,0 мм специально разработаны для тяжелых условий эксплуатации. Они устойчивы, если по ним ходить, сохраняют высокую гибкость в широком диапазоне температур, даже при температуре ниже 0 °C. Микрофонные кабели состоят из двух изолированных витых проводников и заземляющего провода, заключенных в спиральный медный экран высокой плотности для высокоэффективной защиты от шумов, радиопомех и электромагнитных полей. Изоляция изготовлена из высококачественного полиэтилена, который не дает усадки и не деформируется при высоких температурах при пайке. Профессиональные микрофонные кабели Eurocable доступны в шести цветах.","Производитель: Eurocable | Наименование: <h3>CVS LK02N6E</h3> | Партномер: <h3>CVS LK02N6E</h3> | Стандартная бухта: 100 м. | Площадь проводника (мм²/AWG): 0,22 мм<sup>2</sup> / 24 AWG | Внешний диаметр кабеля: 6 мм | Применение: Прокат, инсталляции | Область использования: Броадкаст, Мероприятия, Многофункциональные залы, Конференции, Сцена и развлечения, Студия, Театры, Тематические парки | Тип сигнала: Аудио | Рабочая температура: -5°C/+70°C | Цвет: Черный",https://risbar.kz/wp-content/uploads/product/cvs-lk02n6e-1.png; https://risbar.kz/wp-content/uploads/product/cvs-lk02n6e-2.png,https://risbar.kz/product/cvs-lk02n6e/
CVS LK02R6E,,Микрофонные кабели,0,Наличие:В наличии,"Описание Eurocable Link CVS LK02R6E – микрофонный кабель красного цвета, общим диаметром 6 мм, с медным экраном. В бухте 100 метров. Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Микрофонные кабели Eurocable диаметром 6,0 мм специально разработаны для тяжелых условий эксплуатации. Они устойчивы, если по ним ходить, сохраняют высокую гибкость в широком диапазоне температур, даже при температуре ниже 0 °C. Микрофонные кабели состоят из двух изолированных витых проводников и заземляющего провода, заключенных в спиральный медный экран высокой плотности для высокоэффективной защиты от шумов, радиопомех и электромагнитных полей. Изоляция изготовлена из высококачественного полиэтилена, который не дает усадки и не деформируется при высоких температурах при пайке. Профессиональные микрофонные кабели Eurocable доступны в шести цветах.","Производитель: Eurocable | Наименование: <h3>CVS LK02R6E</h3> | Партномер: <h3>CVS LK02R6E</h3> | Стандартная бухта: 100 м. | Площадь проводника (мм²/AWG): 0,22 мм<sup>2</sup> / 24 AWG | Внешний диаметр кабеля: 6 мм | Применение: Прокат, инсталляции | Область использования: Броадкаст, Мероприятия, Многофункциональные залы, Конференции, Сцена и развлечения, Студия, Театры, Тематические парки | Тип сигнала: Аудио | Рабочая температура: -5°C/+70°C | Цвет: Красный",https://risbar.kz/wp-content/uploads/product/cvs-lk02r6e-1.png,https://risbar.kz/product/cvs-lk02r6e/
CVS LK02V6E,,Микрофонные кабели,0,Наличие:В наличии,"Описание Eurocable Link CVS LK02V6E – микрофонный кабель зеленого цвета, общим диаметром 6 мм, с медным экраном. В бухте 100 метров. Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Микрофонные кабели Eurocable диаметром 6,0 мм специально разработаны для тяжелых условий эксплуатации. Они устойчивы, если по ним ходить, сохраняют высокую гибкость в широком диапазоне температур, даже при температуре ниже 0 °C. Микрофонные кабели состоят из двух изолированных витых проводников и заземляющего провода, заключенных в спиральный медный экран высокой плотности для высокоэффективной защиты от шумов, радиопомех и электромагнитных полей. Изоляция изготовлена из высококачественного полиэтилена, который не дает усадки и не деформируется при высоких температурах при пайке. Профессиональные микрофонные кабели Eurocable доступны в шести цветах.","Производитель: Eurocable | Наименование: <h3>CVS LK02V6E</h3> | Партномер: <h3>CVS LK02V6E</h3> | Стандартная бухта: 100 м. | Площадь проводника (мм²/AWG): 0,22 мм<sup>2</sup> / 24 AWG | Внешний диаметр кабеля: 6 мм | Применение: Прокат, инсталляции | Область использования: Броадкаст, Мероприятия, Многофункциональные залы, Конференции, Сцена и развлечения, Студия, Театры, Тематические парки | Тип сигнала: Аудио | Рабочая температура: -5°C/+70°C | Цвет: Зеленый",https://risbar.kz/wp-content/uploads/product/cvs-lk02v6e-1.png,https://risbar.kz/product/cvs-lk02v6e/
CVS LK02Y6E,,Микрофонные кабели,0,Наличие:В наличии,"Описание Eurocable Link CVS LK02Y6E – микрофонный кабель желтого цвета, общим диаметром 6 мм, с медным экраном. В бухте 100 метров. Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Микрофонные кабели Eurocable диаметром 6,0 мм специально разработаны для тяжелых условий эксплуатации. Они устойчивы, если по ним ходить, сохраняют высокую гибкость в широком диапазоне температур, даже при температуре ниже 0 °C. Микрофонные кабели состоят из двух изолированных витых проводников и заземляющего провода, заключенных в спиральный медный экран высокой плотности для высокоэффективной защиты от шумов, радиопомех и электромагнитных полей. Изоляция изготовлена из высококачественного полиэтилена, который не дает усадки и не деформируется при высоких температурах при пайке. Профессиональные микрофонные кабели Eurocable доступны в шести цветах.","Производитель: Eurocable | Наименование: <h3>CVS LK02Y6E</h3> | Партномер: <h3>CVS LK02Y6E</h3> | Стандартная бухта: 100 м. | Площадь проводника (мм²/AWG): 0,22 мм<sup>2</sup> / 24 AWG | Внешний диаметр кабеля: 6 мм | Применение: Прокат, инсталляции | Область использования: Броадкаст, Мероприятия, Многофункциональные залы, Конференции, Сцена и развлечения, Студия, Театры, Тематические парки | Тип сигнала: Аудио | Рабочая температура: -5°C/+70°C | Цвет: Желтый",https://risbar.kz/wp-content/uploads/product/cvs-lk02y6e-1.png,https://risbar.kz/product/cvs-lk02y6e/
CVS LK04N7,,Микрофонные кабели,0,Наличие:В наличии,"Описание Eurocable Link CVS LK04N7 – микрофонный экранированный кабель 4-жильный, черного цвета, общим диаметром 7 мм. В бухте 100 метров. Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Микрофонный кабель Link CVS LK04N7 имеет балансную четырёхжильную структуру, специально разработанную для минимизации помех и шумов, получения наилучшего качества передачи звукового сигнала. Это кабель высокого качества, он подходит для профессионального применения с любыми микрофонами. Применяется в студиях звукозаписи и там, где критическое значение имеет максимальное качество записываемого звука.","Производитель: Eurocable | Наименование: <h3>CVS LK04N7</h3> | Партномер: <h3>CVS LK04N7</h3> | Стандартная бухта: 100 м. | Площадь проводника (мм²/AWG): 1,50 мм<sup>2</sup> / 16 AWG | Внешний диаметр кабеля: 7 мм | Применение: Прокат, инсталляции | Область использования: Броадкаст, Мероприятия, Многофункциональные залы, Конференции, Сцена и развлечения, Студия, Театры, Тематические парки | Тип сигнала: Аудио | Рабочая температура: -5°C/+70°C | Цвет: Черный",https://risbar.kz/wp-content/uploads/product/cvs-lk04n7-1.png,https://risbar.kz/product/cvs-lk04n7/
HBC-315-100,,Микрофонные кабели,0,Наличие:В наличии,"Описание HBC-315 – Гибридный кабель, микрофонный кабель 2×0,22 мм² + электрический 3х1,50mm², оплётка PVC, внешний диаметр 10,55 мм², цвет чёрный, катушка 100 м/ Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Гибридный кабель, используется для передачи аудиосигналов и питания аудиоустройств. Применяется для укладки в кабельные магистрали и для разводки коммутации в стойках с оборудованием. Поставляется на катушках в намотке по 100-200 м. Испытания Огнестойкость: IEC 60332-1-2; VDE 0482-332-1-2; EN 60332-1-2","Производитель: Triokablo | Наименование: <h3>HBC-315-100</h3> | Партномер: <h3>HBC-315</h3> | Сечение: 2×0,22+3×1,50 мм. кв. | Сопротивление проводника: 86/13,3 Ом/км | Сопротивление изоляции: 5000/200 МОм×км | Общая ёмкость: 80 нФ/км | Пропускная способность: 20 А | Внешний диаметр: 11 мм | Расчётная масса кабеля: 156 кг/км | Сигнальный провод: <ul><li>Проводник: электролитическая многожильная отожжённая медь. Класс 5, EN 60228, IEC 60228, VDE 0295</li><li>Изоляция: EN 50290-2-23 FPE</li><li>Цвет изоляции: Синий / Красный</li><li>Обмотка: PES плёнка</li><li>1.Экран: Заземляющий провод из лужёной меди + AL-PES плёнка</li><li>2.Экран: Оплётка из лужёной меди</li><li>Оболочка: ПВХ-компаунд</li><li>Цвет оболочки: Чёрный</li></ul> | Питающий провод: <ul><li>Проводник: Электролитическая многожильная отожжённая медь. Класс 5</li><li>Изоляция: EN 50290-2-21 ПВХ-компаунд</li><li>Цвет изоляции: Коричневый / Чёрный / Жёлтый-Зелёный</li></ul> | Скрутка: Сигнальные в оболочке и силовые кабели, скрученные вместе | Экран общий: Tela Tape | Цвет оболочки: RAL 9005 чёрный | Рабочее напряжение: 350 В | Напряжение испытания: 2000 В | Радиус изгиба: 10XD мм | Диапазон температур: -30°C – +70°C",https://risbar.kz/wp-content/uploads/product/hbc-315-100-1.png,https://risbar.kz/product/hbc-315-100/
HBC-325-100,,Микрофонные кабели,0,Наличие:В наличии,"Описание HBC-325 – Гибридный кабель, микрофонный кабель 2×0,22 мм² + электрический 3х2,50 мм², оплётка PVC, внешний диаметр 12,5 мм², цвет чёрный, катушка 100 м. Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Гибридный кабель, используется для передачи аудиосигналов и питания аудиоустройств. Применяется для укладки в кабельные магистрали и для разводки коммутации в стойках с оборудованием. Поставляется на катушках в намотке по 100-200 м. Испытания Огнестойкость: IEC 60332-1-2; VDE 0482-332-1-2; EN 60332-1-2","Производитель: Triokablo | Наименование: <h3>HBC-325-100</h3> | Партномер: <h3>HBC-325</h3> | Сечение: 2×0,22+3×2,50  мм. кв. | Сопротивление проводника: 86 / 7,98 Ом/км | Сопротивление изоляции: 5000 / 200 МОм×км | Общая ёмкость: 80 нФ/км | Пропускная способность: 25 А | Внешний диаметр: 12,5 мм | Расчётная масса кабеля: 202 кг/км | Сигнальный провод: <ul><li>Электролитическая многопроволочная отожженная медная проволока, Класс 5, EN 60228, IEC 60228, VDE 0295 </li><li>Изоляция: EN 50290-2-23 FPE </li><li>Цвет изоляции: Синий / Красный</li><li>Обмотка: PES лента</li><li>Экран: Заземляющий провод из лужёной меди + AL-PES лента</li></ul> | Питающий провод: <ul><li>Проводник: Электролитическая многожильная отожжённая медь. Класс 5</li><li>Изоляция: EN 50290-2-21 ПВХ-компаунд</li><li>Цвет изоляции: Коричневый / Чёрный / Жёлтый-Зелёный</li></ul> | Скрутка: Сигнальные в оболочке, скрученные с питающими | Экран общий: Tela Tape | Цвет оболочки: RAL 9005 чёрный | Рабочее напряжение: 350 В | Напряжение испытания: 2000 В | Радиус изгиба: 10XD мм | Диапазон температур: -30°C – +70°C",https://risbar.kz/wp-content/uploads/product/hbc-325-100-1.png,https://risbar.kz/product/hbc-325-100/
MIC-022-100,,Микрофонные кабели,0,Наличие:В наличии,"Описание MIC-022-100 – микрофонный кабель 2×0,22 мм.кв., внешний диаметр, черный, катушка 100 м. Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Микрофонный кабель, используется для передачи аудиосигналов от источников сигналов звуковой частоты к системе звукоусиления. Применяется для укладки в кабельные магистрали, и подключения источников сигналов звуковой частоты к системам звукоусиления. Поставляется на катушках в намотке по 100-200м.","Производитель: Triokablo | Наименование: <h3>MIC-022-100</h3> | Партномер: <h3>MIC-022-100</h3> | Сечение проводника: 0,22 мм2 / 24 AWG | Количество проводников: 2 | Сопротивление проводников: 86 Ом/км | Сопротивление оболочки: 5000 МОм х км | Ёмкость: 130 nF/km | Внешний диаметр кабеля: 6,4 мм | Вес кабеля: 49 кг/км | Длина: 100 м, на катушке | Цвет: Черный | Рабочая температура: -30 … +70°С | Область использования: Броадкаст, Мероприятия, Многофункциональные залы, Конференции, Сцена и развлечения, Студия, Театры, Тематические парки | Проводник: Гибкая электролитическая многожильная отожжённая медь <br>Класс 6, EN 60228, IEC 60228, VDE 0295 | Изоляция: EN 50290-2-23 ПВХ-компаунд<br>Цвет изоляции: синий / красный | Скрутка: Две жилы, скрученные с хлопковым шнуром | Экран: Спиральный медный экран | Оболочка: EN 50290-2-22 Гибкий ПВХ-компаунд | Цвет оболочки: Матовый чёрный | Рабочее напряжение: 300 В | Испытательное напряжение: 1500 В | Радиус изгиба: 8XD мм | Диапазон температур: -30°C – +70°C",https://risbar.kz/wp-content/uploads/product/mic-022-100-1.png; https://risbar.kz/wp-content/uploads/product/mic-022-100-2.png; https://risbar.kz/wp-content/uploads/product/mic-022-100-3.png; https://risbar.kz/wp-content/uploads/product/mic-022-100-2-550x275.png; https://risbar.kz/wp-content/uploads/product/mic-022-100-3-550x275.png,https://risbar.kz/product/mic-022-100/
