title,article,category,price,availability,description,details,images,url
ACVO4WS-B,,Микрофоны серии Centraverse,0,Наличие:В наличии,"Описание Ветрозащитная насадка с фиксацией Snap-Fit для подвесных микрофонов Centraverse CVO на гибкой штанге обеспечивает подавление нежелательного шума ветра и дыхания. Информация для заказа ACVO4WS-B — ветрозащита чёрного цвета, 4 шт. ACVO4WS-W- ветрозащита белого цвета, 4 шт.",Производитель: Shure | Наименование: <h3>ACVO4WS-B</h3> | Партномер: <h3>ACVO4WS-B</h3>,https://risbar.kz/wp-content/uploads/product/acvo4ws-b-1.PNG; https://risbar.kz/wp-content/uploads/product/acvo4ws-b-2.jpg; https://risbar.kz/wp-content/uploads/product/acvo4ws-b-3.jpg; https://risbar.kz/wp-content/uploads/product/acvo4ws-b-2-550x273.jpg; https://risbar.kz/wp-content/uploads/product/acvo4ws-b-3-550x246.jpg,https://risbar.kz/product/acvo4ws-b/
ACVO4WS-W,,Микрофоны серии Centraverse,0,Наличие:В наличии,"Описание Ветрозащитная насадка с фиксацией Snap-Fit для подвесных микрофонов Centraverse CVO на гибкой штанге обеспечивает подавление нежелательного шума ветра и дыхания. Информация для заказа ACVO4WS-B — ветрозащита чёрного цвета, 4 шт. ACVO4WS-W- ветрозащита белого цвета, 4 шт.",Производитель: Shure | Наименование: <h3>ACVO4WS-W</h3> | Партномер: <h3>ACVO4WS-W</h3>,https://risbar.kz/wp-content/uploads/product/acvo4ws-w-1.jpg; https://risbar.kz/wp-content/uploads/product/acvo4ws-w-2.jpg; https://risbar.kz/wp-content/uploads/product/acvo4ws-w-2-550x246.jpg,https://risbar.kz/product/acvo4ws-w/
CVB-B/C,,Микрофоны серии Centraverse,0,Наличие:В наличии,"Описание кардиоидная полярная диаграмма присоединенный кабель XLR 3,65 м отверстия для надежного крепления технология Commshield® защищает от нежелательных радиочастотных помех, создаваемых портативными беспроводными устройствами (смартфонами и т.д.) прочная, надежная конструкция черного цвета Shure Centraverse CVB — профессиональный электретный конденсаторный микрофон граничного слоя с кардиоидной полярной диаграммой, предназначенный для настольной звукоусилительной аппаратуры. Превосходный дизайн, присущий изделиям Shure, плоская конструкция прекрасно сочетается с аппаратурой любого вида. Также представлена модель белого цвета.","Производитель: Shure | Наименование: <h3>CVB-B/C</h3> | Партномер: <h3>CVB-B/C</h3> | Тип: Электретный конденсаторный | Диаграмма направленности: Кардиоидная | Амплитудно-частотная характеристика: 70–16000 Гц | Выходной импеданс: 180 Ом | Чувствительность (напряжение разомкнутой цепи, при 1 кГц): –32,5 дБВ/Па[1] (23 мВ) | Уровень звукового давления макс. (при 1 кГц при КНИ 1%): 120 дБ УЗД | Сигнал/шум: 67 дБ | Динамический диапазон при 1 кГц: 93 дБ | Собственный шум: 27 дБ УЗД | Уровень клиппирования выхода предусилителя: -7 дБВ | Полярность: Положительное давление на мембрану создает положительное напряжение на контакте 2 относительно контакта 3 | Рабочая температура: –18 до 57°C | Влажность: 0 до 95%<br> | Питание: 11–52 В постоянного тока, 2,0 мА | Вес: 227 г | Цвет: Черный",https://risbar.kz/wp-content/uploads/product/cvb-bc-1.jpg; https://risbar.kz/wp-content/uploads/product/cvb-bc-2.jpg; https://risbar.kz/wp-content/uploads/product/cvb-bc-3.jpg; https://risbar.kz/wp-content/uploads/product/cvb-bc-4.jpg; https://risbar.kz/wp-content/uploads/product/cvb-bc-5.jpg; https://risbar.kz/wp-content/uploads/product/cvb-bc-6.jpg; https://risbar.kz/wp-content/uploads/product/cvb-bc-2-550x433.jpg; https://risbar.kz/wp-content/uploads/product/cvb-bc-3-550x769.jpg; https://risbar.kz/wp-content/uploads/product/cvb-bc-4-550x215.jpg; https://risbar.kz/wp-content/uploads/product/cvb-bc-5-550x366.jpg; https://risbar.kz/wp-content/uploads/product/cvb-bc-6-550x366.jpg,https://risbar.kz/product/cvb-bc/
CVB-B/O,,Микрофоны серии Centraverse,0,Наличие:В наличии,"Описание всенаправленная полярная диаграмма присоединенный кабель XLR 3,65 м отверстия для надежного крепления технология Commshield® защищает от нежелательных радиочастотных помех, создаваемых портативными беспроводными устройствами (смартфонами и т.д.) прочная, надежная конструкция черного цвета Shure Centraverse CVB — всенаправленный конденсаторный микрофон граничного слоя, гарантирующий точную передачу речи и максимально четкий звук при любых внешних условиях.. Превосходный дизайн, присущий изделиям Shure, плоская конструкция прекрасно сочетается с аппаратурой любого вида. Также представлена модель белого цвета.","Производитель: Shure | Наименование: <h3>CVB-B/O</h3> | Партномер: <h3>CVB-B/O</h3> | Тип: Электретный конденсаторный | Диаграмма направленности: Всенаправленная | Амплитудно-частотная характеристика: 70–16000 Гц | Выходной импеданс: 180 Ом | Чувствительность (напряжение разомкнутой цепи, при 1 кГц): –28 дБВ/Па[1] (40 мВ) | Уровень звукового давления макс. (при 1 кГц при КНИ 1%): 117 дБ УЗД | Сигнал/шум: 74 дБ | Динамический диапазон при 1 кГц: 97 дБ | Собственный шум: 20 дБ УЗД | Уровень клиппирования выхода предусилителя: -6 дБВ | Полярность: Положительное давление на мембрану создает положительное напряжение на контакте 2 относительно контакта 3 | Рабочая температура: –18 до 57°C | Влажность: 0 до 95% | Питание: 11–52 В постоянного тока, 2,0 мА | Вес: 227 г | Цвет: Черный",https://risbar.kz/wp-content/uploads/product/cvb-bo-1.jpg; https://risbar.kz/wp-content/uploads/product/cvb-bo-2.jpg; https://risbar.kz/wp-content/uploads/product/cvb-bo-3.jpg; https://risbar.kz/wp-content/uploads/product/cvb-bo-4.jpg; https://risbar.kz/wp-content/uploads/product/cvb-bo-2-550x164.jpg,https://risbar.kz/product/cvb-bo/
CVB-W/C,,Микрофоны серии Centraverse,0,Наличие:В наличии,"Описание кардиоидная полярная диаграмма присоединенный кабель XLR 3,65 м отверстия для надежного крепления технология Commshield® защищает от нежелательных радиочастотных помех, создаваемых портативными беспроводными устройствами (смартфонами и т.д.) прочная, надежная конструкция белого цвета Shure Centraverse CVB — профессиональный электретный конденсаторный микрофон граничного слоя с кардиоидной полярной диаграммой, предназначенный для настольной звукоусилительной аппаратуры. Превосходный дизайн, присущий изделиям Shure, плоская конструкция прекрасно сочетается с аппаратурой любого вида. Также представлена модель черного цвета.","Производитель: Shure | Наименование: <h3>CVB-W/C</h3> | Партномер: <h3>CVB-W/C</h3> | Тип: Электретный конденсаторный | Диаграмма направленности: Кардиоидная | Амплитудно-частотная характеристика: 70–16000 Гц | Выходной импеданс: 180 Ом | Чувствительность (напряжение разомкнутой цепи, при 1 кГц): –32,5 дБВ/Па[1] (23 мВ) | Уровень звукового давления макс. (при 1 кГц при КНИ 1%): 120 дБ УЗД | Сигнал/шум: 67 дБ | Динамический диапазон при 1 кГц: 93 дБ | Собственный шум: 27 дБ УЗД | Уровень клиппирования выхода предусилителя: -7 дБВ | Полярность: Положительное давление на мембрану создает положительное напряжение на контакте 2 относительно контакта 3 | Рабочая температура: –18 до 57°C | Влажность: 0 до 95% | Питание: 11–52 В постоянного тока, 2,0 мА | Вес: 227 г | Цвет: Белый",https://risbar.kz/wp-content/uploads/product/cvb-wc-1.jpg; https://risbar.kz/wp-content/uploads/product/cvb-wc-2.jpg; https://risbar.kz/wp-content/uploads/product/cvb-wc-3.jpg; https://risbar.kz/wp-content/uploads/product/cvb-wc-2-550x422.jpg,https://risbar.kz/product/cvb-wc/
CVB-W/O,,Микрофоны серии Centraverse,0,Наличие:В наличии,"Описание всенаправленная полярная диаграмма присоединенный кабель XLR 3,65 м отверстия для надежного крепления технология Commshield® защищает от нежелательных радиочастотных помех, создаваемых портативными беспроводными устройствами (смартфонами и т.д.) прочная, надежная конструкция белого цвета Shure Centraverse CVB — всенаправленный конденсаторный микрофон граничного слоя, гарантирующий точную передачу речи и максимально четкий звук при любых внешних условиях.. Превосходный дизайн, присущий изделиям Shure, плоская конструкция прекрасно сочетается с аппаратурой любого вида. Также представлена модель черного цвета.","Производитель: Shure | Наименование: <h3>CVB-W/O</h3> | Партномер: <h3>CVB-W/O</h3> | Тип: Электретный конденсаторный | Диаграмма направленности: Всенаправленная | Амплитудно-частотная характеристика: 70–16000 Гц | Выходной импеданс: 180 Ом | Чувствительность (напряжение разомкнутой цепи, при 1 кГц): –28 дБВ/Па[1] (40 мВ) | Уровень звукового давления макс. (при 1 кГц при КНИ 1%): 117 дБ УЗД | Сигнал/шум: 74 дБ | Динамический диапазон при 1 кГц: 97 дБ | Собственный шум: 20 дБ УЗД | Уровень клиппирования выхода предусилителя: -6 дБВ | Полярность: Положительное давление на мембрану создает положительное напряжение на контакте 2 относительно контакта 3 | Рабочая температура: –18 до 57°C | Влажность: 0 до 95% | Питание: 11–52 В постоянного тока, 2,0 мА | Вес: 227 г | Цвет: Белый",https://risbar.kz/wp-content/uploads/product/cvb-wo-1.jpg; https://risbar.kz/wp-content/uploads/product/cvb-wo-2.jpg; https://risbar.kz/wp-content/uploads/product/cvb-wo-3.jpg; https://risbar.kz/wp-content/uploads/product/cvb-wo-2-550x550.jpg; https://risbar.kz/wp-content/uploads/product/cvb-wo-3-550x344.jpg,https://risbar.kz/product/cvb-wo/
CVD-B,,Микрофоны серии Centraverse,0,Наличие:В наличии,"Описание Классический черный стиль Нескользящая подошва для стабильно установки на ровной поверхности В комплекте с базой поставляется микрофонный кабель длиной 4 метра Разьемы коммутации стандарта XLR; Полная совместимость с микрофонами граничного поля серии CVG (Shure) Использование технологии CommShield Простая установка Прочный, стальной корпус, гарантирующий продолжительную работу при постоянном и ежедневном использовании. SHURE CVD-B XLR представляет собой настольную базу для микрофонов серии CVG. Настольная база для микрофонов пограничного поля серии CVG может быть использована при проведении конференций, установке на кафедру, в культовых организациях, храмах и прочих местах общего пользования. Микрофоны и аксессуары компании Shure (США) известны во всем мире своим высоким качеством и чистым звучанием, максимально точно передающим все оттенки голоса и музыкального инструмента благодаря технологии CommShield, которая обеспечивает защиту от нежелательных помех.",Производитель: Shure | Наименование: <h3>CVD-B</h3> | Партномер: <h3>CVD-B</h3> | Длина кабеля: 4 м | Разъем: XLR | Рабочая температура: –18 до 57°C | Влажность: 0 до 95%<br> | Вес: 544 г | Цвет: Черный,https://risbar.kz/wp-content/uploads/product/cvd-b-1.jpg; https://risbar.kz/wp-content/uploads/product/cvd-b-2.jpg; https://risbar.kz/wp-content/uploads/product/cvd-b-3.jpg; https://risbar.kz/wp-content/uploads/product/cvd-b-2-550x513.jpg; https://risbar.kz/wp-content/uploads/product/cvd-b-3-550x550.jpg,https://risbar.kz/product/cvd-b/
CVG12D-B/C,,Микрофоны серии Centraverse,0,Наличие:В наличии,"Описание Кардиоидная полярная диаграмма с характеристикой, приспособленной для передачи речи Штатив с двумя гибкими секциями облегчает выбор положения и установку микрофона Встроенное настольное основание Длина штатива — 30,5 см Технология Commshield® защищает от нежелательных радиочастотных помех, создаваемых портативными беспроводными устройствами (смартфонами и т.д.) В комплект входят фланцевая опора и обжимающий ветрозащитный экран Shure Centraverse CVG12D-B/C — профессиональный электретный конденсаторный микрофон с настольным основанием на гибком штативе для звукоусилительной аппаратуры общего назначения. CVG12 с двумя гибкими секциями, обеспечивающими произвольное расположение микрофона, обладает наилучшими характеристиками в своем классе устройств и может использоваться как на сцене, так и в настольных установках. Микрофон укомплектован встроенным предусилителем, для подключения используется разъем XLR.","Производитель: Shure | Наименование: <h3>CVG12D-B/C</h3> | Партномер: <h3>CVG12D-B/C</h3> | Тип: Электретный конденсаторный | Диаграмма направленности: Кардиоидная<br> | Амплитудно-частотная характеристика: 70–16000 Гц | Выходной импеданс: 180 Ом | Чувствительность (напряжение разомкнутой цепи, при 1 кГц): –33 дБВ/Па[1] (22 мВ) | Уровень звукового давления макс. (при 1 кГц при КНИ 1%): 120 дБ УЗД | Сигнал/шум: 67 дБ | Динамический диапазон при 1 кГц: 93 дБ | Собственный шум: 27 дБ УЗД | Уровень клиппирования выхода предусилителя: -7 дБВ | Полярность: Положительное давление на мембрану создает положительное напряжение на контакте 2 относительно контакта 3 | Рабочая температура: –18 до 57°C | Влажность: 0 до 95% | Питание: 11–52 В постоянного тока[4], 2,0 мА | Вес: 1202 г",https://risbar.kz/wp-content/uploads/product/cvg12d-bc-1.jpg,https://risbar.kz/product/cvg12d-bc/
CVG12DRS-B/C,,Микрофоны серии Centraverse,0,Наличие:В наличии,"Описание Кардиоидная полярная диаграмма с характеристикой, приспособленной для передачи речи Штатив с двумя гибкими секциями облегчает выбор положения и установку микрофона Встроенное настольное основание Длина штатива — 30,5 см Кнопка глушения и цветное индикаторное кольцо ВКЛ/ВЫКЛ Технология Commshield® защищает от нежелательных радиочастотных помех, создаваемых портативными беспроводными устройствами (смартфонами и т.д.) В комплект входят фланцевая опора и обжимающий ветрозащитный экран Shure Centraverse CVG12DRS-B/C — профессиональный электретный конденсаторный микрофон с настольным основанием на гибком штативе для звукоусилительной аппаратуры общего назначения. CVG12 с двумя гибкими секциями, обеспечивающими произвольное расположение микрофона, обладает наилучшими характеристиками в своем классе устройств и может использоваться как на сцене, так и в настольных установках. Микрофон укомплектован встроенным предусилителем, для подключения используется разъем XLR.","Производитель: Shure | Наименование: <h3>CVG12DRS-B/C</h3> | Партномер: <h3>CVG12DRS-B/C</h3> | Тип: Электретный конденсаторный | Диаграмма направленности: Кардиоидная<br> | Амплитудно-частотная характеристика: 70–16000 Гц | Выходной импеданс: 180 Ом | Чувствительность (напряжение разомкнутой цепи, при 1 кГц): –33 дБВ/Па[1] (22 мВ) | Уровень звукового давления макс. (при 1 кГц при КНИ 1%): 120 дБ УЗД | Сигнал/шум: 67 дБ | Динамический диапазон при 1 кГц: 93 дБ | Собственный шум: 27 дБ УЗД | Уровень клиппирования выхода предусилителя: -7 дБВ | Полярность: Положительное давление на мембрану создает положительное напряжение на контакте 2 относительно контакта 3 | Рабочая температура: –18 до 57°C | Влажность: 0 до 95% | Питание: 11–52 В постоянного тока[4], 5,0 мА | Вес: 1202 г",https://risbar.kz/wp-content/uploads/product/cvg12drs-bc-1.jpg; https://risbar.kz/wp-content/uploads/product/cvg12drs-bc-2.jpg; https://risbar.kz/wp-content/uploads/product/cvg12drs-bc-2-550x344.jpg,https://risbar.kz/product/cvg12drs-bc/
CVG12DS-B/C,,Микрофоны серии Centraverse,0,Наличие:В наличии,"Описание Кардиоидная полярная диаграмма с характеристикой, приспособленной для передачи речи Штатив с двумя гибкими секциями облегчает выбор положения и установку микрофона Встроенное настольное основание Длина штатива — 30,5 см На корпусе микрофона установлены кнопка глушения и светодиод Технология Commshield® защищает от нежелательных радиочастотных помех, создаваемых портативными беспроводными устройствами (смартфонами и т.д.) В комплект входят фланцевая опора и обжимающий ветрозащитный экран Shure Centraverse CVG12DS-B/C — профессиональный электретный конденсаторный микрофон с настольным основанием на гибком штативе для звукоусилительной аппаратуры общего назначения. CVG12 с двумя гибкими секциями, обеспечивающими произвольное расположение микрофона, обладает наилучшими характеристиками в своем классе устройств и может использоваться как на сцене, так и в настольных установках. Микрофон укомплектован встроенным предусилителем, для подключения используется разъем XLR.","Производитель: Shure | Наименование: <h3>CVG12DS-B/C</h3> | Партномер: <h3>CVG12DS-B/C</h3> | Тип: Электретный конденсаторный | Диаграмма направленности: Кардиоидная<br> | Амплитудно-частотная характеристика: 70–16000 Гц | Выходной импеданс: 180 Ом | Чувствительность (напряжение разомкнутой цепи, при 1 кГц): –33 дБВ/Па[1] (22 мВ) | Уровень звукового давления макс. (при 1 кГц при КНИ 1%): 120 дБ УЗД | Сигнал/шум: 67 дБ | Динамический диапазон при 1 кГц: 93 дБ | Собственный шум: 27 дБ УЗД | Уровень клиппирования выхода предусилителя: -7 дБВ | Полярность: Положительное давление на мембрану создает положительное напряжение на контакте 2 относительно контакта 3 | Рабочая температура: –18 до 57°C | Влажность: 0 до 95% | Питание: 11–52 В постоянного тока[4], 5,5 мА | Вес: 1202 г",https://risbar.kz/wp-content/uploads/product/cvg12ds-bc-1.jpg; https://risbar.kz/wp-content/uploads/product/cvg12ds-bc-2.jpg; https://risbar.kz/wp-content/uploads/product/cvg12ds-bc-2-550x344.jpg,https://risbar.kz/product/cvg12ds-bc/
