title,article,category,price,availability,description,details,images,url
CCTLDM7//E,,Микшерные консоли,0,Наличие:В наличии,"Описание Yamaha DM7 Control (арт. CCTLDM7//E) — это контроллер расширения с различными физическими элементами управления для удобного контроля функций в различных сценариях, включая пользовательские клавиши, клавиши памяти сцен, регуляторы мониторного контроля и джойстик панорамирования. В комплект контроллера DM7 Control входит пакет Broadcast/Theatre. Основные характеристики: Фейдеры: 2 Пользовательские клавиши: 16 Пользовательские ручки: 4 Клавиши памяти сцен: Обновить, Предпросмотр, Сохранить, Вызвать, Увеличить, Уменьшить Мониторный контроль для Monitor A/B Панорамный регулятор: 1 Джог-колесо: 1 Боковые панели отсутствуют Блок питания: резервированный (опционально) Потребляемая мощность: 20 Вт Габариты: 191 × 323 × 562 мм Вес: 7 кг Контроллер расширения DM7 Control При подключении блока DM7 Control к консоли DM7 через Ethernet-кабель становятся доступны многочисленные физические элементы управления, включая пользовательские клавиши/ручки, память сцен, контроль мониторов и панорамирование, что обеспечивает быстрое и удобное управление в различных сценариях работы. Контроллер обеспечивает оперативную и надежную работу благодаря: Пользовательским клавишам/ручкам и клавишам памяти сцен — идеально подходит для мюзиклов, требующих точных срабатываний и смен сцен Транспортным клавишам, назначаемым на пользовательские клавиши, и джог-колесу — удобство для постпродакшна, требующего эффективного монтажа Ключевые преимущества: Незаменимый инструмент для телевещания, иммерсивных постановок и других задач, где критично физическое управление Полная интеграция с консолями DM7 (работает как единая система) В комплекте лицензии Broadcast Package/Theatre Package для доступа к специализированным функциям * ________________ * Для работы пакетов требуется DM7 firmware V1.5 или новее Пакеты Broadcast и Theatre для расширенного специализированного управления Дополнительные ценные функции становятся доступны при активации Broadcast Package или Theatre Package . Broadcast Package включает: Поддержку 5.1 surround Функцию Mix Minus Loudness Meter (измеритель громкости) Другие инструменты, необходимые для телерадиовещания Оптимизирован для работы в эфире и создания вещательных миксов. Theatre Package предоставляет: Actor Library (база данных артистов) DCA Scene Grid (матрица сцен для DCA-групп) AFC Image Control (управление звуковым образом) Другие функции, значительно улучшающие работу в театральных постановках Идеален для мюзиклов и спектаклей. Управление лицензиями через ProVisionaire Cloud (проверьте доступность в вашем регионе)",Производитель: Yamaha,https://risbar.kz/wp-content/uploads/product/cctldm7e-1.jpg; https://risbar.kz/wp-content/uploads/product/cctldm7e-2.jpg; https://risbar.kz/wp-content/uploads/product/cctldm7e-3.jpg; https://risbar.kz/wp-content/uploads/product/cctldm7e-4.jpg; https://risbar.kz/wp-content/uploads/product/cctldm7e-5.jpg,https://risbar.kz/product/cctldm7e/
CL1,,Микшерные консоли,0,Наличие:В наличии,"Описание Входные каналы: 48 моно, 8 стерео. Конфигурация фейдеров: левая секция — 8 фейдеров, секция Centralogic — 8, мастер-секция — 2. Опциональная панель индикаторов уровня. CL1 Yamaha — Представляет собой две 8-фейдерные секции в компактном корпусе. Консоль можно использовать как отдельно, так и в каскадном соединении с другими консолями CL-серии для расширения количества каналов. Цифровые микшерные консоли Yamaha CL открывают новый уровень совершенства. Они обеспечивают превосходное звучание с обширными возможностями выделения различных оттенков, позволяя звукорежиссерам ощутить беспрецедентную творческую свободу. Серия CL предлагает ведущие стандарты воспроизведения живого звука в максимально сконцентрированном и экспрессивном представлении.",Производитель: Yamaha | Наименование: <h3>CL1</h3> | Партномер: <h3>WY66000</h3>,https://risbar.kz/wp-content/uploads/product/cl1-1.jpg; https://risbar.kz/wp-content/uploads/product/cl1-2-scaled.jpg; https://risbar.kz/wp-content/uploads/product/cl1-3-scaled.jpg; https://risbar.kz/wp-content/uploads/product/cl1-4-scaled.jpg; https://risbar.kz/wp-content/uploads/product/cl1-2-scaled-550x187.jpg; https://risbar.kz/wp-content/uploads/product/cl1-3-scaled-550x294.jpg; https://risbar.kz/wp-content/uploads/product/cl1-4-scaled-550x460.jpg,https://risbar.kz/product/cl1/
CL3,,Микшерные консоли,0,Наличие:В наличии,"Описание Входные каналы: 64 моно, 8 стерео. Конфигурация фейдеров: левая секция — 16 фейдеров, секция Centralogic — 8, мастер-секция — 2. Подставка из нержавеющей стали для установки iPad. Опциональная панель индикаторов уровня. Цифровые микшерные консоли Yamaha CL открывают новый уровень совершенства. Они обеспечивают превосходное звучание с обширными возможностями выделения различных оттенков, позволяя звукорежиссерам ощутить беспрецедентную творческую свободу. Серия CL предлагает ведущие стандарты воспроизведения живого звука в максимально сконцентрированном и экспрессивном представлении.",Производитель: Yamaha | Наименование: <h3>CL3</h3> | Партномер: <h3>WY65940</h3>,https://risbar.kz/wp-content/uploads/product/cl3-1.jpg; https://risbar.kz/wp-content/uploads/product/cl3-2-scaled.jpg; https://risbar.kz/wp-content/uploads/product/cl3-3-scaled.jpg; https://risbar.kz/wp-content/uploads/product/cl3-4-scaled.jpg; https://risbar.kz/wp-content/uploads/product/cl3-2-scaled-550x435.jpg; https://risbar.kz/wp-content/uploads/product/cl3-3-scaled-550x187.jpg; https://risbar.kz/wp-content/uploads/product/cl3-4-scaled-550x236.jpg,https://risbar.kz/product/cl3/
CL5,,Микшерные консоли,0,Наличие:В наличии,"Описание Входные каналы: 72 моно, 8 стерео. Конфигурация фейдеров: левая секция — 16 фейдеров, секция Centralogic — 8, правая секция — 8, мастер-секция — 2 Подставка из нержавеющей стали для установки iPad. Встроенная панель индикаторов уровня. Цифровые микшерные консоли Yamaha CL открывают новый уровень совершенства. Они обеспечивают превосходное звучание с обширными возможностями выделения различных оттенков, позволяя звукорежиссерам ощутить беспрецедентную творческую свободу. Серия CL предлагает ведущие стандарты воспроизведения живого звука в максимально сконцентрированном и экспрессивном представлении. Консоль CL5 с тремя секциями канальных фейдеров (16+8+8) обеспечивает эффективное управление и является идеальным выбором для разнообразных систем «живого» звука.",Производитель: Yamaha | Наименование: <h3>CL5</h3> | Партномер: <h3>WY65880</h3>,https://risbar.kz/wp-content/uploads/product/cl5-1.jpg; https://risbar.kz/wp-content/uploads/product/cl5-2-scaled.jpg; https://risbar.kz/wp-content/uploads/product/cl5-3-scaled.jpg; https://risbar.kz/wp-content/uploads/product/cl5-2-scaled-550x405.jpg; https://risbar.kz/wp-content/uploads/product/cl5-3-scaled-550x364.jpg,https://risbar.kz/product/cl5/
CS-R10,,Микшерные консоли,0,Наличие:В наличии,"Описание Эта консоль управления с двумя большими сенсорными дисплеями и 38 фейдерами позволяет выполнять основные операции при работе с системой RIVAGE PM10. Характеристики: Дисплей: 15-дюймовая сенсорная панель x 2; Фейдеры: 38 (12+12+12+2); Секция Selected Channel: широкий выбор параметров канала; Пользовательские банки фейдеров: 5 х 6 в каждой секции; Назначаемые пользователем кнопки: 4 банка по 12 шт.; Пользовательские регуляторы: 4 x 4 банка; Регуляторы Touch and Turn: 2; Аналоговые входы/выходы: 8 вх. / 8 вых.; Слоты расширения: 2 слота MY; AES/EBU: 8 вх. / 8 вых. (с преобразователем частоты дискретизации); Порты: GPI (8 вх. / 8 вых.), выход Word Clock, вход/выход MIDI, 5 портов USB (1 для 2-дорожечной записи, видеовыход (DVI-D); Источник питания: два встроенных источника питания в качестве меры резервирования; Потребляемая мощность: 380 Вт; Габариты (ШxВxГ): 1549 x 417 x 848 мм (61,0 x 16,4 x 33,4 дюйма); Масса без упаковки: 85 кг (187 фунта).",Производитель: Yamaha | Наименование: <h3>CS-R10</h3> | Партномер: <h3>ZG71050</h3>,https://risbar.kz/wp-content/uploads/product/cs-r10-1.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10-2.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10-3.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10-4.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10-5.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10-2-550x550.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10-3-550x550.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10-4-550x550.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10-5-550x550.jpg,https://risbar.kz/product/cs-r10/
CS-R10S,,Микшерные консоли,0,Наличие:В наличии,"Описание Эта консоль управления с одним большим сенсорным дисплеем и 26 фейдерами позволяет выполнять основные операции при работе с системой RIVAGE PM10. CS-R10-S можно добавить к системе RIVAGE PM, чтобы управлять ей с помощью двух консолей и обеспечить гибкость. Для повышения надежности оснащается двумя блоками питания. Характеристики: Дисплей: 15-дюймовая сенсорная панель x 1; Фейдеры: 26 (12+12+2); Секция Selected Channel: широкий выбор параметров канала; Пользовательские банки фейдеров: 5 х 6 в каждой секции; Назначаемые пользователем кнопки: 4 банка по 12 шт.; Пользовательские регуляторы: 4 x 4 банка; Touch and Turn регуляторы: 1; Аналоговые входы/выходы: 8 вх. / 8 вых.; Слоты расширения: 2 слота MY; AES/EBU: 8 вх. / 8 вых. (с преобразователем частоты дискретизации); Порты: GPI (8 вх. / 8 вых.), выход Word Clock, вход/выход MIDI, 5 портов USB (1 для 2-дорожечной записи, видеовыход (DVI-D); Источник питания: два встроенных источника питания в качестве меры резервирования; Потребляемая мощность: 380 Вт; Габариты (ШxВxГ): 1128 x 417 x 848 мм (44,4 x 16,4 x 33,4 дюйма); Масса без упаковки: 67 кг.",Производитель: Yamaha | Наименование: <h3>CS-R10S</h3> | Партномер: <h3>ZG71380</h3>,https://risbar.kz/wp-content/uploads/product/cs-r10s-1.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10s-2.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10s-3.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10s-4.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10s-5.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10s-2-550x550.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10s-3-550x550.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10s-4-550x550.jpg; https://risbar.kz/wp-content/uploads/product/cs-r10s-5-550x550.jpg,https://risbar.kz/product/cs-r10s/
CS-R3,,Микшерные консоли,0,Наличие:В наличии,"Описание Консоль управления CS-R3 — это основной компонент системы RIVAGE PM3, поддеривающий обработку звука с частотой дискретизации 96 кГц. Эта консоль — самый компактный микшер в серии RIVAGE PM по своим размерам и весу, хотя программное обеспечение и процесс работы практически те же, что у других устройств серии RIVAGE PM. Характеристики: Дисплей: 15-дюймовая сенсорная панель x 1 ; Фейдеры: 38 (12+12+12+2); Секция Selected Channel (Выбранный канал): Динамика, усиление, фильтр верхних частот, эквалайзер, панорамирование, функциональный регулятор; Пользовательские банки фейдеров: 5 х 6 в каждой секции; Назначаемые пользователем кнопки: 4 банка по 12 шт.; Пользовательские регуляторы: 1 (можно назначить 4 x 4 банка); Touch and Turn регуляторы: 1; Аналоговые входы/выходы: 8 вх. / 8 вых.; Слоты расширения: 2 слота MY; Порты: GPI (8 вх. / 8 вых.), MIDI In/Out, 5 USB (1 для 2-дорожечной записи); Источник питания: два встроенных источника питания в качестве меры резервирования; Потребляемая мощность: 200 Вт; Габариты (ШxВxГ): 1145 x 385 x 650 мм (45,1 x 15,2 x 25,6 дюйма); Масса без упаковки: 38 кг (83,8 фунта).",Производитель: Yamaha | Наименование: <h3>CS-R3</h3> | Партномер: <h3>VDM7040</h3>,https://risbar.kz/wp-content/uploads/product/cs-r3-1.jpg; https://risbar.kz/wp-content/uploads/product/cs-r3-2.jpg; https://risbar.kz/wp-content/uploads/product/cs-r3-3.jpg; https://risbar.kz/wp-content/uploads/product/cs-r3-4.jpg; https://risbar.kz/wp-content/uploads/product/cs-r3-2-550x550.jpg; https://risbar.kz/wp-content/uploads/product/cs-r3-3-550x550.jpg; https://risbar.kz/wp-content/uploads/product/cs-r3-4-550x550.jpg,https://risbar.kz/product/cs-r3/
CS-R5,,Микшерные консоли,0,Наличие:В наличии,"Описание Консоль управления CS-R5 — это основной компонент системы RIVAGE PM5 поддеривающий обработку звука с частотой дискретизации 96 кГц. Консоль оснащена тремя сенсорными дисплеями и блоками по 12 фейдеров для гибкой настройки. Сенсорные панели перемещены ближе к пользователю, что облегчает доступ к ним. Вес составляет всего 42 кг, что очень мало для такого устройства. Характеристики: Дисплей: 15-дюймовая сенсорная панель x 3; Фейдеры: 38 (12+12+12+2); Секция Selected Channel (Выбранный канал): Динамика, усиление, фильтр верхних частот, эквалайзер, панорамирование, функциональный регулятор; Пользовательские банки фейдеров: 5 х 6 в каждой секции; Назначаемые пользователем кнопки: 4 банка по 12 шт.; Пользовательские регуляторы/регуляторы посыла: 3 (можно назначить 4 x 4 банка); Touch and Turn регуляторы: 3; Аналоговые входы/выходы: 8 вх. / 8 вых.; Слоты расширения: 2 слота MY; AES/EBU: 4 вх./ 4 вых. (с SRC); Порты: GPI (8 вх. / 8 вых.), MIDI In/Out, 5 USB (1 для 2-дорожечной записи); Источник питания: два встроенных источника питания в качестве меры резервирования; Потребляемая мощность: 300 Вт; Габариты (ШxВxГ): 1444 x 414 x 643 мм (56,9 x 16,2 x 25,3 дюйма); Масса без упаковки: 42 кг (92,6 фунта).",Производитель: Yamaha | Наименование: <h3>CS-R5</h3> | Партномер: <h3>ZX57580</h3>,https://risbar.kz/wp-content/uploads/product/cs-r5-1.jpg; https://risbar.kz/wp-content/uploads/product/cs-r5-2.jpg; https://risbar.kz/wp-content/uploads/product/cs-r5-3.jpg; https://risbar.kz/wp-content/uploads/product/cs-r5-4.jpg; https://risbar.kz/wp-content/uploads/product/cs-r5-2-550x550.jpg; https://risbar.kz/wp-content/uploads/product/cs-r5-3-550x550.jpg; https://risbar.kz/wp-content/uploads/product/cs-r5-4-550x550.jpg,https://risbar.kz/product/cs-r5/
CSD-R7,,Микшерные консоли,0,Наличие:В наличии,"Описание Цифровая микшерная консоль CSD-R7 — это основной компонент любой системы RIVAGE PM7. Поддерживает обработку звука с частотой дискретизации 96 кГц, 120 монофонических входа и универсальный набор микширующих шин (60 MIX, 24 MATRIX и 2 STEREO). На консоли размещено три блока по 12 фейдеров для гибкой настройки. Для повышения надежности оснащается двумя блоками питания. Характеристики: Дисплей: 15-дюймовая сенсорная панель x 2 Фейдеры: 38 (12+12+12+2) Секция Selected Channel: широкий выбор параметров канала Пользовательские банки фейдеров: 5 х 6 в каждой секции Назначаемые пользователем кнопки: 4 банка по 12 шт. Пользовательские регуляторы: 4 x 4 банка Регуляторы Touch and Turn: 2 Аналоговые входы/выходы: 8 вх. / 8 вых. Слот: 3 слота HY, 2 слота MY AES/EBU: 8 вх. / 8 вых. (с преобразователем частоты дискретизации) Порты: GPI (8 вх. / 8 вых.), Word Clock In/Out, MIDI In/Out, 5 USB (1 для 2-дорожечной записи), Video Out (DVI-D), TC In Источник питания: два встроенных источника питания в качестве меры резервирования Потребляемая мощность: 415 Вт Габариты (ШxВxГ): 1549 x 417 x 848 мм (61,0 x 16,4 x 33,4 дюйма) Масса без упаковки: 94 кг (207 фунта)",Производитель: Yamaha | Наименование: <h3>CSD-R7</h3> | Партномер: <h3>ZU41120</h3>,https://risbar.kz/wp-content/uploads/product/csd-r7-1.jpg; https://risbar.kz/wp-content/uploads/product/csd-r7-2.jpg; https://risbar.kz/wp-content/uploads/product/csd-r7-3.jpg; https://risbar.kz/wp-content/uploads/product/csd-r7-4.jpg; https://risbar.kz/wp-content/uploads/product/csd-r7-5.jpg; https://risbar.kz/wp-content/uploads/product/csd-r7-2-550x550.jpg; https://risbar.kz/wp-content/uploads/product/csd-r7-3-550x550.jpg; https://risbar.kz/wp-content/uploads/product/csd-r7-4-550x550.jpg; https://risbar.kz/wp-content/uploads/product/csd-r7-5-550x550.jpg,https://risbar.kz/product/csd-r7/
DM3,,Микшерные консоли,0,Наличие:В наличии,"Описание Yamaha DM3 – это компактный цифровой микшерный пульт с поддержкой Dante, обладающий широкими возможностями для различных сценариев использования. Он сочетает в себе высокое качество звука, быструю настройку, удобное управление и профессиональные функции. 8 + 1 фейдеров (моторные) 9-дюймовый сенсорный экран (мультисенсорный) Каналы: — 16 моно + 1 стерео + 2 FX Return Шины: — 1 стерео, 6 групп, 2 FX, 2 матрицы (поддержка прямого ввода в матрицу) Локальные входы/выходы: — 16 микрофонных/линейных входов (12 XLR + 4 комбо XLR/TRS) — 8 выходов (XLR) Dante: 16 входов / 16 выходов USB-интерфейс: 18 входов / 18 выходов 18 эффектов, графический эквалайзер (на Mix 1-6 и стереоканалах) Частота дискретизации: 48 кГц / 96 кГц Размеры (Ш × В × Г): 320 × 140 × 455 мм Масса: 6,5 кг Слово «компактный» часто ассоциируется с ограничениями, и в мире звукоусиления обычно подразумевает компромиссы в функциональности, возможностях подключения или качестве звука, а иногда и во всех трёх аспектах. Новая серия микшерных пультов DM3 разрушает этот стереотип, предлагая превосходное качество звука, быструю и простую настройку и управление, а также профессиональные функции для живого звука, стриминга, записи и производства музыки — как в студии, так и дома. Это сочетание не имеет аналогов среди микшерных пультов такого размера. Серия DM3 включает две модели: DM3 Standard и DM3 — первый компактный микшер с полной поддержкой технологии Dante, обеспечивающей более быструю и простую интеграцию с другими устройствами. Обе модели оснащены многоязычным интерфейсом, который можно настроить для удобной и беспроблемной работы пользователям с разным опытом и уровнем подготовки. l Будь то концертная площадка или домашняя студия, с микшером серии DM3 вы легко можете отправиться на выступление, записать и транслировать звук, а затем вернуться домой и продолжить работу над проектом в DAW. Или, например, использовать его в качестве основного микшера для небольшого мероприятия, а на следующий день — как субмикшер для прямой трансляции. Возможности безграничны. Несмотря на компактные размеры, серия DM3 поддерживает частоту дискретизации до 96 кГц, продолжая традиции чистого звука. Она предлагает идеальную основу для сведения, записи, прямых трансляций и даже стационарных решений. Главное преимущество цифрового микшера — простота управления и доступ к мощным функциям, которые в аналоговых системах потребовали бы больше опыта и дополнительного оборудования. Серия DM3 воплощает философию «меньше — значит больше»: благодаря 9-дюймовому сенсорному экрану и единому поворотно-сенсорному регулятору управление напоминает работу со смартфоном — быстро, удобно и без лишних сложностей. Перевозка, разгрузка и настройка звукового оборудования на площадке — одна из самых трудоемких задач для звукорежиссера, но не с серией DM3. Благодаря гибкой коммутации, Quick Pro Presets, Editor и StageMix программному обеспечению, а также поддержке Dante (только в модели DM3), время на установку и настройку сокращается до минимума. Добавьте к этому 6 микширующих шин, 2 матрицы и 2 процессора эффектов — и получите мощный, компактный и надежный микшер, который легко взять с собой куда угодно. Организация качественного звука в прямом эфире обычно требует дополнительного оборудования и места. Но с DM3 это больше не проблема. Встроенный USB-интерфейс позволяет начать эфир за секунды. Матрицы, гибкая коммутация и готовые пресеты специально разработаны для плавной и беспроблемной работы в прямом эфире. Компактный дизайн делает DM3 идеальным решением для мультимикшерных конфигураций — например, когда один пульт отвечает за трансляцию, а другой — за живой звук на площадке. DM3 — это портативная студия для живых записей и последующей обработки. Функция DAW Remote позволяет управлять микшированием и записью с любого устройства в зале, а результаты можно доработать дома. Записывайте напрямую на USB-флешку, ПК (через USB) или Dante-устройство (только DM3), а затем редактируйте в Cubase AI или любой другой DAW. Готовые пресеты DM3 ускоряют подготовку пульта для разных сценариев. Через DM3 Editor на ПК можно заранее загрузить пресет, настроить цвета, метки каналов и другие параметры до прибытия на площадку.","Производитель: Yamaha | Наименование: <h3>DM3</h3> | Микшерные возможности: •	Входные каналы: 16 моно + 1 стерео + 2 FX возврата	<br> •	Шины: 6 групп + 2 матрицы (с поддержкой прямой передачи входного сигнала на матрицу) + 1 стерео-шина + 2 FX-шины возврата | Локальные входы/выходы: •	Аналоговые входы: 16 Микрофон/Линия (12 XLR + 4 XLR/TRS)	<br> •	Аналоговые выходы: 8 (XLR) 	<br> •	Dante I/O: 2 х etherCON (Primary/Secondary) 	<br> •	Ethernet: 1 х RJ-45 	<br> •	USB to Host:  1 х USB Type-B	<br> •	USB to Device: 1 х USB Type-A	<br> •	Наушники: 1 х TRS 6,3	<br> •	Питание: 1 х XLR 4pin | Пользовательские интерфейсы: •	1 x 9-дюймовый мультитач-экран	<br> •	9 x моторизованных фейдеров (8 канальных + 1 мастер)	<br> •	1 x Сенсорно-поворотный энкодер | Запись & Воспроизведение: •	PC/Mac (USB 2.0): Запись 18 каналов, Воспроизведение 18 каналов	<br> •	USB-девайс: Запись 2 канала (USB hard disk/SSD/flash memory), 	<br> •	Воспроизведение 2 канала (USB hard disk/SSD/flash memory) | Частота дискретизации: 96 кГц / 48 кГц | Задержка: менее 1.3 мс (вход-выход, Fs=96 кГц) | Частотный диапазон: 20 Гц-20 кГц, +0.5, –1.0 дБ при 1 кГц | Коэффициент нелинейных искажений: менее 0.01% при 20 Гц — 20 кГц (+4 дБн при 10 кОм) | Уровень шума: -126 дБн тип., Эквивалентный входной шум при максимальном входном усилении.	<br> -85 дБн, Выходной шум, ST-мастер выключен | Динамический диапазон: 107 дБ тип. | Перекрестное затухание на 1 кГц: –100 дБ при минимальном входном усилении | Электропитание: DC24 В/2.5 A, PA-L500 (100 В-240 В, 50 Гц/60 Гц) | Энергопотребление: 43 Вт | Размеры (Ш x В x Г): 320 x 140 x 455 мм | Масса: 6,5 кг | Аксессуары: Шнур питания | Рабочая температура: 0–40 °C",https://risbar.kz/wp-content/uploads/product/dm3-1.jpg; https://risbar.kz/wp-content/uploads/product/dm3-2.jpg; https://risbar.kz/wp-content/uploads/product/dm3-3.jpg; https://risbar.kz/wp-content/uploads/product/dm3-4.jpg,https://risbar.kz/product/dm3/
