title,article,category,price,availability,description,details,images,url
DCS-2043C,,Настольные проводные пульты 10000N,0,Наличие:В наличии,"Описание Gonsin DCS-2043C — настольный проводной дискуссионный пульт председателя серии DCS-2043 предназначен для участия в совещаниях, организованных на базе конференц-системы 10000N. Пульт выполнен в металлическом треугольном корпусе стильного дизайна с несъёмным микрофоном с регулируемым углом наклона и встроенной ветрозащитой. Пульт оснащен OLED-дисплеем (35 мм х 18 мм) и имеет встроенный громкоговоритель мощностью 2х2 Вт, регулятор громкости, выход на наушники (3,5 мм jack) и вход для подключения внешнего микрофона (3,5 мм jack). Пульт подключается к центральному оборудованию системы 10000N кабелем с разъемом RJ45 и дополнительно позволяет организовать резервное подключение микрофона с помощью разъема XLR. Микрофон в прямоугольном корпусе : пульт имеет несъёмный электретный микрофон с индикатором статуса и регулируемым углом наклона до 80°. Микрофон конференц-пульта зафиксирован на короткой ножке, соединенной с прочным металлическим основанием. Устройство использует технологию цифровой обработки и передачи звука в соответствии с международным стандартом IEC60914, имеет встроенный высокоскоростной процессор и высокопроизводительный цифровой процессор обработки звука , который помогает удалить бесполезные низкие частоты, что улучшает разборчивость речи. Поддерживает частоту дискретизации аудио 48 кГц, акустическая частотная характеристика может достигать 20 Гц — 20 кГц. Чувствительность каждого пульта можно отрегулировать независимо или одинаково , а звуковой эффект может быть настроен в соответствии с речевой ситуацией на месте, пока не будет достигнут идеальный результат. OLED-дисплей используется для отображения информации о конференц-пульте, часов с возможностью автоматической синхронизации с системным временем. Пульт предусматривает физическую кнопку включения микрофона и трехцветный светодиодный индикатор, показывающий рабочее состояние микрофона. Основное оборудование, такое как конференц-пульты, концентратор питания и сервер конференц-системы поддерживают гибкую кабельную топологию , включая шлейфовое подключение, соединение звездой и смешанное подключение. Это снижает рабочую нагрузку на проект и упрощает крупномасштабную установку. Поломка одного пульта не повлияет на другие пульты, а неисправность кабеля одного пульта не повлияет на всю систему, обеспечивая стабильность системы. Микрофон в прямоугольном корпусе имеет функцию резервного кабельного подключения : с независимым выходом цифрового сигнала микрофона и выходом аналогового сигнала. При выходе из строя основного канала связи его можно переключить на резервный канал, чтобы обеспечить непрерывную работу системы. Резервная цепь микрофона подключается к разъему XLR (фантомное питание 48 В). Вход для подключения внешнего микрофона (3,5 мм jack) предусмотрен для различных сценариев использования. Пульт имеет встроенный громкоговоритель с левой и правой стороны корпуса (2х2 Вт) и выход на наушники (3,5 мм jack) с регулировкой громкости (9 уровней). Когда микрофон включен, громкоговоритель автоматически отключается, чтобы предотвратить возникновение акустической обратной связи. Разъемы подключения кабеля имеют конструкцию против выпадения и установлены снизу , что поддерживает скрытую или открытую установку, делая рабочий стол более чистым и аккуратным. Функция автоматического восстановления с поддержкой горячего подключения. Функция регистрации присутствия : пульт использует регистрацию по нажатию кнопки или по контактной карте с привязкой к месту и без, благодаря встроенному считывателю IC карт. Система имеет возможность проводить дополнительную регистрацию или отмену регистрации. Посещаемость подсчитывается автоматически, и результат может быть отображен на дисплее в конференц-зале. Функция автоматического отслеживания выступающих с помощью HD видеокамер, с поддержкой настройки препозиций и общего панорамного вида. Максимальное количество конференц-пультов , которые можно включить одновременно – 5. Любому пульту делегата можно назначить права председателя или заместителя председателя Помимо всех функций пульта делегата, пульт председателя имеет следующие функции. 1. Микрофон пульта председателя можно включить в любое время без предварительной настройки ограничения на время выступления. 2. Пульт председателя оснащен кнопкой приоритета председателя для отключения всех активных микрофонов пультов делегатов. 3. Количество пультов председателя и заместителя председателя в системе не ограничено. Режимы управления микрофонами Несколько режимов управления микрофонами : автоматический, с вытеснением, под управлением оператора, запроса на выступление, голосовой активации и РТТ. Функция голосовой активации (VOX) : в режиме VOX устройство включается при разговоре пользователя, чувствительность может быть настроена сервером; время паузы микрофона регулируется. Автоматический режим : можно активировать только то количество микрофонов, которое ограничено системой. Когда количество открытых микрофонов превышает установленный системный лимит, при нажатии кнопки включения микрофон не может быть включен, и необходимо выключить ранее включенные микрофоны, а затем микрофон можно включить, нажав кнопку включения микрофона заново. Режим вытеснения (FIFO) : когда количество открытых микрофонов превышает установленный системный лимит, нажатие кнопки включения микрофона включит микрофон и автоматически выключит микрофон, который был активен раньше всех. Режим под управлением оператора : когда количество открытых микрофонов превышает лимит, нажатие кнопки включения микрофона вводит пульт в режим ожидания. После выключения активных микрофонов микрофоны из очереди включатся автоматически. Режим подачи реплики : в режиме подачи реплики микрофон включается при нажатии кнопки включения микрофона и выключается при отпускании кнопки. Режим по запросу РТТ : делегат отправляет запрос на выступление через пульт и может выступать после одобрения председателя. Пульт председателя можно активировать в любое время без разрешения. Возможности конференц-пультов серии DCS-2043 Модель Тип пульта Дискуссия Регистрация по кнопке / карте Голосование Синхронный перевод OLED-дисплей DCS-2043C(-G) Председатель + + + DCS-2043D(-G) Делегат + + + DCS-2043DV(-G) Делегат + + + + DCS-2043DI(-G) Делегат + + + + DCS-2043CF(-G) Председатель + + + + + DCS-2043DF(-G) Делегат + + + + +","Производитель: Gonsin | Наименование: <h3>DCS-2043C</h3> | Партномер: <h3>300212051036B</h3> | Монтаж: Установка на стол | Способ подключения: Кабель с разъемами RJ45<br>Резервное подключение XLR (48 В фантом) | Частотная характеристика: 20 Гц — 20 кГц | Чувствительность: -46 дБВ/Па | Эквивалентный уровень шума: 20 дБА (УЗД) | Максимальный уровень звукового давления: 139 дБ (КНИ < 3%) | Коэффициент нелинейных искажений: 0,05% | Отношение сигнал-шум: ≥ 96 дБ | Характеристика направленности микрофона: Кардиоидная | Направленность: 0°/135° > 20 дБ (1 кГц)<br>0°/180° > 15 дБ (1 кГц) | Выходной разъем для наушников: 3,5 мм стерео jack | Встроенный громкоговоритель: 2х2 Вт/ 8 Ом | Размеры микрофона (Д×Ш×В): 240 х 36 х 31 мм | Размеры базы (Д×Ш×В): 145 х 170 х 71 мм | Вес: 1,06 кг | Рабочая температура: От 0 ºC до +45 ºC | Температура хранения: От -20 ºC до +50 ºC",https://risbar.kz/wp-content/uploads/product/dcs-2043c-1.png,https://risbar.kz/product/dcs-2043c/
DCS-2043C-G,,Настольные проводные пульты 10000N,0,Наличие:В наличии,"Описание Gonsin DCS-2043C-G — настольный проводной дискуссионный пульт председателя серии DCS-2043 предназначен для участия в совещаниях, организованных на базе конференц-системы 10000N. Пульт выполнен в металлическом треугольном корпусе стильного дизайна и идет в комплекте со съёмным кардиоидным микрофоном на гусиной шее 410 мм со светодиодным индикатором и ветрозащитой. Пульт оснащен OLED-дисплеем (35 мм х 18 мм) и имеет встроенный громкоговоритель мощностью 2х2 Вт, регулятор громкости, выход на наушники (3,5 мм jack) и вход для подключения внешнего микрофона (3,5 мм jack). Пульт подключается к центральному оборудованию системы 10000N кабелем с разъемом RJ45. Микрофон на гусиной шее : к пульту председателя подключается съёмный микрофон на гибкой подставке типа «гусиная шея», который может быть отсоединен, когда пульт не используется, что делает его удобным для обслуживания оборудования. Электретный микрофон с кардиоидной характеристикой направленности имеет светодиодное индикаторное кольцо и подставку с двумя гибкими участками. В стандартную комплектацию включен микрофон длиной 410 мм, дополнительно можно заказать микрофон с гусиной шеей длиной 310 мм или 510 мм. Устройство использует технологию цифровой обработки и передачи звука в соответствии с международным стандартом IEC60914, имеет встроенный высокоскоростной процессор и высокопроизводительный цифровой процессор обработки звука , который помогает удалить бесполезные низкие частоты, что улучшает разборчивость речи. Поддерживает частоту дискретизации аудио 48 кГц, акустическая частотная характеристика может достигать 20 Гц — 20 кГц. Чувствительность каждого пульта можно отрегулировать независимо или одинаково, а звуковой эффект может быть настроен в соответствии с речевой ситуацией на месте, пока не будет достигнут идеальный результат. OLED-дисплей используется для отображения информации о конференц-пульте, часов с возможностью автоматической синхронизации с системным временем. Пульт предусматривает физическую кнопку включения микрофона и трехцветный светодиодный индикатор, показывающий рабочее состояние микрофона. Основное оборудование, такое как конференц-пульты, концентратор питания и сервер конференц-системы поддерживают гибкую кабельную топологию , включая шлейфовое подключение, соединение звездой и смешанное подключение. Это снижает рабочую нагрузку на проект и упрощает крупномасштабную установку. Поломка одного пульта не повлияет на другие пульты, а неисправность кабеля одного пульта не повлияет на всю систему, обеспечивая стабильность системы. Вход для подключения внешнего микрофона (3,5 мм jack) предусмотрен для различных сценариев использования. Пульт имеет встроенный громкоговоритель с левой и правой стороны корпуса (2х2 Вт) и выход на наушники (3,5 мм jack) с регулировкой громкости (9 уровней). Когда микрофон включен, громкоговоритель автоматически отключается, чтобы предотвратить возникновение акустической обратной связи. Разъемы подключения кабеля имеют конструкцию против выпадения и установлены снизу , что поддерживает скрытую или открытую установку, делая рабочий стол более чистым и аккуратным. Функция автоматического восстановления с поддержкой горячего подключения. Функция регистрации присутствия : пульт использует регистрацию по нажатию кнопки или по контактной карте с привязкой к месту и без, благодаря встроенному считывателю IC карт. Система имеет возможность проводить дополнительную регистрацию или отмену регистрации. Посещаемость подсчитывается автоматически, и результат может быть отображен на дисплее в конференц-зале. Функция автоматического отслеживания выступающих с помощью HD видеокамер, с поддержкой настройки препозиций и общего панорамного вида. Максимальное количество конференц-пультов , которые можно включить одновременно – 5. Любому пульту делегата можно назначить права председателя или заместителя председателя . Помимо всех функций пульта делегата, пульт председателя имеет следующие функции. 1. Микрофон пульта председателя можно включить в любое время без предварительной настройки ограничения на время выступления. 2. Пульт председателя оснащен кнопкой приоритета председателя для отключения всех активных микрофонов пультов делегатов. 3. Количество пультов председателя и заместителя председателя в системе не ограничено. Режимы управления микрофонами Несколько режимов управления микрофонами : автоматический, с вытеснением, под управлением оператора, запроса на выступление, голосовой активации и РТТ. Функция голосовой активации (VOX) : в режиме VOX устройство включается при разговоре пользователя, чувствительность может быть настроена сервером; время паузы микрофона регулируется. Автоматический режим : можно активировать только то количество микрофонов, которое ограничено системой. Когда количество открытых микрофонов превышает установленный системный лимит, при нажатии кнопки включения микрофон не может быть включен, и необходимо выключить ранее включенные микрофоны, а затем микрофон можно включить, нажав кнопку включения микрофона заново. Режим вытеснения (FIFO) : когда количество открытых микрофонов превышает установленный системный лимит, нажатие кнопки включения микрофона включит микрофон и автоматически выключит микрофон, который был активен раньше всех. Режим под управлением оператора : когда количество открытых микрофонов превышает лимит, нажатие кнопки включения микрофона вводит пульт в режим ожидания. После выключения активных микрофонов микрофоны из очереди включатся автоматически. Режим подачи реплики : в режиме подачи реплики микрофон включается при нажатии кнопки включения микрофона и выключается при отпускании кнопки. Режим по запросу РТТ : делегат отправляет запрос на выступление через пульт и может выступать после одобрения председателя. Пульт председателя можно активировать в любое время без разрешения. Возможности конференц-пультов серии DCS-2043 Модель Тип пульта Дискуссия Регистрация по кнопке / карте Голосование Синхронный перевод OLED-дисплей DCS-2043C(-G) Председатель + + + DCS-2043D(-G) Делегат + + + DCS-2043DV(-G) Делегат + + + + DCS-2043DI(-G) Делегат + + + + DCS-2043CF(-G) Председатель + + + + + DCS-2043DF(-G) Делегат + + + + +","Производитель: Gonsin | Наименование: <h3>DCS-2043C-G</h3> | Партномер: <h3>300212051039B</h3> | Монтаж: Установка на стол | Способ подключения: Кабель с разъемами RJ45 | Частотная характеристика: 20 Гц — 20 кГц | Чувствительность: -46 дБВ/Па | Эквивалентный уровень шума: 20 дБА (УЗД) | Максимальный уровень звукового давления: 139 дБ (КНИ < 3%) | Коэффициент нелинейных искажений: 0,05% | Отношение сигнал-шум: ≥ 96 дБ | Характеристика направленности микрофона: Кардиоидная | Направленность: 0°/135° > 20 дБ (1 кГц)<br>0°/180° > 15 дБ (1 кГц) | Выходной разъем для наушников: 3,5 мм jack | Встроенный громкоговоритель: 2х2 Вт/ 8 Ом | Размеры микрофона на гусиной шее: 410 мм (стандартный) | Размеры базы (Д×Ш×В): 145 х 170 х 71 мм | Вес: 1,06 кг | Рабочая температура: От 0 ºC до +45 ºC | Температура хранения: От -20 ºC до +50 ºC",https://risbar.kz/wp-content/uploads/product/dcs-2043c-g-1.png,https://risbar.kz/product/dcs-2043c-g/
DCS-2043CF,,Настольные проводные пульты 10000N,0,Наличие:В наличии,"Описание Gonsin DCS-2043CF — настольный проводной пульт председателя с функцией голосования и синхронного перевода серии DCS-2043 предназначен для участия в совещаниях, голосованиях, многоязыковых конференциях, организованных на базе конференц-системы 10000N. Пульт выполнен в металлическом треугольном корпусе стильного дизайна с несъёмным микрофоном с регулируемым углом наклона и встроенной ветрозащитой. Пульт оснащен OLED-дисплеем (35 мм х 18 мм) и имеет встроенный громкоговоритель мощностью 2х2 Вт, регулятор громкости, выход на наушники (3,5 мм jack) и вход для подключения внешнего микрофона (3,5 мм jack). Пульт имеет встроенный селектор канала синхронного перевода на 1+31 язык (до 6 языков без ПО) и кнопки для голосования. Пульт подключается к центральному оборудованию системы 10000N кабелем с разъемом RJ45 и дополнительно позволяет организовать резервное подключение микрофона с помощью разъема XLR. Микрофон в прямоугольном корпусе : пульт имеет несъёмный электретный микрофон с индикатором статуса и регулируемым углом наклона до 80. Микрофон конференц-пульта зафиксирован на короткой ножке , соединенной с прочным металлическим основанием. Устройство использует технологию цифровой обработки и передачи звука в соответствии с международным стандартом IEC60914, имеет встроенный высокоскоростной процессор и высокопроизводительный цифровой процессор обработки звука , который помогает удалить бесполезные низкие частоты, что улучшает разборчивость речи. Поддерживает частоту дискретизации аудио 48 кГц, акустическая частотная характеристика может достигать 20 Гц — 20 кГц. Чувствительность каждого пульта можно отрегулировать независимо или одинаково , а звуковой эффект может быть настроен в соответствии с речевой ситуацией на месте, пока не будет достигнут идеальный результат. OLED-дисплей используется для отображения информации о конференц-пульте, часов с возможностью автоматической синхронизации с системным временем. Пульт предусматривает физическую кнопку включения микрофона и трехцветный светодиодный индикатор, показывающий рабочее состояние микрофона. Основное оборудование, такое как конференц-пульты, концентратор питания и сервер конференц-системы поддерживают гибкую кабельную топологию , включая шлейфовое подключение, соединение звездой и смешанное подключение. Это снижает рабочую нагрузку на проект и упрощает крупномасштабную установку. Поломка одного пульта не повлияет на другие пульты, а неисправность кабеля одного пульта не повлияет на всю систему, обеспечивая стабильность системы. Микрофон в прямоугольном корпусе имеет функцию резервного кабельного подключения : с независимым выходом цифрового сигнала микрофона и выходом аналогового сигнала. При выходе из строя основного канала связи его можно переключить на резервный канал, чтобы обеспечить непрерывную работу системы. Резервная цепь микрофона подключается к разъему XLR (фантомное питание 48 В). Вход для подключения внешнего микрофона (3,5 мм jack) предусмотрен для различных сценариев использования. Пульт имеет встроенный громкоговоритель с левой и правой стороны корпуса (2х2 Вт) и выход на наушники (3,5 мм jack) с регулировкой громкости (9 уровней). Когда микрофон включен, громкоговоритель автоматически отключается, чтобы предотвратить возникновение акустической обратной связи. Разъемы подключения кабеля имеют конструкцию против выпадения и установлены снизу , что поддерживает скрытую или открытую установку, делая рабочий стол более чистым и аккуратным. Функция автоматического восстановления с поддержкой горячего подключения. Функция регистрации присутствия : пульт использует регистрацию по нажатию кнопки или по контактной карте с привязкой к месту и без, благодаря встроенному считывателю IC карт. Система имеет возможность проводить дополнительную регистрацию или отмену регистрации. Посещаемость подсчитывается автоматически, и результат может быть отображен на дисплее в конференц-зале. Функция автоматического отслеживания выступающих с помощью HD видеокамер, с поддержкой настройки препозиций и общего панорамного вида. Максимальное количество конференц-пультов , которые можно включить одновременно – 5. Любому пульту делегата можно назначить права председателя или заместителя председателя. Помимо всех функций пульта делегата, пульт председателя имеет следующие функции. 1. Микрофон пульта председателя можно включить в любое время без предварительной настройки ограничения на время выступления. 2. Пульт председателя оснащен кнопкой приоритета председателя для отключения всех активных микрофонов пультов делегатов. 3. Количество пультов председателя и заместителя председателя в системе не ограничено. Режимы управления микрофонами Несколько режимов управления микрофонами : автоматический, с вытеснением, под управлением оператора, запроса на выступление, голосовой активации и РТТ. Функция голосовой активации (VOX) : в режиме VOX устройство включается при разговоре пользователя, чувствительность может быть настроена сервером; время паузы микрофона регулируется. Автоматический режим : можно активировать только то количество микрофонов, которое ограничено системой. Когда количество открытых микрофонов превышает установленный системный лимит, при нажатии кнопки включения микрофон не может быть включен, и необходимо выключить ранее включенные микрофоны, а затем микрофон можно включить, нажав кнопку включения микрофона заново. Режим вытеснения (FIFO) : когда количество открытых микрофонов превышает установленный системный лимит, нажатие кнопки включения микрофона включит микрофон и автоматически выключит микрофон, который был активен раньше всех. Режим под управлением оператора : когда количество открытых микрофонов превышает лимит, нажатие кнопки включения микрофона вводит пульт в режим ожидания. После выключения активных микрофонов микрофоны из очереди включатся автоматически. Режим подачи реплики : в режиме подачи реплики микрофон включается при нажатии кнопки включения микрофона и выключается при отпускании кнопки. Режим по запросу РТТ : делегат отправляет запрос на выступление через пульт и может выступать после одобрения председателя. Пульт председателя можно активировать в любое время без разрешения. Голосование Функция голосования в режиме управления ПК с программным обеспечением : 1. Простое голосование: Да/Нет/Воздержался. — Голосование с одним и несколькими вариантами ответов. — Вариант, когда учитывается только первое нажатие при подаче голоса, или последнее нажатие. 2. Выборы: выбор одного или нескольких кандидатов из нескольких кандидатов с помощью «конкурентных выборов», «выборов одного кандидата» и «быстрых выборов (одного из пяти)». 3. Оценка: Удовлетворительно, вполне удовлетворительно, неудовлетворительно и воздержался. Режим оценки устанавливается в программном обеспечении. 4. При голосовании используются методы шифрования данных и защиты от восстановления для обеспечения информационной безопасности. 5. Поддержка индивидуальных параметров и методов голосования, индивидуального языкового режима и экрана дисплея. Синхронный перевод Пульт поддерживает выбор канала синхронного перевода на 1 + 31 язык (до 6 языков без ПО). Для активации селектора к пульту нужно подключить наушники. Частотный диапазон канала перевода может достигать 20 Гц – 20 кГц. Возможности конференц-пультов серии DCS-2043 Модель Тип пульта Дискуссия Регистрация по кнопке / карте Голосование Синхронный перевод OLED-дисплей DCS-2043C(-G) Председатель + + + DCS-2043D(-G) Делегат + + + DCS-2043DV(-G) Делегат + + + + DCS-2043DI(-G) Делегат + + + + DCS-2043CF(-G) Председатель + + + + + DCS-2043DF(-G) Делегат + + + + +","Производитель: Gonsin | Наименование: <h3>DCS-2043CF</h3> | Партномер: <h3>300212081044B</h3> | Монтаж: Установка на стол | Способ подключения: Кабель с разъемами RJ45<br>Резервное подключение XLR (48 В фантом) | Частотная характеристика: 20 Гц — 20 кГц | Чувствительность: -46 дБВ/Па | Эквивалентный уровень шума: 20 дБА (УЗД) | Максимальный уровень звукового давления: 139 дБ (КНИ < 3%) | Коэффициент нелинейных искажений: 0,05% | Отношение сигнал-шум: ≥ 96 дБ | Характеристика направленности микрофона: Кардиоидная | Направленность: 0°/135° > 20 дБ (1 кГц)<br>0°/180° > 15 дБ (1 кГц) | Выходной разъем для наушников: 3,5 мм | Встроенный громкоговоритель: 2х2 Вт/ 8 Ом | Размеры микрофона (Д×Ш×В): 240 × 36 × 31 мм | Размеры базы (Д×Ш×В): 145 х 170 х 71 мм | Вес: 1,06 кг | Рабочая температура: От 0 ºC до +45 ºC | Температура хранения: От -20 ºC до +50 ºC",https://risbar.kz/wp-content/uploads/product/dcs-2043cf-1.png,https://risbar.kz/product/dcs-2043cf/
DCS-2043CF-G,,Настольные проводные пульты 10000N,0,Наличие:В наличии,"Описание Gonsin DCS-2043CF-G — настольный проводной пульт председателя с функцией голосования и синхронного перевода серии DCS-2043 предназначен для участия в совещаниях, голосованиях, многоязыковых конференциях, организованных на базе конференц-системы 10000N. Пульт выполнен в металлическом треугольном корпусе стильного дизайна и идет в комплекте со съёмным кардиоидным микрофоном на гусиной шее 410 мм со светодиодным индикатором и ветрозащитой. Пульт оснащен OLED-дисплеем (35 мм х 18 мм) и имеет встроенный громкоговоритель мощностью 2х2 Вт, регулятор громкости, выход на наушники (3,5 мм jack) и вход для подключения внешнего микрофона (3,5 мм jack). Пульт имеет встроенный селектор канала синхронного перевода на 1+31 язык (до 6 языков без ПО) и кнопки для голосования. Пульт подключается к центральному оборудованию системы 10000N кабелем с разъемом RJ45. Микрофон на гусиной шее : к пульту председателя подключается съёмный микрофон на гибкой подставке типа «гусиная шея», который может быть отсоединен, когда пульт не используется, что делает его удобным для обслуживания оборудования. Электретный микрофон с кардиоидной характеристикой направленности имеет светодиодное индикаторное кольцо и подставку с двумя гибкими участками. В стандартную комплектацию включен микрофон длиной 410 мм, дополнительно можно заказать микрофон с гусиной шеей длиной 310 мм или 510 мм. Устройство использует технологию цифровой обработки и передачи звука в соответствии с международным стандартом IEC60914, имеет встроенный высокоскоростной процессор и высокопроизводительный цифровой процессор обработки звука , который помогает удалить бесполезные низкие частоты, что улучшает разборчивость речи. Поддерживает частоту дискретизации аудио 48 кГц, акустическая частотная характеристика может достигать 20 Гц — 20 кГц. Чувствительность каждого пульта можно отрегулировать независимо или одинаково , а звуковой эффект может быть настроен в соответствии с речевой ситуацией на месте, пока не будет достигнут идеальный результат. OLED-дисплей используется для отображения информации о конференц-пульте, часов с возможностью автоматической синхронизации с системным временем. Пульт предусматривает физическую кнопку включения микрофона и трехцветный светодиодный индикатор, показывающий рабочее состояние микрофона. Основное оборудование, такое как конференц-пульты, концентратор питания и сервер конференц-системы поддерживают гибкую кабельную топологию , включая шлейфовое подключение, соединение звездой и смешанное подключение. Это снижает рабочую нагрузку на проект и упрощает крупномасштабную установку. Поломка одного пульта не повлияет на другие пульты, а неисправность кабеля одного пульта не повлияет на всю систему, обеспечивая стабильность системы. Вход для подключения внешнего микрофона (3,5 мм jack) предусмотрен для различных сценариев использования. Пульт имеет встроенный громкоговоритель с левой и правой стороны корпуса (2х2 Вт) и выход на наушники (3,5 мм jack) с регулировкой громкости (9 уровней). Когда микрофон включен, громкоговоритель автоматически отключается, чтобы предотвратить возникновение акустической обратной связи. Разъемы подключения кабеля имеют конструкцию против выпадения и установлены снизу , что поддерживает скрытую или открытую установку, делая рабочий стол более чистым и аккуратным. Функция автоматического восстановления с поддержкой горячего подключения. Функция регистрации присутствия : пульт использует регистрацию по нажатию кнопки или по контактной карте с привязкой к месту и без, благодаря встроенному считывателю IC карт. Система имеет возможность проводить дополнительную регистрацию или отмену регистрации. Посещаемость подсчитывается автоматически, и результат может быть отображен на дисплее в конференц-зале. Функция автоматического отслеживания выступающих с помощью HD видеокамер, с поддержкой настройки препозиций и общего панорамного вида. Максимальное количество конференц-пультов , которые можно включить одновременно – 5. Любому пульту делегата можно назначить права председателя или заместителя председателя. Помимо всех функций пульта делегата, пульт председателя имеет следующие функции. 1. Микрофон пульта председателя можно включить в любое время без предварительной настройки ограничения на время выступления. 2. Пульт председателя оснащен кнопкой приоритета председателя для отключения всех активных микрофонов пультов делегатов. 3. Количество пультов председателя и заместителя председателя в системе не ограничено. Режимы управления микрофонами Несколько режимов управления микрофонами : автоматический, с вытеснением, под управлением оператора, запроса на выступление, голосовой активации и РТТ. Функция голосовой активации (VOX) : в режиме VOX устройство включается при разговоре пользователя, чувствительность может быть настроена сервером; время паузы микрофона регулируется. Автоматический режим : можно активировать только то количество микрофонов, которое ограничено системой. Когда количество открытых микрофонов превышает установленный системный лимит, при нажатии кнопки включения микрофон не может быть включен, и необходимо выключить ранее включенные микрофоны, а затем микрофон можно включить, нажав кнопку включения микрофона заново. Режим вытеснения (FIFO) : когда количество открытых микрофонов превышает установленный системный лимит, нажатие кнопки включения микрофона включит микрофон и автоматически выключит микрофон, который был активен раньше всех. Режим под управлением оператора : когда количество открытых микрофонов превышает лимит, нажатие кнопки включения микрофона вводит пульт в режим ожидания. После выключения активных микрофонов микрофоны из очереди включатся автоматически. Режим подачи реплики : в режиме подачи реплики микрофон включается при нажатии кнопки включения микрофона и выключается при отпускании кнопки. Режим по запросу РТТ : делегат отправляет запрос на выступление через пульт и может выступать после одобрения председателя. Пульт председателя можно активировать в любое время без разрешения. Голосование Функция голосования в режиме управления ПК с программным обеспечением : 1. Простое голосование: Да/Нет/Воздержался. — Голосование с одним и несколькими вариантами ответов. — Вариант, когда учитывается только первое нажатие при подаче голоса, или последнее нажатие. 2. Выборы: выбор одного или нескольких кандидатов из нескольких кандидатов с помощью «конкурентных выборов», «выборов одного кандидата» и «быстрых выборов (одного из пяти)». 3. Оценка: Удовлетворительно, вполне удовлетворительно, неудовлетворительно и воздержался. Режим оценки устанавливается в программном обеспечении. 4. При голосовании используются методы шифрования данных и защиты от восстановления для обеспечения информационной безопасности. 5. Поддержка индивидуальных параметров и методов голосования, индивидуального языкового режима и экрана дисплея. Синхронный перевод Пульт поддерживает выбор канала синхронного перевода на 1 + 31 язык (до 6 языков без ПО). Для активации селектора к пульту нужно подключить наушники. Частотный диапазон канала перевода может достигать 20 Гц – 20 кГц. Возможности конференц-пультов серии DCS-2043 Модель Тип пульта Дискуссия Регистрация по кнопке / карте Голосование Синхронный перевод OLED-дисплей DCS-2043C(-G) Председатель + + + DCS-2043D(-G) Делегат + + + DCS-2043DV(-G) Делегат + + + + DCS-2043DI(-G) Делегат + + + + DCS-2043CF(-G) Председатель + + + + + DCS-2043DF(-G) Делегат + + + + +","Производитель: Gonsin | Наименование: <h3>DCS-2043CF-G</h3> | Партномер: <h3>300212082028B</h3> | Монтаж: Установка на стол | Способ подключения: Кабель с разъемами RJ45<br>Резервное подключение XLR (48 В фантом) | Частотная характеристика: 20 Гц — 20 кГц | Чувствительность: -46 дБВ/Па | Эквивалентный уровень шума: 20 дБА (УЗД) | Максимальный уровень звукового давления: 139 дБ (КНИ < 3%) | Коэффициент нелинейных искажений: 0,05% | Отношение сигнал-шум: ≥ 96 дБ | Характеристика направленности микрофона: Кардиоидная | Направленность: 0°/135° > 20 дБ (1 кГц)<br>0°/180° > 15 дБ (1 кГц) | Выходной разъем для наушников: 3,5 мм | Встроенный громкоговоритель: 2х2 Вт/ 8 Ом | Размеры микрофона на гусиной шее: 410 мм (стандартный) | Размеры базы (Д×Ш×В): 145 х 170 х 71 мм | Вес: 1,06 кг | Рабочая температура: От 0 ºC до +45 ºC | Температура хранения: От -20 ºC до +50 ºC",https://risbar.kz/wp-content/uploads/product/dcs-2043cf-g-1.png,https://risbar.kz/product/dcs-2043cf-g/
