title,article,category,price,availability,description,details,images,url
105-607,,Объективы,0,Наличие:В наличии,"Описание Объектив Titan/Mercury WUXGA 0,67:1. SX+ Объектив проекционное соотношение 0,73:1",Производитель: Digital Projection | Наименование: <h3>105-607</h3> | Партномер: <h3>105-607</h3>,,https://risbar.kz/product/105-607/
105-608,,Объективы,0,Наличие:В наличии,"Описание Объектив Titan/Mercury WUXGA 1,12:1. SX+ Объектив проекционное соотношение 1,21:1",Производитель: Digital Projection | Наименование: <h3>105-608</h3> | Партномер: <h3>105-608</h3>,,https://risbar.kz/product/105-608/
105-610,,Объективы,0,Наличие:В наличии,"Описание Объектив Lens Titan/Mercury WUXGA 1,39-1,87:1. SX+ Объектив проекционное соотношение 1,50-2,02:1",Производитель: Digital Projection,https://risbar.kz/wp-content/uploads/product/105-610-1.jpg,https://risbar.kz/product/105-610/
112-499,,Объективы,0,Наличие:В наличии,"Описание Объектив E-Vision 0,76:1 WUXGA (КРОМЕ 6500 & 9000 Laser). Digital Projection 112-499 Моторизованный короткофокусный объектив E-Vision для проекторов 6900, 8500, Laser 10K, Laser 1300, Laser 4K, Laser 1100.",Производитель: Digital Projection | Наименование: <h3>112-499</h3> | Партномер: <h3>112-499</h3>,https://risbar.kz/wp-content/uploads/product/112-499-1.jpg,https://risbar.kz/product/112-499/
112-500,,Объективы,0,Наличие:В наличии,"Описание Объектив проектора с 1,43-кратным зумом имеет возможности увеличения и фокусировки для дистанционной настройки. 1,28-1,85:1 на XGA, 1,31-1,88:1 на WXGA 1.24-1.78:1 на 4K-UHD",Производитель: Digital Projection | Наименование: <h3>112-500</h3> | Партномер: <h3>112-500</h3>,https://risbar.kz/wp-content/uploads/product/112-500-1.jpg,https://risbar.kz/product/112-500/
112-501,,Объективы,0,Наличие:В наличии,"Описание 1,77-2,34:1 на XGA, 1,80-2,38:1 на WXGA 1.71-2.25:1 на 4K-UHD. Объектив проектора с 1,31-кратным зумом имеет возможности увеличения и фокусировки для дистанционной настройки.",Производитель: Digital Projection,https://risbar.kz/wp-content/uploads/product/112-501-1.jpg,https://risbar.kz/product/112-501/
112-503,,Объективы,0,Наличие:В наличии,"Описание Объектив E-Vision 3,58-5,38:1 для WUXGA (КРОМЕ 6500 & 9000 Laser) 3,54-5,36:1 для 4K-UHD. 3,67-5,58:1 на XGA, 3,74-5,67:1 на WXGA 3.54-5.36:1 на 4K-UHD",Производитель: Digital Projection | Наименование: <h3>112-503</h3> | Партномер: <h3>112-503</h3>,https://risbar.kz/wp-content/uploads/product/112-503-1.jpg,https://risbar.kz/product/112-503/
115-339,,Объективы,0,Наличие:В наличии,"Описание Объектив Digital Projection 115-339 Zoom с 1,27-кратным зумом имеет возможности увеличения и фокусировки для дистанционной настройки.",Производитель: Digital Projection,https://risbar.kz/wp-content/uploads/product/115-339-1.jpg,https://risbar.kz/product/115-339/
115-627,,Объективы,0,Наличие:В наличии,"Описание Объектив для проектора Lens Insight 1,13-1,72:1. Объектив проектора с 1,52-кратным зумом имеет возможности увеличения и фокусировки для дистанционной настройки.",Производитель: Digital Projection,https://risbar.kz/wp-content/uploads/product/115-627-1.jpg,https://risbar.kz/product/115-627/
115-630,,Объективы,0,Наличие:В наличии,"Описание Объектив для проектора Lens Insight 1,65-2,60:1. Объектив проектора с 1,58-кратным зумом имеет возможности увеличения и фокусировки для дистанционной настройки.",Производитель: Digital Projection,https://risbar.kz/wp-content/uploads/product/115-630-1.jpg,https://risbar.kz/product/115-630/
115-632,,Объективы,0,Наличие:В наличии,"Описание Объектив для проектора Insight 2,53-4,98:1. Объектив проектора с 1,97-кратным зумом имеет возможности увеличения и фокусировки для дистанционной настройки.",Производитель: Digital Projection,https://risbar.kz/wp-content/uploads/product/115-632-1.jpg,https://risbar.kz/product/115-632/
116-208,,Объективы,0,Наличие:В наличии,"Описание Объектив E-Vision 3,00-5,00:1 на 1080p/WUXGA (4500/Laser 6500 только для этих моделей).",Производитель: Digital Projection,https://risbar.kz/wp-content/uploads/product/116-208-1.jpg,https://risbar.kz/product/116-208/
117-310,,Объективы,0,Наличие:В наличии,"Описание Объектив Insight 0,93:1 для всех моделей Insight. Объектив проектора можно дистанционно сфокусировать с помощью функции мощной фокусировки.",Производитель: Digital Projection,https://risbar.kz/wp-content/uploads/product/117-310-1.jpg,https://risbar.kz/product/117-310/
117-341,,Объективы,0,Наличие:В наличии,"Описание Объектив E-Vision 0,38:1 on WUXGA (для всех, кроме 6500 и 9000 Laser). 0.39:1 на XGA/WXGA, 0.38:1 на WUXGA/1080p, 0.38:1 на 4K-UHD",Производитель: Digital Projection | Наименование: <h3>117-341</h3> | Партномер: <h3>117-341</h3>,https://risbar.kz/wp-content/uploads/product/117-341-1.jpg,https://risbar.kz/product/117-341/
119-430,,Объективы,0,Наличие:В наличии,"Описание Объектив E-Vision 1,25-1,60:1 на WUXGA (только для E-Vision Laser 6500)",Производитель: Digital Projection,https://risbar.kz/wp-content/uploads/product/119-430-1.png,https://risbar.kz/product/119-430/
