title,article,category,price,availability,description,details,images,url
4MR727DANTE9,,Приёмники радиосистем,0,Наличие:В наличии,"Описание Mipro 4MR727DANTE9 – модуль расширения вывода сигнала по протоколу DANTE для UHF приемников ACT-525 и ACT-727. Цифровые приемники ACT-828/848 и аналоговые приемники ACT-727/747/525/545 компании MIPRO могут быть оснащены интерфейсом Dante. Используя кабель со скоростью 100 Мбит/с, он может передавать на максимальное расстояние 100 метров, а благодаря пакетной технологии и технологии TDM один сетевой кабель теперь может передавать несколько каналов аудиосигнала. Кроме того, с Dante Controller маршрутизация и мониторинг аудиопотока теперь стали простой задачей.",Производитель: Mipro | Наименование: <h3>4MR727DANTE9</h3> | Партномер: <h3>180073</h3>,https://risbar.kz/wp-content/uploads/product/4mr727dante9-1.png,https://risbar.kz/product/4mr727dante9/
4MR747DANTE9,,Приёмники радиосистем,0,Наличие:В наличии,"Описание Mipro 4MR747DANTE9 – модуль расширения вывода сигнала по протоколу DANTE для UHF приемников ACT-525 и ACT-727. Цифровые приемники ACT-828/848 и аналоговые приемники ACT-727/747/525/545 компании MIPRO могут быть оснащены интерфейсом Dante. Используя кабель со скоростью 100 Мбит/с, он может передавать на максимальное расстояние 100 метров, а благодаря пакетной технологии и технологии TDM один сетевой кабель теперь может передавать несколько каналов аудиосигнала. Кроме того, с Dante Controller маршрутизация и мониторинг аудиопотока теперь стали простой задачей.",Производитель: Mipro | Наименование: <h3>4MR747DANTE9</h3> | Партномер: <h3>180074</h3>,https://risbar.kz/wp-content/uploads/product/4mr747dante9-1.png,https://risbar.kz/product/4mr747dante9/
4MR828DANTEQ,,Приёмники радиосистем,0,Наличие:В наличии,"Описание Mipro 4MR828DANTEQ – модуль расширения вывода сигнала по протоколу DANTE для цифровых приемников ACT-828 Цифровые приемники ACT-828/848 и аналоговые приемники ACT-727/747/525/545 компании MIPRO могут быть оснащены интерфейсом Dante. Используя кабель со скоростью 100 Мбит/с, он может передавать на максимальное расстояние 100 метров, а благодаря пакетной технологии и технологии TDM один сетевой кабель теперь может передавать несколько каналов аудиосигнала. Кроме того, с Dante Controller маршрутизация и мониторинг аудиопотока теперь стали простой задачей.",Производитель: Mipro | Наименование: <h3>4MR828DANTEQ</h3> | Партномер: <h3>180075</h3>,https://risbar.kz/wp-content/uploads/product/4mr828danteq-1.png,https://risbar.kz/product/4mr828danteq/
4MR848DANTE9,,Приёмники радиосистем,0,Наличие:В наличии,"Описание Mipro 4MR848DANTE9 — модуль расширения вывода сигнала по протоколу DANTE для цифровых приемников ACT-848 Цифровые приемники ACT-828/848 и аналоговые приемники ACT-727/747/525/545 компании MIPRO могут быть оснащены интерфейсом Dante. Используя кабель со скоростью 100 Мбит/с, он может передавать на максимальное расстояние 100 метров, а благодаря пакетной технологии и технологии TDM один сетевой кабель теперь может передавать несколько каналов аудиосигнала. Кроме того, с Dante Controller маршрутизация и мониторинг аудиопотока теперь стали простой задачей.",Производитель: Mipro | Наименование: <h3>4MR848DANTE9</h3> | Партномер: <h3>180076</h3>,https://risbar.kz/wp-content/uploads/product/4mr848dante9-1.png,https://risbar.kz/product/4mr848dante9/
ACT-515,,Приёмники радиосистем,0,Наличие:В наличии,"Описание Одноканальный цифровой приёмник в металлическом корпусе стандарта EIA, с внешними антеннами на задней панели На фронтальной панели располагаются ЖК-дисплей с отображением полной рабочей информации, поворотная ручка и кнопки управления. ЖК-дисплей автоматически меняет цвет в зависимости от режима состояния системы: «В работе» или «В ожидании» Дополнительный сетевой интерфейс Dante доступен только для приёмников ACT-525, ACT-545 Надежная узкополосная схема приема с шириной пропускания 24 МГц и с истинным антенным разнесением, обеспечивает дальний и стабильный прием без выпадения сигнала, а также значительно уменьшает интермодуляционные искажения и увеличивает количество совместимых каналов без помех Каждый канал имеет отдельный аудиовыход с 3 переключаемыми режимами и предустанавливает выходной уровень сигнала, равный чувствительности микрофонного капсюля на уровне 0 дБ","Производитель: Mipro | Наименование: <h3>ACT-515</h3> | Партномер: <h3>120037</h3> | Количество каналов: Один | Корпус: Металлический | Тип антенн: Всенаправленные штыревые дипольные антенны. | Дисплей: Жидко-кристаллический дисплей | Диапазон рабочих частот: 518-542 МГц | Предустановленные каналы: 16 каналов из 2 881 доступной частоты | Режим приема: Истинное разнесение антенн | Частота дискретизации: / | Частотная характеристика: 50 Гц ~ 18 кГц | Задержка: отсутствует | Динамический диапазон: > 111 дБА | Выходные разъемы: Сбалансированный XLR, несбалансированый 1/4 TRS | Электропитание: Внешний импульсный источник питания 100 ~ 240 В переменного тока | Размеры: 210 × 44 × 163 мм (Ш×В×Г) | Вес: Около 0,9 кг",https://risbar.kz/wp-content/uploads/product/act-515-1.png; https://risbar.kz/wp-content/uploads/product/act-515-2.jpg; https://risbar.kz/wp-content/uploads/product/act-515-2-550x284.jpg,https://risbar.kz/product/act-515/
ACT-525,,Приёмники радиосистем,0,Наличие:В наличии,Описание Mipro ACT-525 – двухканальный UHF приёмник серии ACT-500. Рэковый форм-фактор Металлический корпус Ширина частотного диапазона 24 МГц ЖК-дисплей с цветовой индикацией режимов (работа/ожидание) Возможность вывода сигнала по протоколам DANTE (отдельная опция) Диапазон рабочих частот 554-626 МГц,"Производитель: Mipro | Партномер: <h3>120041</h3> | Наименование: Двухканальный UHF приёмник | Корпус: Металлический, 1U стандарта EIA | Дисплей: Двухцветный ЖК-дисплей с подсветкой | Диапазон частот: 518 — 542 МГц (уточняйте у менеджера) | Полоса пропускания: 24 МГц | Режим приема: Разнесение антенн True diversity | Частотная характеристика: 50 Гц – 18 кГц | Динамический диапазон: > 111 дБА | Чувствительность: 6 дБмкВ при S/N > 80 дБ | Аудиовыход: Балансный: +16 дБ / 0 дБ / -6 дБ, <br>Небалансный: +10 дБ / 0 дБ / -6 дБ | Сетевой интерфейс: DANTE (опционально) | Интерфейс ПК: USB. MIPRO ACT-BUS  (продаётся отдельно) | Антенны: Внешние, съёмные, 50 Ом., разъём TNC | Электропитание: DC 12 – 15 В. Внешний импульсный источник питания переменного тока 100 – 240 В | Размеры: 420 × 44 × 219 мм (Ш × В × Г) | Вес: Около 2,0 кг",https://risbar.kz/wp-content/uploads/product/act-525-1.png,https://risbar.kz/product/act-525/
ACT-545,,Приёмники радиосистем,0,Наличие:В наличии,Описание Mipro ACT-545 – четырехканальный UHF приёмник серии ACT-500. Рэковый форм-фактор Металлический корпус Ширина частотного диапазона 24 МГц ЖК-дисплей с цветовой индикацией режимов (работа/ожидание) Возможность вывода сигнала по протоколам DANTE (отдельная опция) Диапазон рабочих частот 518-542 МГц,"Производитель: Mipro | Партномер: <h3>120045</h3> | Наименование: Четырехканальный UHF приёмник | Корпус: Металлический, 1U стандарта EIA | Дисплей: Двухцветный ЖК-дисплей с подсветкой | Диапазон частот: 518 — 542 МГц (уточняйте у менеджера) | Полоса пропускания: 24 МГц | Режим приема: True diversity receiving | Частотная характеристика: 50 Гц – 18 кГц | Динамический диапазон: > 111 дБА | Чувствительность: 6 дБмкВ при S/N > 80 дБ | Аудиовыход: Балансный: +16 дБ / 0 дБ / -6 дБ, <br>Небалансный: +10 дБ / 0 дБ / -6 дБ | Сетевой интерфейс: DANTE (опционально) | Интерфейс ПК: USB. MIPRO ACT-BUS  (продаётся отдельно) | Антенны: Внешние, съёмные, 50 Ом., разъём TNC | Электропитание: DC 12 – 15 В. Внешний импульсный источник питания переменного тока 100 – 240 В | Размеры: 420 × 44 × 219 мм (Ш × В × Г) | Вес: Около 2,4 кг",https://risbar.kz/wp-content/uploads/product/act-545-1.png,https://risbar.kz/product/act-545/
ACT-5812A,,Приёмники радиосистем,0,Наличие:В наличии,"Описание Двухканальный цифровой приёмник в металлическом корпусе, с антенными разъемами на задней панели для подключения внешней антенной системы Уникальная панель управления MIPRO оснащена графическим OLED-дисплеем, обеспечивающим большее поле обзора с разных углов Стабильная схема цифровой модуляции. Все частоты расположены в одном частотном диапазоне (5,725~5,850 МГц) Истинное разнесение двух приемных антенн обеспечивает большое расстояние приема и исключает выпадение сигнала. Эффективно избегает радиочастотных помех от UHF, Bluetooth, Wi-Fi и всех коммуникационных устройств диапазона 2,4 ГГц Пресеты группы А и В. Группа А имеет меньше помех. Группа B рекомендуется, когда требуется больше каналов или более короткая задержка. Группы A и B не могут работать одновременно","Производитель: Mipro | Наименование: <h3>ACT-5812A</h3> | Партномер: <h3>150110</h3> | Количество каналов: Два | Корпус: Металлический (EIA стандарт) | Тип антенн: Встроенные, на передней панели | Дисплей: Графический, OLED | Диапазон рабочих частот: ISM 5.8 GHz (5,725~5,850 MHz) | Предустановленные каналы: 12 каналов работы без помех в группе А и 24 канала работы без помех в группе B1 и B2. Для каждого канала можно установить 64 идентификационных кода и 1 конкретный идентификатор | Режим приема: Истинное разнесение двух приемных антенн обеспечивает большое расстояние приема и исключает выпадение сигнала | Частота дискретизации: 24 бит / 48 кГц | Частотная характеристика: 18 Гц ~ 23 кГц | Задержка: < 1,5 мс (группа B) | Динамический диапазон: > 120 дБА | Выходные разъмы: Сбалансированный XLR & Unbalanced Ø 6,3 мм, регулируемый диапазон -10 ~ +20 дБ. | Электропитание: Внешний импульсный источник питания 100 ~ 240 В переменного тока | Размер: 420 × 44 × 162 мм (Ш×В×Г) | Вес: ~ 1,4 кг",https://risbar.kz/wp-content/uploads/product/act-5812a-1.png; https://risbar.kz/wp-content/uploads/product/act-5812a-2.jpg; https://risbar.kz/wp-content/uploads/product/act-5812a-2-550x237.jpg,https://risbar.kz/product/act-5812a/
ACT-727,,Приёмники радиосистем,0,Наличие:В наличии,Описание Mipro ACT-727 – двухканальный широкополосный UHF приёмник серии ACT-700. Рековый форм-фактор Металлический корпус Ширина частотного диапазона 72 МГц VFD-дисплей Функция автоматического сканирования диапазона и ACT-синхронизации Схема антенного разнесения — True diversity,"Производитель: Mipro | Наименование: <h3>ACT-727</h3> | Партномер: <h3>130005</h3> | Количество каналов: Два | Корпус: Металлический | Тип антенн: Съёмные всенаправленные дипольные антенны с волновым сопротивлением 50 Ом. | Дисплей: Вакуумно-люминесцентный экран (VFD) | Диапазон рабочих частот: 470 – 638 МГц (уточняйте у менеджера) | Предустановленные каналы: 16 каналов из 2 881 доступной частоты | Режим приема: Истинное разнесение антенн | Частота дискретизации: / | Частотная характеристика: 50 Гц ~ 18 кГц | Задержка: отсутствует | Динамический диапазон: > 110 дБА | Выходные разъемы: Сбалансированный XLR, несбалансированый 1/4 TRS | Электропитание: Внешний импульсный источник питания 100 ~ 240 В переменного тока | Размеры: 420 × 44 × 219 мм (Ш×В×Г) | Вес: Около 2,1 кг",https://risbar.kz/wp-content/uploads/product/act-727-1.png; https://risbar.kz/wp-content/uploads/product/act-727-2.jpg; https://risbar.kz/wp-content/uploads/product/act-727-2-550x197.jpg,https://risbar.kz/product/act-727/
ACT-747,,Приёмники радиосистем,0,Наличие:В наличии,Описание ACT-747 – четырёхканальный широкополосный UHF приёмник серии ACT-700. Рэковый форм-фактор Металлический корпус Ширина частотного диапазона 72 MHz VFD-дисплей Функция автоматического сканирования диапазона и ACT-синхронизации Схема антенного разнесения — True diversity,"Производитель: Mipro | Партномер: <h3>130009</h3> | Наименование: Четырехканальный широкополосный приемник | Корпус: Стандартное металлическое шасси EIA 1U (19"") | Дисплей: Цветной VFD | Диапазон рабочих частот: 470 – 638 МГц (уточняйте у менеджера) | Полоса пропускания: 72 МГц | Мониторный выход: Разъем для наушников с регулятором громкости | Режим приема: True diversity receiving | Частотная характеристика: 50 Гц – 18 кГц | Динамический диапазон: > 111 дБА | Чувствительность: 6 дБмкВ при S/N > 80 дБ | Аудиовыход: Балансный: +16 дБ / 0 дБ / -6 дБ, <br>Небалансный: +10 дБ / 0 дБ / -6 дБ | Сетевой интерфейс: DANTE (опционально) | Интерфейс ПК: USB. MIPRO ACT-BUS (продаётся отдельно) | Антенны: Съёмные. 50 Ом. Разъём TNC | Электропитание: DC 12 – 15 В. Внешнийимпульсный источник питания переменного тока 100 – 240 В | Размеры: 420 × 44 × 219 мм (Ш × В × Г) | Вес: Около 2,5 кг",https://risbar.kz/wp-content/uploads/product/act-747-1.png,https://risbar.kz/product/act-747/
