title,article,category,price,availability,description,details,images,url
Aquabeam 400LL,,Прожекторы Beam с узким лучом,0,Наличие:В наличии,"Описание Light Sky Aquabeam 400LL — Поворотная голова IP54, лампа 400W USHIO 7300K., 183000 LUX (20 м.), угол 2° (фрост 6-45°), линза 168 мм., 2500K / 3200K (опционально), CMY + колесо цвета, призма 16 и 32-гранная, Вес 23 кг. Технические характеристики: Тип: Поворотная голова влагозащищенная Источник света лампа: 400W USHIO NSL400L 7300K. Срок службы лампы: 6000 часов. Световой поток на расстоянии 20 м 183000 LUX. Фронтальная линза: 168 мм. Цветовая температура: 2500K, 3200K (опционально). Система смешения цветов: CMY + колесо цвета, 14 цветов плюс открытый. Колесо цвета: вращения в двух направлениях с регулировкой скорости. Колесо гобо статичное: 11 гобо + открытое +3 анимация гобо. Призма: 16 и 32-гранная круговая с мягким высокоскоростным вращением и регулировкой скорости переменного направления. Угол раскрытия луча 2°. Фрост: 6-45°. Фокус: линейная регулировка. Диммер: 0-100%. двойной линейный, плавная регулировка. Стробоскоп от 0,5 до 20 вспышек в секунду. Световой поток на расстоянии 20 м 183000 LUX. Разрядность по движению 16 бит. PAN/ TILT. Движение по PAN 540° Движение по TILT 270° Скорость движения по PAN: 540° 2,9 секунды. Скорость движения по TILT: 270° 1,2 секунды. Адресация, настройки, установки через LCD-дисплей Управление: DMX 512, RDM. Количество каналов DMX: 17. Обновление программного обеспечения: по DMX. Корпус из огнеупорного пластика PA66. Степень защиты: IP54. Сетевые разъемы (вход/выход) IP65. 3 или 5-пиновые разъемы (вход/выход) IP65. Потребляемая мощность 628Вт. Габариты 390×300×602мм. Вес 23 кг. Гобо и цвета Фотометрия Чертеж",Производитель: Light Sky | Наименование: <h3>Aquabeam 400LL</h3> | Партномер: <h3>Aquabeam 400LL</h3> | Потребляемая мощность: 628Вт | Вес: 23 кг. | Габариты: 390×300×602мм.,https://risbar.kz/wp-content/uploads/product/aquabeam-400ll-1.webp; https://risbar.kz/wp-content/uploads/product/aquabeam-400ll-2.webp; https://risbar.kz/wp-content/uploads/product/aquabeam-400ll-3.webp; https://risbar.kz/wp-content/uploads/product/aquabeam-400ll-4.webp; https://risbar.kz/wp-content/uploads/product/aquabeam-400ll-2-550x550.webp; https://risbar.kz/wp-content/uploads/product/aquabeam-400ll-3-550x550.webp; https://risbar.kz/wp-content/uploads/product/aquabeam-400ll-4-550x550.webp,https://risbar.kz/product/aquabeam-400ll/
E280 BEAM,,Прожекторы Beam с узким лучом,0,Наличие:В наличии,"Описание LightSky E280 BEAM cо светодиодным модулем мощностью 120 Вт имеет средний срок службы светодиодов ≥20000, экологически чистый, применяется для дискотек, КТВ, развлекательных мероприятий в помещении и т. д. Быстрая реакция на включение/выключение, равномерный луч, Плавный диммер, без щелчков, без вибрации Компактные, гибкие зажимы, быстрая установка и демонтаж Гобо и цвета Фотометрия Размеры","Производитель: Light Sky | Наименование: <h3>E280 BEAM</h3> | Партномер: <h3>E280 BEAM</h3> | Напряжение: [Группа:[Источник света/система питания]]100–240 В переменного тока, 50/60 Гц. | Мощность: 216 Вт | Коэффициент мощности: 0,986. | Разъем питания: Neutrik power. | Вход/выход данных DMX и RDM: Locking 3-pin | Источник  светодиодный модуль белого света: 5200 лм | Источник света CCT: 8500 K CCT | Фокус и объектив: Высокоточный оптический объектив | Цвет: 14 цветов + белый, вращение в двух направлениях и эффект радуги. | Гобо: φ106 11 гобо + 1 белый + 3 диапазона анимации | Диапазон луча: 2 ° (выбор угла луча 0,7 ° / 1,3 °) | Диаметр выходной линзы: φ135 мм | Световой поток: 35390 lux @10m | Призма: 8 призм + 16 двойных призм + мультикомбинированный эффект | Двигатели: 12 бесшумных двигателей | Режим управления: DMX512 | Каналы RDM: 14 каналов, 16 каналов,. 16 Plus | Перемещение по осям X/Y: 540°/ 270° | Эффект размытия: Регулируемый угол эффекта размытия по оси X и оси Y: 540°/270° | Дисплей: Панель дисплея имеет 1,77-дюймовый TFT-экран | Особенности: Дистанционное управление светом с функцией отображения света и лампы с использованием времени | Степень защиты IP: IP20 | Устройства безопасности: Автоматический выключатель BIPolar с тепловой защитой; <br> Автоматическое отключение питания в случае перегрева или отказа системы охлаждения.<br>Охлаждение: Принудительная вентиляция с осевыми вентиляторами. | Материал: Жаропрочный пластик + модуль, прессующий материалы из сплава. | Размер светильника: 380X280X480,5 (мм) | Размер упаковки: 400X345X570 (мм ) | Вес нетто, кг: 17,8 кг | Вес брутто, кг: 20,3 кг",https://risbar.kz/wp-content/uploads/product/e280-beam-1.webp; https://risbar.kz/wp-content/uploads/product/e280-beam-2.webp; https://risbar.kz/wp-content/uploads/product/e280-beam-3.webp; https://risbar.kz/wp-content/uploads/product/e280-beam-4.webp; https://risbar.kz/wp-content/uploads/product/e280-beam-2-550x550.webp; https://risbar.kz/wp-content/uploads/product/e280-beam-3-550x550.webp; https://risbar.kz/wp-content/uploads/product/e280-beam-4-550x550.webp,https://risbar.kz/product/e280-beam/
F230 II BEAM,,Прожекторы Beam с узким лучом,0,Наличие:В наличии,"Описание LightSky F230 II BEAM — вращающаяся голова Beam на лампе OSRAM 230 Вт, угол раскрытия луча: 2,5°. F23LightSky F230 II BEAM0II BEAM — новая серия приборов BEAM, луч формирует линза диаметр 145 мм. 8 и 16-гранная призма может быть комбинирована, ЖК дисплей четко отображает параметры даже под солнцем. Уникальная система обновления программного обеспечения через USB. Технические характеристики: Источник света: лампа Osram Sirius 230 Вт Срок службы лампы: 2000 часов Цветовая температура: 8000 K 1 колесо цвета, 14 цветов плюс открытый Вращения колесо цвета в двух направлениях с регулировкой скорости 1 колесо гобо статическое 11 гобо плюс 1 открытое плюс 3 гобо анимации 8 и 16-гранная круговая призма с мягким высокоскоростным вращением и регулировкой скорости переменного направления Угол раскрытия луча: 2,5° Фокус линейная регулировка Двойной линейный диммер, очень плавная регулировка Стробоскоп: от 0,5 до 9 вспышек в секунду (регулируемый) Разрядность по движению 16 бит. PAN/ TILT Режим управления по DMX 512 \ RDM Количество каналов DMX 14/16 Сетевой разъём: Powercon (вход) 3 и 5-пиновые XLR-разъемы(вход/выход) Потребляемая мощность: 345 Вт Габариты: 380х280х477 мм Вес: 17,5 кг Гобо и цвета Фотометрия Чертеж",Производитель: Light Sky | Наименование: <h3>F230 II BEAM</h3> | Партномер: <h3>F230 II BEAM</h3>,https://risbar.kz/wp-content/uploads/product/f230-ii-beam-1.webp; https://risbar.kz/wp-content/uploads/product/f230-ii-beam-2.webp; https://risbar.kz/wp-content/uploads/product/f230-ii-beam-3.webp; https://risbar.kz/wp-content/uploads/product/f230-ii-beam-4.webp; https://risbar.kz/wp-content/uploads/product/f230-ii-beam-2-550x550.webp; https://risbar.kz/wp-content/uploads/product/f230-ii-beam-3-550x550.webp; https://risbar.kz/wp-content/uploads/product/f230-ii-beam-4-550x550.webp,https://risbar.kz/product/f230-ii-beam/
F260II PLUS,,Прожекторы Beam с узким лучом,0,Наличие:В наличии,"Описание LightSky F260II PLUS — вращающаяся голова Beam на лампе NEOLUX STAGE 260Вт., 8+16-гранная призма, управление по DMX512, RDM. Линза: внутренний диаметр 145 мм. Источник света: лампа 260 Вт (NEOLUX®STAGE 260 Вт), равномерность факела, великолепный световой эффект. 8 и 16-гранная круговая призма с мягким высокоскоростным вращением и регулировкой скорости переменного направления. ЖК-экран с подсветкой, может четко отображаться при солнечном свете. Уникальная система обновления программного обеспечения USB. Удобная функция блокировки и разблокировки наклона одной кнопкой. Компактное крепление, система зажимов и простая установка. Термостойкий пластик, защита от ультрафиолета, защита от излучения, защита от высокого давления, защита от старения. Режим управления по DMX 512 \ RDM Количество каналов DMX 16 / 14 / 16 PLUS 1 колесо цвета, 14 цветов плюс открытый Стробоскоп от 0,5 до 12 вспышек в секунду (регулируемый) Гобо 11 плюс 1 открытое плюс 3 гобо анимации Угол раскрытия луча 2 ° Напряжение: 100-240 В переменного тока, 50/60 Гц Мощность: 360 Вт Коэффициент мощности: PF 0,986 Марка лампы: NEOLUX®STAGE 260W Мощность лампы: 260 Вт Цветовая температура: 7800К Средний срок службы: 2500 часов Гобо и цвета Фотометрия Чертеж",Производитель: Light Sky | Наименование: <h3>F260II PLUS</h3> | Партномер: <h3>F260II PLUS</h3>,https://risbar.kz/wp-content/uploads/product/f260ii-plus-1.webp; https://risbar.kz/wp-content/uploads/product/f260ii-plus-2.webp; https://risbar.kz/wp-content/uploads/product/f260ii-plus-3.webp; https://risbar.kz/wp-content/uploads/product/f260ii-plus-4.webp; https://risbar.kz/wp-content/uploads/product/f260ii-plus-2-550x550.webp; https://risbar.kz/wp-content/uploads/product/f260ii-plus-3-550x550.webp; https://risbar.kz/wp-content/uploads/product/f260ii-plus-4-550x550.webp,https://risbar.kz/product/f260ii-plus/
F330II BEAM,,Прожекторы Beam с узким лучом,0,Наличие:В наличии,"Описание LIGHT SKY F330II BEAM — вращающаяся голова Beam на лампе OSRAM SIRIUS HRI 330 Вт, угол раскрытия луча: 2,3°.. F330 II BEAM — новая серия приборов BEAM, луч формирует линза диаметром 169 мм. 8 и 16-гранная призма может быть комбинирована, ЖК дисплей четко отображает параметры даже под солнцем. Уникальная система обновления программного обеспечения через USB. Технические характеристики Источник света: лампа Osram Sirius 330 Вт Срок службы лампы: 1500 часов Цветовая температура: 7600 K 1 колесо цвета, 14 цветов плюс открытый 1 колесо гобо статическое 11 гобо плюс 1 открытое плюс 3 гобо анимации 8 и 16-гранная круговая призма с мягким высокоскоростным вращением и регулировкой скорости переменного направления Угол раскрытия луча: 2,3° Фокус линейная регулировка Двойной линейный диммер, очень плавная регулировка Стробоскоп: от 0,5 до 9 вспышек в секунду Разрядность по движению 16 бит. PAN/ TILT Режим управления по DMX512 \ RDM Количество каналов DMX 14/16 Сетевой разъём Powercon (вход) 3 и 5-пиновые XLR-разъемы(вход/выход) Степень защиты: IP20 Потребляемая мощность: 450 Вт Габариты: 380х280х529 мм Вес: 18,8 кг Гобо и цвета Фотометрия Чертеж",Производитель: Light Sky | Наименование: <h3>F330II BEAM</h3> | Партномер: <h3>F330II BEAM</h3>,https://risbar.kz/wp-content/uploads/product/f330ii-beam-1.webp; https://risbar.kz/wp-content/uploads/product/f330ii-beam-2.webp; https://risbar.kz/wp-content/uploads/product/f330ii-beam-3.webp; https://risbar.kz/wp-content/uploads/product/f330ii-beam-4.webp; https://risbar.kz/wp-content/uploads/product/f330ii-beam-2-550x550.webp; https://risbar.kz/wp-content/uploads/product/f330ii-beam-3-550x550.webp; https://risbar.kz/wp-content/uploads/product/f330ii-beam-4-550x550.webp,https://risbar.kz/product/f330ii-beam/
F400LL BEAM,,Прожекторы Beam с узким лучом,0,Наличие:В наличии,"Описание LightSky F400LL BEAM — поворотная голова IP54, лампа 400W USHIO 7300K., 183000 LUX (20 м.), угол 2° (фрост 6-45°), линза 168 мм., 2500K / 3200K (опционально), CMY + колесо цвета, призма 16 и 32-гранная, Вес 23 кг. Технические характеристики: Тип: Поворотная голова влагозащищенная Источник света лампа: 400W USHIO NSL400L 7300K. Срок службы лампы: 6000 часов. Световой поток на расстоянии 20 м 183000 LUX. Фронтальная линза: 168 мм. Цветовая температура: 2500K, 3200K (опционально). Система смешения цветов: CMY + колесо цвета, 14 цветов плюс открытый. Колесо цвета: вращения в двух направлениях с регулировкой скорости. Колесо гобо статичное: 11 гобо + открытое +3 анимация гобо. Призма: 16 и 32-гранная круговая с мягким высокоскоростным вращением и регулировкой скорости переменного направления. Угол раскрытия луча 2°. Фрост: 6-45°. Фокус: линейная регулировка. Диммер: 0-100%. двойной линейный, плавная регулировка. Стробоскоп от 0,5 до 20 вспышек в секунду. Световой поток на расстоянии 20 м 183000 LUX. Разрядность по движению 16 бит. PAN/ TILT. Движение по PAN 540° Движение по TILT 270° Скорость движения по PAN: 540° 2,9 секунды. Скорость движения по TILT: 270° 1,2 секунды. Адресация, настройки, установки через LCD-дисплей Управление: DMX 512, RDM. Количество каналов DMX: 17. Обновление программного обеспечения: по DMX. Корпус из огнеупорного пластика PA66. Степень защиты: IP54. Сетевые разъемы (вход/выход) IP65. 3 или 5-пиновые разъемы (вход/выход) IP65. Потребляемая мощность 628Вт. Габариты 390×300×602мм. Вес 23 кг. Гобо и цвета Фотометрия Чертеж",Производитель: Light Sky | Наименование: <h3>F400LL BEAM</h3> | Партномер: <h3>F400LL BEAM</h3>,https://risbar.kz/wp-content/uploads/product/f400ll-beam-1.webp; https://risbar.kz/wp-content/uploads/product/f400ll-beam-2.webp; https://risbar.kz/wp-content/uploads/product/f400ll-beam-3.webp; https://risbar.kz/wp-content/uploads/product/f400ll-beam-4.webp; https://risbar.kz/wp-content/uploads/product/f400ll-beam-2-550x550.webp; https://risbar.kz/wp-content/uploads/product/f400ll-beam-3-550x550.webp; https://risbar.kz/wp-content/uploads/product/f400ll-beam-4-550x550.webp,https://risbar.kz/product/f400ll-beam/
F450II BEAM,,Прожекторы Beam с узким лучом,0,Наличие:В наличии,"Описание LIGHT SKY F450II BEAM вращающаяся голова Beam на лампе NSL-450 USHIO 450Вт.Новая серия приборов BEAM, луч формирует линза диаметр 178 мм,8 и 16-гранная призма может быть комбинирована, жк дисплей четко отображает параметры даже под солнцем.Уникальная система обновления программного обеспечения через USB. Технические характеристики: Источник света лампа NSL-450 USHIO 450Вт. Срок службы лампы 1200 часов. Цветовая температура 6200K . 1 колесо цвета, 14 цветов плюс открытый. Вращения колесо цвета в двух направлениях с регулировкой скорости. 1 колесо гобо статическое 11 гобо плюс 1 открытое плюс 3 гобо анимации. 8 и 16-гранная круговая призма с мягким высокоскоростным вращением и регулировкой скорости переменного направления. Угол раскрытия луча 0-2°. Фокус линейная регулировка. Двойной линейный диммер, очень плавная регулировка. Стробоскоп от 0.5 до 9 вспышек в секунду. Разрядность по движению 16 бит. PAN/ TILT. Управление по DMX 3 режима. Количество каналов DMX 14/16/16PLUS Режим управления по DMX 512 . Сетевой разъём Powercon (вход). 3 и 5-пиновые XLR-разъемы(вход/выход). Потребляемая мощность: 600Вт. Вес: 20,8 кг. Габариты: 380X300X591 мм. Гобо и цвета Фотометрия Чертеж",Производитель: Light Sky | Наименование: <h3>F450II BEAM</h3> | Партномер: <h3>F450II BEAM</h3>,https://risbar.kz/wp-content/uploads/product/f450ii-beam-1.webp; https://risbar.kz/wp-content/uploads/product/f450ii-beam-2.webp; https://risbar.kz/wp-content/uploads/product/f450ii-beam-3.webp; https://risbar.kz/wp-content/uploads/product/f450ii-beam-4.webp; https://risbar.kz/wp-content/uploads/product/f450ii-beam-2-550x550.webp; https://risbar.kz/wp-content/uploads/product/f450ii-beam-3-550x550.webp; https://risbar.kz/wp-content/uploads/product/f450ii-beam-4-550x550.webp,https://risbar.kz/product/f450ii-beam/
HSA917,,Прожекторы Beam с узким лучом,0,Наличие:В наличии,"Описание Источник питания: переменного тока 110-240 В, 50/60 Гц Источник света: 80 Вт Потребляемая мощность: 218 Вт Каналы DMX: 16 каналов Панорамирование/наклон: 540° / 270° Зум: электронное увеличение и уменьшение масштаба Дисплей: цифровой Цветовая температура: 8500K Уровень электробезопасности: класс I Срок службы: >20 000 часов Коэффициент мощности: >0,93 Диммер: 0-100% линейная регулировка яркости Защита от электростатического разряда: IEC61000-4 Управление: Авто, ведущий-ведомый, DMX512, RDM, сцена Разъем DMX: 2 х Rj45 (вх. и вых.); 2 х XLR (вх. и вых.) Система цветопередачи: колесо 7 цветов и колесо 13 цветов + белый свет Колесо гобо: 1 фиксированное колесо гобо (гобо заказывается отдельно) + белый свет, положительное и отрицательное вращение + встряхивание Призма: 8 призм, 16 призм, возможность изменения скорости, вращение по часовой стрелке и против часовой стрелки, двойной стек призм. Вращение призмы: может менять скорость, вращение по часовой стрелке и против часовой стрелки Выходная мощность: 200 Вт, два выхода, 28 В/7 А, 14 В/3 А Рабочая температура: -25°C до 50°C Степень защиты: IP25 Система контроля температуры Материал корпуса: высокопрочная сталь + покрытие, защищающее от ультрафиолетового излучения Размер: 274 х 487 мм Масса: 14,5 кг",Производитель: NightSun | Наименование: <h3>HSA917</h3> | Партномер: <h3>HSA917</h3>,https://risbar.kz/wp-content/uploads/product/hsa917-1.png; https://risbar.kz/wp-content/uploads/product/hsa917-2.png; https://risbar.kz/wp-content/uploads/product/hsa917-2-550x319.png,https://risbar.kz/product/hsa917/
HSB750,,Прожекторы Beam с узким лучом,0,Наличие:В наличии,"Описание Источник питания: переменного тока 100-240 В; 50/60 Гц Источник света: 2 x 15 Вт RGBW (4-в-1) Tianxin LED Потребляемая мощность: 35 Вт Управление: DMX512; звуковая активация, авто, ведущий/ ведомый Каналы DMX: 10 каналов Угол раскрытия луча: 150° Стробоскоп: скорость вспышки до 20 раз/сек Панель управления: цифровой дисплей + 4 кнопки Разъем DMX: 2×Rj45; 2×XLR вход и выход Диммер: 0-100% линейная регулировка яркости Рабочая температура: до 40°C Материал: огнестойкий ABS пластик, белый корпус Габаритные размеры: 187 х 170 х 276 мм Масса: 1,5 кг Особенности: Контроль температуры эффективно снижает уровень шума при работе и продлевает срок службы вентилятора и источника света. Может быть установлен на потолке с помощью потолочного крепления SRM701, угол проекции регулируется по вертикали 0-85°.",Производитель: NightSun | Наименование: <h3>HSB750</h3> | Партномер: <h3>HSB750</h3>,https://risbar.kz/wp-content/uploads/product/hsb750-1.png; https://risbar.kz/wp-content/uploads/product/hsb750-2.png; https://risbar.kz/wp-content/uploads/product/hsb750-2-550x354.png,https://risbar.kz/product/hsb750/
IPL 1015B,,Прожекторы Beam с узким лучом,0,Наличие:В наличии,"Описание LightSky IPL 1015B – Линейный светодиодный прожектор заливающего света 10х15 Вт со степенью защиты IP65. RGBW светодиодов, Pixel control. Управление по: DMX512, RDM. Световой поток обеспечивают 10 светодиодов по 15 Вт каждый. Система цветосмешения RGBW: красный, зеленый, синий, белый. Длительный срок службы светодиодов: яркость снижается мене чем на 30% после 20000 часов работы. При объединении нескольких приборов в линию расстояние между светодиодами остается неизменными. Возможность индивидуального управления отдельными светодиодами. Угол раскрытия луча изменяется при помощи линз: 3° Высокоэффективная оптическая система. Диммер 0-100%, 65536 класс. Электронный стробоскоп: 30 вспышек в секунду. Дисплей для установки адреса и настроек. Режимы управления: DMX 512/RDM. Количество каналов DMX: 9/18/25/45. Корпус: Разделительная тепловая структура из литого под давлением алюминиевого сплава. Боковые кронштейны для бесшовного соединения (расстояние между светодиодами остается неизменным). Степень защиты: IP65. Потребляемая мощность: 100 Вт. Вес: 7,3 кг. Габариты: 1000×86×190 мм.",Производитель: Light Sky | Наименование: <h3>IPL 1015B</h3> | Партномер: <h3>IPL 1015B</h3>,https://risbar.kz/wp-content/uploads/product/ipl-1015b-1.webp; https://risbar.kz/wp-content/uploads/product/ipl-1015b-2.webp; https://risbar.kz/wp-content/uploads/product/ipl-1015b-3.webp; https://risbar.kz/wp-content/uploads/product/ipl-1015b-4.webp; https://risbar.kz/wp-content/uploads/product/ipl-1015b-5.webp; https://risbar.kz/wp-content/uploads/product/ipl-1015b-2-550x550.webp; https://risbar.kz/wp-content/uploads/product/ipl-1015b-3-550x550.webp; https://risbar.kz/wp-content/uploads/product/ipl-1015b-4-550x550.webp; https://risbar.kz/wp-content/uploads/product/ipl-1015b-5-550x428.webp,https://risbar.kz/product/ipl-1015b/
