title,article,category,price,availability,description,details,images,url
Colour 5 Profile (no lens),,Профильные прожекторы (Profile),0,Наличие:В наличии,"Описание Профильный прожектор Elation COLOUR 5 Profile™ Ellipsoidal оснащен светодиодным источником света RGBAM (красный, зеленый, синий, янтарный, мятный) мощностью 180 Вт, >94CRI, 4100 люмен, сменными объективами 19°, 26°, 36° и 50° (продаются отдельно), (4) ручных профильных шторки, ручной фокусировкой, поддерживает металлические или прозрачные гобо размером B, электронный стробоскоп с управлением по DMX, диммирование и изменяемые кривые диммирования, RDM, работа без мерцания для телевидения и киносъемки, регулируемая частота обновления и гамма-яркость, 5pin DMX и блокировка входов/выходов кабеля питания, 4-кнопочная ЖК-панель управления, встроенный такелажный кронштейн, тихое охлаждение вентилятором и многовольтный универсальный блок питания с автоматическим переключением (100-240 В). Высокий коэффициент цветопередачи CRI >94, суммарно 4.100 люмен* Варианты сменных объективов 19°, 26°, 36°, 50° (продаются отдельно) 4 ручных обрамляющих шторки с лопастями Режимы переменной кривой яркости Работа без мерцания для телевидения и киносъёмки Регулируемая частота обновления и яркости гаммы Тихое охлаждение вентилятором","Производитель: Elation | Наименование: <h3>Colour 5 Profile (no lens)</h3> | Партномер: <h3>1236200047</h3> | Источник света: Светодиод RGBAM мощностью 180 Вт (красный/зеленый/синий/янтарный/мятный)Средний срок службы светодиодов 50.000 часов** Срок службы светодиодов может варьироваться в зависимости от ряда факторов, включая условия окружающей среды, мощность/напряжение, характер использования (цикличность включения-выключения), управление и регулировка яркости. | Фотометрические данные: >94 CRI суммарная яркость 4.100 люмен (с объективом 26°) | Эффекты: Электронный стробоскоп и регулировка яркостиПеременные режимы кривой диммированияПоддерживает металлические, прозрачные гобо размера ""B"" (гобо не входит в комплект) | Цвета: RGBMA | Управление / разъёмы: 5 режимов каналов DMX (5 / 6 / 8 / 13 / 19) и RDM<br> Регулируемая частота обновления (900-1500, 25 000 Гц)<br> Регулируемая яркость гаммы (2.0, 2.2, 2.4, 2.8)<br> 4-кнопочная панель управления<br> Светодиодный дисплей меню<br> 5pin DMX вход/выход<br> Блокировка входа/выхода кабеля питания<br> С проводной цифровой коммуникационной сетью<br> | Размеры: 618 x 310 x 398 мм (длина x ширина x высота по верт.) | Масса: 9,5 кг | Электрические параметры: 110-250 В перем. тока — 50/60 Гц<br>225 Вт. Максимальное энергопотребление | Подключение питания: 4шт. макс. @120В / 8шт. макс. @240В | Рабочая температура: -10°C до 45°C | Тепловыделение: 767,25 BTU/час (+/- 10%) | Аксессуары: Объективы PHDL50, PHDL36, PHDL26, PHDL19",https://risbar.kz/wp-content/uploads/product/colour-5-profile-no-lens-1.jpg; https://risbar.kz/wp-content/uploads/product/colour-5-profile-no-lens-2.jpg; https://risbar.kz/wp-content/uploads/product/colour-5-profile-no-lens-3.jpg; https://risbar.kz/wp-content/uploads/product/colour-5-profile-no-lens-4.jpg; https://risbar.kz/wp-content/uploads/product/colour-5-profile-no-lens-5.jpg; https://risbar.kz/wp-content/uploads/product/colour-5-profile-no-lens-6.jpg; https://risbar.kz/wp-content/uploads/product/colour-5-profile-no-lens-7.jpg; https://risbar.kz/wp-content/uploads/product/colour-5-profile-no-lens-2-550x550.jpg; https://risbar.kz/wp-content/uploads/product/colour-5-profile-no-lens-3-550x550.jpg; https://risbar.kz/wp-content/uploads/product/colour-5-profile-no-lens-4-550x550.jpg; https://risbar.kz/wp-content/uploads/product/colour-5-profile-no-lens-5-550x550.jpg; https://risbar.kz/wp-content/uploads/product/colour-5-profile-no-lens-6-550x550.jpg; https://risbar.kz/wp-content/uploads/product/colour-5-profile-no-lens-7-550x550.jpg,https://risbar.kz/product/colour-5-profile-no-lens/
LED profile 6800 C34,,Профильные прожекторы (Profile),0,Наличие:В наличии,"Описание LightSky LED 6800 C34 — Профильный прожектор, 220 Вт, 90 светодиодов. Технические характеристики: количество светодиодов 90; мощность диода 220Вт. ; угол раскрытия луча 19/26/36°; цветовая температура: от 2500K ~ 10000K ; 6 основных цветов: Red, Orange Red, Green Mint, Green, Blue, Indigo + HSIC Marco; TLCI и CRI: TLCI≥91, CRI≥91; яркость: 6800лм. DMX/ /RDM. Гобо и цвет Чертеж",Производитель: Light Sky | Наименование: <h3>LED profile 6800 C34</h3> | Партномер: <h3>LED profile 6800 C34</h3>,https://risbar.kz/wp-content/uploads/product/led-profile-6800-c34-1.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-c34-2.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-c34-3.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-c34-4.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-c34-2-550x550.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-c34-3-550x550.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-c34-4-550x550.webp,https://risbar.kz/product/led-profile-6800-c34/
LED profile 6800 D34,,Профильные прожекторы (Profile),0,Наличие:В наличии,"Описание LightSky LED profile 6800 D34 — Профильный прожектор, 220 Вт, 60 светодиодов, 6000K Технические характеристики: Количество светодиодов 60. Мощность диода 220Вт. Угол раскрытия луча 19/26/36°. Цветовая температура: 6000K. Яркость: 6800лм. DMX/ /RDM. Чертеж",Производитель: Light Sky | Наименование: <h3>LED profile 6800 D34</h3> | Партномер: <h3>LED profile 6800 D34</h3>,https://risbar.kz/wp-content/uploads/product/led-profile-6800-d34-1.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-d34-2.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-d34-3.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-d34-4.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-d34-2-550x550.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-d34-3-550x550.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-d34-4-550x550.webp,https://risbar.kz/product/led-profile-6800-d34/
LED profile 6800 T34,,Профильные прожекторы (Profile),0,Наличие:В наличии,"Описание LightSky LED profile 6800 T34 — Профильный прожектор, 220 Вт, 60 светодиодов, 3000K Технические характеристики: Количество светодиодов 60. Мощность диода 220Вт. Угол раскрытия луча 19/26/36°. Цветовая температура: 3000K. Яркость: 6800лм. DMX/ /RDM Чертеж",Производитель: Light Sky | Наименование: <h3>LED profile 6800 T34</h3> | Партномер: <h3>LED profile 6800 T34</h3>,https://risbar.kz/wp-content/uploads/product/led-profile-6800-t34-1.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-t34-2.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-t34-3.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-t34-4.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-t34-2-550x550.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-t34-3-550x550.webp; https://risbar.kz/wp-content/uploads/product/led-profile-6800-t34-4-550x550.webp,https://risbar.kz/product/led-profile-6800-t34/
LED profile 8800 C42,,Профильные прожекторы (Profile),0,Наличие:В наличии,"Описание LightSky LED profile 8800 C42 — профильный прожектор, 264 Вт, 90 светодиодов Технические характеристики: Источник света: светодиодный модуль 90 светодиодов. Мощность светодиодного модуля 264 Вт. Срок службы светодиодов: 20000 часов (падение яркости на 30% после окончания срока службы). Система цветосмешения: RGBOMI — Red, Orange Red, Green Mint, Green, Blue, Indigo + HSIC Marco. Линейно регулируемая цветовая температура: от 2500K до 10000K. CRI/ TLCI: CRI ≥91, TLCI ≥91 Угол раскрытия луча: 19, 26, 36°. Циклорамный адаптер (опция). Световой поток: 8800 люмен. Режимы управления: DMX, RDM. Количество каналов DMX: 11. Высокоэффективная оптическая система. Частота обновления светодиодного модуля: 0.8 МГц. 16-битный диммер: 0-100%. Отсутствие мерцания при диммировании. Электронный стробоскоп: 30 вспышек в секунду. Дисплей для установки адреса и настройки. Низкий уровень шума при работе. Разъем питания: PowerCON (вход/выход). Разъем управления: 3 и 5-пиновые XLR (вход/выход). Гобо и цвет Чертеж","Производитель: Light Sky | Наименование: <h3>LED profile 8800 C42</h3> | Партномер: <h3>LED profile 8800 C42</h3> | Вес, кг: Прожектор в сборе: 7.3 кг.<br>Линза: 2.4 кг. | Габариты, мм: Прожектор в сборе: 340x290x740 мм.<br>Линза: 340x290x375 мм.",https://risbar.kz/wp-content/uploads/product/led-profile-8800-c42-1.webp; https://risbar.kz/wp-content/uploads/product/led-profile-8800-c42-2.webp; https://risbar.kz/wp-content/uploads/product/led-profile-8800-c42-3.webp; https://risbar.kz/wp-content/uploads/product/led-profile-8800-c42-4.webp; https://risbar.kz/wp-content/uploads/product/led-profile-8800-c42-2-550x550.webp; https://risbar.kz/wp-content/uploads/product/led-profile-8800-c42-3-550x550.webp; https://risbar.kz/wp-content/uploads/product/led-profile-8800-c42-4-550x550.webp,https://risbar.kz/product/led-profile-8800-c42/
VIVI30-PAN-2C,,Профильные прожекторы (Profile),0,Наличие:В наличии,"Описание Прожектор VIVI30-PAN-2C – база театрального светодиодного профильного прожектора, имеющего мощность источника света 300 Вт и цветовую температуру 3 200 — 5 700 K, что соответствует теплому и холодному белому свету. Используется для освещения больших пространств, таких как театры и концертные площадки. Прожектор сконструирован с возможностью формировать заданный профиль луча с помощью специальных механизмов, располагающихся в фокусе прожектора. С помощью сменных тубусов, как с фиксированным углом раскрытия луча, так и с зумом, можно освещать сцену с разного расстояния и заполнять пространство. Светодиодный источник света: белый 200 Вт. Цветовая температура: 3200-5700K. Система цветосмешения: теплый и холодный белый. Средний срок службы светодиода: 30.000 часов. Угол раскрытия луча изменяется с помощью сменных тубусов: Zoom 15-35°/ 25-50°. фиксированный 5, 10, 14, 19, 26, 36, 50, 60 градусов. Фокус: ручная регулировка. Индекс цветопередачи: Ra > 96. Режим управления: DMX 512. Количество каналов DMX: 3. Линейный электронный 16-битный диммер: 0-100%. Частота обновления светодиодного модуля: от 25 кГц до 10 кГц. Электронный стробоскоп: 1 Гц/с-20 Гц/с. ЖК-экран для установки адреса и настройки. Степень защиты IP20.",Производитель: Monon,https://risbar.kz/wp-content/uploads/product/vivi30-pan-2c-1.jpg; https://risbar.kz/wp-content/uploads/product/vivi30-pan-2c-2.png; https://risbar.kz/wp-content/uploads/product/vivi30-pan-2c-2-550x550.png,https://risbar.kz/product/vivi30-pan-2c/
VIVI30-PAN-5C,,Профильные прожекторы (Profile),0,Наличие:В наличии,"Описание Прожектор VIVI30-PAN-5C – база театрального светодиодного профильного прожектора, имеющего мощность источника света 300 Вт и систему цветосмешения RGBAL (красный, зеленый, синий, янтарный, лайм). Используется для освещения больших пространств, таких как театры и концертные площадки. Прожектор сконструирован с возможностью формировать заданный профиль луча с помощью специальных механизмов, располагающихся в фокусе прожектора. С помощью сменных тубусов, как с фиксированным углом раскрытия луча, так и с зумом, можно освещать сцену с разного расстояния и заполнять пространство. Светодиодный источник света: белый 200 Вт. Система цветосмешения: RGBAL (красный, зеленый, синий, янтарный, лайм). Средний срок службы светодиода: 30.000 часов. Угол раскрытия луча изменяется с помощью сменных тубусов: Zoom 15-35°/ 25-50°. фиксированный 5, 10, 14, 19, 26, 36, 50, 60 градусов. Фокус: ручная регулировка. Индекс цветопередачи: Ra > 96. Режим управления: DMX 512. Количество каналов DMX: 3. Слот для гобо. Линейный электронный 16-битный диммер: 0-100%. Частота обновления светодиодного модуля: от 25 кГц до 10 кГц. Электронный стробоскоп: 1 Гц/с-20 Гц/с. ЖК-экран для установки адреса и настройки. Степень защиты IP20. Аксессуары (опционально): струбцина, страховочный трос, ирис, держатель гобо.",Производитель: Monon,https://risbar.kz/wp-content/uploads/product/vivi30-pan-5c-1.png,https://risbar.kz/product/vivi30-pan-5c/
VIVI30-PAN-7C,,Профильные прожекторы (Profile),0,Наличие:В наличии,"Описание Прожектор VIVI30-PAN-7C – база театрального светодиодного профильного прожектора, имеющего мощность источника света 300 Вт и систему цветосмешения RGBALC-DB (красный, зелёный, синий, янтарный, лаймовый, голубой, темно-синий свет). Используется для освещения больших пространств, таких как театры, концертные площадки и т.д. Прожектор сконструирован с возможностью формировать заданный профиль луча с помощью специальных механизмов, располагающихся в фокусе прожектора. С помощью сменных тубусов, как с фиксированным углом раскрытия луча, так и с зумом, можно освещать сцену с разного расстояния и заполнять пространство. Светодиодный источник света: белый 300 Вт. Тип цветосмешения — RGBALC-DB – Red, Green, Blue, Amber, Lime, Cyan, Deep Blue. Угол раскрывания луча изменяется в зависимости от сменных тубусов: зум от 15 до 35, от 25 до 50 градусов; фиксированный 5, 10, 14, 19, 26, 36, 50, 60 градусов. Ручная регулировка фокуса. Управление: DMX 512. Количество каналов 13. Индекс цветопередачи: Ra > 96 Диммер 16-битный с линейной электронной регулировкой от 0 до 100 процентов. Частота обновления светодиодного модуля 25 — 10 кГц. Стробоскоп электронный: от 1 до 20 вспышек в секунду. Установка адреса и настроек производится через ЖК-дисплей. Степень защиты IP20. Длительный срок службы — более 30 000 часов.",Производитель: Monon,https://risbar.kz/wp-content/uploads/product/vivi30-pan-7c-1.png,https://risbar.kz/product/vivi30-pan-7c/
VIVI30-PAN-HC,,Профильные прожекторы (Profile),0,Наличие:В наличии,"Описание Прожектор VIVI30-PAN-HC – база театрального светодиодного профильного прожектора. Мощность источника света 300 Вт и цветовая температура 5 700 K (соответствует холодному белому свету). Используется для освещения больших пространств, таких как театры и концертные площадки. Данный прожектор сконструирован с возможностью формировать заданный профиль луча с помощью специальных механизмов, располагающихся в фокусе прожектора. С помощью сменных тубусов, как с фиксированным углом раскрытия луча, так и с зумом, можно освещать сцену с разного расстояния и заполнять пространство. Светодиодный источник света белый 300 Вт. Цветовая температура 5 700 K типа цветосмешения — холодный белый. Длительный срок службы — более 30 000 часов. Угол раскрывания луча изменяется в зависимости от сменных тубусов: зум от 15 до 35, от 25 до 50 градусов; фиксированный 5, 10, 14, 19, 26, 36, 50, 60 градусов. Ручная регулировка фокуса. Индекс цветопередачи: Ra > 96. Световой поток более 14 000 люмен. Управление: DMX 512. Количество каналов 2. 16-битный диммер с линейной электронной регулировкой от 0 до 100 %. Частота обновления светодиодного модуля 25 — 10 кГц. Стробоскоп электронный, от 1 до 20 вспышек в секунду. Установка адреса и настроек производится через ЖК-дисплей. Степень защиты IP20.",Производитель: Monon,https://risbar.kz/wp-content/uploads/product/vivi30-pan-hc-1.png,https://risbar.kz/product/vivi30-pan-hc/
VIVI30-PAN-LC,,Профильные прожекторы (Profile),0,Наличие:В наличии,"Описание Прожектор VIVI30-PAN-LC – база театрального светодиодного профильного прожектора. Мощность источника света 200 Вт и цветовая температура 3 200 K (соответствует тёплому белому свету). Используется для освещения больших пространств, таких как театры и концертные площадки и т.д. Данный прожектор сконструирован с возможностью формировать заданный профиль луча с помощью специальных механизмов, располагающихся в фокусе прожектора. С помощью сменных тубусов, как с фиксированным углом раскрытия луча, так и с зумом, можно освещать сцену с разного расстояния и заполнять пространство. Светодиодный источник света белый 200 Вт. Цветовая температура 3 200 K типа цветосмешения — тёплый белый. Длительный срок службы — более 30 000 часов. Угол раскрывания луча изменяется в зависимости от сменных тубусов: зум от 15 до 35, от 25 до 50 градусов; фиксированный 5, 10, 14, 19, 26, 36, 50, 60 градусов. Ручная регулировка фокуса. Индекс цветопередачи: Ra > 96. Световой поток более 10 000 люмен. Управление: DMX 512. Количество каналов 2. 16-битный диммер с линейной электронной регулировкой от 0 до 100 %. Частота обновления светодиодного модуля 25 — 10 кГц. Стробоскоп электронный, от 1 до 20 вспышек в секунду. Установка адреса и настроек производится через ЖК-дисплей. Степень защиты IP20. Артикул (варианты) VIVI30-PAB-3090A",Производитель: Monon,https://risbar.kz/wp-content/uploads/product/vivi30-pan-lc-1.png,https://risbar.kz/product/vivi30-pan-lc/
