title,article,category,price,availability,description,details,images,url
ACP 100,,Процессоры обработки сигналов (DSP),0,Наличие:В наличии,"Описание ACP 100 – это настраиваемая панель управления аудиосигналом, которая используется с аудиопроцессорами DMP 128 Plus. Она предлагает регулировку громкости для микширования и управления зонами, а также вызов пресетов и макросов для настройки помещения. До восьми панелей управления серии ACP 100 можно установить вокруг пространства для проведения встреч и соединить их вместе. Каждая панель может использоваться для независимого управления отдельной зоной или для регулировки аудионастроек всей площадки в целом. ACP 100 оснащена шестью двухцветными кнопками с подсветкой для работы в помещениях с приглушённым светом и регулятором громкости для мягкой и точной настройки звука. Ее можно легко настроить с помощью программы DSP Configurator от Extron. ACP 100 устанавливается в двухганговый распределительный короб и поставляется в комплекте с чёрными и белыми лицевыми панелями. Панели серии ACP для управления аудиосигналом идеально подходят для применения в проектах, в которых требуется простой и экономичный способ управления базовыми функциями аудио. Панели ACP подключаются к порту ACP на матрице DMP 128 Plus с DSP, при этом система управления не требуется. Расположенная на кафедре, панель управления серии ACP обеспечивает удобный доступ к регулировке микрофонного и программного аудио и выбору источника. Расположенные на стене, панели серии ACP предлагают удобный способ управления отдельными или комбинированными зонами громкоговорителей в разделяемых помещениях для встреч. До восьми кнопочных панелей серии ACP можно использовать как связанные точки управления аудио, установленные в помещении для проведения встреч. В любом отдельном пространстве можно разместить панель серии ACP 100, которая будет функционировать независимо. При комбинировании нескольких пространств панели серии ACP в этих пространствах могут функционировать параллельно, настраивая функции аудио на работу в комбинированном пространстве. Панели ACP совместимы с распределительными хабами EBDB, позволяя сократить длину кабелей в более крупных системах. Поскольку они выглядят так же, как и контроллеры серии MediaLink от Extron, панели серии ACP можно использовать вместе с ними по всей организации, сохранив привычный внешний вид и пользовательский интерфейс. Внешний вид кнопок можно легко настроить с помощью конфигуратора Button Label Generator. Технические характеристики Полностью настраиваемая кнопочная панель легко интегрируется с аудиопроцессором DSP серии DMP 128 Plus от Extron Шесть настраиваемых кнопок с двухцветной подсветкой и вращающийся регулятор громкости Два порта ACP обеспечивают оперативное расширение и обновление системы Подключается напрямую к DMP 128 Plus — процессор управления или внешнее питание не требуются. Возможность использования одного кнопочного интерфейса или комбинации из восьми панелей в зависимости от различных требований к проектированию системы — до восьми кнопочных панелей можно подключить к одному DMP 128 Plus; при этом максимальная длина кабеля в системе составит 305 метров, а максимальное энергопотребление 6 Вт. Простой, но элегантный дизайн хорошо сочетается с любыми интерьерами Регулятор громкости со светодиодными индикаторами для визуальной обратной связи Съёмные колпачки на кнопках упрощают замену маркировки во время эксплуатации Съёмные разъёмы под зажим ускоряют инсталляцию Совместимость с распределительными хабами Extron EBDB — позволяет сократить длину кабелей в более крупных системах. Соответствует американскому стандарту Section 508 — соответствует стандартам доступности в области электронных информационных технологий или превосходит их. Для получения дополнительной информации об обязательствах Extron относительно стандартов доступности пройдите на страницу Accessibility. Чёрные и белые лицевые панели на два ганга и пластиковая рамка в комплекте Информация для заказа ACP 100 — 2-ганговая стандарта США, цвет чёрный и белый, 6 кнопок и вращающийся регулятор громкости / партномер 60-1643-03 Схема AV-системы",Производитель: Extron | Наименование: <h3>ACP 100 </h3> | Партномер: <h3>60-1643-03</h3>,https://risbar.kz/wp-content/uploads/product/acp-100-1.jpg; https://risbar.kz/wp-content/uploads/product/acp-100-2.jpg; https://risbar.kz/wp-content/uploads/product/acp-100-3.jpg; https://risbar.kz/wp-content/uploads/product/acp-100-2-550x292.jpg; https://risbar.kz/wp-content/uploads/product/acp-100-3-550x361.jpg,https://risbar.kz/product/acp-100/
ACP 106 D,,Процессоры обработки сигналов (DSP),0,Наличие:В наличии,"Описание ACP 106 D – это настраиваемая панель управления аудиосигналом, которая используется с аудиопроцессорами DMP 128 Plus. Она предлагает регулировку громкости для микширования и управления зонами, а также вызов пресетов и макросов для настройки помещения. До восьми панелей управления серии ACP 100 можно установить вокруг пространства для проведения встреч и соединить их вместе. Каждая панель может использоваться для независимого управления отдельной зоной или для регулировки аудионастроек всей площадки в целом. ACP 106 D оснащена шестью настраиваемыми кнопками с мягким нажатием и подсветкой для работы в помещениях с приглушённым светом. Её можно легко настроить с помощью программы DSP Configurator от Extron. ACP 106 D устанавливается в одноганговый распределительный короб и поставляется с чёрными и белыми настенными панелями Decorator и пластиковая рамка в комплекте. Панели серии ACP для управления аудиосигналом идеально подходят для применения в проектах, в которых требуется простой и экономичный способ управления базовыми функциями аудио. Панели ACP подключаются к порту ACP на матрице DMP 128 Plus с DSP, при этом система управления не требуется. Расположенная на кафедре, панель управления серии ACP обеспечивает удобный доступ к регулировке микрофонного и программного аудио и выбору источника. Расположенные на стене, панели серии ACP предлагают удобный способ управления отдельными или комбинированными зонами громкоговорителей в разделяемых помещениях для встреч. До восьми кнопочных панелей серии ACP можно использовать как связанные точки управления аудио, установленные в помещении для проведения встреч. В любом отдельном пространстве можно разместить панель серии ACP 100, которая будет функционировать независимо. При комбинировании нескольких пространств панели серии ACP в этих пространствах могут функционировать параллельно, настраивая функции аудио на работу в комбинированном пространстве. Панели ACP совместимы с распределительными хабами EBDB, позволяя сократить длину кабелей в более крупных системах. Поскольку они выглядят так же, как и контроллеры серии MediaLink от Extron, панели серии ACP можно использовать вместе с ними по всей организации, сохранив привычный внешний вид и пользовательский интерфейс. Внешний вид кнопок можно легко настроить с помощью Custom Button Builder. Технические характеристики Полностью настраиваемая кнопочная панель легко интегрируется с аудиопроцессором DSP серии DMP 128 Plus от Extron Шесть настраиваемых кнопок с подсветкой и белыми светодиодным индикаторами Два порта ACP обеспечивают оперативное расширение и обновление системы Подключается напрямую к DMP 128 Plus — процессор управления или внешнее питание не требуются Возможность использования одного кнопочного интерфейса или комбинации из восьми панелей в зависимости от различных требований к проектированию системы — до восьми кнопочных панелей можно подключить к одному DMP 128 Plus; при этом максимальная длина кабеля в системе составит 305 метров, а максимальное энергопотребление 6 Вт. Простой, но элегантный дизайн хорошо сочетается с любыми интерьерами Кнопки регулирования громкости со светодиодной индикацией уровня — отдельные кнопки увеличения и снижения громкости с пятью светодиодными индикаторами текущей настройки аудио. Встроенный громкоговоритель обеспечивает звуковую индикацию при нажатии кнопок Съёмные разъёмы под зажим ускоряют инсталляцию Совместимость с распределительными хабами Extron EBDB — позволяет сократить длину кабелей в более крупных системах. Соответствует американскому стандарту Section 508 — соответствует стандартам доступности в области электронных информационных технологий или превосходит их. Для получения дополнительной информации об обязательствах Extron относительно стандартов доступности пройдите на страницу Accessibility. Чёрные и белые настенные панели Decorator и пластиковая рамка в комплекте Информация для заказа ACP 106 D — 1-ганговый стандарт, в чёрном и белом цвете, 6 кнопок / партномер 60-1645-13",Производитель: Extron | Наименование: <h3>ACP 106 D</h3> | Партномер: <h3>60-1645-13</h3>,https://risbar.kz/wp-content/uploads/product/acp-106-d-1.jpg; https://risbar.kz/wp-content/uploads/product/acp-106-d-2.jpg; https://risbar.kz/wp-content/uploads/product/acp-106-d-2-550x508.jpg,https://risbar.kz/product/acp-106-d/
ACP 106 EU,,Процессоры обработки сигналов (DSP),0,Наличие:В наличии,"Описание ACP 106 EU – это настраиваемая панель управления аудиосигналом, которая используется с аудиопроцессорами DMP 128 Plus. Она предлагает регулировку громкости для микширования и управления зонами, а также вызов пресетов и макросов для настройки помещения. До восьми панелей управления серии ACP 100 можно установить на площадке для проведения встреч и соединить их вместе. Каждая панель может использоваться для независимого управления отдельной зоной или для регулировки аудионастроек всей площадки в целом. Модель ACP 106 EU имеет шесть настраиваемых кнопок с подсветкой для работы в помещениях с приглушённым светом.. Её можно легко настроить с помощью программы DSP Configurator от Extron. Для использования в проектах по всему миру ACP 106 EU совместима с модулями, монтажными комплектами и корпусами серии Flex55, а также с распределительными коробами EU. ACP 106 EU устанавливается в одноганговый распределительный короб и поставляется в комплекте с белыми и чёрными лицевыми панелями. Панели серии ACP для управления аудиосигналом идеально подходят для применения в проектах, в которых требуется простой и экономичный способ управления базовыми функциями аудио. Панели ACP подключаются к порту ACP на матрице DMP 128 Plus с DSP, при этом система управления не требуется. Расположенная на кафедре, панель управления серии ACP обеспечивает удобный доступ к регулировке микрофонного и программного аудио и выбору источника. Расположенные на стене, панели серии ACP предлагают удобный способ управления отдельными или комбинированными зонами громкоговорителей в разделяемых помещениях для встреч. До восьми кнопочных панелей серии ACP можно использовать как связанные точки управления аудио, установленные в помещении для проведения встреч. В любом отдельном пространстве можно разместить панель серии ACP 100, которая будет функционировать независимо. При комбинировании нескольких пространств панели серии ACP в этих пространствах могут функционировать параллельно, настраивая функции аудио на работу в комбинированном пространстве. Панели ACP совместимы с распределительными хабами EBDB, позволяя сократить длину кабелей в более крупных системах. Поскольку они выглядят так же, как и контроллеры серии MediaLink от Extron, панели серии ACP можно использовать вместе с ними по всей организации, сохранив привычный внешний вид и пользовательский интерфейс. Внешний вид кнопок можно легко настроить с помощью Custom Button Builder. Технические характеристики Полностью настраиваемая кнопочная панель легко интегрируется с аудиопроцессором DSP серии DMP 128 Plus от Extron Шесть настраиваемых кнопок с подсветкой и белыми светодиодным индикаторами Два порта ACP обеспечивают оперативное расширение и обновление системы Подключается напрямую к DMP 128 Plus — процессор управления или внешнее питание не требуются Возможность использования одного кнопочного интерфейса или комбинации из восьми панелей в зависимости от различных требований к проектированию системы — до восьми кнопочных панелей можно подключить к одному DMP 128 Plus; при этом максимальная длина кабеля в системе составит 305 метров, а максимальное энергопотребление 6 Вт. Простой, но элегантный дизайн хорошо сочетается с любыми интерьерами Кнопки регулирования громкости со светодиодным индикатором уровня Встроенный громкоговоритель обеспечивает звуковую индикацию при нажатии кнопок Съёмные разъёмы под зажим ускоряют инсталляцию Совместимость с распределительными хабами Extron EBDB — позволяет сократить длину кабелей в более крупных системах. Соответствует американскому стандарту Section 508 — соответствует стандартам доступности в области электронных информационных технологий или превосходит их. Для получения дополнительной информации об обязательствах Extron относительно стандартов доступности пройдите на страницу Accessibility. Съёмная настенная рамка EU и монтажное крепление в комплекте Чёрные и белые лицевые панели на один ганг и пластиковая рамка в комплекте Информация для заказа ACP 106 EU — 1-ганговая стандартов EU и Flex55, цвет чёрный и белый, 6 кнопок / партномер 60-1645-33 Схема AV-системы",Производитель: Extron | Наименование: <h3>ACP 106 EU</h3> | Партномер: <h3>60-1645-33</h3>,https://risbar.kz/wp-content/uploads/product/acp-106-eu-1.jpg; https://risbar.kz/wp-content/uploads/product/acp-106-eu-2.jpg; https://risbar.kz/wp-content/uploads/product/acp-106-eu-2-550x295.jpg,https://risbar.kz/product/acp-106-eu/
ACP 106 MK,,Процессоры обработки сигналов (DSP),0,Наличие:В наличии,"Описание ACP 106 MK – это настраиваемая панель управления аудиосигналом, которая используется с аудиопроцессорами DMP 128 Plus. Она предлагает регулировку громкости для микширования и управления зонами, а также вызов пресетов и макросов для настройки помещения. До восьми панелей управления серии ACP 100 можно установить вокруг пространства для проведения встреч и соединить их вместе. Каждая панель может использоваться для независимого управления отдельной зоной или для регулировки аудионастроек всей площадки в целом. ACP 106 MK оснащена шестью настраиваемыми кнопками с мягким нажатием и подсветкой для работы в помещениях с приглушённым светом. Её можно легко настроить с помощью программы DSP Configurator от Extron. Панель ACP 106 MK монтируется в одноганговые короба и корпусы MK для Великобритании, Ближнего Востока, Сингапура и других регионов, где используется стандарт MK. Панели серии ACP для управления аудиосигналом идеально подходят для применения в проектах, в которых требуется простой и экономичный способ управления базовыми функциями аудио. Панели ACP подключаются к порту ACP на матрице DMP 128 Plus с DSP, при этом система управления не требуется. Расположенная на кафедре, панель управления серии ACP обеспечивает удобный доступ к регулировке микрофонного и программного аудио и выбору источника. Расположенные на стене, панели серии ACP предлагают удобный способ управления отдельными или комбинированными зонами громкоговорителей в разделяемых помещениях для встреч. До восьми кнопочных панелей серии ACP можно использовать как связанные точки управления аудио, установленные в помещении для проведения встреч. В любом отдельном пространстве можно разместить панель серии ACP 100, которая будет функционировать независимо. При комбинировании нескольких пространств панели серии ACP в этих пространствах могут функционировать параллельно, настраивая функции аудио на работу в комбинированном пространстве. Панели ACP совместимы с распределительными хабами EBDB, позволяя сократить длину кабелей в более крупных системах. Поскольку они выглядят так же, как и контроллеры серии MediaLink от Extron, панели серии ACP можно использовать вместе с ними по всей организации, сохранив привычный внешний вид и пользовательский интерфейс. Внешний вид кнопок можно легко настроить с помощью Custom Button Builder. Технические характеристики Полностью настраиваемая кнопочная панель легко интегрируется с аудиопроцессором DSP серии DMP 128 Plus от Extron Шесть настраиваемых кнопок с подсветкой и белыми светодиодным индикаторами Два порта ACP обеспечивают оперативное расширение и обновление системы Подключается напрямую к DMP 128 Plus — процессор управления или внешнее питание не требуются Возможность использования одного кнопочного интерфейса или комбинации из восьми панелей в зависимости от различных требований к проектированию системы — до восьми кнопочных панелей можно подключить к одному DMP 128 Plus; при этом максимальная длина кабеля в системе составит 305 метров, а максимальное энергопотребление 6 Вт. Простой, но элегантный дизайн хорошо сочетается с любыми интерьерами Кнопки регулирования громкости со светодиодным индикатором уровня Встроенный громкоговоритель обеспечивает звуковую индикацию при нажатии кнопок Съёмные разъёмы под зажим ускоряют инсталляцию Совместимость с распределительными хабами Extron EBDB — позволяет сократить длину кабелей в более крупных системах. Соответствует американскому стандарту Section 508 — соответствует стандартам доступности в области электронных информационных технологий или превосходит их. Для получения дополнительной информации об обязательствах Extron относительно стандартов доступности пройдите на страницу Accessibility. Белая настенная рамка MK и монтажное крепление в комплекте Информация для заказа ACP 106 MK — 1-ганговый стандарт MK, цвет белый, 6 кнопок / партномер 60-1645-23 Схема AV-системы",Производитель: Extron | Наименование: <h3>ACP 106 MK</h3> | Партномер: <h3>ACP 106 MK</h3>,https://risbar.kz/wp-content/uploads/product/acp-106-mk-1.jpg,https://risbar.kz/product/acp-106-mk/
AXI 016,,Процессоры обработки сигналов (DSP),0,Наличие:В наличии,"Описание AXI 016 представляет собой интерфейс расширения аудио Extron на 16 выходов шириной в половину стойки для систем с использованием аудиопроцессоров DMP 128 Plus. AXI 016 подключается к порту расширения EXP на DMP 128 Plus, превращая матричный процессор из устройства на 8 выходов в устройство на 24 выхода. И поскольку весь процесс высококачественной обработки DSP с низкой задержкой выполняется на подключённом процессоре DMP 128 Plus, отдельная настройка для AXI 016 не требуется. Интерфейс расширения аудио AXI 016 также поддерживает аудиосистемы с обработкой DSP, которые построены на базе матричного коммутатора DTP CrossPoint ® . Предлагая 16 аналоговых выходов в одном компактном корпусе 1U шириной в половину стойки, AXI 016 обеспечивает проектировщиков AV-систем мощным инструментом для создания проектов с DMP 128 Plus, которые поддерживают распределённые акустические системы более крупного масштаба, что ранее было невозможно при использовании только одного DSP-процессора DMP 128 Plus. Расширенная маршрутизация через один процессор с ProDSP Порт расширения DMP EXP позволяет соединить AXI 016 с устройством DMP 128 Plus по одному экранированному кабелю CAT 6. Таким образом, создаётся система с 24-мя выходами на 24 бита/48 кГц, что позволяет конфигурировать крупномасштабные распределённые акустические системы при задействовании меньшего количества аппаратных средств. Проектировщики могут создавать гибкие и более сложные сценарии управления выходным сигналом, тем самым расширяя возможности одного процессора DMP 128 Plus. Порт расширения DMP EXP на матричных коммутаторах DTP CrossPoint ® от Extron предоставляет интегратору возможность значительно расширить количество доступных выходов аудио в рамках новой или уже установленной системы DTP. Гибкая маршрутизация через DMP 128 Plus Модели DMP 128 Plus включают в себя расширенную матрицу для микширования, позволяя отдельно получать и распределять все выходы, в том числе 16 выходов шины расширения, используемых на AXI 016, от любого входа. При работе с моделью DMP 128 Plus AT аудиоисточники от сети Dante также могут обрабатываться и распределяться к выходам AXI 016. Удобное в использовании программное обеспечение DSP Configurator Весь функционал ProDSP легко настраивается при помощи программного обеспечения DSP Configurator. Настраиваемая экранная раскладка предоставляет быстрый доступ ко всем инструментам обработки цифровых аудиосигналов. Благодаря этому проектировщики могут получить быстрый доступ к обзору всей аудиосистемы одновременно, включая блоки обработки и маршрутизацию сигналов. Технические характеристики Добавляет шестнадцать каналов аналоговых выходов линейного уровня к системе DMP 128 Plus — закладывает основу экономичного подхода, при котором мощные системы более крупного масштаба могут функционировать на базе одного процессора DMP 128 Plus. Подключается к порту расширения EXP на DMP 128 Plus по экранированному кабелю CAT 6 Поддерживает системы DSP, которые интегрируют DMP 128 Plus и DTP CrossPoint — EXP-порт коммутатора DTP CrossPoint может соединяться с EXP-портом процессора DMP через порт THRU на AXI 016 для функционирования в качестве одной интегрированной системы. Светодиодные индикаторы наличия сигнала, клиппинга и статуса порта на передней панели — на передней панели AXI 016 расположены светодиодные индикаторы каждого выхода и порта для мониторинга наличия сигнала и активности порта в режиме реального времени. Отдельный LED-индикатор для каждого выхода загорается в качестве предупреждения в случае обнаружения клиппинга сигнала. Высокая плотность размещения выходов: в компактном корпусе 1U шириной в половину стойки вмещаются 16 аналоговых выходов Внешний блок питания Extron Everlast™ в комплекте, партномер для замены – 70‑1174‑01 — блок питания международного стандарта обеспечивает проверенную надёжность и низкое потребление тока. Этот модуль питания совместим с монтажными креплениями ZipClip 100 и ZipClip 200. На блоки питания Everlast от Extron распространяется 7‑летняя гарантия на обслуживание и компоненты Информация для заказа AXI 016 — Интерфейс расширения аудио на 16 выходов / партномер 60-1690-01 Схема AV-системы Демонстрационный зал Развлекательный комплекс",Производитель: Extron | Наименование: <h3>AXI 016</h3> | Партномер: <h3>60-1690-01</h3>,https://risbar.kz/wp-content/uploads/product/axi-016-1.jpg,https://risbar.kz/product/axi-016/
AXI 02 AT,,Процессоры обработки сигналов (DSP),0,Наличие:В наличии,"Описание AXI 02 AT от Extron – это компактный интерфейс аудио, который извлекает два канала из аудиосети Dante ® . Этот аудиоинтерфейс Dante выводит два аудиоканала от сети на устройства без сетевого подключения Dante. Он имеет два аналоговых выхода линейного уровня на разъёмах под зажим и один дублирующий двухканальный выход S/PDIF на коаксиальном разъёме RCA. AXI 02 AT взаимодействует с аудиосетью Dante в рамках стандартной локальной сети и получает питание через функцию PoE. В комплект AXI 02 AT входит монтажный набор ZipClip ® 100, и он совместим с рэковыми полками и монтажными решениями ZipClip 200 от Extron.. Удобство локального или удалённого подключения к аудиосистемам AXI 02 AT может принимать любые два аудиоканала из сети Dante и передавать их через свои два выхода линейного уровня и дублирующий двухканальный выход S/PDIF. Кроме этого, на аналоговых выходах предлагается возможность настройки затухания, которая доступна в программе DSP Configurator. Аудиосеть Dante Технология Dante обеспечивает возможность расширения аудиосистемы в рамках локальной сети, используя стандартные интернет-протоколы. Устройства Extron с интерфейсом Dante образуют полнофункциональную систему распределения аудио, и для создания эффективной системы с возможностью расширения они могут интегрироваться с другими устройствами, оснащёнными технологией Dante. Они отвечают целому ряду требований различных проектов к распределению аудиосигналов. Для создания сети устройств Extron с поддержкой Dante, включая AXI 02 AT, требуется программное приложение Dante Controller. Dante Controller используется для удобства назначения источника Dante к выходу на AXI 02 AT. Технические характеристики Извлекает два канала аудио из сети Dante ® — два канала цифрового аудио высокого качества могут быть извлечены из сети Dante и преобразованы в линейное аналоговое аудио, балансное или небалансное, с выходом на разъёме под зажим. Аналоговые аудиовыходы и дублирующий двухканальный выход S/PDIF — аудио доступно в виде двух аналоговых выходов линейного уровня на разъёмах под зажим и одного дублирующего двухканального выхода S/PDIF на коаксиальном разъёме RCA. Цифро-аналоговый преобразователь студийного класса на 24 бит с выбором частот семплирования до 96 кГц — профессиональные преобразователи полностью сохраняют целостность исходного аудиосигнала, предлагая диапазон частот семплирования в программе Dante Controller. Питание Power over Ethernet — позволяет AXI 02 AT получать питание и аудио по одному кабелю Ethernet, устраняя необходимость в локальном источнике питания. Настройка аналогового выхода в программном обеспечении через команды SIS по USB или в DSP Configurator — компенсирует требования устройств далее в цепи. Корпус 1U шириной в 1/8 стойки, монтажный набор ZipClip 100 в комплекте — совместим с рэковыми полками и монтажными решениями ZipClip от Extron. Аудиосеть Dante обеспечивает широкий диапазон возможностей расширения — аудиооборудование с интерфейсом Dante, включая AXI 02 AT, предоставляет возможность расширения и создания более масштабных аудиосистем в рамках локальной сети, используя стандартные сетевые протоколы и аппаратное обеспечение. Информация для заказа AXI 02 AT — Аудиоинтерфейс Dante на два выхода / партномер 60-1753-01 Схема AV-системы",Производитель: Extron | Наименование: <h3>AXI 02 AT</h3> | Партномер: <h3>60-1753-01</h3>,https://risbar.kz/wp-content/uploads/product/axi-02-at-1.jpg,https://risbar.kz/product/axi-02-at/
AXI 22 AT,,Процессоры обработки сигналов (DSP),0,Наличие:В наличии,"Описание AXI 22 AT – это аудиоинтерфейс Extron в четверть ширины стойки для интегрирования двух микрофонных/линейных источников в аудиосистему на базе интерфейса Dante ® . Он имеет два входа микрофонного или линейного уровня на одном разъёме под зажим 3,5 мм с отключаемым фантомным питанием 48 В. Выбор входа, настройка усиления и фантомное питание доступны для управления через переднюю панель, программу DSP Configurator или команды SIS с применением USB. Кроме этого, AXI 22 AT предлагает два выхода линейного уровня для распределения любых двух каналов Dante от сети к аудиосистеме. AXI 22 AT взаимодействует с любым аудиопроцессором с интерфейсом Dante, например, с DMP 128 Plus C AT от Extron, в рамках стандартной локальной сети и может получать питание через PoE. Это позволяет передавать из центральной аппаратной стойки двунаправленные сигналы аудио и питание по одному сетевому кабелю. Удобство локального или удалённого подключения к аудиосистемам AXI 22 AT принимает два аналоговых источника микрофонного/линейного уровней и оцифровывает их на 24 бита для вывода через Dante. Устройство подключается к сети Dante по Ethernet, используя стандартные сетевые IP‑протоколы. Это избавляет от необходимости тратить усилия и ресурсы на проводку длинных аналоговых кабелей обратно в AV‑стойку. Благодаря своему компактному формфактору в четверть ширины стойки AXI 22 AT можно легко установить под столешницей, в кафедре или в архитектурные изделия, в том числе в стойку. Для дополнительного удобства интеграции интерфейс AXI 22 AT может удалённо получать питание через функцию Power over Ethernet (PoE), используя инжекторы питания XTP PI 100 или XTP PI 400 от Extron, сетевые коммутаторы с PoE или промежуточные PoE-инжекторы. AXI 22 AT может принимать любые два аудиоканала из сети Dante и передавать их через свои два выхода линейного уровня. Два канала цифрового аудио высокого качества могут поступать из локальной или удалённой системы через Dante и преобразовываться в линейное аналоговое аудио. Аудиосеть Dante Технология Dante обеспечивает возможность расширения аудиосистемы по локальной сети, используя стандартные интернет-протоколы. Устройства Extron с интерфейсом Dante образуют полнофункциональную систему распределения аудио, и для создания эффективной системы с возможностью расширения они могут интегрироваться с другими устройствами, оснащёнными технологией Dante. Они отвечают целому ряду требований различных проектов к распределению аудиосигналов. Для создания сети устройств Extron с поддержкой Dante, включая AXI 22 AT, требуется программное приложение Dante Controller. Dante Controller используется для удобства назначения выхода на AXI 22 AT к входу на устройстве с интерфейсом Dante, например, на DMP 128 Plus C AT от Extron. Аналогичным образом выход на устройстве с интерфейсом Dante может быть назначен к одному из выходов линейного уровня на AXI 22 AT. Технические характеристики Два микрофонных/линейных входа для вставки аудио в сеть Dante ® — каждый вход принимает балансный или небалансный сигнал микрофонного/линейного уровней на разъёме под зажим и предлагает функцию выбора фантомного питания 48 Вольт. Два выхода линейного уровня извлекают аудио из сети Dante — два канала цифрового аудио высокого качества могут поступать из локальной или удалённой системы через Dante и преобразовываться в линейное аналоговое аудио, балансное или небалансное, с выходом на разъёме под зажим. Аудиосеть Dante обеспечивает широкий диапазон вариантов расширения — аудиооборудование с интерфейсом Dante, включая AXI 22 AT, предоставляет возможность расширения и создания более масштабных аудиосистем в рамках локальной сети, используя стандартные интернет-протоколы. Аналого-цифровые и цифро-аналоговые преобразователи 24 бита студийного класса с выбором частот семплирования до 96 кГц — профессиональные преобразователи полностью сохраняют целостность исходного аудиосигнала, предлагая диапазон частот семплирования в программе Dante Controller. Выбор входа, настройка усиления и фантомное питание расположены на передней панели и могут конфигурироваться в ПО DSP Configurator — эти настройки можно также изменять через переднюю панель, ПО DSP Configurator или посредством команд SIS с использованием USB. Функция Power over Ethernet позволяет AXI 22 AT получать питание по одному кабелю Ethernet, устраняя необходимость в локальном блоке питания Высота 1U, металлический корпус шириной в четверть стойки — благодаря компактному, прочному корпусу устройство может быть незаметно установлено под рабочей поверхностью, на кафедре, в архитектурные изделия или в AV‑стойку. Надёжный энергосберегающий внешний универсальный блок питания в комплекте, партномер для замены – 70-1175-01 — блок питания международного стандарта обеспечивает высокую надёжность и низкое потребление тока, снижающие эксплуатационные расходы. Он поставляется с монтажным набором ZipClip 50 для надёжной установки блока питания Extron на большинстве поверхностей, включая столы и кафедры. Информация для заказа AXI 22 AT — Аудиоинтерфейс Dante на 2 входа, 2 выхода / партномер 60-1627-01 Схема AV-системы Разделяемые комнаты Учебный класс",Производитель: Extron | Наименование: <h3>AXI 22 AT</h3> | Партномер: <h3>60-1517-03</h3>,https://risbar.kz/wp-content/uploads/product/axi-22-at-1.jpg,https://risbar.kz/product/axi-22-at/
