title,article,category,price,availability,description,details,images,url
C1025-Black,,Разъёмы Jack,0,Наличие:В наличии,"Описание Разъём панельный джек 6.35 «мама», чёрный",Производитель: TaverLab | Наименование: <h3>C1025-Black</h3> | Партномер: <h3>C1025-Black</h3>,https://risbar.kz/wp-content/uploads/product/c1025-black-1.png,https://risbar.kz/product/c1025-black/
C1025-Silver,,Разъёмы Jack,0,Наличие:В наличии,"Описание Разъём панельный джек 6.35 «мама», серебро",Производитель: TaverLab | Наименование: <h3>C1025-Silver</h3> | Партномер: <h3>C1025-Silver</h3>,https://risbar.kz/wp-content/uploads/product/c1025-silver-1.png,https://risbar.kz/product/c1025-silver/
P1081-Black,,Разъёмы Jack,0,Наличие:В наличии,"Описание Разъём прямой, кабельный, никилированный, джек 6.35мм несимметричный «папа» (корпус цинковый сплав, чёрный)",Производитель: TaverLab | Наименование: <h3>P1081-Black</h3> | Партномер: <h3>P1081-Black</h3>,https://risbar.kz/wp-content/uploads/product/p1081-black-1.png,https://risbar.kz/product/p1081-black/
P1081-Orange,,Разъёмы Jack,0,Наличие:В наличии,"Описание Разъём прямой, кабельный, никилированный, джек 6.35мм несимметричный папа (корпус цинковый сплав, оранжевый)",Производитель: TaverLab | Наименование: <h3>P1081-Orange</h3> | Партномер: <h3>P1081-Orange</h3>,https://risbar.kz/wp-content/uploads/product/p1081-orange-1.png,https://risbar.kz/product/p1081-orange/
P1082-Black,,Разъёмы Jack,0,Наличие:В наличии,"Описание Разъём прямой, кабельный, никилированный, джек 6.35мм симметричный «папа» (корпус цинковый сплав, черный)",Производитель: TaverLab | Наименование: <h3>P1082-Black</h3> | Партномер: <h3>P1082-Black</h3>,https://risbar.kz/wp-content/uploads/product/p1082-black-1.JPG,https://risbar.kz/product/p1082-black/
P1082-Orange,,Разъёмы Jack,0,Наличие:В наличии,"Описание Разъём прямой, кабельный, никелированный, джек 6.35мм симметричный «папа» (корпус цинковый сплав, оранжевый)",Производитель: TaverLab | Наименование: <h3>P1082-Orange</h3> | Партномер: <h3>P1082-Orange</h3>,https://risbar.kz/wp-content/uploads/product/p1082-orange-1.JPG,https://risbar.kz/product/p1082-orange/
P1082-Purple,,Разъёмы Jack,0,Наличие:В наличии,"Описание Разъём прямой, кабельный, никилированный, джек 6.35мм симметричный «папа» (корпус цинковый сплав, пурпурный)",Производитель: TaverLab | Наименование: <h3>P1082-Purple</h3> | Партномер: <h3>P1082-Purple</h3>,https://risbar.kz/wp-content/uploads/product/p1082-purple-1.png,https://risbar.kz/product/p1082-purple/
P1082-Yellow,,Разъёмы Jack,0,Наличие:В наличии,"Описание Разъём прямой, кабельный, никилированный, джек 6.35мм симметричный «папа» (корпус цинковый сплав, желтый)",Производитель: TaverLab | Наименование: <h3>P1082-Yellow</h3> | Партномер: <h3>P1082-Yellow</h3>,https://risbar.kz/wp-content/uploads/product/p1082-yellow-1.JPG,https://risbar.kz/product/p1082-yellow/
P1083-Black,,Разъёмы Jack,0,Наличие:В наличии,"Описание Разъём прямой, кабельный, никилированный, джек 6.35мм несимметричный «папа» (корпус цинковый сплав, чёрный)",Производитель: TaverLab | Наименование: <h3>P1083-Black</h3> | Партномер: <h3>P1083-Black</h3>,https://risbar.kz/wp-content/uploads/product/p1083-black-1.png,https://risbar.kz/product/p1083-black/
P1083-Orange,,Разъёмы Jack,0,Наличие:В наличии,"Описание Разъём прямой, кабельный, никилированный, джек 6.35мм несимметричный «папа» (корпус цинковый сплав, оранжевый)",Производитель: TaverLab | Наименование: <h3>P1083-Orange</h3> | Партномер: <h3>P1083-Orange</h3>,https://risbar.kz/wp-content/uploads/product/p1083-orange-1.png,https://risbar.kz/product/p1083-orange/
