title,article,category,price,availability,description,details,images,url
C1013,,Разъёмы XLR,0,Наличие:В наличии,Описание Разъём панельный под пайку на плату 3PIN XLR/6.35MM JACK мама,Производитель: TaverLab | Наименование: <h3>C1013</h3> | Партномер: <h3>C1013</h3>,https://risbar.kz/wp-content/uploads/product/c1013-1.png,https://risbar.kz/product/c1013/
C1015,,Разъёмы XLR,0,Наличие:В наличии,Описание Разъём панельный под пайку на плату 3PIN XLR/6.35MM JACK мама,Производитель: TaverLab | Наименование: <h3>C1015</h3> | Партномер: <h3>C1015</h3>,https://risbar.kz/wp-content/uploads/product/c1015-1.png,https://risbar.kz/product/c1015/
C1021,,Разъёмы XLR,0,Наличие:В наличии,"Описание Разъём панельный 3PIN XLR мама, корпус металлический, чёрный цвет",Производитель: TaverLab | Наименование: <h3>C1021</h3> | Партномер: <h3>C1021</h3>,https://risbar.kz/wp-content/uploads/product/c1021-1.png,https://risbar.kz/product/c1021/
C1022,,Разъёмы XLR,0,Наличие:В наличии,"Описание Разъём панельный 3PIN XLR папа, корпус металлический, чёрный цвет",Производитель: TaverLab | Наименование: <h3>C1022</h3> | Партномер: <h3>C1022</h3>,https://risbar.kz/wp-content/uploads/product/c1022-1.png,https://risbar.kz/product/c1022/
C1023,,Разъёмы XLR,0,Наличие:В наличии,"Описание Разъём панельный 3PIN XLR мама, корпус металлический, цвет никель",Производитель: TaverLab | Наименование: <h3>C1023</h3> | Партномер: <h3>C1023</h3>,https://risbar.kz/wp-content/uploads/product/c1023-1.png,https://risbar.kz/product/c1023/
C1024,,Разъёмы XLR,0,Наличие:В наличии,"Описание Разъём панельный 3PIN XLR папа, корпус металлический, цвет никель",Производитель: TaverLab | Наименование: <h3>C1024</h3> | Партномер: <h3>C1024</h3>,https://risbar.kz/wp-content/uploads/product/c1024-1.png,https://risbar.kz/product/c1024/
C1038F,,Разъёмы XLR,0,Наличие:В наличии,"Описание Разъём 3PIN XLR мама, пластиковый корпус, синий цвет",Производитель: TaverLab | Наименование: <h3>C1038F</h3> | Партномер: <h3>C1038F</h3>,https://risbar.kz/wp-content/uploads/product/c1038f-1.png,https://risbar.kz/product/c1038f/
C1038M,,Разъёмы XLR,0,Наличие:В наличии,"Описание Разъём 3PIN XLR папа, пластиковый корпус, синий цвет",Производитель: TaverLab | Наименование: <h3>C1038M</h3> | Партномер: <h3>C1038M</h3>,https://risbar.kz/wp-content/uploads/product/c1038m-1.png,https://risbar.kz/product/c1038m/
D1001-F-Black,,Разъёмы XLR,0,Наличие:В наличии,"Описание 3-контактный разъем XLR, разъем для микрофона, тип «мама», чёрного цвета",Производитель: TaverLab | Наименование: <h3>D1001-F-Black</h3> | Партномер: <h3>D1001-F-Black</h3>,https://risbar.kz/wp-content/uploads/product/d1001-f-black-1.png,https://risbar.kz/product/d1001-f-black/
D1001-F-Silver,,Разъёмы XLR,0,Наличие:В наличии,"Описание 3-контактный разъем XLR, разъем для микрофона, тип «мама», цвет серебро",Производитель: TaverLab | Наименование: <h3>D1001-F-Silver</h3> | Партномер: <h3>D1001-F-Silver</h3>,https://risbar.kz/wp-content/uploads/product/d1001-f-silver-1.png,https://risbar.kz/product/d1001-f-silver/
D1001-M-Black,,Разъёмы XLR,0,Наличие:В наличии,"Описание 3-контактный разъем XLR, разъем для микрофона, тип «папа», чёрного цвета",Производитель: TaverLab | Наименование: <h3>D1001-M-Black</h3> | Партномер: <h3>D1001-M-Black</h3>,https://risbar.kz/wp-content/uploads/product/d1001-m-black-1.png,https://risbar.kz/product/d1001-m-black/
D1001-M-Silver,,Разъёмы XLR,0,Наличие:В наличии,"Описание 3-контактный разъем XLR, разъем для микрофона, тип «папа», цвет серебро",Производитель: TaverLab | Наименование: <h3>D1001-M-Silver</h3> | Партномер: <h3>D1001-M-Silver</h3>,https://risbar.kz/wp-content/uploads/product/d1001-m-silver-1.png,https://risbar.kz/product/d1001-m-silver/
D1002-F-Black,,Разъёмы XLR,0,Наличие:В наличии,"Описание 3-контактный разъем XLR, разъем для микрофона, тип «мама», чёрного цвета",Производитель: TaverLab | Наименование: <h3>D1002-F-Black</h3> | Партномер: <h3>D1002-F-Black</h3>,https://risbar.kz/wp-content/uploads/product/d1002-f-black-1.png,https://risbar.kz/product/d1002-f-black/
D1002-M-Black,,Разъёмы XLR,0,Наличие:В наличии,"Описание 3-контактный разъем XLR, разъем для микрофона, тип «папа», чёрного цвета",Производитель: TaverLab | Наименование: <h3>D1002-M-Black</h3> | Партномер: <h3>D1002-M-Black</h3>,https://risbar.kz/wp-content/uploads/product/d1002-m-black-1.png,https://risbar.kz/product/d1002-m-black/
D1015F,,Разъёмы XLR,0,Наличие:В наличии,Описание Разъём кабельный под пайку 4PIN XLR мама,Производитель: TaverLab | Наименование: <h3>D1015F</h3> | Партномер: <h3>D1015F</h3>,https://risbar.kz/wp-content/uploads/product/d1015f-1.jpg,https://risbar.kz/product/d1015f/
