title,article,category,price,availability,description,details,images,url
AH10RA,,Серия RISE Настенные мониторы,0,Наличие:В наличии,"Описание Профессиональный монитор 10,4″ для установки на стену с окантовкой из алюминия.",Производитель: Arthur Holm | Наименование: <h3>AH10RA</h3> | Партномер: <h3>AH10RA</h3>,https://risbar.kz/wp-content/uploads/product/ah10ra-1.jpg,https://risbar.kz/product/ah10ra/
AH10RG,,Серия RISE Настенные мониторы,0,Наличие:В наличии,"Описание Профессиональный монитор 10,4″ для установки на стену со стеклянной окантовкой.",Производитель: Arthur Holm | Наименование: <h3>AH10RG</h3> | Партномер: <h3>AH10RG</h3>,https://risbar.kz/wp-content/uploads/product/ah10rg-1.jpg,https://risbar.kz/product/ah10rg/
AH15RA,,Серия RISE Настенные мониторы,0,Наличие:В наличии,Описание Профессиональный монитор 15″ для установки на стену с окантовкой из алюминия.,Производитель: Arthur Holm | Наименование: <h3>AH15RA</h3> | Партномер: <h3>AH15RA</h3>,https://risbar.kz/wp-content/uploads/product/ah15ra-1.jpg,https://risbar.kz/product/ah15ra/
AH15RG,,Серия RISE Настенные мониторы,0,Наличие:В наличии,Описание Профессиональный монитор 15″ для установки на стену со стеклянной окантовкой.,Производитель: Arthur Holm | Наименование: <h3>AH15RG</h3> | Партномер: <h3>AH15RG</h3>,https://risbar.kz/wp-content/uploads/product/ah15rg-1.jpg,https://risbar.kz/product/ah15rg/
AH15RI,,Серия RISE Настенные мониторы,0,Наличие:В наличии,,Производитель: Arthur Holm | Наименование: <h3>AH15RI</h3> | Партномер: <h3>AH15RI</h3>,https://risbar.kz/wp-content/uploads/product/ah15ri-1.jpg,https://risbar.kz/product/ah15ri/
AH17RA,,Серия RISE Настенные мониторы,0,Наличие:В наличии,Описание Профессиональный монитор 17″ для установки на стену с окантовкой из алюминия.,Производитель: Arthur Holm | Наименование: <h3>AH17RA</h3> | Партномер: <h3>AH17RA</h3>,https://risbar.kz/wp-content/uploads/product/ah17ra-1.jpg,https://risbar.kz/product/ah17ra/
AH17RG,,Серия RISE Настенные мониторы,0,Наличие:В наличии,Описание Профессиональный монитор 17″ для установки на стену со стеклянной окантовкой.,Производитель: Arthur Holm | Наименование: <h3>AH17RG</h3> | Партномер: <h3>AH17RG</h3>,https://risbar.kz/wp-content/uploads/product/ah17rg-1.jpg,https://risbar.kz/product/ah17rg/
AH17RI,,Серия RISE Настенные мониторы,0,Наличие:В наличии,Описание Профессиональный монитор 17″ для установки на стену с окантовкой из нержавеющей стали.,Производитель: Arthur Holm | Наименование: <h3>AH17RI</h3> | Партномер: <h3>AH17RI</h3>,https://risbar.kz/wp-content/uploads/product/ah17ri-1.jpg,https://risbar.kz/product/ah17ri/
AH19RA,,Серия RISE Настенные мониторы,0,Наличие:В наличии,Описание Профессиональный монитор 19″ для установки на стену с окантовкой из алюминия.,Производитель: Arthur Holm | Наименование: <h3>AH19RA</h3> | Партномер: <h3>AH19RA</h3>,https://risbar.kz/wp-content/uploads/product/ah19ra-1.jpg,https://risbar.kz/product/ah19ra/
AH19RG,,Серия RISE Настенные мониторы,0,Наличие:В наличии,Описание Профессиональный монитор 19″ для установки на стену со стеклянной окантовкой.,Производитель: Arthur Holm | Наименование: <h3>AH19RG</h3> | Партномер: <h3>AH19RG</h3>,https://risbar.kz/wp-content/uploads/product/ah19rg-1.jpg,https://risbar.kz/product/ah19rg/
AH19RI,,Серия RISE Настенные мониторы,0,Наличие:В наличии,Описание Профессиональный монитор 19″ для установки на стену с окантовкой из нержавеющей стали.,Производитель: Arthur Holm | Наименование: <h3>AH19RI</h3> | Партномер: <h3>AH19RI</h3>,https://risbar.kz/wp-content/uploads/product/ah19ri-1.jpg,https://risbar.kz/product/ah19ri/
AH22RA,,Серия RISE Настенные мониторы,0,Наличие:В наличии,Описание Профессиональный монитор 22″ для установки на стену с окантовкой из алюминия.,Производитель: Arthur Holm | Наименование: <h3>AH22RA</h3> | Партномер: <h3>AH22RA</h3>,https://risbar.kz/wp-content/uploads/product/ah22ra-1.jpg,https://risbar.kz/product/ah22ra/
AH22RG,,Серия RISE Настенные мониторы,0,Наличие:В наличии,Описание Профессиональный монитор 22″ для установки на стену со стеклянной окантовкой.,Производитель: Arthur Holm | Наименование: <h3>AH22RG</h3> | Партномер: <h3>AH22RG</h3>,https://risbar.kz/wp-content/uploads/product/ah22rg-1.jpg,https://risbar.kz/product/ah22rg/
AH22RI,,Серия RISE Настенные мониторы,0,Наличие:В наличии,Описание Профессиональный монитор 22″ для установки на стену с окантовкой из нержавеющей стали.,Производитель: Arthur Holm | Наименование: <h3>AH22RI</h3> | Партномер: <h3>AH22RI</h3>,https://risbar.kz/wp-content/uploads/product/ah22ri-1.jpg,https://risbar.kz/product/ah22ri/
