title,article,category,price,availability,description,details,images,url
Apart PREZONE2,,Система управления,0,Наличие:В наличии,Описание Apart PREZONE2 – 2 зонный трансляционный предусилитель. Предназначен для подключения большого количества аудио источников к трансляционной системе. К основным преимуществам предусилителя PREZONE2 можно отнести: поддержка двух стандартов систем – 100В/ 8 Ом; возможность подключения системы аварийных сообщений (ГО); 2 независимые стерео зоны; 4 линейных стерео входа; 2 микрофонных входа с поддержкой линейных стерео сигналов и фантомным питанием; отдельный вход для микрофонных консолей; отдельный выход для мониторинга сигналов; дистанционное управление RS232 и Ethernet. Подключение и управление предусилителем PREZONE2 не требует специальных знаний или определенной квалификации. Все органы управления имеют понятные подписи и схематический рисунок направления сигнала. Комплект поставки 1. Трансляционный предусилитель — 1 шт 2. Руководство пользователя,"Производитель: Biamp | Наименование: <h3>Apart PREZONE2</h3> | Партномер: <h3>912.0650.900</h3> | Тип: 2 зонный предусилитель | Поддержка стандартов системы трансляции: 100 В / 8 Ом | Частотный диапазон: 20-25000 Гц | Аудио зоны: 2 зоны (моно/стерео для каждой) — RCA/клеммные зажимы 3-Pin | Контроль: 2 моно выхода (клеммные зажимы 2-Pin | Приоритетный выход: Клеммные зажимы 3-Pin | Микрофоны: 2 канала с фантомным питанием (RCA/клеммные зажимы 3-Pin) | Микрофонная консоль: 1 канал для двух консолей, клеммные зажимы 3-Pin/клеммные зажимы 3-Pin | Аварийные сигналы (ГО): Клеммные зажимы 5-Pin | Линейный вход: 4 стерео канала, 1ch — RCA/клеммные зажимы 3-Pin, 2-4 ch — RCA | Локальное: Выбор источника звука, управление громкостью, еквалайзер, фантомное питание, режимы приоритета | Дистанционное: RS232 (клеммные зажимы 3-Pin). Ethernet (RJ45) | Цвет корпуса: Серый | Электропитание: 100-240 Вт | Размеры: 483х88х300 мм",https://risbar.kz/wp-content/uploads/product/apart-prezone2-1.jpg; https://risbar.kz/wp-content/uploads/product/apart-prezone2-2.jpg; https://risbar.kz/wp-content/uploads/product/apart-prezone2-2-550x171.jpg,https://risbar.kz/product/apart-prezone2/
Apprimo TEC-X 1000 Black,,Система управления,0,Наличие:В наличии,"Описание Доступные варианты исполнения: Цвет черный Цвет белый Отличаясь современным эстетичным дизайном, сенсорные панели управления из семейства Biamp Apprimo TEC-X обеспечивают простые и интуитивно понятные интерфейсы для презентационных пространств и конференц-залов благодаря высокочувствительным ёмкостным сенсорным возможностям. Модель Biamp Apprimo TEC-X 1000 оснащена ЖК-дисплеем и поворотной ручкой, поддерживает питание PoE (IEEE 802.3at Class 3, 15 Вт), может быть установлена на стене и поддерживает последовательное подключение устройств, что значительно снижает требования к кабелям и время установки. Кроме того, TEC-X 1000 поддерживает все команды TTP и может быстро программироваться и настраиваться в программном обеспечении Tesira с учётом изменения потребностей помещения, что делает эту панель управления гибким и экономичным решением. Особенности: Сетевое решение для управления системами Tesira Сенсорный ЖК-дисплей Поддержка до шести кнопок на ЖК-интерфейсе Поворотный энкодер для регулировки уровней Функции управления кнопками легко программируются в ПО Tesira Высококонтрастный сенсорный ЖК-дисплей обеспечивает чёткий текст и сообщения о состоянии Яркость дисплея может автоматически подстраиваться под уровень освещенности Назначаемая светодиодная полоска обеспечивает обратную связь для состояния системы и функции mute Питание через PoE (IEEE 802.3at Class 3, 15 Вт) для простой установки с помощью одного кабеля CAT5e/CAT6 Возможность последовательного подключения до четырёх устройств Поддержка всех TTP-команд Соответствие стандартам CE, UL и RoHS","Производитель: Biamp | Наименование: <h3>Apprimo TEC-X 1000 Black</h3> | Партномер: <h3>911.0693.900</h3> | Интерфейс пользователя: Поворотный регулятор, сенсорный экран | Тип дисплея: Высококонтрастный сенсорный ЖК-дисплей | Размер дисплея: 2,9” (74 мм) по диагонали | Индикатор состояния: RGB светодиодная полоса с регулируемой яркостью | Сетевое подключение: Разъём RJ-45 с Ethernet-кабелем (Cat 5e и выше) | Последовательное подключение: Максимум 4 устройства | Питание: PoE (IEEE 802.3at Class 3, 15 Вт) | Потребляемая мощность: < 2 Вт | Габаритные размеры (В х Ш х Г): 130 х 90 х 13 мм | Вес: 159 г | Температура окружающей среды: от 0°C до 40°C | Влажность: 0-95% относительной влажности (без конденсата) | Высота над уровнем моря: 0-3000 м | Соответствие стандартам: FCC Part 15B (США)<br>CE маркировка (Европа)<br> UL и C-UL сертификация (США и Канада) <br>Соответствие директиве RoHS (Европа)",https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-black-1.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-black-2.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-black-3.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-black-4.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-black-5.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-black-6.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-black-7.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-black-8.jpg,https://risbar.kz/product/apprimo-tec-x-1000-black/
Apprimo TEC-X 1000 White,,Система управления,0,Наличие:В наличии,"Описание Доступные варианты исполнения: Цвет черный Цвет белый Отличаясь современным эстетичным дизайном, сенсорные панели управления из семейства Biamp Apprimo TEC-X обеспечивают простые и интуитивно понятные интерфейсы для презентационных пространств и конференц-залов благодаря высокочувствительным ёмкостным сенсорным возможностям. Модель Biamp Apprimo TEC-X 1000 оснащена ЖК-дисплеем и поворотной ручкой, поддерживает питание PoE (IEEE 802.3at Class 3, 15 Вт), может быть установлена на стене и поддерживает последовательное подключение устройств, что значительно снижает требования к кабелям и время установки. Кроме того, TEC-X 1000 поддерживает все команды TTP и может быстро программироваться и настраиваться в программном обеспечении Tesira с учётом изменения потребностей помещения, что делает эту панель управления гибким и экономичным решением. Особенности: Сетевое решение для управления системами Tesira Сенсорный ЖК-дисплей Поддержка до шести кнопок на ЖК-интерфейсе Поворотный энкодер для регулировки уровней Функции управления кнопками легко программируются в ПО Tesira Высококонтрастный сенсорный ЖК-дисплей обеспечивает чёткий текст и сообщения о состоянии Яркость дисплея может автоматически подстраиваться под уровень освещенности Назначаемая светодиодная полоска обеспечивает обратную связь для состояния системы и функции mute Питание через PoE (IEEE 802.3at Class 3, 15 Вт) для простой установки с помощью одного кабеля CAT5e/CAT6 Возможность последовательного подключения до четырёх устройств Поддержка всех TTP-команд Соответствие стандартам CE, UL и RoHS","Производитель: Biamp | Наименование: <h3>Apprimo TEC-X 1000 White</h3> | Партномер: <h3>911.0692.900</h3> | Интерфейс пользователя: Поворотный регулятор, сенсорный экран | Тип дисплея: Высококонтрастный сенсорный ЖК-дисплей | Размер дисплея: 2,9” (74 мм) по диагонали | Индикатор состояния: RGB светодиодная полоса с регулируемой яркостью | Сетевое подключение: Разъём RJ-45 с Ethernet-кабелем (Cat 5e и выше) | Последовательное подключение: Максимум 4 устройства | Питание: PoE (IEEE 802.3at Class 3, 15 Вт) | Потребляемая мощность: < 2 Вт | Габаритные размеры (В х Ш х Г): 130 х 90 х 13 мм | Вес: 159 г | Температура окружающей среды: от 0°C до 40°C | Влажность: 0-95% относительной влажности (без конденсата) | Высота над уровнем моря: 0-3000 м | Соответствие стандартам: FCC Part 15B (США)<br>CE маркировка (Европа)<br> UL и C-UL сертификация (США и Канада) <br>Соответствие директиве RoHS (Европа)",https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-white-1.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-white-2.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-white-3.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-white-4.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-white-5.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-white-6.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-white-7.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-white-8.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-white-9.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-1000-white-10.jpg,https://risbar.kz/product/apprimo-tec-x-1000-white/
Apprimo TEC-X 2000 Black,,Система управления,0,Наличие:В наличии,"Описание Доступные варианты исполнения: Цвет черный Цвет белый Отличаясь современным эстетичным дизайном, сенсорные панели управления из семейства Apprimo TEC-X обеспечивают простые и интуитивно понятные интерфейсы для презентационных пространств и конференц-залов благодаря высокочувствительным ёмкостным сенсорным возможностям. Модель Biamp ApprimoTEC-X 2000 оснащена ЖК-дисплеем, поддерживает питание PoE (стандарт IEEE 802.3at Class 3, 15 Вт), может быть установлена на стене и поддерживает последовательное подключение устройств, что значительно снижает требования к кабелям и время установки. Кроме того, TEC-X 2000 поддерживает все команды TTP и может быстро программироваться и настраиваться в программном обеспечении Tesira с учётом изменения потребностей помещения, что делает эту панель управления гибким и экономичным решением. Особенности: Сетевое решение для управления системами Tesira Сенсорный ЖК-дисплей Поддержка до двенадцати кнопок на ЖК-интерфейсе Функции управления кнопками легко программируются в ПО Tesira Высококонтрастный сенсорный ЖК-дисплей обеспечивает чёткий текст и сообщения о состоянии Яркость дисплея может автоматически подстраиваться под уровень освещенности Назначаемая светодиодная полоска обеспечивает обратную связь для состояния системы и функции mute Питание через PoE (IEEE 802.3at Class 3, 15 Вт) для простой установки с помощью одного кабеля CAT5e/CAT6 Возможность последовательного подключения до четырёх устройств Поддержка всех TTP-команд Соответствие стандартам CE, UL и RoHS","Производитель: Biamp | Наименование: <h3>Apprimo TEC-X 2000 Black</h3> | Партномер: <h3>911.0869.900</h3> | Интерфейс пользователя: Сенсорный экран | Тип дисплея: Высококонтрастный сенсорный ЖК-дисплей | Размер дисплея: 3,8” (96 мм) по диагонали | Индикатор состояния: RGB светодиодная полоса с регулируемой яркостью | Сетевое подключение: Разъём RJ-45 с Ethernet-кабелем (Cat 5e и выше) | Последовательное подключение: Максимум 4 устройства | Питание: PoE (IEEE 802.3at Class 3, 15 Вт) | Потребляемая мощность: < 2 Вт | Габаритные размеры (В х Ш х Г): 130 х 90 х 13 мм | Вес: 136 г | Температура окружающей среды: от 0°C до 40°C | Влажность: 0-95% относительной влажности (без конденсата) | Высота над уровнем моря: 0-3000 м | Соответствие стандартам: FCC Part 15B (США)<br>CE маркировка (Европа)<br> UL и C-UL сертификация (США и Канада) <br>Соответствие директиве RoHS (Европа)",https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-2000-black-1.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-2000-black-2.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-2000-black-3.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-2000-black-4.jpg,https://risbar.kz/product/apprimo-tec-x-2000-black/
Apprimo TEC-X 2000 White,,Система управления,0,Наличие:В наличии,"Описание Доступные варианты исполнения: Цвет черный Цвет белый Отличаясь современным эстетичным дизайном, сенсорные панели управления из семейства Apprimo TEC-X обеспечивают простые и интуитивно понятные интерфейсы для презентационных пространств и конференц-залов благодаря высокочувствительным ёмкостным сенсорным возможностям. Модель Biamp ApprimoTEC-X 2000 оснащена ЖК-дисплеем, поддерживает питание PoE (стандарт IEEE 802.3at Class 3, 15 Вт), может быть установлена на стене и поддерживает последовательное подключение устройств, что значительно снижает требования к кабелям и время установки. Кроме того, TEC-X 2000 поддерживает все команды TTP и может быстро программироваться и настраиваться в программном обеспечении Tesira с учётом изменения потребностей помещения, что делает эту панель управления гибким и экономичным решением. Особенности: Сетевое решение для управления системами Tesira Сенсорный ЖК-дисплей Поддержка до двенадцати кнопок на ЖК-интерфейсе Функции управления кнопками легко программируются в ПО Tesira Высококонтрастный сенсорный ЖК-дисплей обеспечивает чёткий текст и сообщения о состоянии Яркость дисплея может автоматически подстраиваться под уровень освещенности Назначаемая светодиодная полоска обеспечивает обратную связь для состояния системы и функции mute Питание через PoE (IEEE 802.3at Class 3, 15 Вт) для простой установки с помощью одного кабеля CAT5e/CAT6 Возможность последовательного подключения до четырёх устройств Поддержка всех TTP-команд Соответствие стандартам CE, UL и RoHS","Производитель: Biamp | Наименование: <h3>Apprimo TEC-X 2000 White</h3> | Партномер: <h3>911.0862.900</h3> | Интерфейс пользователя: Сенсорный экран | Тип дисплея: Высококонтрастный сенсорный ЖК-дисплей | Размер дисплея: 3,8” (96 мм) по диагонали | Индикатор состояния: RGB светодиодная полоса с регулируемой яркостью | Сетевое подключение: Разъём RJ-45 с Ethernet-кабелем (Cat 5e и выше) | Последовательное подключение: Максимум 4 устройства | Питание: PoE (IEEE 802.3at Class 3, 15 Вт) | Потребляемая мощность: < 2 Вт | Габаритные размеры (В х Ш х Г): 130 х 90 х 13 мм | Вес: 136 г | Температура окружающей среды: от 0°C до 40°C | Влажность: 0-95% относительной влажности (без конденсата) | Высота над уровнем моря: 0-3000 м | Соответствие стандартам: FCC Part 15B (США)<br>CE маркировка (Европа)<br> UL и C-UL сертификация (США и Канада) <br>Соответствие директиве RoHS (Европа)",https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-2000-white-1.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-2000-white-2.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-2000-white-3.jpg; https://risbar.kz/wp-content/uploads/product/apprimo-tec-x-2000-white-4.jpg,https://risbar.kz/product/apprimo-tec-x-2000-white/
Apprimo Touch 10,,Система управления,0,Наличие:В наличии,"Описание Biamp Apprimo Touch 10 — это 10-дюймовая сенсорная панель для помещений различного назначения. Она обладает стильным дизайном, подходящим для интерьера любого типа. Панель оснащена питанием PoE и датчиками PIR, которые автоматически включают экран и регулируют яркость экрана в зависимости от уровня окружающей освещённости. Пользовательский интерфейс полностью настраивается с помощью программного обеспечения Project Designer. ПО включает в себя несколько тем и настраиваемых шаблонов на выбор. Apprimo Touch 10 управляется отдельным контроллером, что позволяет настроить устройство в соответствиями с требованиям заказчика. Особенности: 10-дюймовый сенсорный ЖК-интерфейс Стекло с защитой от царапин Дизайн пользовательского интерфейса предусматривает несколько шаблонов, доступных в программном обеспечении Project Designer Настраиваемый пользовательский интерфейс и по системе управления, и по фирменному стилю Может быть смонтирован на вертикальной и на горизонтальной поверхности Подходит для стандартных одинарных установочных коробок образца США, ЕС и Дании; Экран включается автоматически, реагируя на движение Яркость дисплея автоматически регулируется в зависимости от уровня окружающей освещённости Питание PoE (IEEE 802.3at, класс 3, 15 Вт) для подключения при помощи всего одного кабеля CAT5e/CAT6 Прошивку можно обновить через мини-USB порт 5-летняя гарантия Biamp Systems","Производитель: Biamp | Наименование: <h3>Apprimo Touch 10</h3> | Партномер: <h3>910.1873.900</h3> | Тип экрана: Высококонтрастный емкостный<br>Сенсорный ЖК-дисплей | Размер экрана: Диагональ 10” (254 мм) | Разрешение экрана: 1280×800 | Максимальная яркость: 350 кд/м.кв. | Подключение к сети: RJ-45 с кабелем Ethernet (категория 5e и выше) | Мини USB-порт: USB 2.0 | Датчики: Движения <br>Освещённости | Совместимость с контроллерами: Impera Alfa II <br>Impera Lima<br>Impera Tango<br>Impera Sierra II | Питание: PoE (IEEE 802.3at Класс 2, 7Вт) | Габариты (В х Ш х Г), мм: 169 х246 х 41 мм | Вес: 560г | Аксессуары в комплекте: Монтажный кронштейн и винты<br>Выталкивающий штифт<br>USB-OTG адаптер<br>Ткань для полировки | Рабочая температура: 0 — 40° C | Рабочий уровень влажности: 10-90% относительная влажность (без конденсата) | Высота над уровнем моря: 0-2000 м (0-6.600 футов) над уровнем моря | Соответствие стандартами и требованиям: Маркировка CE (Европа)Маркировка RoHS (Европа)",https://risbar.kz/wp-content/uploads/product/apprimo-touch-10-1.png,https://risbar.kz/product/apprimo-touch-10/
Apprimo Touch 4,,Система управления,0,Наличие:В наличии,"Описание Biamp Apprimo Touch 4 — это 4-дюймовая сенсорная панель, предназначенная для небольших помещений. Панель интуитивно понятная в использовании и по размеру похожа на современный смартфон. Панель оснащена системой питания PoE и датчиками PIR, которые автоматически включают экран и регулируют его яркость в зависимости от уровня окружающей освещённости. Пользовательский интерфейс настраивается с помощью специального программного обеспечения Project Designer, которое включает несколько тем и настраиваемых шаблонов на выбор. Apprimo Touch 4 управляется отдельным контроллером Impera, что позволяет настроить девайс в соответствиями с требованиями заказчика. Особенности: 4-дюймовый сенсорный ЖК-интерфейс Стекло с защитой от царапин Дизайн пользовательского интерфейса предусматривает несколько шаблонов, доступных в программном обеспечении Project Designer Настраиваемый пользовательский интерфейс и по системе управления, и по фирменному стилю Подходит для стандартных установочных коробок стандарта США, ЕС и Дании Экран включается автоматически, реагируя на движение Яркость дисплея может автоматически регулироваться в зависимости от уровня окружающей освещенности Магнитная настенная пластина для упрощения монтажа Питание PoE (IEEE 802.3at, класс 2, 7 Вт) для подключения при помощи всего одного кабеля CAT5e/CAT6 Прошивку можно обновить через мини-USB порт 5-летняя гарантия Biamp Systems","Производитель: Biamp | Наименование: <h3>Apprimo Touch 4</h3> | Партномер: <h3>910.1874.900</h3> | Тип экрана: Высококонтрастный емкостный<br>Сенсорный ЖК-дисплей | Размер экрана: Диагональ 4” (102 мм) | Разрешение экрана: 800×480 | Максимальная яркость: 400 нит | Подключение к сети: RJ-45 с кабелем Ethernet (категория 5e и выше) | Мини USB-порт: USB 2.0 | Датчики: Движения <br>Освещённости | Совместимость с контроллерами: Impera Alfa II <br>Impera Lima<br>Impera Tango<br>Impera Sierra II | Питание: PoE (IEEE 802.3at Класс 2, 7Вт) | Габариты (В х Ш х Г), мм: 115 х 77 х 44 мм | Вес: 160г | Аксессуары в комплекте: Монтажный кронштейн и винты<br>Выталкивающий штифт<br>USB-OTG адаптер<br>Ткань для полировки | Рабочая температура: 0 — 40° C | Рабочий уровень влажности: 10-90% относительная влажность (без конденсата) | Высота над уровнем моря: 0-2000 м (0-6.600 футов) над уровнем моря | Соответствие стандартами и требованиям: Маркировка CE (Европа)Маркировка RoHS (Европа)",https://risbar.kz/wp-content/uploads/product/apprimo-touch-4-1.png; https://risbar.kz/wp-content/uploads/product/apprimo-touch-4-2.png; https://risbar.kz/wp-content/uploads/product/apprimo-touch-4-2-550x550.png,https://risbar.kz/product/apprimo-touch-4/
Apprimo Touch 7 Black,,Система управления,0,Наличие:В наличии,"Описание Biamp Apprimo Touch 7 — это 7-дюймовая сенсорная панель управления для помещений различного назначения. Стильный дизайн Apprimo Touch 7 подходит для любого интерьера. Девайс оснащен системой питания PoE и датчиками PIR, которые автоматически включают экран и регулируют его яркость в зависимости от уровня окружающей освещенности. Пользовательский интерфейс полностью настраивается с помощью программного обеспечения Project Designer, которое включает несколько тем и настраиваемых шаблонов на выбор. Apprimo Touch управляется отдельным контроллером, что позволяет настроить устройство в соответствии с требованиям заказчика. Доступные варианты исполнения: Цвет черный Цвет белый Особенности: 7-дюймовый сенсорный ЖК-интерфейс Стекло с защитой от царапин Дизайн пользовательского интерфейса предусматривает несколько шаблонов, доступных в программном обеспечении Project Designer Настраиваемый пользовательский интерфейс и по системе управления, и по фирменному стилю Может быть смонтирован на вертикальной и на горизонтальной поверхности Подходит для стандартных установочных коробок стандарта США, ЕС и Дании Экран включается автоматически, реагируя на движение Яркость дисплея может автоматически регулироваться в зависимости от уровня окружающей освещенности Питание PoE (IEEE 802.3at, класс 3, 15 Вт) для установки при помощи всего одного кабеля CAT5e/CAT6 Прошивку можно обновить через мини-USB порт Маркировка CE, UL и соответствие требованиям RoHS Покрывается 5-летней гарантией Biamp Systems","Производитель: Biamp | Наименование: <h3>Apprimo Touch 7 Black</h3> | Партномер: <h3>910.1871.900</h3> | Цвет корпуса: Черный | Тип дисплея: Высококонтрастный емкостный<br>Сенсорный ЖК-дисплей | Размер дисплея: Диагональ 7” (178 мм) | Разрешение экрана: 1024×595 | Максимальная яркость: 350 кд/м.кв | Подключение к сети: RJ-45 с кабелем Ethernet (категория 5e и выше) | Мини USB-порт: USB 2.0 | Датчики: Движения <br>Освещённости | Совместимость с контроллерами: Impera Alfa II <br>Impera Lima<br>Impera Tango<br>Impera Sierra II | Питание: PoE (IEEE 802.3at Класс 3, 15Вт) | Габариты (В х Ш х Г), мм: 120 х180 х 41 мм | Вес: 330г | Аксессуары в комплекте: Монтажный кронштейн и винты<br>Выталкивающий штифт<br>USB-OTG адаптер<br>Ткань для полировки | Рабочая температура: 0 — 40° C | Рабочий уровень влажности: 10-90% относительная влажность (без конденсата) | Высота над уровнем моря: 0-2000 м (0-6.600 футов) над уровнем моря | Соответствие стандартами и требованиям: Маркировка CE (Европа)<br>Маркировка RoHS (Европа)",https://risbar.kz/wp-content/uploads/product/apprimo-touch-7-black-1.png; https://risbar.kz/wp-content/uploads/product/apprimo-touch-7-black-2.png; https://risbar.kz/wp-content/uploads/product/apprimo-touch-7-black-2-550x329.png,https://risbar.kz/product/apprimo-touch-7-black/
Apprimo Touch 7 White,,Система управления,0,Наличие:В наличии,"Описание Biamp Apprimo Touch 7 — это 7-дюймовая сенсорная панель управления для помещений различного назначения. Стильный дизайн Apprimo Touch 7 подходит для любого интерьера. Девайс оснащен системой питания PoE и датчиками PIR, которые автоматически включают экран и регулируют его яркость в зависимости от уровня окружающей освещенности. Пользовательский интерфейс полностью настраивается с помощью программного обеспечения Project Designer, которое включает несколько тем и настраиваемых шаблонов на выбор. Apprimo Touch управляется отдельным контроллером, что позволяет настроить устройство в соответствии с требованиям заказчика. Доступные варианты исполнения: Цвет черный Цвет белый Особенности: 7-дюймовый сенсорный ЖК-интерфейс Стекло с защитой от царапин Дизайн пользовательского интерфейса предусматривает несколько шаблонов, доступных в программном обеспечении Project Designer Настраиваемый пользовательский интерфейс и по системе управления, и по фирменному стилю Может быть смонтирован на вертикальной и на горизонтальной поверхности Подходит для стандартных установочных коробок стандарта США, ЕС и Дании Экран включается автоматически, реагируя на движение Яркость дисплея может автоматически регулироваться в зависимости от уровня окружающей освещенности Питание PoE (IEEE 802.3at, класс 3, 15 Вт) для установки при помощи всего одного кабеля CAT5e/CAT6 Прошивку можно обновить через мини-USB порт Маркировка CE, UL и соответствие требованиям RoHS Покрывается 5-летней гарантией Biamp Systems","Производитель: Biamp | Наименование: <h3>Apprimo Touch 7 White</h3> | Партномер: <h3>910.1872.900</h3> | Цвет корпуса: Белый | Тип дисплея: Высококонтрастный емкостный<br>Сенсорный ЖК-дисплей | Размер дисплея: Диагональ 7” (178 мм) | Разрешение экрана: 1024×595 | Максимальная яркость: 350 кд/м.кв | Подключение к сети: RJ-45 с кабелем Ethernet (категория 5e и выше) | Мини USB-порт: USB 2.0 | Датчики: Движения <br>Освещённости | Совместимость с контроллерами: Impera Alfa II <br>Impera Lima<br>Impera Tango<br>Impera Sierra II | Питание: PoE (IEEE 802.3at Класс 3, 15Вт) | Габариты (В х Ш х Г), мм: 120 х180 х 41 мм | Вес: 330г | Аксессуары в комплекте: Монтажный кронштейн и винты<br>Выталкивающий штифт<br>USB-OTG адаптер<br>Ткань для полировки | Рабочая температура: 0 — 40° C | Рабочий уровень влажности: 10-90% относительная влажность (без конденсата) | Высота над уровнем моря: 0-2000 м (0-6.600 футов) над уровнем моря | Соответствие стандартами и требованиям: Маркировка CE (Европа)<br>Маркировка RoHS (Европа)",https://risbar.kz/wp-content/uploads/product/apprimo-touch-7-white-1.png; https://risbar.kz/wp-content/uploads/product/apprimo-touch-7-white-2.png; https://risbar.kz/wp-content/uploads/product/apprimo-touch-7-white-2-550x329.png,https://risbar.kz/product/apprimo-touch-7-white/
Apprimo Touch 8i,,Система управления,0,Наличие:В наличии,"Описание Biamp Apprimo Touch 8i — это 8-дюймовая панель управления для помещений различного назначения. Она обладает стильным дизайном, подходящим для интерьера любого типа. Панель оснащена питанием PoE и датчиками PIR, которые автоматически включают экран и регулируют его яркость в зависимости от уровня окружающей освещённости. Пользовательский интерфейс полностью настраивается с помощью программного обеспечения Project Designer. ПО включает в себя несколько тем и настраиваемых шаблонов на выбор. Apprimo Touch 8i управляется встроенным контроллером, способным контролировать до 20 IP-устройств, что позволяет настроить устройство в соответствиями с уникальными требованиям заказчика. Особенность: 8-дюймовый сенсорный ЖК-интерфейс Управление до 20 IP-устройств Стекло с защитой от царапин Дизайн пользовательского интерфейса предусматривает несколько шаблонов, доступных в программном обеспечении Project Designer Настраиваемый пользовательский интерфейс и по системе управления, и по фирменному стилю Может быть смонтирован на вертикальной и на горизонтальной поверхности Подходит для стандартных одинарных установочных коробок образца США, ЕС и Дании; Экран включается автоматически, реагируя на движение Яркость дисплея автоматически регулируется в зависимости от уровня окружающей освещённости Питание PoE (IEEE 802.3at, класс 3, 15 Вт) для подключения с помощью всего одного кабеля CAT5e/CAT6 5-летняя гарантия Biamp Systems","Производитель: Biamp | Наименование: <h3>Apprimo Touch 8i</h3> | Партномер: <h3>910.1898.900</h3> | Тип экрана: Высококонтрастный емкостный<br>Сенсорный ЖК-дисплей | Размер экрана: Диагональ 8” (203 мм) | Разрешение экрана: 1280×800 | Максимальная яркость: 350 кд/м.кв. | Подключение к сети: RJ-45 с кабелем Ethernet (категория 5e и выше) | Датчики: Движения <br>Освещённости | Питание: PoE (IEEE 802.3at Класс 3, 15Вт) | Габариты (В х Ш х Г), мм: 130 х196 х 38 мм | Вес: Будет объявлено дополнительно | Рабочая температура: 0 — 40° C | Рабочий уровень влажности: 10-90% относительная влажность (без конденсата) | Высота над уровнем моря: 0-2000 м (0-6.600 футов) над уровнем моря | Соответствие стандартами и требованиям: Маркировка CE (Европа)Маркировка RoHS (Европа)",https://risbar.kz/wp-content/uploads/product/apprimo-touch-8i-1.png,https://risbar.kz/product/apprimo-touch-8i/
