title,article,category,price,availability,description,details,images,url
S41FT440M10Y,,Спикерные кабели,0,Наличие:В наличии,"Описание Eurocable Link CVS S41FT440M10Y – готовый многожильный акустический кабель 4 x 4,0 мм от Eurocable (Link) с металлическими разъёмами Speakon 50A. Длина кабеля 10 метров. 4 жилы 4,0 мм Серия акустических кабелей разработана для подключения нескольких систем одним кабелем к усилителям. Внешняя оболочка из гибкого огнестойкого ПВХ делает эти кабели пригодными для использования внутри и вне помещений. Полюса выделены красным (+) и черным (-) цветами, с видимыми идентификационными номерами каналов (например: 2, 3 и 4). Многожильные акустические кабели были специально разработаны для удовлетворения потребностей современной прокатной индустрии. Все многожильные акустические кабели огнестойки и известны своей чрезвычайной гибкостью благодаря очень большому количеству жил в отдельных проводниках. Многожильные акустические кабели Eurocable повиты без центрального проводника, что обеспечивает превосходную прочность в полевых условиях, где требуется большая длина подвеса. Все пары каналов имеют чёткую цветовую цифровую маркировку, и расположены на одинаковом расстоянии друг от друга, это достигается благодаря специальному производственному техпроцессу.","Производитель: Eurocable | Наименование: <h3> S41FT440M10Y</h3> | Партномер: <h3>S41FT440M10Y</h3> | Длина,м: 10 м. | Сечение жилы кабеля: 4,0 мм<sup>2</sup> | Структура: 4 х 4,0 мм<sup>2</sup> | Внешний диаметр кабеля: 13,2 мм | Разъемы: Металлические Speakon 50A | Применение: Прокат, инсталляции | Область использования: Мероприятия, Многоцелевые площадки, Сцена и развлечения, Студия, Театры, Тематические парки | Огнестойкость: EN 50266-2, IEC 60332-3 CAT. ""C"" | Рабочая температура: +5°C/+70°C | Цвет: Черный",https://risbar.kz/wp-content/uploads/product/s41ft440m10y-1.jpg; https://risbar.kz/wp-content/uploads/product/s41ft440m10y-2.png; https://risbar.kz/wp-content/uploads/product/s41ft440m10y-3.jpg,https://risbar.kz/product/s41ft440m10y/
S41FT440M10Y,,Спикерные кабели,0,Наличие:В наличии,"Описание Eurocable Link CVS S41FT440M10Y – готовый многожильный акустический кабель 4 x 4,0 мм от Eurocable (Link) с металлическими разъёмами Speakon 50A. Длина кабеля 10 метров. 4 жилы 4,0 мм Серия акустических кабелей разработана для подключения нескольких систем одним кабелем к усилителям. Внешняя оболочка из гибкого огнестойкого ПВХ делает эти кабели пригодными для использования внутри и вне помещений. Полюса выделены красным (+) и черным (-) цветами, с видимыми идентификационными номерами каналов (например: 2, 3 и 4). Многожильные акустические кабели были специально разработаны для удовлетворения потребностей современной прокатной индустрии. Все многожильные акустические кабели огнестойки и известны своей чрезвычайной гибкостью благодаря очень большому количеству жил в отдельных проводниках. Многожильные акустические кабели Eurocable повиты без центрального проводника, что обеспечивает превосходную прочность в полевых условиях, где требуется большая длина подвеса. Все пары каналов имеют чёткую цветовую цифровую маркировку, и расположены на одинаковом расстоянии друг от друга, это достигается благодаря специальному производственному техпроцессу.","Производитель: Eurocable | Наименование: <h3> S41FT440M10Y</h3> | Партномер: <h3>S41FT440M10Y</h3> | Длина,м: 10 м. | Сечение жилы кабеля: 4,0 мм<sup>2</sup> | Структура: 4 х 4,0 мм<sup>2</sup> | Внешний диаметр кабеля: 13,2 мм | Разъемы: Металлические Speakon 50A | Применение: Прокат, инсталляции | Область использования: Мероприятия, Многоцелевые площадки, Сцена и развлечения, Студия, Театры, Тематические парки | Огнестойкость: EN 50266-2, IEC 60332-3 CAT. ""C"" | Рабочая температура: +5°C/+70°C | Цвет: Черный",https://risbar.kz/wp-content/uploads/product/s41ft440m10y-1.jpg; https://risbar.kz/wp-content/uploads/product/s41ft440m10y-2.png; https://risbar.kz/wp-content/uploads/product/s41ft440m10y-3.jpg,https://risbar.kz/product/s41ft440m10y/
S41FT440M10Y,,Спикерные кабели,0,Наличие:В наличии,"Описание Eurocable Link CVS S41FT440M10Y – готовый многожильный акустический кабель 4 x 4,0 мм от Eurocable (Link) с металлическими разъёмами Speakon 50A. Длина кабеля 10 метров. 4 жилы 4,0 мм Серия акустических кабелей разработана для подключения нескольких систем одним кабелем к усилителям. Внешняя оболочка из гибкого огнестойкого ПВХ делает эти кабели пригодными для использования внутри и вне помещений. Полюса выделены красным (+) и черным (-) цветами, с видимыми идентификационными номерами каналов (например: 2, 3 и 4). Многожильные акустические кабели были специально разработаны для удовлетворения потребностей современной прокатной индустрии. Все многожильные акустические кабели огнестойки и известны своей чрезвычайной гибкостью благодаря очень большому количеству жил в отдельных проводниках. Многожильные акустические кабели Eurocable повиты без центрального проводника, что обеспечивает превосходную прочность в полевых условиях, где требуется большая длина подвеса. Все пары каналов имеют чёткую цветовую цифровую маркировку, и расположены на одинаковом расстоянии друг от друга, это достигается благодаря специальному производственному техпроцессу.","Производитель: Eurocable | Наименование: <h3> S41FT440M10Y</h3> | Партномер: <h3>S41FT440M10Y</h3> | Длина,м: 10 м. | Сечение жилы кабеля: 4,0 мм<sup>2</sup> | Структура: 4 х 4,0 мм<sup>2</sup> | Внешний диаметр кабеля: 13,2 мм | Разъемы: Металлические Speakon 50A | Применение: Прокат, инсталляции | Область использования: Мероприятия, Многоцелевые площадки, Сцена и развлечения, Студия, Театры, Тематические парки | Огнестойкость: EN 50266-2, IEC 60332-3 CAT. ""C"" | Рабочая температура: +5°C/+70°C | Цвет: Черный",https://risbar.kz/wp-content/uploads/product/s41ft440m10y-1.jpg; https://risbar.kz/wp-content/uploads/product/s41ft440m10y-2.png; https://risbar.kz/wp-content/uploads/product/s41ft440m10y-3.jpg,https://risbar.kz/product/s41ft440m10y/
AMC-4,,Спикерные кабели,0,Наличие:В наличии,"Описание MIC-022-100 – Мультикор 4x2x0,22 мм², внешний диаметр 9,60 мм², оплётка PVC, цвет черный, катушка 100 м. Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Спикерный кабель, используется для передачи аудиосигналов от усилителей звуковой частоты к акустическим системам. Применяется для укладки в кабельные магистрали, и подключения акустических систем к усилителям звука. Поставляется на катушке в намотке по 100 м. Испытания Огнестойкость: IEC 60332-1-2; VDE 0482-332-1-2; EN 60332-1-2 Распространение пламени: IEC 60332-3-24; EN 60332-3-24; VDE 0482-332-3-24","Производитель: Triokablo | Наименование: <h3>AMC-4</h3> | Партномер: <h3>AMC-4</h3> | Проводник: Электролитическая многожильная лужёная медь<br>Класс 5, EN 60228, IEC 60228, VDE 0295 | Изоляция: EN 50290-2-23 Полиэтиленовая смесь<br>Цвет изоляции: синий / красный | Обмотка: PES плёнка | Экран пары: Заземляющий провод из лужёной меди + AL-PES плёнка | Оболочка пары: EN 50290-2-21 ПВХ-компаунд | Экран: Спиральный медный экран | Скрутка: Скрученные вместе жилы | Экран общий: Заземляющий провод из лужёной меди + AL-PET плёнка | Оболочка общая: Гибкий ПВХ-компаунд чёрный матовый | Рабочее напряжение: 500 В | Радиус изгиба: 10XD мм | Диапазон температур: -30°C – +70°C | Сечение: 4×2×0,22 мм2 | Сопротивление проводника: 86,0 Ом/км | Сопротивление изоляции: 5000 МОм×км | Ёмкость: 130 нФ/км | Внешний диаметр: 9,9 мм | Расчётная масса кабеля: 100 кг/км",https://risbar.kz/wp-content/uploads/product/amc-4-1.png,https://risbar.kz/product/amc-4/
CVS LK02N15,,Спикерные кабели,0,Наличие:В наличии,"Описание Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Link CVS LK02N15 – двухжильный акустический кабель сечением 2 х 1,5 мм² с огнеупорной оболочкой. Двухжильные акустические кабели Eurocable с огнестойкой оболочкой хорошо известны своей чрезвычайной гибкостью благодаря очень большому количеству жил отдельных проводников. Оболочка изготовлена из стойкого ПВХ и обеспечивает оптимальную надёжность в критических условиях наружного применения.","Производитель: Eurocable | Наименование: <h3>CVS LK02N15</h3> | Партномер: <h3>CVS LK02N15</h3> | Стандартная бухта: 100 м | Сечение жилы кабеля: 1,5 мм<sup>2</sup> | Структура: 2 х 1,5 мм<sup>2</sup> | Внешний диаметр кабеля: 8 мм | Применение: Прокат, инсталляции | Область использования: Мероприятия, Многоцелевые площадки, Сцена и развлечения, Студия, Театры, Тематические парки | Огнестойкость: 8,00 мм, EN 50266-2, IEC 60332-3 CAT. ""С"" | Рабочая температура: +5°C/+70°C | Цвет: Чёрный | CPR Eca: EN 60332",https://risbar.kz/wp-content/uploads/product/cvs-lk02n15-1.png,https://risbar.kz/product/cvs-lk02n15/
CVS LK02N15E,,Спикерные кабели,0,Наличие:В наличии,"Описание Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Link CVS LK02N15E – двухжильный акустический кабель сечением 2 х 1,5 мм². Акустические кабели Eurocable с двойным сердечником хорошо известны своей чрезвычайной гибкостью благодаря очень большому количеству жил отдельных проводников. Оболочка изготовлена из стойкого ПВХ и обеспечивает оптимальную надёжность в критических условиях наружного применения.","Производитель: Eurocable | Наименование: <h3>CVS LK02N15E</h3> | Партномер: <h3>CVS LK02N15E</h3> | Стандартная бухта: 100 м | Сечение жилы кабеля: 1.5 мм<sup>2</sup> | Структура: 2 х 1,5 мм<sup>2</sup> | Внешний диаметр кабеля: 7,4 мм | Применение: Прокат, инсталляции | Область использования: Мероприятия, Многоцелевые площадки, Сцена и развлечения, Студия, Театры, Тематические парки | Рабочая температура: -20°C/+70°C | Цвет: Чёрный",https://risbar.kz/wp-content/uploads/product/cvs-lk02n15e-1.png,https://risbar.kz/product/cvs-lk02n15e/
CVS LK02N15P,,Спикерные кабели,0,Наличие:В наличии,"Описание Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Link CVS LK02N15P – двухжильный параллельный акустический кабель сечением 2 х 1,5 мм². Двухжильные параллельные акустические кабели Eurocable предназначены для подключения устройств внутри стоек или громкоговорителей. Ключевыми особенностями этих огнестойких акустических кабелей являются их чрезвычайная гибкость и превосходная прочность.","Производитель: Eurocable | Наименование: <h3>CVS LK02N15P</h3> | Партномер: <h3>CVS LK02N15P</h3> | Стандартная бухта: 100 м | Сечение жилы кабеля: 1,5 мм<sup>2</sup> | Структура: 2 х 1,5 мм<sup>2</sup> | Внешний диаметр кабеля: 3,50 мм х 7,40 мм | Применение: Стационарные инсталляции | Область использования: Студия, Театры, Конференцзалы | Огнестойкость: EN 50266-2, IEC 60332-3 CAT. ""C"" | Рабочая температура: -20°C/+70°C | Цвет: Чёрный",https://risbar.kz/wp-content/uploads/product/cvs-lk02n15p-1.png,https://risbar.kz/product/cvs-lk02n15p/
CVS LK02N25,,Спикерные кабели,0,Наличие:В наличии,"Описание Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Link CVS LK02N25 – двухжильный акустический кабель сечением 2 х 2,5 мм² с огнеупорной оболочкой. Двухжильные акустические кабели Eurocable с огнестойкой оболочкой хорошо известны своей чрезвычайной гибкостью благодаря очень большому количеству жил отдельных проводников. Оболочка изготовлена из стойкого ПВХ и обеспечивает оптимальную надёжность в критических условиях наружного применения.","Производитель: Eurocable | Наименование: <h3>CVS LK02N25</h3> | Партномер: <h3>CVS LK02N25</h3> | Стандартная бухта: 100 м | Сечение жилы кабеля: 2,5 мм<sup>2</sup> | Структура: 2 х 2,5 мм<sup>2</sup> | Внешний диаметр кабеля: 9,2 мм | Применение: Прокат, инсталляции | Область использования: Мероприятия, Многоцелевые площадки, Сцена и развлечения, Студия, Театры, Тематические парки | Огнестойкость: 8,00 мм, EN 50266-2, IEC 60332-3 CAT. ""С"" | Рабочая температура: +5°C/+70°C | Цвет: Чёрный | CPR Eca: EN 60332",https://risbar.kz/wp-content/uploads/product/cvs-lk02n25-1.png,https://risbar.kz/product/cvs-lk02n25/
CVS LK02N25E,,Спикерные кабели,0,Наличие:В наличии,"Описание Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Link CVS LK02N25E – двухжильный акустический кабель сечением 2 х 2,5 мм². Акустические кабели Eurocable с двойным сердечником хорошо известны своей чрезвычайной гибкостью благодаря очень большому количеству жил отдельных проводников. Оболочка изготовлена из стойкого ПВХ и обеспечивает оптимальную надёжность в критических условиях наружного применения.","Производитель: Eurocable | Наименование: <h3>CVS LK02N25E</h3> | Партномер: <h3>CVS LK02N25E</h3> | Стандартная бухта: 100 м | Сечение жилы кабеля: 2.5 мм<sup>2</sup> | Структура: 2 х 2,5 мм<sup>2</sup> | Внешний диаметр кабеля: 8,6 мм | Применение: Прокат, инсталляции | Область использования: Мероприятия, Многоцелевые площадки, Сцена и развлечения, Студия, Театры, Тематические парки | Рабочая температура: -20°C/+70°C | Цвет: Чёрный",https://risbar.kz/wp-content/uploads/product/cvs-lk02n25e-1.png,https://risbar.kz/product/cvs-lk02n25e/
CVS LK02N25P,,Спикерные кабели,0,Наличие:В наличии,"Описание Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Eurocable Link CVS LK02N25P – двухжильный параллельный акустический кабель сечением 2 х 2,5 мм². Двухжильные параллельные акустические кабели Eurocable предназначены для подключения устройств внутри стоек или громкоговорителей. Ключевыми особенностями этих огнестойких акустических кабелей являются их чрезвычайная гибкость и превосходная прочность.","Производитель: Eurocable | Наименование: <h3>CVS LK02N25P</h3> | Партномер: <h3>CVS LK02N25P</h3> | Стандартная бухта: 100 м | Сечение жилы кабеля: 2,5 мм<sup>2</sup> | Структура: 2 х 2,5 мм<sup>2</sup> | Внешний диаметр кабеля: 4,00 мм х 8,40 мм | Огнестойкость: EN 50266-2, IEC 60332-3 CAT. ""C"" | Применение: Стационарные инсталляции | Область использования: Студия, Театры, Конференцзалы | Рабочая температура: -20°C/+70°C | Цвет: Чёрный",https://risbar.kz/wp-content/uploads/product/cvs-lk02n25p-1.png,https://risbar.kz/product/cvs-lk02n25p/
