title,article,category,price,availability,description,details,images,url
AV-Beta-tribune,,Трибуны и кафедры,0,Наличие:В наличии,"Описание AV-Beta-tribune — Интерактивная трибуна в классическом дизайне исполнения, корпус изготовлен из ЛДСП, но при необходимость материал можно изменить. Оптимальное решение кафедры для выступлений. Примечание : Доступна расширенная комплектация.","Производитель: Alfabetmedia | Наименование: <h3>AV-Beta-tribune</h3> | Партномер: <h3>AV-Beta-tribune</h3> | Исполнение: Напольное | Материал: ЛДСП | Размер, см: 125x70x65 | Диагональ: 21.5 | Разрешение: 1920×1080 (Full HD) | Тип матрицы: IPS | Количество касаний: 10 | Тип сенсора: Инфракрасный | Конфигурация ПК: Стандарт | Разъёмы в основании: ethernet, XLR-M | Разъёмы на лицевой панели: USB, XLR-F | Микрофон, шт.: 1 микрофон",https://risbar.kz/wp-content/uploads/product/av-beta-tribune-1.png; https://risbar.kz/wp-content/uploads/product/av-beta-tribune-2.png; https://risbar.kz/wp-content/uploads/product/av-beta-tribune-3.jpg; https://risbar.kz/wp-content/uploads/product/av-beta-tribune-4.png; https://risbar.kz/wp-content/uploads/product/av-beta-tribune-2-550x550.png; https://risbar.kz/wp-content/uploads/product/av-beta-tribune-3-550x550.jpg; https://risbar.kz/wp-content/uploads/product/av-beta-tribune-4-550x638.png,https://risbar.kz/product/av-beta-tribune/
AV-Delta-tribune,,Трибуны и кафедры,0,Наличие:В наличии,"Описание AV-Delta-tribune — интерактивная трибуна, которая однозначно украсит любое выступление. Изящный современный дизайн исполнения, плавные черты — каждая деталь продумана по особенному. Примечание : Доступна расширенная комплектация.","Производитель: Alfabetmedia | Наименование: <h3>AV-Delta-tribune</h3> | Партномер: <h3>AV-Delta-tribune</h3> | Исполнение: Напольное | Материал: МДФ | Размер, см: 125x70x60 | Диагональ: 21.5 | Разрешение: 1920×1080 (Full HD) | Тип матрицы: IPS | Количество касаний: 10 | Тип сенсора: Инфракрасный | Конфигурация ПК: Стандарт | Разъёмы на лицевой панели: USB, XLR, ethernet | Микрофон, шт.: 1 микрофон",https://risbar.kz/wp-content/uploads/product/av-delta-tribune-1.jpg; https://risbar.kz/wp-content/uploads/product/av-delta-tribune-2.png; https://risbar.kz/wp-content/uploads/product/av-delta-tribune-3.png; https://risbar.kz/wp-content/uploads/product/av-delta-tribune-2-550x550.png; https://risbar.kz/wp-content/uploads/product/av-delta-tribune-3-550x550.png,https://risbar.kz/product/av-delta-tribune/
AV-Dzeta-tribune,,Трибуны и кафедры,0,Наличие:В наличии,"Описание Интерактивная мультимедийная трибуна AV-Dzeta-tribune названа в честь шестой буквы греческого алфавита, а в системе алфавитной записи чисел является цифрой 7. Удачное приобретение кафедры докладчика по отношению к стоимости и качеству изготовления. Массив дерева вносит свой солидный вклад в оформления зала. Модель предусматривает наличие герба. Ключевые нюансы: в стандартном решении один ёмкостный экран материал корпуса — массив натурального дерева. По запросу может быть изготовлен из МДФ. Примечание : Доступна расширенная комплектация.","Производитель: Alfabetmedia | Наименование: <h3>AV-Dzeta-tribune</h3> | Партномер: <h3>AV-Dzeta-tribune</h3> | Исполнение: Напольное | Материал: МДФ/дерево | Размер, см: 125x70x70 | Диагональ: 21.5 | Разрешение: 1920×1080 (Full HD) | Тип матрицы: IPS | Количество касаний: 10 | Тип сенсора: Инфракрасный | Конфигурация ПК: Стандарт | Разъёмы в основании: ethernet, XLR-M | Разъёмы на лицевой панели: USB, XLR-F | Микрофон, шт.: 1 микрофон",https://risbar.kz/wp-content/uploads/product/av-dzeta-tribune-1.png; https://risbar.kz/wp-content/uploads/product/av-dzeta-tribune-2.jpg; https://risbar.kz/wp-content/uploads/product/av-dzeta-tribune-3.png; https://risbar.kz/wp-content/uploads/product/av-dzeta-tribune-2-550x550.jpg; https://risbar.kz/wp-content/uploads/product/av-dzeta-tribune-3-550x550.png,https://risbar.kz/product/av-dzeta-tribune/
AV-Epsilon-tribune,,Трибуны и кафедры,0,Наличие:В наличии,Описание Интерактивная трибуна AV-Epsilon-tribune украшают утончённые вставки из стекла. Сочетание этих двух материалов создаёт свой особенный шарм. Примечание: Доступна расширенная комплектация.,"Производитель: Alfabetmedia | Наименование: <h3>AV-Epsilon-tribune</h3> | Партномер: <h3>AV-Epsilon-tribune</h3> | Исполнение: Напольное | Материал: Сталь | Размер, см: 115x60x50 | Диагональ: 21.5 | Разрешение: 1920×1080 (Full HD) | Тип матрицы: IPS | Количество касаний: 10 | Тип сенсора: Инфракрасный | Конфигурация ПК: Стандарт | Разъёмы в основании: ethernet, XLR-M | Разъёмы на лицевой панели: USB, XLR-F | Микрофон, шт.: 1 микрофон",https://risbar.kz/wp-content/uploads/product/av-epsilon-tribune-1.png; https://risbar.kz/wp-content/uploads/product/av-epsilon-tribune-2.png; https://risbar.kz/wp-content/uploads/product/av-epsilon-tribune-2-550x550.png,https://risbar.kz/product/av-epsilon-tribune/
AV-Fita-tribune,,Трибуны и кафедры,0,Наличие:В наличии,Описание Интерактивная мультимедийная трибуна AV-Fita-tribune выполнена в классическом дизайне. Корпус стандартно изготавливается из ЛДСП. Преимущество этой мультимедийной трибуны — оптимальная стоимость. Примечание: Доступна расширенная комплектация.,"Производитель: Alfabetmedia | Наименование: <h3>AV-Fita-tribune</h3> | Партномер: <h3>AV-Fita-tribune</h3> | Исполнение: Напольное | Материал: ЛДСП | Размер, см: 115x70x60 | Диагональ: 21.5 | Разрешение: 1920×1080 (Full HD) | Тип матрицы: IPS | Количество касаний: 10 | Тип сенсора: Инфракрасный | Конфигурация ПК: Стандарт | Разъёмы в основании: ethernet, XLR-M | Разъёмы на лицевой панели: USB, XLR-F | Микрофон, шт.: 1 микрофон",https://risbar.kz/wp-content/uploads/product/av-fita-tribune-1.png; https://risbar.kz/wp-content/uploads/product/av-fita-tribune-2.png; https://risbar.kz/wp-content/uploads/product/av-fita-tribune-2-550x550.png,https://risbar.kz/product/av-fita-tribune/
AV-Gamma-tribune,,Трибуны и кафедры,0,Наличие:В наличии,Описание AV-Gamma-tribune — классический дизайн исполнения интерактивной трибуны для выступлений. Материал изготовления корпуса ЛДСП. Размер и тип герба устанавливается по согласованию. Примечание : Доступна расширенная комплектация.,"Производитель: Alfabetmedia | Наименование: <h3>AV-Gamma-tribune</h3> | Партномер: <h3>AV-Gamma-tribune</h3> | Исполнение: Напольное | Материал: ЛДСП | Размер, см: 125x70x70 | Диагональ: 21.5 | Разрешение: 1920×1080 (Full HD) | Тип матрицы: IPS | Количество касаний: 10 | Тип сенсора: Инфракрасный | Конфигурация ПК: Стандарт | Разъёмы в основании: ethernet, XLR-M | Разъёмы на лицевой панели: USB, XLR-F | Микрофон, шт.: 1 микрофон",https://risbar.kz/wp-content/uploads/product/av-gamma-tribune-1.jpg; https://risbar.kz/wp-content/uploads/product/av-gamma-tribune-2.png; https://risbar.kz/wp-content/uploads/product/av-gamma-tribune-3.png; https://risbar.kz/wp-content/uploads/product/av-gamma-tribune-2-550x550.png; https://risbar.kz/wp-content/uploads/product/av-gamma-tribune-3-550x550.png,https://risbar.kz/product/av-gamma-tribune/
AV-Jota-tribune,,Трибуны и кафедры,0,Наличие:В наличии,"Описание AV-Jota-tribune — это минимализм исполнения, подчёркивающий эстетический вид мультимедийной интерактивной трибуны — основное преимущество этой модели. Изделие стандартно изготавливается из стали. Примечание : Доступна расширенная комплектация.","Производитель: Alfabetmedia | Наименование: <h3>AV-Jota-tribune</h3> | Партномер: <h3>AV-Jota-tribune</h3> | Исполнение: Напольное | Материал: Сталь | Размер, см: 115x60x50 | Диагональ: 21.5 | Разрешение: 1920×1080 (Full HD) | Тип матрицы: IPS | Количество касаний: 10 | Тип сенсора: Инфракрасный | Конфигурация ПК: Стандарт | Разъёмы в основании: ethernet, HDMI, питание, XLR | Разъёмы на лицевой панели: USB, XLR | Микрофон, шт.: 1 микрофон",https://risbar.kz/wp-content/uploads/product/av-jota-tribune-1.png; https://risbar.kz/wp-content/uploads/product/av-jota-tribune-2.png; https://risbar.kz/wp-content/uploads/product/av-jota-tribune-2-550x550.png,https://risbar.kz/product/av-jota-tribune/
AV-Kappa-tribune,,Трибуны и кафедры,0,Наличие:В наличии,"Описание Интерактивная трибуна AV-Kappa-tribune имеет классический дизайн. Корпус выполнен из ЛДСП. В стандартное решение входит выдвижная полка, на которой можно расположить клавиатуру и мышь. Дополнительные возможности (расширенная комплектация): оснащение ролл-ставнями. Примечание : Доступна расширенная комплектация.","Производитель: Alfabetmedia | Наименование: <h3>AV-Kappa-tribune</h3> | Партномер: <h3>AV-Kappa-tribune</h3> | Исполнение: Напольное | Материал: ЛДСП | Размер, см: 125x70x70 | Диагональ: 21.5 | Разрешение: 1920×1080 (Full HD) | Тип матрицы: IPS | Количество касаний: 10 | Тип сенсора: Инфракрасный | Конфигурация ПК: Стандарт | Разъёмы в основании: ethernet, XLR-M | Разъёмы на лицевой панели: USB, XLR-F | Микрофон, шт.: 1 микрофон",https://risbar.kz/wp-content/uploads/product/av-kappa-tribune-1.png; https://risbar.kz/wp-content/uploads/product/av-kappa-tribune-2.png; https://risbar.kz/wp-content/uploads/product/av-kappa-tribune-3.png; https://risbar.kz/wp-content/uploads/product/av-kappa-tribune-2-550x550.png; https://risbar.kz/wp-content/uploads/product/av-kappa-tribune-3-550x550.png,https://risbar.kz/product/av-kappa-tribune/
AV-Lambda-tribune,,Трибуны и кафедры,0,Наличие:В наличии,"Описание Интерактивная трибуна AV-Lambda-tribune с корпусом, изготовленным из прочного металла. Опционально производится оснащение: — антивандальной клавиатурой — микшером — контроллером управления моторизировнным экраном и видеопроектором. Примечание : Доступна расширенная комплектация.","Производитель: Alfabetmedia | Наименование: <h3>AV-Lambda-tribune</h3> | Партномер: <h3>AV-Lambda-tribune</h3> | Исполнение: Напольное | Материал: Сталь | Размер, см: 124x65x48 | Диагональ: 21.5 | Разрешение: 1920×1080 (Full HD) | Тип матрицы: IPS | Количество касаний: 10 | Тип сенсора: Инфракрасный | Конфигурация ПК: Стандарт | Разъёмы в основании: ethernet, XLR-M | Разъёмы на лицевой панели: USB, XLR-F | Микрофон, шт.: 2 микрофона",https://risbar.kz/wp-content/uploads/product/av-lambda-tribune-1.png; https://risbar.kz/wp-content/uploads/product/av-lambda-tribune-2.png; https://risbar.kz/wp-content/uploads/product/av-lambda-tribune-3.jpg; https://risbar.kz/wp-content/uploads/product/av-lambda-tribune-2-550x550.png; https://risbar.kz/wp-content/uploads/product/av-lambda-tribune-3-550x733.jpg,https://risbar.kz/product/av-lambda-tribune/
AV-Om-tribune,,Трибуны и кафедры,0,Наличие:В наличии,"Описание Отличительной особенностью интерактивной мультимедийной трибуны AV-Om-tribune является экран на лицевой части, который при необходимости можно заменить. Изделие изготавливается полностью из металла. Примечание : Доступна расширенная комплектация.","Производитель: Alfabetmedia | Наименование: <h3>AV-Om-tribune</h3> | Партномер: <h3>AV-Om-tribune</h3> | Исполнение: Напольное | Материал: Сталь | Размер, см: 115x70x60 | Диагональ: 21.5 | Разрешение: 1920×1080 (Full HD) | Тип матрицы: IPS | Количество касаний: 10 | Тип сенсора: Инфракрасный | Конфигурация ПК: Стандарт | Разъёмы в основании: ethernet, XLR-M | Разъёмы на лицевой панели: USB, XLR-F | Микрофон, шт.: 2 микрофона",https://risbar.kz/wp-content/uploads/product/av-om-tribune-1.png; https://risbar.kz/wp-content/uploads/product/av-om-tribune-2.png; https://risbar.kz/wp-content/uploads/product/av-om-tribune-2-550x550.png,https://risbar.kz/product/av-om-tribune/
