title,article,category,price,availability,description,details,images,url
A48 (48 CH),,Управление световым оборудованием,0,Наличие:В наличии,"Описание Code A48 (48 CH) производства CODE пульт управления светом. 48 каналов DMX с оптически изолированным выходом. ЖК дисплей. 24 канальных фейдера × 2 страницы, 12 субмастерных фейдеров × 3 страницы, 1 фейдер скорости чейза, 1 кроссфейдер чейза, 1 мастер-фейдер канала и 1 мастер-фейдер. 36 субмастеров для редактирования и хранения. 24 чейза, максимум 80 шагов в каждом. Функция музыкального триггера для Chase. 1 ручная сцена, 12 субмастеров и 1 чейз могут работать одновременно. Управление вспышкой: субмастер. Данные автоматически сохраняются. Электропитание: 100-240В переменного тока, 50-60Гц. Размер: 482 × 310 × 95 мм. Вес: около 7 кг.",Производитель: Code | Наименование: <h3>A48 (48 CH)</h3> | Партномер: <h3>A48(48 CH)</h3>,https://risbar.kz/wp-content/uploads/product/a48-48-ch-1.jpg; https://risbar.kz/wp-content/uploads/product/a48-48-ch-2.jpg; https://risbar.kz/wp-content/uploads/product/a48-48-ch-2-550x109.jpg,https://risbar.kz/product/a48-48-ch/
ADV 800 (512 CH),,Управление световым оборудованием,0,Наличие:В наличии,"Описание CODE ADV 800 (512 CH) производства CODE пульт управления светом. Сенсорный дисплей TFT-LCD 7-дюймов. 2 физических линии DMX 512. Всего 512 DMX-каналов. MIDI-вход и выход для подключения и работы с другими консолями. Общее количество каналов: 512. Два отдельных оптически изолированных DMX выхода. 7-дюймовый сенсорный TFT-LCD экран. Клавиши с подсветкой и возможностью изменения ее цвета на красный, зелёный или жёлтый. 4 оптических энкодера с подсветкой для установки параметров Доступна запись до 600 плейбеков. Управление воспроизведением: 50 страниц по 12 фейдеров. Одновременно возможно воспроизведение только 12 плейбеков. Максимальное количество запатченных устройств — 400. Количество групп — до 400. Доступна запись до 400 пресетов. До 400 пользовательских эффектов. Доступна запись до 400 макрокоманд, которые могут запускаться с внешнего MIDI таймкода или встроенных часов. Рабочая область предоставляет быстрый доступ к выбору приборов, групп, пресетов, пользовательских эффектов и макрокоманд. Система цветосмешения предоставляет пользователям палитру для более удобного управления приборами с системами RGB и CMY. Генератор эффектов содержит в себе различные эффекты, которые можно изменять с помощью различных параметров. Созданные пользователем эффекты можно сохранить для повторного использования. Доступно 5 уровней приоритета воспроизведения. Возможна настройка атрибутов времени воспроизведения. Во встроенной библиотеке доступно более 8000 шаблонов приборов. Пользователи могут редактировать шаблоны приборов из встроенной библиотеки или создавать собственные. Скачать обновления программного обеспечения и библиотеки можно бесплатно на веб-сайте. Шоу-файлы можно хранить на встроенном жестком диске. Сохранение шоу-файлов на внешние носители через USB. MIDI in/out для подключения и работы с другими консолями. Питание: 100-240 В переменного тока, 50-60 Гц. Размер: 482 мм × 400 мм × 167 мм. Вес: 8,5 кг.",Производитель: Code | Наименование: <h3>ADV 800 (512 CH)</h3> | Партномер: <h3>ADV 800 (512 CH)</h3>,https://risbar.kz/wp-content/uploads/product/adv-800-512-ch-1.jpg; https://risbar.kz/wp-content/uploads/product/adv-800-512-ch-2.jpg; https://risbar.kz/wp-content/uploads/product/adv-800-512-ch-3.jpg; https://risbar.kz/wp-content/uploads/product/adv-800-512-ch-2-550x431.jpg; https://risbar.kz/wp-content/uploads/product/adv-800-512-ch-3-550x431.jpg,https://risbar.kz/product/adv-800-512-ch/
CODE MINI 1000T PRO,,Управление световым оборудованием,0,Наличие:В наличии,"Описание MINI 1000T PRO производства CODE пульт управления светом в транспортировочном кейсе. Сенсорный дисплей TFT-LCD 7-дюймов. 2 физических линии DMX 512. Всего 1024 DMX-каналов. MIDI-вход и выход для подключения и работы с другими консолями. Два оптически изолированных DMX-выхода обеспечивают управление 1024 каналами по DMX или Art-Net. Один 7-дюймовый сенсорный TFT-LCD-экран. Клавиатура цветной подсветкой с возможностью выбора одного из трех цветов. Четыре оптических энкодера с подсветкой. Запись до 1000 воспроизведений. Управление воспроизведением: 40 страниц по 15 фейдеров и 20 страниц по 20 кнопок воспроизведения. Максимум 400 устройств для патча всех типов приборов. До 400 групп. До 400 пресетов. До 400 Macro Show. До 400 пользовательских Shape эффектов. Панель быстрого доступа позволяет быстро выбирать приборы, группы, пресеты или пользовательские Shape эффекты. Система цветосмешения консоли предоставляет пользователям цветовую палитру для удобного управления приборами с системами цветосмешения RGB или CMY. Shape Generator предоставляет различные эффекты, которые можно сохранить как пользовательские эффекты. Возможна установка различных приоритетов воспроизведения. Встроенная библиотека включает в себя более 800 шаблонов приборов. Пользователи могут редактировать встроенные шаблоны приборов и создавать собственные. Файлы программы R20 могут быть загружены в качестве пользовательских шаблонов. MIDI in/out для подключения и работы с другими консолями. Бесплатная загрузка обновлений программного обеспечения и библиотеки приборов. Резервные копии шоу можно сохранять на внутреннем электронном диске. Сохранение резервных копий шоу на внешние носители через USB. Питание: 100/240 В переменного тока, 50-60 Гц Размер: 482 × 445 × 180 мм. Вес: 10 кг.",Производитель: Code,https://risbar.kz/wp-content/uploads/product/code-mini-1000t-pro-1.png; https://risbar.kz/wp-content/uploads/product/code-mini-1000t-pro-2.png; https://risbar.kz/wp-content/uploads/product/code-mini-1000t-pro-3.png; https://risbar.kz/wp-content/uploads/product/code-mini-1000t-pro-4.png; https://risbar.kz/wp-content/uploads/product/code-mini-1000t-pro-2-550x309.png; https://risbar.kz/wp-content/uploads/product/code-mini-1000t-pro-3-550x309.png; https://risbar.kz/wp-content/uploads/product/code-mini-1000t-pro-4-550x309.png,https://risbar.kz/product/code-mini-1000t-pro/
Colour 288 (288 CH),,Управление световым оборудованием,0,Наличие:В наличии,"Описание Code Colour 288 (288 CH) производства CODE пульт управления светом. Общее количество каналов 288 каналов. Два отдельных оптически изолированных DMX выхода. Максимум 36 единиц для коммутации всех видов приборов. Максимальное кол-во каналов каждого прибора: 40. ЖК-дисплей. Два оптических энкодера. 40 чейзов, до 10 чейзов могут выполняться одновременно. До 100 групп. Свободное редактирование 32 пресетов, включая различные цвета, гобо и положения, которые управляются 8 предустановленными кнопками × 4 страницах. Эффект генератора обеспечивает круг, квадрат, многоугольник, радугу и другие эффекты. 8000 приборов в библиотеке. Система резервного копирования USB позволяет пользователю сделать резервную копию шоу в файле. Чейз пауза, и функция затемнения. Может управляться MIDI Master. Цвет 288 может быть связано с тем, MIDI сигнала, по одному для master, другой для slave. Данные автоматически сохраняются. Питание: 100-240 В, 50-60 Гц. Размер: 485 × 267 × 95 мм. Вес: 4,5 кг.",Производитель: Code | Наименование: <h3>Colour 288 (288 CH)</h3> | Партномер: <h3>Colour 288(288 CH)</h3>,https://risbar.kz/wp-content/uploads/product/colour-288-288-ch-1.jpg; https://risbar.kz/wp-content/uploads/product/colour-288-288-ch-2.jpg; https://risbar.kz/wp-content/uploads/product/colour-288-288-ch-3.jpg; https://risbar.kz/wp-content/uploads/product/colour-288-288-ch-2-550x226.jpg; https://risbar.kz/wp-content/uploads/product/colour-288-288-ch-3-550x96.jpg,https://risbar.kz/product/colour-288-288-ch/
Gobo 200 (192 CH),,Управление световым оборудованием,0,Наличие:В наличии,"Описание Gobo 200 (192 CH) производства CODE пульт управления светом. DMX каналы: 192. Кол-во приборов: 16. Максимальное кол-во каналов каждого прибора: 12. Чейзы: 16. Максимальное кол-во шагов в чейзе 50. Общее кол-во шагов 580. Диапазон скорости чейза 0.25-60 с/шаг. Диапазон соотношения между шагами 0-100%. Дисплей: LCD дисплей и светодиодный индикатор. Выходной DMX разъём XLR-D3F. Другие функции: Автосохранение для всех данных при отключении питания и автосохранение для скорости чейза и коэффициента пересечения. Питание: AC 90-240В 50-60Гц, потребляемая мощность: 4Вт. Габариты 482 x 178 x 55 мм. Вес 3 кг.",Производитель: Code | Наименование: <h3>Gobo 200 (192 CH)</h3> | Партномер: <h3>Gobo 200(192 CH)</h3>,https://risbar.kz/wp-content/uploads/product/gobo-200-192-ch-1.jpg; https://risbar.kz/wp-content/uploads/product/gobo-200-192-ch-2.jpg; https://risbar.kz/wp-content/uploads/product/gobo-200-192-ch-2-550x91.jpg,https://risbar.kz/product/gobo-200-192-ch/
Master 2500 (2048 CH),,Управление световым оборудованием,0,Наличие:В наличии,"Описание CODE Master 2500 (2048 CH) производства CODE пульт управления светом. Сенсорный дисплей TFT-LCD 10,4-дюймов. 4 физических линии DMX 512. Всего 2048 DMX-каналов. MIDI-вход и выход для подключения и работы с другими консолями. VGA-интерфейс для внешнего монитора для отображения большего количества информации. 2048 каналов с 4 оптически изолированными выходами. Максимум 400 приборов. Сенсорный дисплей 10.4″ TFT-LCD. Выход VGA для подключения внешнего монитора. 24 фейдера х 30 страниц, итого 1120 плэйбеков. 20 клавиш плэйбеков х 20 страниц. Одновременное воспроизведение 44 плэйбеков. 4 оптических энкодера. До 400 групп. До 400 пресетов. До 400 макро шоу. До 400 пользовательских эффектов. Цветовая палитра для управления RGB или CMY приборами. 8000 приборов в библиотеке. USB интерфейс. Опционально подключается лампа подсветки 12В. Электропитание: AC100-240V, 50-60Hz. Габариты: 650×490×130 мм. Вес: 13 кг. Кофр для пульта в комплекте.",Производитель: Code | Наименование: <h3>Master 2500 (2048 CH)</h3> | Партномер: <h3>Maste 2500(2048 CH)</h3>,https://risbar.kz/wp-content/uploads/product/master-2500-2048-ch-1.jpg; https://risbar.kz/wp-content/uploads/product/master-2500-2048-ch-2.jpg; https://risbar.kz/wp-content/uploads/product/master-2500-2048-ch-3.jpg; https://risbar.kz/wp-content/uploads/product/master-2500-2048-ch-4.jpg; https://risbar.kz/wp-content/uploads/product/master-2500-2048-ch-2-550x550.jpg; https://risbar.kz/wp-content/uploads/product/master-2500-2048-ch-3-550x550.jpg; https://risbar.kz/wp-content/uploads/product/master-2500-2048-ch-4-550x316.jpg,https://risbar.kz/product/master-2500-2048-ch/
Master 4096 (4096 CH),,Управление световым оборудованием,0,Наличие:В наличии,"Описание CODE Master 4096 (4096 CH) производства CODE ¬ пульт управления светом. Сенсорный дисплей TFT-LCD 10,4-дюймов. 6 физических линий DMX 512. Всего 4096 DMX-каналов. MIDI-вход и выход для подключения и работы с другими консолями. VGA-интерфейс для внешнего монитора для отображения большего количества информации 4096 канала, с 6 DMX оптически изолированными выходами + 2 сетевыми интерфейсами. Максимум 400 приборов. 10,4″ TFT-LCD сенсорный дисплей. Интерфейс VGA для подключения внешнего монитора. До 1120 сцен, контролируемых 24 фейдерами × 30 страниц. 44 сцены могут быть запущены одновременно. 4 оптических энкодера. До 400 групп. До 400 пресетов. Область ярлыков обеспечивает быстрый доступ для выбора приборов, групп, пресетов или пользовательских эффектов. Система цветосмешения обеспечивает цветовую палитру, чтобы контролировать приборы с RGB или CMY. Генератор эффектов, возможность сохранения пользовательских эффектов для быстрого запуска в дальнейшем. Более 8000 приборов в библиотеке, возможность редактирования системной библиотеки или создания собственной библиотеки. Система резервного копирования через USB позволяет пользователю сделать резервную копию шоу в файле. Функция Blackout Данные автоматически сохраняются на встроенном жёстком диске. Опция: 12V подсветка. Монитор. Питание: AC100-240V, 50-60Hz. Размер: 650×490×130 мм. Вес: 13 кг. Кофр для пульта в комплекте.",Производитель: Code | Наименование: <h3>Master 4096 (4096 CH)</h3> | Партномер: <h3>Master 4096(4096 CH)</h3>,https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-1.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-2.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-3.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-4.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-5.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-6.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-7.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-8.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-9.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-10.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-11.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-12.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-2-550x441.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-3-550x441.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-4-550x441.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-5-550x516.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-6-550x550.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-7-550x437.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-8-550x373.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-9-550x437.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-10-550x437.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-11-550x241.jpg; https://risbar.kz/wp-content/uploads/product/master-4096-4096-ch-12-550x454.jpg,https://risbar.kz/product/master-4096-4096-ch/
Party 500 (512 CH),,Управление световым оборудованием,0,Наличие:В наличии,"Описание CODE Party 500 (512 CH) производства CODE пульт управления светом. Пульт управления светом. 512 каналов с 2 DMX оптически изолированными выходами. Кол-во приборов: 80. Максимальное кол-во каналов каждого прибора: 40. 3 оптических энкодера. 10 фейдеров по 5 страниц. До 100 групп. 40 редактируемых пресетов с помощью 10 кнопок по 4 страницы. Генератор эффектов. Более 8000 приборов в библиотеке, возможность редактирования системной библиотеки или создания собственной библиотеки. Система резервного копирования через USB позволяет пользователю сделать резервную копию шоу в файле. Midi и звуковое управление. Автосохранение данных. Опционально подключается лампа подсветки 12В. Питание: AC100-240V, 50-60Hz. Размер: 482×355×98 мм. Вес: 7 кг.",Производитель: Code | Наименование: <h3>Party 500 (512 CH)</h3> | Партномер: <h3>Party 500(512 CH)</h3>,https://risbar.kz/wp-content/uploads/product/party-500-512-ch-1.jpg; https://risbar.kz/wp-content/uploads/product/party-500-512-ch-2.jpg; https://risbar.kz/wp-content/uploads/product/party-500-512-ch-2-550x120.jpg,https://risbar.kz/product/party-500-512-ch/
Victory 1 (8192 CH),,Управление световым оборудованием,0,Наличие:В наличии,"Описание CODE Victory 1 (8192 CH) производства CODE пульт управления светом в транспортировочном кейсе. 2 сенсорных дисплея TFT-LCD 15,4-дюйма. 8 физических линий DMX 512 + 2 Artnet. Всего 8192 DMX-каналов. WiFi для подключения приложения на мобильном телефоне или планшете. Интерфейсы MIDI вход, выход и Thru для подключения и работы с другими устройствами Характеристики: Восемь оптически изолированных DMX-выходов обеспечивают 4096 DMX-каналов, по Art-Net возможно расширение до 8192 DMX-каналов. Два 15,4-дюймовых складных сенсорных TFT-LCD экрана высокого разрешения. Управление воспроизведением: 40 страниц по 30 фейдеров воспроизведения, 40 страниц по 30 клавиш воспроизведения. Один общий грандмастер и по одному мастер-фейдеру для каждой отдельной зоны плейбэков. Пять оптических энкодеров с подсветкой для настройки параметров световых приборов. Клавиши с регулируемой яркостью подсветки и возможностью смены цвета. Семь назначаемых пользователем функциональных клавиш. Отдельные клавиши для функций Flash и Pause. MIDI in/out/thru для подключения и работы с другими устройствами. Принимается сигнал MIDI тайм-кода с внешних устройств. WiFi для подключения приложения на мобильном телефоне или планшете. Бесплатная загрузка обновлений программного обеспечения и библиотеки приборов. Резервные копии шоу можно сохранять на внутреннем электронном диске. Сохранение резервных копий шоу на внешние носители через USB 2.0 Аудиовыход через разъем 3.5 мм Mini-jack. В комплекте две лампы с регулируемой яркостью для подсветки рабочего пространства. Питание: 100/240 В переменного тока, 50-60 Гц. Размеры: 840 х 620 х 215 мм. Вес: 27 кг.",Производитель: Code | Наименование: <h3>Victory 1 (8192 CH)</h3> | Партномер: <h3>Victory 1(8192 CH)</h3>,https://risbar.kz/wp-content/uploads/product/victory-1-8192-ch-1.jpg; https://risbar.kz/wp-content/uploads/product/victory-1-8192-ch-2.jpg; https://risbar.kz/wp-content/uploads/product/victory-1-8192-ch-3.jpg; https://risbar.kz/wp-content/uploads/product/victory-1-8192-ch-4.jpg; https://risbar.kz/wp-content/uploads/product/victory-1-8192-ch-2-550x409.jpg; https://risbar.kz/wp-content/uploads/product/victory-1-8192-ch-3-550x409.jpg; https://risbar.kz/wp-content/uploads/product/victory-1-8192-ch-4-550x114.jpg,https://risbar.kz/product/victory-1-8192-ch/
Victory 3 (2048 CH),,Управление световым оборудованием,0,Наличие:В наличии,"Описание Особенности: Пульт управления светом. Один сенсорный 15-дюймовый TFT-LCD дисплей. 4 физических линии DMX-512 + 1 сетевой разъем для Art-Net. Общее количество каналов DMX — 2048. WiFi для подключения приложения на мобильном телефоне или планшете. MIDI in/out/thru для подключения и работы с другими устройствами. Характеристики: Четыре оптически изолированных DMX-выхода обеспечивают 2048 DMX-каналов, также есть один сетевой разъем для Art-Net. Один 15-дюймовый сенсорный TFT-LCD экран. Пятнадцать фейдеров воспроизведения и пятнадцать клавиш воспроизведения с возможностью записи на восемьдесят страниц. Четыре оптических энкодера с подсветкой для настройки параметров световых приборов. Клавиши с регулируемой яркостью подсветки и возможностью смены цвета. Отдельные клавиши для функций Flash и Pause. MIDI in/out/thru для подключения и работы с другими устройствами. Принимается сигнал MIDI тайм-кода с внешних устройств. WiFi для подключения приложения на мобильном телефоне или планшете. Бесплатная загрузка обновлений программного обеспечения и библиотеки приборов. Резервные копии шоу можно сохранять на внутреннем электронном диске. Сохранение резервных копий шоу на внешние носители через USB 2.0. Аудио-выход через разъем 3.5 мм Mini-jack. В комплекте одна лампа с регулируемой яркостью для подсветки рабочего пространства. Питание: 100/240 В перем.тока, 50-60 Гц. Размеры: 665 мм х 580 мм х 205 мм. Вес: 15 кг.",Производитель: Code | Наименование: <h3>Victory 3 (2048 CH)</h3> | Партномер: <h3>Victory 3(2048 CH)</h3>,https://risbar.kz/wp-content/uploads/product/victory-3-2048-ch-1.jpg; https://risbar.kz/wp-content/uploads/product/victory-3-2048-ch-2.jpg; https://risbar.kz/wp-content/uploads/product/victory-3-2048-ch-2-550x328.jpg,https://risbar.kz/product/victory-3-2048-ch/
