title,article,category,price,availability,description,details,images,url
MCYC30-AAN-2C,,Циклорама,0,Наличие:В наличии,"Описание MONON MCYC30-AAN-2C – светодиодная циклорама для заливки задников, циклорам, вертикальных плоских декораций. Мощность источника света 120 Вт, широкий угол раскрытия 110х70° и цветовая температура 2700/9000 K позволяют получить равномерную яркую заливку. Используется для освещения масштабных пространств, таких как концертные залы и дома культуры. Создание широкого и равномерного поля освещения. Источник света: 120 светодиодов по 3 Вт. Холодный и тёплый белый 2700 K / 9000 K. Средний срок службы светодиода: 30000 часов. Угол раскрытия луча: 100×70°. Ra ≥ 90. Режим управления: DMX 512. Частота обновления светодиодного модуля: 1,2 K. Линейная кривая диммирования. LCD-экран для установки адреса и настройки. Степень защиты: IP20. Рабочая температура окружающей среды: -10 до 40°C.",Производитель: Monon,https://risbar.kz/wp-content/uploads/product/mcyc30-aan-2c-1.png; https://risbar.kz/wp-content/uploads/product/mcyc30-aan-2c-2.png; https://risbar.kz/wp-content/uploads/product/mcyc30-aan-2c-2-550x550.png,https://risbar.kz/product/mcyc30-aan-2c/
MCYC30-AAN-5C,,Циклорама,0,Наличие:В наличии,"Описание MONON MCYC30-AAN-5C – светодиодная циклорама для заливки задников, циклорам, вертикальных плоских декораций. Мощность источника света 120 Вт, широкий угол раскрытия 110х70° и система цветосмешения RGBLA позволяют получить равномерную яркую заливку. Используется для освещения масштабных пространств, таких как концертные залы и дома культуры. Создание широкого и равномерного поля освещения. Источник света: 120 светодиодов по 3 Вт. Система цветосмешения 5 цветов: RGBLA (красный, зеленый, синий, лайм, янтарный). Средний срок службы светодиода: 30000 часов. Угол раскрытия луча: 100×70°. Ra ≥ 90. Режим управления: DMX 512. Частота обновления светодиодного модуля: 1,2 K. Линейная кривая диммирования. LCD-экран для установки адреса и настройки. Степень защиты: IP20. Рабочая температура окружающей среды: -10 до 40°C.",Производитель: Monon,https://risbar.kz/wp-content/uploads/product/mcyc30-aan-5c-1.png; https://risbar.kz/wp-content/uploads/product/mcyc30-aan-5c-2.png; https://risbar.kz/wp-content/uploads/product/mcyc30-aan-5c-2-550x550.png,https://risbar.kz/product/mcyc30-aan-5c/
MCYC30-AAN-7C,,Циклорама,0,Наличие:В наличии,"Описание MONON MCYC30-AAN-7C – светодиодная циклорама для заливки задников, циклорам, вертикальных плоских декораций. Мощность источника света 120 Вт, широкий угол раскрытия 110х70° и система цветосмешения RGBALC-DB позволяют получить равномерную яркую заливку. Используется для освещения масштабных пространств, таких как концертные залы и дома культуры. Создание широкого и равномерного поля освещения. Источник света: 120 светодиодов по 3 Вт. Система цветосмешения 7 цветов: RGBALC-DB (красный, зеленый, синий, янтарный, лайм, светло-голубой, темно-синий). Средний срок службы светодиода: 30000 часов. Угол раскрытия луча: 100×70°. Ra ≥ 90. Режим управления: DMX 512. Частота обновления светодиодного модуля: 1,2 K. Линейная кривая диммирования. LCD-экран для установки адреса и настройки. Степень защиты: IP20. Рабочая температура окружающей среды: -10 до 40°C.",Производитель: Monon,https://risbar.kz/wp-content/uploads/product/mcyc30-aan-7c-1.png; https://risbar.kz/wp-content/uploads/product/mcyc30-aan-7c-2.png; https://risbar.kz/wp-content/uploads/product/mcyc30-aan-7c-2-550x550.png,https://risbar.kz/product/mcyc30-aan-7c/
MCYC30-AAN-9C,,Циклорама,0,Наличие:В наличии,"Описание Monon MCYC30-AAN-9C — светодиодный прожектор-циклорама. Источник света: 120 цветных светодиодов по 3 Вт каждый. Количество цветов: 9. Светодиодный циклорамный светильник широкого угла излучения, использующий запатентованную систему цветосинтеза от Philips LUXEON® Rebel® LEDs, является идеальным современным решением для насыщенной спектральной световой заливки в профессиональном применении. Специально сконструированная оптическая система позволяет создать равномерное и однородное свечение с множеством великолепных цветовых оттенков из всего спектра, при этом не создавая неприятных радужных теней. С использованием системы цветосинтеза от Philips LUXEON® Rebel® LEDs прожектор имеет значение индекса цветопередачи больше 93, тем самым обеспечивая идеальную цветовую совместимость с самыми строгими стандартами. Имея на борту такой широкий набор цветовых оттенков, а также 16-битное диммирование и превосходную надёжность, прожектор является идеальным для использования в качестве передней и задней подсветки с чистыми тенями. Область применения: театры актовые залы телевизионные студии прокат корпоративные мероприятия выставки","Производитель: Monon | Наименование: <h3>MCYC30-AAN-9C</h3> | Партномер: <h3>MCYC30-AAN-9C</h3> | Источник света: 120 цветных светодиодов по 3 Вт. | Система цветосмешения: 9-цветный RGBALC-DB-DR-OR – Red, Green, Blue, Amber, Lime, Cyan, Deep Blue, Deep Red, Orange Red. | Средний срок службы светодиода: 30000 часов. | Угол раскрытия луча: 110х70° c асимметричным отражателем. | Режим управления: DMX 512. | Линейный электронный 16-битный диммер: 0-100%. | Электронный стробоскоп: 1 Гц/с-20 Гц/с. | Дисплей: LCD-экран для установки адреса и настроек. | Степень защиты: IP20. | Прежний артикул: MCYC30-CAB-9C97C",https://risbar.kz/wp-content/uploads/product/mcyc30-aan-9c-1.jpg; https://risbar.kz/wp-content/uploads/product/mcyc30-aan-9c-2.jpeg; https://risbar.kz/wp-content/uploads/product/mcyc30-aan-9c-3.jpg; https://risbar.kz/wp-content/uploads/product/mcyc30-aan-9c-2-550x333.jpeg; https://risbar.kz/wp-content/uploads/product/mcyc30-aan-9c-3-550x550.jpg,https://risbar.kz/product/mcyc30-aan-9c/
MCYC30-AAN-HC,,Циклорама,0,Наличие:В наличии,"Описание MONON MCYC30-AAN-HC – светодиодная циклорама для заливки задников, циклорам, вертикальных плоских декораций. Мощность источника света 120 Вт, широкий угол раскрытия 110х70° и цветовая температура 9000 K позволяют получить равномерную яркую заливку. Используется для освещения масштабных пространств, таких как концертные залы и дома культуры. Создание широкого и равномерного поля освещения. Источник света: 120 светодиодов по 3 Вт. Холодный белый 9000 K. Средний срок службы светодиода: 30000 часов. Угол раскрытия луча: 100×70°. Ra ≥ 90. Режим управления: DMX 512. Частота обновления светодиодного модуля: 1,2 K. Линейная кривая диммирования. LCD-экран для установки адреса и настройки. Степень защиты: IP20. Рабочая температура окружающей среды: -10 до 40°C.",Производитель: Monon,https://risbar.kz/wp-content/uploads/product/mcyc30-aan-hc-1.png; https://risbar.kz/wp-content/uploads/product/mcyc30-aan-hc-2.png; https://risbar.kz/wp-content/uploads/product/mcyc30-aan-hc-2-550x550.png,https://risbar.kz/product/mcyc30-aan-hc/
MFDF16-FAN-2C,,Циклорама,0,Наличие:В наличии,"Описание Циклорама MFDF16-FAN-2C – театральный светодиодный прожектор заливного света. Мощность источника света 180 Вт и цветовая температура 3 200 — 5 700К (соответствует теплому и холодному белому свету). Используется для освещения масштабных пространств, таких как концертные залы и дома культуры. Создание широкого и равномерного поля освещения. Источник света: 60 белых светодиодов по 3 Вт. Цветовая температура: 3200 — 5700К. Система цветосмешения: теплый и холодный белый. Средний срок службы светодиода: 30000 часов. Угол раскрытия луча: 100×60°. Индекс цветопередачи: CRI ≥90. Режим управления: DMX 512. Количество каналов DMX: 2. Линейный электронный 16-битный диммер: 0-100%. Частота обновления светодиодного модуля: от 2.8 кГц до 10 кГц. Электронный стробоскоп: 1-20 Гц/с. LCD-экран для установки адреса и настройки. Степень защиты: IP20.",Производитель: Monon,https://risbar.kz/wp-content/uploads/product/mfdf16-fan-2c-1.png; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-2c-2.png; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-2c-2-550x550.png,https://risbar.kz/product/mfdf16-fan-2c/
MFDF16-FAN-4C,,Циклорама,0,Наличие:В наличии,"Описание Циклорама MFDF16-FAN-4C – театральный светодиодный прожектор заливного света. Мощность источника света 180 Вт и система цветосмешения RGBL (красный, зеленый, синий, лайм). Используется для освещения масштабных пространств, таких как концертные залы и дома культуры. Обширный выбор цветов и высокая цветопередача позволяют получить равномерную яркую заливку. Создание широкого и равномерного поля освещения. Источник света: 60 белых светодиодов по 3 Вт. Система цветосмешения: 4 цвета: RGBL (красный, зеленый, синий, лайм). CCT: 2800 – 10000 K (для цветной версии) Средний срок службы светодиода: 30000 часов. Угол раскрытия луча: 100×60°. Ra ≥ 90. Режим управления: DMX 512. Линейный электронный 16-битный диммер: 0-100%. Частота обновления светодиодного модуля: 1,2 K. Электронный стробоскоп: 1-20 Гц/с. LCD-экран для установки адреса и настройки. Степень защиты: IP20. Рабочая температура окружающей среды: -10 до 40°C.",Производитель: Monon,https://risbar.kz/wp-content/uploads/product/mfdf16-fan-4c-1.png; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-4c-2.png; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-4c-3.png; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-4c-2-550x550.png; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-4c-3-550x550.png,https://risbar.kz/product/mfdf16-fan-4c/
MFDF16-FAN-5C,,Циклорама,0,Наличие:В наличии,"Описание Циклорама MFDF16-FAN-5C – театральный светодиодный прожектор заливного света. Мощность источника света 180 Вт и система цветосмешения RGBLA (красный, зеленый, синий, лайм, янтарный). Используется для освещения масштабных пространств, таких как концертные залы и дома культуры. Обширный выбор цветов и высокая цветопередача позволяют получить равномерную яркую заливку. Создание широкого и равномерного поля освещения. Источник света: 60 белых светодиодов по 3 Вт. Система цветосмешения: 5 цветов: RGBLA (красный, зеленый, синий, лайм, янтарный). CCT: 2800 – 10000 K (для цветной версии) Средний срок службы светодиода: 30000 часов. Угол раскрытия луча: 100×60°. Ra ≥ 90. Режим управления: DMX 512. Линейный электронный 16-битный диммер: 0-100%. Частота обновления светодиодного модуля: 1,2 K. Электронный стробоскоп: 1-20 Гц/с. LCD-экран для установки адреса и настройки. Степень защиты: IP20. Рабочая температура окружающей среды: -10 до 40°C.",Производитель: Monon,https://risbar.kz/wp-content/uploads/product/mfdf16-fan-5c-1.png; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-5c-2.png; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-5c-3.png; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-5c-2-550x550.png; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-5c-3-550x550.png,https://risbar.kz/product/mfdf16-fan-5c/
MFDF16-FAN-7C,,Циклорама,0,Наличие:В наличии,"Описание Циклорама MFDF16-FAN-7C – театральный светодиодный прожектор заливного света. Мощность источника света 180 Вт и система цветосмешения RGBALC-DB. Используется для освещения масштабных пространств, таких как концертные залы и дома культуры. Обширный выбор цветов и высокая цветопередача позволяют получить равномерную яркую заливку. Создание широкого и равномерного поля освещения. Источник света: 60 белых светодиодов по 3 Вт. Система цветосмешения: 7 цветов: RGBALC-DB (красный, зеленый, синий, янтарный, лайм, светло-голубой, темно-синий). CCT: 2800 – 10000 K (для цветной версии) Средний срок службы светодиода: 30000 часов. Угол раскрытия луча: 100×60°. Ra ≥ 90. Режим управления: DMX 512. Линейный электронный 16-битный диммер: 0-100%. Частота обновления светодиодного модуля: 1,2 K. Электронный стробоскоп: 1-20 Гц/с. LCD-экран для установки адреса и настройки. Степень защиты: IP20. Рабочая температура окружающей среды: -10 до 40°C.",Производитель: Monon,https://risbar.kz/wp-content/uploads/product/mfdf16-fan-7c-1.png; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-7c-2.png; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-7c-3.png; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-7c-2-550x550.png; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-7c-3-550x550.png,https://risbar.kz/product/mfdf16-fan-7c/
MFDF16-FAN-9C,,Циклорама,0,Наличие:В наличии,Описание Monon MFDF16-FAN-9C — cветодиодный цветной заливающий светильник. Источник света: 60 светодиодов по 3 Вт каждый. Количество цветов — 9. Область применения: театры актовые залы телевизионные студии прокат корпоративные мероприятия выставки,"Производитель: Monon | Наименование: <h3>MFDF16-FAN-9C</h3> | Партномер: <h3>MFDF16-FAN-9C</h3> | Источник света: 60 цветных светодиодов по 3 Вт. | Система цветосмешения: RGBA + Lime, Cyan, Deep Blue, Deep Red, Orange Red. | Средний срок службы светодиода: 30000 часов. | Угол раскрытия луча: 100х60° c асимметричным отражателем. | Режим управления DMX: 512. | Количество каналов DMX: 15. | Линейный электронный 16-битный диммер: 0-100%. | Частота обновления светодиодного модуля: от 2.8 кГц до 10 кГц. | Электронный стробоскоп: 1 Гц/с-20 Гц/с. | Дисплей: LCD-экран для установки адреса и настроек. | Степень защиты: IP20 | Прежний артикул: MFDF16-FBB-9C97C",https://risbar.kz/wp-content/uploads/product/mfdf16-fan-9c-1.jpg; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-9c-2.jpg; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-9c-3.jpg; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-9c-4.jpg; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-9c-2-550x550.jpg; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-9c-3-550x550.jpg; https://risbar.kz/wp-content/uploads/product/mfdf16-fan-9c-4-550x550.jpg,https://risbar.kz/product/mfdf16-fan-9c/
